# opt_chain SNDK | epoch 1785507503 | 2026-07-31 10:18:23 | spot 1215.00 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 81 | band 0.6000 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
730.00 C 20260731 -1.00 -1.00 1 2 13.4620 0.9180 0.000279
735.00 C 20260731 -1.00 -1.00 1 5 14.8422 0.9018 0.000289
740.00 C 20260731 -1.00 -1.00 7 8 11.0768 0.9411 0.000261
747.50 C 20260731 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
750.00 C 20260731 -1.00 -1.00 6 11 7.7834 0.9801 0.000153
755.00 C 20260731 -1.00 -1.00 -1 0 6.4890 0.9919 0.000084
760.00 C 20260731 -1.00 -1.00 2 21 7.1140 0.9845 0.000133
765.00 C 20260731 -1.00 -1.00 -1 0 10.8322 0.9324 0.000296
770.00 C 20260731 -1.00 -1.00 2 3 8.7395 0.9604 0.000240
775.00 C 20260731 -1.00 -1.00 -1 0 10.7508 0.9286 0.000312
780.00 C 20260731 -1.00 -1.00 1 1 9.6499 0.9436 0.000291
785.00 C 20260731 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
790.00 C 20260731 -1.00 -1.00 4 3 9.5157 0.9406 0.000307
795.00 C 20260731 -1.00 -1.00 -1 0 8.7990 0.9507 0.000289
800.00 C 20260731 -1.00 -1.00 12 11 6.9471 0.9773 0.000192
805.00 C 20260731 -1.00 -1.00 2 3 6.7741 0.9780 0.000192
810.00 C 20260731 -1.00 -1.00 4 4 6.1864 0.9837 0.000161
815.00 C 20260731 -1.00 -1.00 4 4 8.5543 0.9452 0.000322
820.00 C 20260731 -1.00 -1.00 1 1 7.8493 0.9542 0.000303
825.00 C 20260731 -1.00 -1.00 2 2 6.4167 0.9772 0.000209
830.00 C 20260731 -1.00 -1.00 -1 0 5.7789 0.9840 0.000169
835.00 C 20260731 -1.00 -1.00 1 1 12.6313 0.8699 0.000412
840.00 C 20260731 -1.00 -1.00 1 4 5.7100 0.9824 0.000186
845.00 C 20260731 -1.00 -1.00 1 2 6.4210 0.9692 0.000266
850.00 C 20260731 -1.00 -1.00 3 14 12.0772 0.8674 0.000437
855.00 C 20260731 -1.00 -1.00 1 14 12.2082 0.8627 0.000443
860.00 C 20260731 -1.00 -1.00 2 13 5.5459 0.9793 0.000221
865.00 C 20260731 -1.00 -1.00 2 22 5.7816 0.9744 0.000256
870.00 C 20260731 -1.00 -1.00 1 19 5.3366 0.9796 0.000227
875.00 C 20260731 -1.00 -1.00 1 3 7.3162 0.9358 0.000423
880.00 C 20260731 -1.00 -1.00 3 5 11.2901 0.8583 0.000490
885.00 C 20260731 -1.00 -1.00 6 7 10.8382 0.8613 0.000503
890.00 C 20260731 -1.00 -1.00 10 14 4.9817 0.9793 0.000246
895.00 C 20260731 -1.00 -1.00 1 3 5.2737 0.9723 0.000299
900.00 C 20260731 -1.00 -1.00 1 47 10.7574 0.8520 0.000530
905.00 C 20260731 -1.00 -1.00 3 3 9.6130 0.8669 0.000551
910.00 C 20260731 -1.00 -1.00 3 5 7.2805 0.9126 0.000538
915.00 C 20260731 -1.00 -1.00 11 11 7.6506 0.9013 0.000565
920.00 C 20260731 -1.00 -1.00 1 4 5.9356 0.9432 0.000480
925.00 C 20260731 -1.00 -1.00 4 3 9.5997 0.8517 0.000594
930.00 C 20260731 -1.00 -1.00 6 9 10.4647 0.8348 0.000590
935.00 C 20260731 -1.00 -1.00 3 6 6.6265 0.9107 0.000601
940.00 C 20260731 -1.00 -1.00 4 2 7.3618 0.8897 0.000640
945.00 C 20260731 -1.00 -1.00 2 5 3.7862 0.9844 0.000252
950.00 C 20260731 -1.00 -1.00 2 32 7.0968 0.8879 0.000671
955.00 C 20260731 -1.00 -1.00 2 1 6.7498 0.8929 0.000683
960.00 C 20260731 -1.00 -1.00 2 73 9.6142 0.8245 0.000670
965.00 C 20260731 -1.00 -1.00 4 3 9.8331 0.8176 0.000675
970.00 C 20260731 -1.00 -1.00 5 5 3.8865 0.9725 0.000405
975.00 C 20260731 -1.00 -1.00 1 6 6.4495 0.8830 0.000759
980.00 C 20260731 -1.00 -1.00 19 74 8.7210 0.8224 0.000744
985.00 C 20260731 -1.00 -1.00 31 17 7.4634 0.8432 0.000794
990.00 C 20260731 -1.00 -1.00 4 12 5.3587 0.9026 0.000795
995.00 C 20260731 -1.00 -1.00 7 35 5.7765 0.8852 0.000839
1000.00 C 20260731 -1.00 -1.00 7 2064 3.3832 0.9719 0.000473
1005.00 C 20260731 -1.00 -1.00 3 85 3.5487 0.9605 0.000590
1010.00 C 20260731 -1.00 -1.00 66 55 3.4086 0.9626 0.000586
1015.00 C 20260731 -1.00 -1.00 1 92 3.5072 0.9544 0.000671
1020.00 C 20260731 -1.00 -1.00 2 96 4.1352 0.9214 0.000873
1025.00 C 20260731 -1.00 -1.00 1 151 3.2294 0.9585 0.000674
1030.00 C 20260731 -1.00 -1.00 1 232 3.3014 0.9510 0.000756
1035.00 C 20260731 -1.00 -1.00 9 102 3.1376 0.9542 0.000752
1040.00 C 20260731 -1.00 -1.00 1 169 7.3898 0.7877 0.000975
1045.00 C 20260731 -1.00 -1.00 11 92 3.0076 0.9516 0.000822
1050.00 C 20260731 -1.00 -1.00 167 764 3.0534 0.9449 0.000904
1055.00 C 20260731 -1.00 -1.00 80 64 7.0327 0.7775 0.001050
1060.00 C 20260731 -1.00 -1.00 163 311 2.7180 0.9523 0.000898
1065.00 C 20260731 -1.00 -1.00 17 93 3.9406 0.8765 0.001293
1070.00 C 20260731 -1.00 -1.00 1 238 2.8470 0.9348 0.001111
1075.00 C 20260731 -1.00 -1.00 2 195 8.0445 0.7346 0.001008
1080.00 C 20260731 -1.00 -1.00 4 193 2.7376 0.9272 0.001248
1085.00 C 20260731 -1.00 -1.00 1 104 2.6352 0.9273 0.001296
1090.00 C 20260731 -1.00 -1.00 4 155 2.5554 0.9254 0.001362
1095.00 C 20260731 -1.00 -1.00 3 114 4.8137 0.7871 0.001508
1100.00 C 20260731 -1.00 -1.00 330 1634 2.6613 0.8993 0.001635
1105.00 C 20260731 -1.00 -1.00 1 129 3.5745 0.8257 0.001777
1110.00 C 20260731 -1.00 -1.00 17 185 2.3569 0.9057 0.001755
1115.00 C 20260731 -1.00 -1.00 2 185 2.7507 0.8636 0.001973
1120.00 C 20260731 -1.00 -1.00 8 307 2.6812 0.8575 0.002079
1125.00 C 20260731 -1.00 -1.00 3 135 2.3992 0.8726 0.002173
1130.00 C 20260731 -1.00 -1.00 10 103 2.9781 0.8104 0.002257
1135.00 C 20260731 -1.00 -1.00 165 65 2.9375 0.8016 0.002361
1140.00 C 20260731 -1.00 -1.00 142 135 2.8106 0.7981 0.002496
1145.00 C 20260731 -1.00 -1.00 234 158 5.0874 0.6892 0.001733
1150.00 C 20260731 -1.00 -1.00 96 849 2.1420 0.8263 0.002955
1155.00 C 20260731 -1.00 -1.00 193 130 2.1705 0.8079 0.003119
1160.00 C 20260731 -1.00 -1.00 81 97 2.1179 0.7972 0.003318
1165.00 C 20260731 -1.00 -1.00 16 35 2.1084 0.7822 0.003504
1170.00 C 20260731 -1.00 -1.00 101 206 2.6604 0.7179 0.003137
1175.00 C 20260731 -1.00 -1.00 19 83 2.1072 0.7416 0.003794
1180.00 C 20260731 -1.00 -1.00 18 131 1.9720 0.7331 0.004117
1185.00 C 20260731 -1.00 -1.00 6 29 2.4177 0.6809 0.003680
1190.00 C 20260731 -1.00 -1.00 10 149 2.0233 0.6857 0.004358
1195.00 C 20260731 -1.00 -1.00 4 66 2.5960 0.6357 0.003600
1200.00 C 20260731 -1.00 -1.00 849 1802 2.0961 0.6373 0.004459
1205.00 C 20260731 -1.00 -1.00 371 156 2.0800 0.6147 0.004553
1210.00 C 20260731 -1.00 -1.00 17 131 2.0547 0.5920 0.004670
1215.00 C 20260731 -1.00 -1.00 12 129 2.2256 0.5652 0.004378
1220.00 C 20260731 -1.00 -1.00 42 456 3.0425 0.5410 0.003252
1225.00 C 20260731 -1.00 -1.00 39 117 2.0350 0.5208 0.004907
1230.00 C 20260731 -1.00 -1.00 149 259 3.0064 0.5087 0.003319
1235.00 C 20260731 -1.00 -1.00 132 122 2.0048 0.4725 0.004923
1240.00 C 20260731 -1.00 -1.00 134 220 2.2622 0.4576 0.004337
1245.00 C 20260731 -1.00 -1.00 62 126 1.9801 0.4232 0.004890
1250.00 C 20260731 -1.00 -1.00 1373 765 2.0400 0.4027 0.004708
1255.00 C 20260731 -1.00 -1.00 144 239 1.9893 0.3753 0.004775
1260.00 C 20260731 -1.00 -1.00 186 333 2.1434 0.3645 0.004396
1265.00 C 20260731 -1.00 -1.00 92 217 2.0563 0.3381 0.004416
1270.00 C 20260731 -1.00 -1.00 309 182 3.4166 0.4006 0.002815
1275.00 C 20260731 -1.00 -1.00 175 241 2.0742 0.2995 0.004135
1280.00 C 20260731 -1.00 -1.00 1531 282 2.0745 0.2795 0.004009
1285.00 C 20260731 -1.00 -1.00 74 246 2.0851 0.2607 0.003871
1290.00 C 20260731 -1.00 -1.00 202 183 2.9350 0.3205 0.003013
1295.00 C 20260731 -1.00 -1.00 69 158 2.0163 0.2179 0.003626
1300.00 C 20260731 -1.00 -1.00 2381 1833 3.3039 0.3182 0.002667
1305.00 C 20260731 -1.00 -1.00 86 161 2.3235 0.2214 0.003179
1310.00 C 20260731 -1.00 -1.00 118 701 2.8881 0.2600 0.002796
1315.00 C 20260731 -1.00 -1.00 226 1317 2.1365 0.1720 0.002943
1320.00 C 20260731 -1.00 -1.00 200 201 2.3470 0.1837 0.002790
1325.00 C 20260731 -1.00 -1.00 77 237 2.9178 0.2262 0.002564
1330.00 C 20260731 -1.00 -1.00 277 215 2.3744 0.1605 0.002541
1335.00 C 20260731 -1.00 -1.00 131 108 2.3392 0.1427 0.002411
1340.00 C 20260731 -1.00 -1.00 168 117 2.2616 0.1259 0.002267
1345.00 C 20260731 -1.00 -1.00 107 129 2.5742 0.1470 0.002229
1350.00 C 20260731 -1.00 -1.00 1993 1757 2.1343 0.0932 0.001920
1355.00 C 20260731 -1.00 -1.00 78 274 2.6591 0.1365 0.002051
1360.00 C 20260731 -1.00 -1.00 338 320 3.0358 0.1639 0.002014
1365.00 C 20260731 -1.00 -1.00 198 168 2.3006 0.0849 0.001668
1370.00 C 20260731 -1.00 -1.00 483 295 2.6316 0.1109 0.001768
1375.00 C 20260731 -1.00 -1.00 252 129 2.6007 0.1001 0.001660
1380.00 C 20260731 -1.00 -1.00 596 379 2.3117 0.0654 0.001363
1385.00 C 20260731 -1.00 -1.00 147 88 2.3576 0.0637 0.001308
1390.00 C 20260731 -1.00 -1.00 266 1011 2.2117 0.0470 0.001087
1395.00 C 20260731 -1.00 -1.00 250 262 2.2239 0.0427 0.001003
1400.00 C 20260731 -1.00 -1.00 3737 6568 2.4997 0.0595 0.001165
1405.00 C 20260731 -1.00 -1.00 138 151 2.8650 0.0811 0.001300
1410.00 C 20260731 -1.00 -1.00 389 364 2.2912 0.0332 0.000804
1415.00 C 20260731 -1.00 -1.00 48 102 2.3348 0.0327 0.000777
1420.00 C 20260731 -1.00 -1.00 244 365 2.2111 0.0243 0.000631
1425.00 C 20260731 -1.00 -1.00 186 250 2.7741 0.0562 0.001002
1430.00 C 20260731 -1.00 -1.00 107 298 2.5629 0.0366 0.000772
1435.00 C 20260731 -1.00 -1.00 38 137 2.8293 0.0516 0.000916
1440.00 C 20260731 -1.00 -1.00 196 248 2.6060 0.0324 0.000690
1445.00 C 20260731 -1.00 -1.00 39 151 2.8177 0.0426 0.000791
1450.00 C 20260731 -1.00 -1.00 1492 1818 2.4816 0.0225 0.000526
