# opt_chain SPX | epoch 1785526273 | 2026-07-31 15:31:13 | spot 7486.75 | exps 20260731 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 924 | band 0.1800 vencimientos 16 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
6590.00 C 20260821 -1.00 -1.00 0 13 0.2746 0.9780 0.000100
6590.00 P 20260821 -1.00 -1.00 4 639 0.2720 -0.0218 0.000100
6600.00 C 20260821 -1.00 -1.00 0 3277 0.2732 0.9774 0.000100
6600.00 P 20260821 -1.00 -1.00 552 13202 0.2698 -0.0223 0.000100
6610.00 C 20260821 -1.00 -1.00 0 174 0.2707 0.9769 0.000100
6610.00 P 20260821 -1.00 -1.00 2 598 0.2681 -0.0228 0.000100
6620.00 C 20260821 -1.00 -1.00 0 10 0.2686 0.9764 0.000100
6620.00 P 20260821 -1.00 -1.00 0 617 0.2664 -0.0234 0.000100
6625.00 C 20260821 -1.00 -1.00 0 370 0.2686 0.9761 0.000100
6625.00 P 20260821 -1.00 -1.00 1 2393 0.2651 -0.0236 0.000100
6630.00 C 20260821 -1.00 -1.00 0 17 0.2666 0.9758 0.000100
6630.00 P 20260821 -1.00 -1.00 0 577 0.2642 -0.0239 0.000100
6640.00 C 20260821 -1.00 -1.00 0 25 0.2646 0.9752 0.000100
6640.00 P 20260821 -1.00 -1.00 0 817 0.2624 -0.0245 0.000100
6650.00 C 20260821 -1.00 -1.00 0 1305 0.2625 0.9746 0.000100
6650.00 P 20260821 -1.00 -1.00 0 8114 0.2607 -0.0251 0.000100
6660.00 C 20260821 -1.00 -1.00 0 19 0.2618 0.9740 0.000100
6660.00 P 20260821 -1.00 -1.00 0 552 0.2589 -0.0257 0.000100
6670.00 C 20260821 -1.00 -1.00 0 343 0.2592 0.9734 0.000100
6670.00 P 20260821 -1.00 -1.00 0 2736 0.2570 -0.0264 0.000100
6675.00 C 20260821 -1.00 -1.00 0 1333 0.2591 0.9730 0.000100
6675.00 P 20260821 -1.00 -1.00 1 3456 0.2560 -0.0267 0.000100
6680.00 C 20260821 -1.00 -1.00 0 31 0.2571 0.9727 0.000100
6680.00 P 20260821 -1.00 -1.00 49 761 0.2551 -0.0270 0.000100
6690.00 C 20260821 -1.00 -1.00 0 25 0.2554 0.9720 0.000100
6690.00 P 20260821 -1.00 -1.00 0 531 0.2532 -0.0277 0.000100
6695.00 C 20260821 -1.00 -1.00 0 3 0.2543 0.9716 0.000100
6695.00 P 20260821 -1.00 -1.00 0 138 0.2523 -0.0281 0.000100
6700.00 C 20260821 -1.00 -1.00 0 2318 0.2536 0.9713 0.000100
6700.00 P 20260821 -1.00 -1.00 128 20014 0.2514 -0.0284 0.000100
6705.00 C 20260821 -1.00 -1.00 0 1 0.2526 0.9709 0.000100
