# opt_chain SPY | epoch 1785516839 | 2026-07-31 12:53:59 | spot 744.72 | exps 20260731 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 116 | band 0.1800 vencimientos 12 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
656.00 C 20260731 -1.00 -1.00 8 132 1.5600 0.9984 0.000156
657.00 C 20260731 -1.00 -1.00 8 182 1.5106 0.9988 0.000123
658.00 C 20260731 -1.00 -1.00 13 80 1.4928 0.9988 0.000126
659.00 C 20260731 -1.00 -1.00 9 197 2.3566 0.9706 0.001356
660.00 C 20260731 -1.00 -1.00 10 434 1.5834 0.9970 0.000266
661.00 C 20260731 -1.00 -1.00 9 289 1.5027 0.9978 0.000209
662.00 C 20260731 -1.00 -1.00 13 162 1.4220 0.9987 0.000136
663.00 C 20260731 -1.00 -1.00 9 160 1.4359 0.9983 0.000180
664.00 C 20260731 -1.00 -1.00 10 327 1.3868 0.9987 0.000142
665.00 C 20260731 -1.00 -1.00 16 567 1.4634 0.9973 0.000263
666.00 C 20260731 -1.00 -1.00 15 253 1.4772 0.9969 0.000303
667.00 C 20260731 -1.00 -1.00 12 468 1.4596 0.9968 0.000309
668.00 C 20260731 -1.00 -1.00 14 39 1.6652 0.9906 0.000715
669.00 C 20260731 -1.00 -1.00 8 167 1.3305 0.9981 0.000206
670.00 C 20260731 -1.00 -1.00 15 808 1.2818 0.9986 0.000161
671.00 C 20260731 -1.00 -1.00 12 148 1.2956 0.9981 0.000215
672.00 C 20260731 -1.00 -1.00 12 68 2.0245 0.9664 0.001751
673.00 C 20260731 -1.00 -1.00 15 267 0.0001 1.0000 -0.000000
674.00 C 20260731 -1.00 -1.00 12 382 1.9737 0.9656 0.001827
675.00 C 20260731 -1.00 -1.00 22 638 -1.0000 -1.0000 -1.000000
676.00 C 20260731 -1.00 -1.00 21 87 0.0001 1.0000 -0.000000
677.00 C 20260731 -1.00 -1.00 22 44 -1.0000 -1.0000 -1.000000
678.00 C 20260731 -1.00 -1.00 23 133 1.8748 0.9638 0.002002
679.00 C 20260731 -1.00 -1.00 28 268 -1.0000 -1.0000 -1.000000
680.00 C 20260731 -1.00 -1.00 27 614 1.0533 0.9991 0.000132
681.00 C 20260731 -1.00 -1.00 14 486 1.8040 0.9621 0.002160
682.00 C 20260731 -1.00 -1.00 15 390 1.7789 0.9616 0.002212
