# opt_chain TSM | epoch 1785522475 | 2026-07-31 14:27:55 | spot 405.78 | exps 20260731 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 114 | band 0.4050 vencimientos 4 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
300.00 C 20260731 -1.00 -1.00 3 38 6.2602 0.9780 0.000828
305.00 C 20260731 -1.00 -1.00 3 13 6.0851 0.9755 0.000938
310.00 C 20260731 -1.00 -1.00 16 23 5.9827 0.9700 0.001123
315.00 C 20260731 -1.00 -1.00 16 34 5.3612 0.9755 0.001064
320.00 C 20260731 -1.00 -1.00 1 757 5.1960 0.9717 0.001237
322.50 C 20260731 -1.00 -1.00 -1 0 4.9010 0.9744 0.001208
325.00 C 20260731 -1.00 -1.00 2 90 4.8927 0.9702 0.001369
327.50 C 20260731 -1.00 -1.00 -1 0 4.4752 0.9760 0.001251
330.00 C 20260731 -1.00 -1.00 1 85 4.4515 0.9733 0.001384
332.50 C 20260731 -1.00 -1.00 -1 0 4.1623 0.9756 0.001361
335.00 C 20260731 -1.00 -1.00 1 22 3.7695 0.9808 0.001214
337.50 C 20260731 -1.00 -1.00 -1 0 4.2072 0.9636 0.001862
340.00 C 20260731 -1.00 -1.00 1 44 3.8787 0.9699 0.001744
342.50 C 20260731 -1.00 -1.00 2 1 3.9192 0.9613 0.002104
345.00 C 20260731 -1.00 -1.00 10 77 3.6203 0.9666 0.002022
347.50 C 20260731 -1.00 -1.00 -1 0 3.4016 0.9692 0.002025
350.00 C 20260731 -1.00 -1.00 205 611 3.1813 0.9721 0.002008
352.50 C 20260731 -1.00 -1.00 8 3 3.2010 0.9629 0.002491
355.00 C 20260731 -1.00 -1.00 2 25 3.0632 0.9614 0.002685
357.50 C 20260731 -1.00 -1.00 22 26 3.0544 0.9531 0.003155
360.00 C 20260731 -1.00 -1.00 10 91 2.8671 0.9538 0.003319
362.50 C 20260731 -1.00 -1.00 3 27 2.6302 0.9577 0.003367
365.00 C 20260731 -1.00 -1.00 1 134 2.6231 0.9480 0.004003
367.50 C 20260731 -1.00 -1.00 1 213 2.2877 0.9586 0.003802
370.00 C 20260731 -1.00 -1.00 105 276 2.1307 0.9583 0.004109
372.50 C 20260731 -1.00 -1.00 1 16 2.2256 0.9395 0.005361
375.00 C 20260731 -1.00 -1.00 5 100 1.9950 0.9432 0.005671
377.50 C 20260731 -1.00 -1.00 2 91 1.8157 0.9436 0.006192
