# opt_chain XSP | epoch 1785509397 | 2026-07-31 10:49:57 | spot 742.76 | exps 20260731 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 924 | band 0.1800 vencimientos 16 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
654.00 C 20260731 -1.00 -1.00 0 0 2.1024 1.0000 0.000000
654.00 P 20260731 -1.00 -1.00 0 12 1.6960 0.0000 0.000000
655.00 C 20260731 -1.00 -1.00 0 2 -1.0000 1.0000 0.000000
655.00 P 20260731 -1.00 -1.00 1 167 1.6773 0.0000 0.000000
656.00 C 20260731 -1.00 -1.00 0 2 -1.0000 1.0000 0.000000
656.00 P 20260731 -1.00 -1.00 0 12 1.6585 0.0000 0.000000
657.00 C 20260731 -1.00 -1.00 0 2 1.9750 1.0000 0.000000
657.00 P 20260731 -1.00 -1.00 0 8 1.6398 0.0000 0.000000
658.00 C 20260731 -1.00 -1.00 0 1 -1.0000 1.0000 0.000000
658.00 P 20260731 -1.00 -1.00 0 71 1.6211 0.0000 0.000000
659.00 C 20260731 -1.00 -1.00 0 4 1.9902 1.0000 0.000000
659.00 P 20260731 -1.00 -1.00 0 40 1.6023 0.0000 0.000000
660.00 C 20260731 -1.00 -1.00 1 39 2.3743 1.0000 0.000000
660.00 P 20260731 -1.00 -1.00 0 1304 1.5836 0.0000 0.000000
661.00 C 20260731 -1.00 -1.00 0 0 1.9454 1.0000 0.000000
661.00 P 20260731 -1.00 -1.00 0 10 1.5650 0.0000 0.000000
662.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
662.00 P 20260731 -1.00 -1.00 1 5 1.4619 0.0000 0.000000
663.00 C 20260731 -1.00 -1.00 0 1 -1.0000 1.0000 0.000000
663.00 P 20260731 -1.00 -1.00 0 12 1.5276 0.0000 0.000000
664.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
664.00 P 20260731 -1.00 -1.00 0 15 1.5090 0.0000 0.000000
665.00 C 20260731 -1.00 -1.00 0 45 -1.0000 1.0000 0.000000
665.00 P 20260731 -1.00 -1.00 1 39 1.4903 0.0000 0.000000
666.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
666.00 P 20260731 -1.00 -1.00 0 27 1.4717 0.0000 0.000000
667.00 C 20260731 -1.00 -1.00 0 1 1.8112 1.0000 0.000000
667.00 P 20260731 -1.00 -1.00 0 17 1.4531 0.0000 0.000000
668.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
668.00 P 20260731 -1.00 -1.00 0 13 1.4345 0.0000 0.000000
669.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
669.00 P 20260731 -1.00 -1.00 0 15 1.4159 0.0000 0.000000
670.00 C 20260731 -1.00 -1.00 0 26 -1.0000 1.0000 0.000000
670.00 P 20260731 -1.00 -1.00 0 784 1.3974 0.0000 0.000000
671.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
671.00 P 20260731 -1.00 -1.00 0 15 1.3788 0.0000 0.000000
672.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
672.00 P 20260731 -1.00 -1.00 0 19 1.3602 0.0000 0.000000
673.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
673.00 P 20260731 -1.00 -1.00 0 3 1.3417 0.0000 0.000000
674.00 C 20260731 -1.00 -1.00 0 7 -1.0000 1.0000 0.000000
674.00 P 20260731 -1.00 -1.00 0 123 1.3231 0.0000 0.000000
675.00 C 20260731 -1.00 -1.00 0 44 -1.0000 1.0000 0.000000
675.00 P 20260731 -1.00 -1.00 0 57 1.3046 0.0000 0.000000
676.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
676.00 P 20260731 -1.00 -1.00 0 31 1.2861 0.0000 0.000000
677.00 C 20260731 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
