# opt_chain NDX | epoch 1785702104 | 2026-08-02 16:21:44 | spot 28274.20 | exps 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 173194 | band 0.1800 vencimientos 15 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
24900.00 C 20260821 -1.00 -1.00 0 0 0.3428 0.9512 0.000000
24900.00 P 20260821 -1.00 -1.00 13 141 0.3332 -0.0482 0.000000
25000.00 C 20260821 -1.00 -1.00 0 13 0.3275 0.9479 0.000000
25000.00 P 20260821 -1.00 -1.00 15 47 0.3285 -0.0515 0.000000
25100.00 C 20260821 -1.00 -1.00 0 4 0.3235 0.9443 0.000000
25100.00 P 20260821 -1.00 -1.00 2 69 0.3246 -0.0550 0.000000
25200.00 C 20260821 -1.00 -1.00 0 4 0.3198 0.9405 0.000000
25200.00 P 20260821 -1.00 -1.00 0 13 0.3202 -0.0589 0.000000
25300.00 C 20260821 -1.00 -1.00 0 0 0.3164 0.9363 0.000100
25300.00 P 20260821 -1.00 -1.00 10 9 0.3162 -0.0631 0.000100
25400.00 C 20260821 -1.00 -1.00 0 1 0.3127 0.9318 0.000100
25400.00 P 20260821 -1.00 -1.00 0 63 0.3130 -0.0676 0.000100
25500.00 C 20260821 -1.00 -1.00 0 10 0.3090 0.9269 0.000100
25500.00 P 20260821 -1.00 -1.00 324 435 0.3094 -0.0725 0.000100
25600.00 C 20260821 -1.00 -1.00 0 1 0.3057 0.9216 0.000100
25600.00 P 20260821 -1.00 -1.00 6 121 0.3057 -0.0778 0.000100
25700.00 C 20260821 -1.00 -1.00 0 0 0.3028 0.9159 0.000100
25700.00 P 20260821 -1.00 -1.00 0 5 0.3018 -0.0835 0.000100
25800.00 C 20260821 -1.00 -1.00 0 5 0.2993 0.9097 0.000100
25800.00 P 20260821 -1.00 -1.00 1 39 0.2983 -0.0897 0.000100
25900.00 C 20260821 -1.00 -1.00 0 0 0.2960 0.9030 0.000100
25900.00 P 20260821 -1.00 -1.00 0 5 0.2944 -0.0964 0.000100
26000.00 C 20260821 -1.00 -1.00 0 25 0.2992 0.8958 0.000100
26000.00 P 20260821 -1.00 -1.00 9 266 0.2907 -0.1036 0.000100
26100.00 C 20260821 -1.00 -1.00 0 0 0.2953 0.8880 0.000100
26100.00 P 20260821 -1.00 -1.00 1 36 0.2871 -0.1114 0.000100
26200.00 C 20260821 -1.00 -1.00 0 19 0.2914 0.8796 0.000100
26200.00 P 20260821 -1.00 -1.00 5 195 0.2841 -0.1197 0.000100
26250.00 C 20260821 -1.00 -1.00 0 0 0.2895 0.8752 0.000100
26250.00 P 20260821 -1.00 -1.00 1 1 0.2822 -0.1242 0.000100
26300.00 C 20260821 -1.00 -1.00 0 1 0.2876 0.8706 0.000100
26300.00 P 20260821 -1.00 -1.00 3 5 0.2803 -0.1288 0.000100
26350.00 C 20260821 -1.00 -1.00 0 0 0.2858 0.8658 0.000100
26350.00 P 20260821 -1.00 -1.00 0 0 0.2785 -0.1335 0.000100
26400.00 C 20260821 -1.00 -1.00 0 5 0.2840 0.8609 0.000100
26400.00 P 20260821 -1.00 -1.00 8 135 0.2770 -0.1385 0.000100
26450.00 C 20260821 -1.00 -1.00 0 0 0.2821 0.8558 0.000100
26450.00 P 20260821 -1.00 -1.00 55 0 0.2753 -0.1436 0.000100
26500.00 C 20260821 -1.00 -1.00 0 4 0.2803 0.8504 0.000100
26500.00 P 20260821 -1.00 -1.00 17 151 0.2738 -0.1489 0.000100
26550.00 C 20260821 -1.00 -1.00 0 0 0.2786 0.8450 0.000100
26550.00 P 20260821 -1.00 -1.00 0 2 0.2726 -0.1544 0.000100
26600.00 C 20260821 -1.00 -1.00 0 4 0.2768 0.8393 0.000100
26600.00 P 20260821 -1.00 -1.00 17 70 0.2707 -0.1601 0.000100
26650.00 C 20260821 -1.00 -1.00 0 0 0.2752 0.8334 0.000100
26650.00 P 20260821 -1.00 -1.00 0 1 0.2692 -0.1660 0.000100
26700.00 C 20260821 -1.00 -1.00 0 0 0.2735 0.8273 0.000100
26700.00 P 20260821 -1.00 -1.00 5 54 0.2676 -0.1721 0.000100
26750.00 C 20260821 -1.00 -1.00 0 1 0.2718 0.8210 0.000100
26750.00 P 20260821 -1.00 -1.00 1 8 0.2662 -0.1784 0.000100
26775.00 C 20260821 -1.00 -1.00 0 0 0.2710 0.8177 0.000100
26775.00 P 20260821 -1.00 -1.00 0 0 0.2654 -0.1816 0.000100
26800.00 C 20260821 -1.00 -1.00 0 10 0.2702 0.8144 0.000100
26800.00 P 20260821 -1.00 -1.00 130 388 0.2645 -0.1849 0.000100
26825.00 C 20260821 -1.00 -1.00 0 0 0.2694 0.8111 0.000100
26825.00 P 20260821 -1.00 -1.00 0 0 0.2639 -0.1882 0.000100
26850.00 C 20260821 -1.00 -1.00 0 1 0.2685 0.8077 0.000100
26850.00 P 20260821 -1.00 -1.00 0 3 0.2632 -0.1916 0.000100
26875.00 C 20260821 -1.00 -1.00 0 0 0.2677 0.8043 0.000200
26875.00 P 20260821 -1.00 -1.00 0 0 0.2624 -0.1951 0.000200
26900.00 C 20260821 -1.00 -1.00 0 1 0.2669 0.8008 0.000200
26900.00 P 20260821 -1.00 -1.00 1 180 0.2615 -0.1986 0.000200
26925.00 C 20260821 -1.00 -1.00 0 0 0.2661 0.7972 0.000200
26925.00 P 20260821 -1.00 -1.00 0 0 0.2609 -0.2021 0.000200
26950.00 C 20260821 -1.00 -1.00 1 2 0.2653 0.7936 0.000200
26950.00 P 20260821 -1.00 -1.00 2 2 0.2601 -0.2058 0.000200
26975.00 C 20260821 -1.00 -1.00 0 0 0.2645 0.7899 0.000200
26975.00 P 20260821 -1.00 -1.00 0 0 0.2594 -0.2094 0.000200
27000.00 C 20260821 -1.00 -1.00 2 14 0.2637 0.7862 0.000200
27000.00 P 20260821 -1.00 -1.00 6 240 0.2585 -0.2132 0.000200
27025.00 C 20260821 -1.00 -1.00 0 0 0.2630 0.7824 0.000200
27025.00 P 20260821 -1.00 -1.00 0 0 0.2578 -0.2169 0.000200
27050.00 C 20260821 -1.00 -1.00 0 1 0.2622 0.7786 0.000200
27050.00 P 20260821 -1.00 -1.00 0 4 0.2570 -0.2208 0.000200
27075.00 C 20260821 -1.00 -1.00 0 0 0.2614 0.7747 0.000200
27075.00 P 20260821 -1.00 -1.00 0 0 0.2563 -0.2247 0.000200
27100.00 C 20260821 -1.00 -1.00 0 2 0.2607 0.7707 0.000200
27100.00 P 20260821 -1.00 -1.00 1 25 0.2555 -0.2286 0.000200
27125.00 C 20260821 -1.00 -1.00 0 1 0.2599 0.7667 0.000200
27125.00 P 20260821 -1.00 -1.00 0 0 0.2547 -0.2326 0.000200
27150.00 C 20260821 -1.00 -1.00 0 0 0.2592 0.7627 0.000200
27150.00 P 20260821 -1.00 -1.00 1 6 0.2541 -0.2367 0.000200
27175.00 C 20260821 -1.00 -1.00 0 0 0.2584 0.7585 0.000200
27175.00 P 20260821 -1.00 -1.00 0 0 0.2533 -0.2408 0.000200
27200.00 C 20260821 -1.00 -1.00 1 2 0.2576 0.7544 0.000200
27200.00 P 20260821 -1.00 -1.00 0 32 0.2526 -0.2450 0.000200
27225.00 C 20260821 -1.00 -1.00 0 0 0.2569 0.7501 0.000200
27225.00 P 20260821 -1.00 -1.00 0 2 0.2519 -0.2492 0.000200
27250.00 C 20260821 -1.00 -1.00 0 2 0.2561 0.7458 0.000200
27250.00 P 20260821 -1.00 -1.00 0 5 0.2511 -0.2536 0.000200
27275.00 C 20260821 -1.00 -1.00 0 2 0.2554 0.7414 0.000200
27275.00 P 20260821 -1.00 -1.00 0 0 0.2505 -0.2579 0.000200
27300.00 C 20260821 -1.00 -1.00 0 0 0.2546 0.7370 0.000200
27300.00 P 20260821 -1.00 -1.00 1 15 0.2499 -0.2623 0.000200
27325.00 C 20260821 -1.00 -1.00 0 1 0.2539 0.7325 0.000200
27325.00 P 20260821 -1.00 -1.00 0 0 0.2496 -0.2668 0.000200
27350.00 C 20260821 -1.00 -1.00 0 4 0.2531 0.7280 0.000200
27350.00 P 20260821 -1.00 -1.00 0 13 0.2487 -0.2713 0.000200
27375.00 C 20260821 -1.00 -1.00 0 1 0.2524 0.7234 0.000200
27375.00 P 20260821 -1.00 -1.00 0 4 0.2481 -0.2759 0.000200
27400.00 C 20260821 -1.00 -1.00 0 13 0.2518 0.7188 0.000200
27400.00 P 20260821 -1.00 -1.00 1 242 0.2474 -0.2806 0.000200
27425.00 C 20260821 -1.00 -1.00 0 4 0.2509 0.7140 0.000200
27425.00 P 20260821 -1.00 -1.00 0 0 0.2466 -0.2853 0.000200
27450.00 C 20260821 -1.00 -1.00 0 2 0.2502 0.7093 0.000200
27450.00 P 20260821 -1.00 -1.00 0 11 0.2460 -0.2901 0.000200
27475.00 C 20260821 -1.00 -1.00 0 2 0.2494 0.7044 0.000200
27475.00 P 20260821 -1.00 -1.00 0 0 0.2453 -0.2949 0.000200
27500.00 C 20260821 -1.00 -1.00 0 37 0.2478 0.6996 0.000200
27500.00 P 20260821 -1.00 -1.00 361 400 0.2446 -0.2998 0.000200
27525.00 C 20260821 -1.00 -1.00 0 2 0.2480 0.6946 0.000200
27525.00 P 20260821 -1.00 -1.00 0 2 0.2438 -0.3047 0.000200
27550.00 C 20260821 -1.00 -1.00 0 8 0.2467 0.6896 0.000200
27550.00 P 20260821 -1.00 -1.00 0 8 0.2431 -0.3097 0.000200
27575.00 C 20260821 -1.00 -1.00 0 2 0.2466 0.6846 0.000200
27575.00 P 20260821 -1.00 -1.00 0 1 0.2424 -0.3148 0.000200
27600.00 C 20260821 -1.00 -1.00 0 25 0.2451 0.6794 0.000200
27600.00 P 20260821 -1.00 -1.00 29 54 0.2418 -0.3199 0.000200
27625.00 C 20260821 -1.00 -1.00 0 4 0.2451 0.6742 0.000200
27625.00 P 20260821 -1.00 -1.00 0 0 0.2411 -0.3251 0.000200
27650.00 C 20260821 -1.00 -1.00 0 3 0.2439 0.6690 0.000200
27650.00 P 20260821 -1.00 -1.00 1 2 0.2404 -0.3303 0.000200
27675.00 C 20260821 -1.00 -1.00 0 2 0.2437 0.6637 0.000200
27675.00 P 20260821 -1.00 -1.00 0 1 0.2396 -0.3356 0.000200
27700.00 C 20260821 -1.00 -1.00 0 6 0.2421 0.6584 0.000200
27700.00 P 20260821 -1.00 -1.00 33 152 0.2390 -0.3410 0.000200
27725.00 C 20260821 -1.00 -1.00 0 2 0.2422 0.6530 0.000200
27725.00 P 20260821 -1.00 -1.00 0 3 0.2383 -0.3464 0.000200
27750.00 C 20260821 -1.00 -1.00 0 3 0.2404 0.6475 0.000200
27750.00 P 20260821 -1.00 -1.00 4 3 0.2376 -0.3519 0.000200
27775.00 C 20260821 -1.00 -1.00 0 0 0.2408 0.6420 0.000200
27775.00 P 20260821 -1.00 -1.00 0 21 0.2369 -0.3574 0.000200
27800.00 C 20260821 -1.00 -1.00 1 18 0.2393 0.6364 0.000200
27800.00 P 20260821 -1.00 -1.00 6 97 0.2363 -0.3630 0.000200
27825.00 C 20260821 -1.00 -1.00 0 0 0.2394 0.6308 0.000200
27825.00 P 20260821 -1.00 -1.00 0 0 0.2355 -0.3686 0.000200
27850.00 C 20260821 -1.00 -1.00 0 13 0.2378 0.6250 0.000200
27850.00 P 20260821 -1.00 -1.00 0 29 0.2348 -0.3743 0.000200
27875.00 C 20260821 -1.00 -1.00 0 0 0.2379 0.6193 0.000200
27875.00 P 20260821 -1.00 -1.00 0 0 0.2341 -0.3800 0.000200
27900.00 C 20260821 -1.00 -1.00 1 11 0.2365 0.6135 0.000200
27900.00 P 20260821 -1.00 -1.00 1 27 0.2334 -0.3859 0.000200
27925.00 C 20260821 -1.00 -1.00 0 5 0.2330 0.6076 0.000200
27925.00 P 20260821 -1.00 -1.00 0 0 0.2328 -0.3917 0.000200
27950.00 C 20260821 -1.00 -1.00 0 5 0.2362 0.6018 0.000200
27950.00 P 20260821 -1.00 -1.00 3 18 0.2322 -0.3976 0.000200
27975.00 C 20260821 -1.00 -1.00 0 1 0.2353 0.5958 0.000200
27975.00 P 20260821 -1.00 -1.00 0 2 0.2314 -0.4036 0.000200
28000.00 C 20260821 -1.00 -1.00 0 132 0.2348 0.5898 0.000200
28000.00 P 20260821 -1.00 -1.00 6 708 0.2307 -0.4096 0.000200
