# opt_chain AVGO | epoch 1785787773 | 2026-08-03 16:09:33 | spot 390.91 | spot_src intrinio_quote | spot_age 905 | exps 20260803 20260805
# fuente polygon | band 0.1500 | max_strikes 127 | narrow 0 | vencimientos 2 | rows 127 | greeks_ok_pct 0.8268 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
332.50 C 20260803 -1.00 -1.00 36 0 4.4369 0.9645 0.002154
335.00 C 20260803 -1.00 -1.00 1 0 4.3583 0.9597 0.002429
337.50 C 20260803 -1.00 -1.00 3 0 4.1837 0.9582 0.002607
340.00 C 20260803 -1.00 -1.00 14 12 3.1512 0.9853 0.001436
342.50 C 20260803 -1.00 -1.00 5 0 3.8704 0.9536 0.003073
345.00 C 20260803 -1.00 -1.00 2 0 3.6996 0.9516 0.003327
347.50 C 20260803 -1.00 -1.00 5 0 3.5299 0.9495 0.003614
350.00 C 20260803 -1.00 -1.00 8 1 3.2667 0.9515 0.003775
352.50 C 20260803 -1.00 -1.00 2 0 2.9739 0.9555 0.003857
355.00 C 20260803 -1.00 -1.00 5 15 2.8715 0.9498 0.004419
357.50 C 20260803 -1.00 -1.00 29 0 2.7385 0.9453 0.004980
360.00 C 20260803 -1.00 -1.00 28 24 2.6065 0.9403 0.005631
362.50 C 20260803 -1.00 -1.00 19 14 2.3201 0.9443 0.005961
365.00 C 20260803 -1.00 -1.00 34 10 2.1595 0.9405 0.006772
367.50 C 20260803 -1.00 -1.00 1 15 2.0444 0.9318 0.007980
370.00 C 20260803 -1.00 -1.00 54 68 1.7187 0.9411 0.008432
372.50 C 20260803 -1.00 -1.00 37 75 1.6399 0.9249 0.010650
375.00 C 20260803 -1.00 -1.00 229 38 1.1922 0.9543 0.009840
377.50 C 20260803 -1.00 -1.00 658 242 1.2584 0.9105 0.015743
380.00 C 20260803 -1.00 -1.00 3101 324 0.8547 0.9457 0.015819
382.50 C 20260803 -1.00 -1.00 1770 236 0.8996 0.8804 0.027467
385.00 C 20260803 -1.00 -1.00 4412 237 0.6521 0.8733 0.039647
387.50 C 20260803 -1.00 -1.00 3002 380 0.3018 0.9210 0.060006
390.00 C 20260803 -1.00 -1.00 11789 715 0.2821 0.6595 0.161840
392.50 C 20260803 -1.00 -1.00 7680 328 0.2476 0.2193 0.148427
395.00 C 20260803 -1.00 -1.00 7022 673 0.2661 0.0294 0.031051
397.50 C 20260803 -1.00 -1.00 1085 202 0.3804 0.0173 0.013704
400.00 C 20260803 -1.00 -1.00 5140 1168 0.5056 0.0135 0.008413
402.50 C 20260803 -1.00 -1.00 1468 443 0.5951 0.0090 0.004942
405.00 C 20260803 -1.00 -1.00 639 563 0.7037 0.0077 0.003631
407.50 C 20260803 -1.00 -1.00 246 196 0.8117 0.0067 0.002802
410.00 C 20260803 -1.00 -1.00 1982 667 0.9190 0.0060 0.002243
412.50 C 20260803 -1.00 -1.00 54 128 1.0528 0.0069 0.002212
415.00 C 20260803 -1.00 -1.00 104 118 1.1317 0.0050 0.001554
417.50 C 20260803 -1.00 -1.00 87 108 1.4531 0.0141 0.003035
420.00 C 20260803 -1.00 -1.00 54 138 1.3687 0.0055 0.001386
422.50 C 20260803 -1.00 -1.00 8 23 1.5263 0.0072 0.001572
425.00 C 20260803 -1.00 -1.00 6 38 2.0714 0.0269 0.003678
427.50 C 20260803 -1.00 -1.00 4 21 1.8656 0.0104 0.001811
430.00 C 20260803 -1.00 -1.00 7 147 2.2459 0.0217 0.002812
432.50 C 20260803 -1.00 -1.00 1 14 2.3495 0.0202 0.002530
435.00 C 20260803 -1.00 -1.00 3 43 2.4524 0.0189 0.002286
437.50 C 20260803 -1.00 -1.00 1 8 2.4531 0.0129 0.001671
440.00 C 20260803 -1.00 -1.00 61 62 2.3157 0.0071 0.001031
442.50 C 20260803 -1.00 -1.00 3 22 2.7915 0.0169 0.001829
445.00 C 20260803 -1.00 -1.00 3 47 2.8248 0.0131 0.001468
447.50 C 20260803 -1.00 -1.00 4 9 3.1150 0.0197 0.001861
332.50 P 20260803 -1.00 -1.00 170 11 3.3915 -0.0092 0.000894
335.00 P 20260803 -1.00 -1.00 564 48 2.6671 -0.0022 0.000313
337.50 P 20260803 -1.00 -1.00 173 58 2.7150 -0.0035 0.000477
340.00 P 20260803 -1.00 -1.00 266 133 2.5155 -0.0031 0.000451
342.50 P 20260803 -1.00 -1.00 120 11 2.5045 -0.0045 0.000635
345.00 P 20260803 -1.00 -1.00 551 1141 2.5246 -0.0077 0.001017
347.50 P 20260803 -1.00 -1.00 32 46 2.3076 -0.0062 0.000922
350.00 P 20260803 -1.00 -1.00 90 553 2.0922 -0.0045 0.000761
352.50 P 20260803 -1.00 -1.00 29 18 2.1724 -0.0096 0.001452
355.00 P 20260803 -1.00 -1.00 256 342 1.7518 -0.0033 0.000694
357.50 P 20260803 -1.00 -1.00 225 142 1.6410 -0.0035 0.000787
360.00 P 20260803 -1.00 -1.00 375 1347 1.5311 -0.0038 0.000899
362.50 P 20260803 -1.00 -1.00 444 196 1.4726 -0.0061 0.001426
365.00 P 20260803 -1.00 -1.00 796 379 1.2935 -0.0044 0.001211
367.50 P 20260803 -1.00 -1.00 1052 691 1.2020 -0.0060 0.001722
370.00 P 20260803 -1.00 -1.00 2795 1337 1.0537 -0.0053 0.001739
372.50 P 20260803 -1.00 -1.00 2230 201 0.9350 -0.0059 0.002153
375.00 P 20260803 -1.00 -1.00 3184 551 0.8457 -0.0084 0.003278
377.50 P 20260803 -1.00 -1.00 4312 2046 0.7001 -0.0076 0.003645
380.00 P 20260803 -1.00 -1.00 2467 426 0.5838 -0.0091 0.005102
382.50 P 20260803 -1.00 -1.00 1661 93 0.4843 -0.0140 0.008985
385.00 P 20260803 -1.00 -1.00 3629 276 0.3781 -0.0251 0.018978
387.50 P 20260803 -1.00 -1.00 2318 134 0.2516 -0.0459 0.046756
390.00 P 20260803 -1.00 -1.00 2085 180 0.2113 -0.2940 0.200707
392.50 P 20260803 -1.00 -1.00 494 58 0.2105 -0.8174 0.155072
395.00 P 20260803 -1.00 -1.00 20 28 -1.0000 -1.0000 -1.000000
397.50 P 20260803 -1.00 -1.00 3 9 -1.0000 -1.0000 -1.000000
400.00 P 20260803 -1.00 -1.00 8 110 -1.0000 -1.0000 -1.000000
402.50 P 20260803 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
405.00 P 20260803 -1.00 -1.00 4 44 -1.0000 -1.0000 -1.000000
407.50 P 20260803 -1.00 -1.00 1 6 -1.0000 -1.0000 -1.000000
410.00 P 20260803 -1.00 -1.00 1 50 -1.0000 -1.0000 -1.000000
412.50 P 20260803 -1.00 -1.00 2 20 -1.0000 -1.0000 -1.000000
415.00 P 20260803 -1.00 -1.00 3 3 -1.0000 -1.0000 -1.000000
417.50 P 20260803 -1.00 -1.00 1 16 -1.0000 -1.0000 -1.000000
420.00 P 20260803 -1.00 -1.00 2 25 -1.0000 -1.0000 -1.000000
422.50 P 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
425.00 P 20260803 -1.00 -1.00 10 10 -1.0000 -1.0000 -1.000000
427.50 P 20260803 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
430.00 P 20260803 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
432.50 P 20260803 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
435.00 P 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
437.50 P 20260803 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
440.00 P 20260803 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
442.50 P 20260803 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
445.00 P 20260803 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
447.50 P 20260803 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
332.50 C 20260805 -1.00 -1.00 0 0 1.2609 0.9579 0.002365
335.00 C 20260805 -1.00 -1.00 0 0 1.2216 0.9554 0.002564
337.50 C 20260805 -1.00 -1.00 11 0 1.1386 0.9584 0.002597
340.00 C 20260805 -1.00 -1.00 2 0 1.1176 0.9532 0.002917
342.50 C 20260805 -1.00 -1.00 0 0 1.0967 0.9478 0.003258
345.00 C 20260805 -1.00 -1.00 0 0 1.0499 0.9456 0.003519
347.50 C 20260805 -1.00 -1.00 25 25 1.0121 0.9421 0.003851
350.00 C 20260805 -1.00 -1.00 2 16 0.9746 0.9384 0.004222
352.50 C 20260805 -1.00 -1.00 0 0 0.9116 0.9381 0.004527
355.00 C 20260805 -1.00 -1.00 1 3 0.8826 0.9298 0.005124
357.50 C 20260805 -1.00 -1.00 0 0 0.8499 0.9208 0.005799
360.00 C 20260805 -1.00 -1.00 43 9 0.8076 0.9138 0.006496
362.50 C 20260805 -1.00 -1.00 13 10 0.7754 0.9033 0.007374
365.00 C 20260805 -1.00 -1.00 5 13 0.7239 0.8973 0.008269
367.50 C 20260805 -1.00 -1.00 2 15 0.5946 0.9168 0.008596
370.00 C 20260805 -1.00 -1.00 5 8 0.5782 0.8973 0.010354
372.50 C 20260805 -1.00 -1.00 31 67 0.6366 0.8453 0.012515
375.00 C 20260805 -1.00 -1.00 95 7 0.5476 0.8450 0.014568
377.50 C 20260805 -1.00 -1.00 99 30 0.5330 0.8100 0.017085
380.00 C 20260805 -1.00 -1.00 510 18 0.5569 0.7553 0.019002
382.50 C 20260805 -1.00 -1.00 143 49 0.5645 0.7008 0.020643
385.00 C 20260805 -1.00 -1.00 349 144 0.5623 0.6493 0.022428
387.50 C 20260805 -1.00 -1.00 235 269 0.5507 0.5922 0.023640
390.00 C 20260805 -1.00 -1.00 1097 474 0.5602 0.5320 0.024003
392.50 C 20260805 -1.00 -1.00 358 73 0.5570 0.4732 0.024063
395.00 C 20260805 -1.00 -1.00 897 89 0.5530 0.4136 0.023652
397.50 C 20260805 -1.00 -1.00 416 104 0.5522 0.3555 0.022899
400.00 C 20260805 -1.00 -1.00 1681 654 0.5490 0.3027 0.021304
402.50 C 20260805 -1.00 -1.00 559 245 0.5567 0.2542 0.019444
405.00 C 20260805 -1.00 -1.00 966 401 0.5547 0.2104 0.017489
407.50 C 20260805 -1.00 -1.00 382 101 0.5554 0.1717 0.015338
410.00 C 20260805 -1.00 -1.00 2189 119 0.5625 0.1370 0.013244
412.50 C 20260805 -1.00 -1.00 151 53 0.5548 0.1084 0.011200
