# opt_chain SPY | epoch 1785787677 | 2026-08-03 16:07:57 | spot 757.84 | spot_src finnhub | spot_age 33 | exps 20260803
# fuente polygon | band 0.1500 | max_strikes 176 | narrow 0 | vencimientos 1 | rows 176 | greeks_ok_pct 0.6250 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
645.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
650.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
655.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
660.00 C 20260803 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
665.00 C 20260803 -1.00 -1.00 2 5 -1.0000 -1.0000 -1.000000
670.00 C 20260803 -1.00 -1.00 12 6 -1.0000 -1.0000 -1.000000
675.00 C 20260803 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
680.00 C 20260803 -1.00 -1.00 13 13 -1.0000 -1.0000 -1.000000
685.00 C 20260803 -1.00 -1.00 6 1 -1.0000 -1.0000 -1.000000
690.00 C 20260803 -1.00 -1.00 15 15 -1.0000 -1.0000 -1.000000
695.00 C 20260803 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
697.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
698.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
699.00 C 20260803 -1.00 -1.00 6 6 -1.0000 -1.0000 -1.000000
700.00 C 20260803 -1.00 -1.00 10 18 -1.0000 -1.0000 -1.000000
701.00 C 20260803 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
702.00 C 20260803 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
703.00 C 20260803 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
704.00 C 20260803 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
705.00 C 20260803 -1.00 -1.00 52 53 -1.0000 -1.0000 -1.000000
706.00 C 20260803 -1.00 -1.00 5 8 -1.0000 -1.0000 -1.000000
707.00 C 20260803 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
708.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
709.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
710.00 C 20260803 -1.00 -1.00 24 29 -1.0000 -1.0000 -1.000000
711.00 C 20260803 -1.00 -1.00 1 12 -1.0000 -1.0000 -1.000000
712.00 C 20260803 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
713.00 C 20260803 -1.00 -1.00 1 13 -1.0000 -1.0000 -1.000000
714.00 C 20260803 -1.00 -1.00 7 4 -1.0000 -1.0000 -1.000000
715.00 C 20260803 -1.00 -1.00 39 56 -1.0000 -1.0000 -1.000000
716.00 C 20260803 -1.00 -1.00 49 52 -1.0000 -1.0000 -1.000000
717.00 C 20260803 -1.00 -1.00 4 5 -1.0000 -1.0000 -1.000000
718.00 C 20260803 -1.00 -1.00 3 8 -1.0000 -1.0000 -1.000000
719.00 C 20260803 -1.00 -1.00 4 9 0.0001 1.0000 0.000000
720.00 C 20260803 -1.00 -1.00 2 23 -1.0000 -1.0000 -1.000000
721.00 C 20260803 -1.00 -1.00 11 10 -1.0000 -1.0000 -1.000000
722.00 C 20260803 -1.00 -1.00 3 74 -1.0000 -1.0000 -1.000000
723.00 C 20260803 -1.00 -1.00 5 81 -1.0000 -1.0000 -1.000000
724.00 C 20260803 -1.00 -1.00 5 25 -1.0000 -1.0000 -1.000000
725.00 C 20260803 -1.00 -1.00 43 176 -1.0000 -1.0000 -1.000000
726.00 C 20260803 -1.00 -1.00 16 105 -1.0000 -1.0000 -1.000000
727.00 C 20260803 -1.00 -1.00 8 58 0.7116 0.9981 0.000525
728.00 C 20260803 -1.00 -1.00 12 308 -1.0000 -1.0000 -1.000000
729.00 C 20260803 -1.00 -1.00 29 117 -1.0000 -1.0000 -1.000000
730.00 C 20260803 -1.00 -1.00 204 1734 -1.0000 -1.0000 -1.000000
