# opt_chain AAPL | epoch 1785766151 | 2026-08-03 10:09:11 | spot 305.89 | exps 20260803 20260805 20260807 20260810 20260812 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 190 | band 0.2700 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
255.00 C 20260803 -1.00 -1.00 4 1 2.7808 0.9806 0.001646
260.00 C 20260803 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
265.00 C 20260803 -1.00 -1.00 4 1 -1.0000 -1.0000 -1.000000
270.00 C 20260803 -1.00 -1.00 68 70 -1.0000 -1.0000 -1.000000
275.00 C 20260803 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
277.50 C 20260803 -1.00 -1.00 6 8 -1.0000 -1.0000 -1.000000
280.00 C 20260803 -1.00 -1.00 147 59 1.6050 0.9617 0.005030
282.50 C 20260803 -1.00 -1.00 22 8 1.7214 0.9353 0.007261
285.00 C 20260803 -1.00 -1.00 137 25 1.3968 0.9497 0.007227
287.50 C 20260803 -1.00 -1.00 38 7 -1.0000 -1.0000 -1.000000
290.00 C 20260803 -1.00 -1.00 1 40 -1.0000 -1.0000 -1.000000
292.50 C 20260803 -1.00 -1.00 26 5 -1.0000 -1.0000 -1.000000
295.00 C 20260803 -1.00 -1.00 6 774 -1.0000 -1.0000 -1.000000
297.50 C 20260803 -1.00 -1.00 19 417 -1.0000 -1.0000 -1.000000
300.00 C 20260803 -1.00 -1.00 295 4315 0.4991 0.9292 0.026711
302.50 C 20260803 -1.00 -1.00 675 3826 0.6317 0.7780 0.046753
305.00 C 20260803 -1.00 -1.00 2391 3675 0.4615 0.6897 0.075002
307.50 C 20260803 -1.00 -1.00 6739 2122 0.4550 0.4871 0.086660
310.00 C 20260803 -1.00 -1.00 9142 6229 0.4623 0.2900 0.072397
312.50 C 20260803 -1.00 -1.00 7439 3180 0.5665 0.1917 0.047081
315.00 C 20260803 -1.00 -1.00 6484 4040 0.5193 0.0765 0.027142
317.50 C 20260803 -1.00 -1.00 3759 2474 0.5590 0.0402 0.015040
320.00 C 20260803 -1.00 -1.00 7650 3522 0.5890 0.0198 0.007864
322.50 C 20260803 -1.00 -1.00 2319 2814 0.5948 0.0073 0.003248
325.00 C 20260803 -1.00 -1.00 1011 2024 0.6794 0.0064 0.002555
327.50 C 20260803 -1.00 -1.00 854 1180 0.7848 0.0073 0.002486
330.00 C 20260803 -1.00 -1.00 379 3331 0.8467 0.0053 0.001730
332.50 C 20260803 -1.00 -1.00 19 1295 0.9718 0.0074 0.002026
335.00 C 20260803 -1.00 -1.00 1150 2543 1.0326 0.0057 0.001522
337.50 C 20260803 -1.00 -1.00 1425 1395 1.2195 0.0104 0.002192
340.00 C 20260803 -1.00 -1.00 59 1771 1.2788 0.0089 0.001815
342.50 C 20260803 -1.00 -1.00 15 1783 1.3377 0.0076 0.001496
345.00 C 20260803 -1.00 -1.00 6 2356 1.3545 0.0045 0.000951
347.50 C 20260803 -1.00 -1.00 185 862 1.4751 0.0060 0.001111
350.00 C 20260803 -1.00 -1.00 309 2270 1.5534 0.0057 0.001014
352.50 C 20260803 -1.00 -1.00 120 818 1.9084 0.0156 0.001995
355.00 C 20260803 -1.00 -1.00 246 1410 2.8661 0.0701 0.004610
357.50 C 20260803 -1.00 -1.00 49 1113 2.7486 0.0544 0.003897
360.00 C 20260803 -1.00 -1.00 60 2015 2.0453 0.0104 0.001305
255.00 P 20260803 -1.00 -1.00 302 303 2.0263 -0.0023 0.000339
260.00 P 20260803 -1.00 -1.00 308 327 1.8344 -0.0025 0.000410
265.00 P 20260803 -1.00 -1.00 62 57 1.7120 -0.0036 0.000606
270.00 P 20260803 -1.00 -1.00 152 119 1.5161 -0.0040 0.000756
275.00 P 20260803 -1.00 -1.00 63 132 1.2803 -0.0036 0.000814
277.50 P 20260803 -1.00 -1.00 226 160 1.2373 -0.0058 0.001287
280.00 P 20260803 -1.00 -1.00 76 1546 1.1150 -0.0052 0.001301
282.50 P 20260803 -1.00 -1.00 73 175 1.0170 -0.0057 0.001535
285.00 P 20260803 -1.00 -1.00 175 3470 0.8967 -0.0049 0.001536
287.50 P 20260803 -1.00 -1.00 179 2255 0.8005 -0.0055 0.001881
290.00 P 20260803 -1.00 -1.00 544 2485 0.7510 -0.0093 0.003225
292.50 P 20260803 -1.00 -1.00 641 7512 0.6750 -0.0122 0.004580
295.00 P 20260803 -1.00 -1.00 2405 2481 0.6658 -0.0296 0.009972
297.50 P 20260803 -1.00 -1.00 2446 3811 0.5398 -0.0335 0.013498
300.00 P 20260803 -1.00 -1.00 6174 6112 0.5721 -0.1026 0.030482
302.50 P 20260803 -1.00 -1.00 6119 1816 0.5709 -0.2015 0.048399
305.00 P 20260803 -1.00 -1.00 9571 1843 0.4603 -0.3100 0.075173
307.50 P 20260803 -1.00 -1.00 5075 763 0.4661 -0.5127 0.084648
310.00 P 20260803 -1.00 -1.00 922 5982 0.4525 -0.7146 0.073504
312.50 P 20260803 -1.00 -1.00 161 521 0.4900 -0.8459 0.047622
315.00 P 20260803 -1.00 -1.00 84 1214 1.1031 -0.7436 0.028739
317.50 P 20260803 -1.00 -1.00 24 247 0.6176 -0.9429 0.018248
320.00 P 20260803 -1.00 -1.00 72 1507 1.0406 -0.8755 0.019432
322.50 P 20260803 -1.00 -1.00 27 765 0.9966 -0.9271 0.013758
325.00 P 20260803 -1.00 -1.00 8 1175 1.0912 -0.9370 0.011160
327.50 P 20260803 -1.00 -1.00 4 560 1.2467 -0.9359 0.009907
330.00 P 20260803 -1.00 -1.00 2 1023 -1.0000 -1.0000 -1.000000
332.50 P 20260803 -1.00 -1.00 13 2917 1.4399 -0.9471 0.007306
335.00 P 20260803 -1.00 -1.00 1893 243 1.5696 -0.9476 0.006642
337.50 P 20260803 -1.00 -1.00 35 12 2.1963 -0.8922 0.008228
340.00 P 20260803 -1.00 -1.00 8 85 -1.0000 -1.0000 -1.000000
342.50 P 20260803 -1.00 -1.00 21 107 1.5923 -0.9786 0.003140
345.00 P 20260803 -1.00 -1.00 219 2 1.7723 -0.9739 0.003347
347.50 P 20260803 -1.00 -1.00 16 8 2.0920 -0.9589 0.004106
350.00 P 20260803 -1.00 -1.00 119 6 -1.0000 -1.0000 -1.000000
352.50 P 20260803 -1.00 -1.00 32 0 3.0362 -0.9037 0.005479
355.00 P 20260803 -1.00 -1.00 23 0 2.2135 -0.9732 0.002732
357.50 P 20260803 -1.00 -1.00 22 0 2.2556 -0.9763 0.002412
360.00 P 20260803 -1.00 -1.00 45 0 2.7059 -0.9571 0.003283
255.00 C 20260805 -1.00 -1.00 -1 0 1.2920 0.9683 0.002217
260.00 C 20260805 -1.00 -1.00 7 8 -1.0000 -1.0000 -1.000000
265.00 C 20260805 -1.00 -1.00 22 1 0.8097 0.9902 0.001298
270.00 C 20260805 -1.00 -1.00 22 2 0.0005 1.0000 0.000000
275.00 C 20260805 -1.00 -1.00 2 1 0.8866 0.9447 0.005094
277.50 C 20260805 -1.00 -1.00 2 1 0.5436 0.9912 0.001754
280.00 C 20260805 -1.00 -1.00 7 9 0.5015 0.9906 0.002015
282.50 C 20260805 -1.00 -1.00 1 2 0.6100 0.9588 0.005793
285.00 C 20260805 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
287.50 C 20260805 -1.00 -1.00 9 10 -1.0000 -1.0000 -1.000000
