# opt_chain AAPL | epoch 1785787094 | 2026-08-03 15:58:14 | spot 303.64 | exps 20260803 20260805 20260807 20260810 20260812 20260814 20260817 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 254 | band 0.2700 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
250.00 C 20260803 -1.00 -1.00 138 1 -1.0000 -1.0000 -1.000000
255.00 C 20260803 -1.00 -1.00 62 1 -1.0000 -1.0000 -1.000000
260.00 C 20260803 -1.00 -1.00 79 1 -1.0000 -1.0000 -1.000000
265.00 C 20260803 -1.00 -1.00 44 1 -1.0000 -1.0000 -1.000000
270.00 C 20260803 -1.00 -1.00 50 70 -1.0000 -1.0000 -1.000000
275.00 C 20260803 -1.00 -1.00 125 1 1.8342 0.9966 0.000856
277.50 C 20260803 -1.00 -1.00 97 8 -1.0000 -1.0000 -1.000000
280.00 C 20260803 -1.00 -1.00 105 59 1.5489 0.9960 0.001170
282.50 C 20260803 -1.00 -1.00 38 8 -1.0000 -1.0000 -1.000000
285.00 C 20260803 -1.00 -1.00 43 25 -1.0000 -1.0000 -1.000000
287.50 C 20260803 -1.00 -1.00 8 7 -1.0000 -1.0000 -1.000000
290.00 C 20260803 -1.00 -1.00 79 40 -1.0000 -1.0000 -1.000000
292.50 C 20260803 -1.00 -1.00 55 5 -1.0000 -1.0000 -1.000000
295.00 C 20260803 -1.00 -1.00 356 774 -1.0000 -1.0000 -1.000000
297.50 C 20260803 -1.00 -1.00 115 417 0.5033 0.9891 0.008817
300.00 C 20260803 -1.00 -1.00 2584 4315 -1.0000 -1.0000 -1.000000
302.50 C 20260803 -1.00 -1.00 21512 3826 -1.0000 -1.0000 -1.000000
305.00 C 20260803 -1.00 -1.00 111559 3675 0.1649 0.4135 0.364580
307.50 C 20260803 -1.00 -1.00 225841 2122 0.2192 0.0270 0.043740
310.00 C 20260803 -1.00 -1.00 106424 6229 0.3772 0.0165 0.016630
312.50 C 20260803 -1.00 -1.00 46902 3180 0.5338 0.0123 0.009226
315.00 C 20260803 -1.00 -1.00 23590 4040 0.6703 0.0099 0.006021
317.50 C 20260803 -1.00 -1.00 11665 2474 0.7715 0.0060 0.003330
320.00 C 20260803 -1.00 -1.00 13983 3522 0.9400 0.0072 0.003233
322.50 C 20260803 -1.00 -1.00 2873 2814 1.0732 0.0064 0.002546
325.00 C 20260803 -1.00 -1.00 1914 2024 1.2054 0.0058 0.002070
327.50 C 20260803 -1.00 -1.00 895 1180 1.3366 0.0053 0.001726
330.00 C 20260803 -1.00 -1.00 595 3331 1.4668 0.0049 0.001468
332.50 C 20260803 -1.00 -1.00 39 1295 1.6629 0.0069 0.001747
335.00 C 20260803 -1.00 -1.00 1192 2543 1.7576 0.0054 0.001330
337.50 C 20260803 -1.00 -1.00 64 1395 2.0507 0.0098 0.001945
340.00 C 20260803 -1.00 -1.00 74 1771 2.1432 0.0084 0.001623
342.50 C 20260803 -1.00 -1.00 55 1783 2.2351 0.0072 0.001347
345.00 C 20260803 -1.00 -1.00 8 2356 2.2577 0.0043 0.000863
347.50 C 20260803 -1.00 -1.00 324 862 2.4496 0.0057 0.001014
350.00 C 20260803 -1.00 -1.00 5 2270 2.5720 0.0055 0.000931
352.50 C 20260803 -1.00 -1.00 24 818 3.1469 0.0151 0.001850
355.00 C 20260803 -1.00 -1.00 6 1410 4.6734 0.0680 0.004346
357.50 C 20260803 -1.00 -1.00 49 1113 4.4882 0.0528 0.003672
250.00 P 20260803 -1.00 -1.00 2 2 3.8254 -0.0064 0.000713
255.00 P 20260803 -1.00 -1.00 302 303 3.0416 -0.0024 0.000372
260.00 P 20260803 -1.00 -1.00 308 327 2.7416 -0.0027 0.000453
265.00 P 20260803 -1.00 -1.00 2 57 2.5501 -0.0038 0.000676
270.00 P 20260803 -1.00 -1.00 9 119 2.2278 -0.0042 0.000855
275.00 P 20260803 -1.00 -1.00 67 132 1.8746 -0.0038 0.000937
277.50 P 20260803 -1.00 -1.00 19 160 1.7920 -0.0063 0.001500
280.00 P 20260803 -1.00 -1.00 301 1546 1.6007 -0.0057 0.001539
282.50 P 20260803 -1.00 -1.00 133 175 1.4475 -0.0063 0.001846
285.00 P 20260803 -1.00 -1.00 483 3470 1.2594 -0.0055 0.001887
287.50 P 20260803 -1.00 -1.00 1322 2255 1.1090 -0.0061 0.002372
290.00 P 20260803 -1.00 -1.00 1803 2485 0.9599 -0.0070 0.003085
292.50 P 20260803 -1.00 -1.00 1347 7512 0.8121 -0.0082 0.004196
295.00 P 20260803 -1.00 -1.00 7345 2481 0.6656 -0.0099 0.006078
297.50 P 20260803 -1.00 -1.00 11650 3811 0.5161 -0.0125 0.009676
300.00 P 20260803 -1.00 -1.00 72854 6112 0.3527 -0.0175 0.018624
302.50 P 20260803 -1.00 -1.00 77546 1816 0.1903 -0.0307 0.056588
305.00 P 20260803 -1.00 -1.00 111242 1843 0.1677 -0.5855 0.359165
307.50 P 20260803 -1.00 -1.00 20643 763 -1.0000 -1.0000 -1.000000
310.00 P 20260803 -1.00 -1.00 5980 5982 0.4372 -0.9686 0.025461
312.50 P 20260803 -1.00 -1.00 424 521 0.5952 -0.9763 0.014568
315.00 P 20260803 -1.00 -1.00 410 1214 0.6373 -0.9932 0.004813
317.50 P 20260803 -1.00 -1.00 114 247 0.7726 -0.9943 0.003395
320.00 P 20260803 -1.00 -1.00 496 1507 0.9068 -0.9951 0.002549
322.50 P 20260803 -1.00 -1.00 262 765 1.2081 -0.9873 0.004244
325.00 P 20260803 -1.00 -1.00 54 1175 -1.0000 -1.0000 -1.000000
327.50 P 20260803 -1.00 -1.00 65 560 1.5806 -0.9839 0.003914
330.00 P 20260803 -1.00 -1.00 70 1023 1.4019 -0.9967 0.001152
332.50 P 20260803 -1.00 -1.00 56 2917 -1.0000 -1.0000 -1.000000
335.00 P 20260803 -1.00 -1.00 41 243 1.8618 -0.9915 0.001911
337.50 P 20260803 -1.00 -1.00 2 12 -1.0000 -1.0000 -1.000000
