# opt_chain AVGO | epoch 1785779632 | 2026-08-03 13:53:52 | spot 389.53 | exps 20260803 20260805 20260807 20260810 20260812 20260814 20260817 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 171 | band 0.4050 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
290.00 C 20260803 -1.00 -1.00 98 20 5.5701 0.9820 0.000773
295.00 C 20260803 -1.00 -1.00 2 0 5.3457 0.9802 0.000874
300.00 C 20260803 -1.00 -1.00 62 0 4.9620 0.9810 0.000907
305.00 C 20260803 -1.00 -1.00 73 0 4.8005 0.9780 0.001066
310.00 C 20260803 -1.00 -1.00 42 0 4.0534 0.9868 0.000812
312.50 C 20260803 -1.00 -1.00 41 0 4.0306 0.9839 0.000965
315.00 C 20260803 -1.00 -1.00 14 0 4.2202 0.9765 0.001286
317.50 C 20260803 -1.00 -1.00 4 0 3.7214 0.9842 0.001028
320.00 C 20260803 -1.00 -1.00 3 0 3.7002 0.9811 0.001211
322.50 C 20260803 -1.00 -1.00 3 0 3.6791 0.9779 0.001397
325.00 C 20260803 -1.00 -1.00 4 0 3.6060 0.9759 0.001540
327.50 C 20260803 -1.00 -1.00 14 0 3.4815 0.9751 0.001644
330.00 C 20260803 -1.00 -1.00 50 0 2.9954 0.9846 0.001254
332.50 C 20260803 -1.00 -1.00 36 0 2.9773 0.9807 0.001533
335.00 C 20260803 -1.00 -1.00 1 0 2.9594 0.9767 0.001819
337.50 C 20260803 -1.00 -1.00 3 0 2.9416 0.9727 0.002111
340.00 C 20260803 -1.00 -1.00 3 12 2.8445 0.9700 0.002350
342.50 C 20260803 -1.00 -1.00 4 0 2.7598 0.9657 0.002690
345.00 C 20260803 -1.00 -1.00 1 0 2.6505 0.9626 0.002999
