# opt_chain DRAM | epoch 1785785244 | 2026-08-03 15:27:24 | spot 49.98 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 254603 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
30.00 C 20260807 -1.00 -1.00 4 28 3.0080 0.9650 0.004707
30.50 C 20260807 -1.00 -1.00 13 0 3.1631 0.9556 0.005497
31.00 C 20260807 -1.00 -1.00 19 0 2.7902 0.9656 0.005006
31.50 C 20260807 -1.00 -1.00 11 0 3.0022 0.9533 0.006053
32.00 C 20260807 -1.00 -1.00 3 10 2.5224 0.9692 0.005056
32.50 C 20260807 -1.00 -1.00 5 0 2.6190 0.9601 0.006042
33.00 C 20260807 -1.00 -1.00 7 0 2.7142 0.9516 0.006883
33.50 C 20260807 -1.00 -1.00 3 0 2.3602 0.9635 0.006217
34.00 C 20260807 -1.00 -1.00 23 0 2.1784 0.9689 0.005910
34.50 C 20260807 -1.00 -1.00 23 0 1.9994 0.9754 0.005365
35.00 C 20260807 -1.00 -1.00 20 20 1.3942 0.9960 0.001566
35.50 C 20260807 -1.00 -1.00 -1 0 0.0007 1.0000 -0.000000
36.00 C 20260807 -1.00 -1.00 20 11 2.3188 0.9376 0.009787
36.50 C 20260807 -1.00 -1.00 -1 0 1.7366 0.9722 0.006788
37.00 C 20260807 -1.00 -1.00 -1 0 1.5009 0.9816 0.005509
37.50 C 20260807 -1.00 -1.00 1 11 1.9269 0.9465 0.010523
38.00 C 20260807 -1.00 -1.00 2 1 1.9270 0.9383 0.011708
38.50 C 20260807 -1.00 -1.00 1 0 1.7947 0.9429 0.011910
39.00 C 20260807 -1.00 -1.00 1 1 1.5829 0.9527 0.011492
39.50 C 20260807 -1.00 -1.00 -1 0 1.7137 0.9317 0.014185
40.00 C 20260807 -1.00 -1.00 30 23 1.3611 0.9590 0.011836
