# opt_chain GOOGL | epoch 1785768099 | 2026-08-03 10:41:39 | spot 368.05 | exps 20260803 20260805 20260807 20260810 20260812 20260814 20260817 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 158 | band 0.4050 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
270.00 C 20260803 -1.00 -1.00 31 4 5.0604 0.9766 0.000920
272.50 C 20260803 -1.00 -1.00 27 0 5.0319 0.9746 0.000998
275.00 C 20260803 -1.00 -1.00 36 5 4.4825 0.9813 0.000851
277.50 C 20260803 -1.00 -1.00 27 1 4.1741 0.9846 0.000771
280.00 C 20260803 -1.00 -1.00 3 33 5.4226 0.9501 0.001598
282.50 C 20260803 -1.00 -1.00 -1 0 4.1729 0.9788 0.001020
285.00 C 20260803 -1.00 -1.00 1 25 4.1490 0.9763 0.001132
287.50 C 20260803 -1.00 -1.00 2 1 4.0791 0.9748 0.001220
290.00 C 20260803 -1.00 -1.00 2 19 3.9636 0.9741 0.001287
292.50 C 20260803 -1.00 -1.00 40 10 3.7574 0.9753 0.001299
295.00 C 20260803 -1.00 -1.00 40 28 3.7205 0.9725 0.001438
297.50 C 20260803 -1.00 -1.00 1 4 3.3959 0.9771 0.001343
300.00 C 20260803 -1.00 -1.00 1 24 3.4673 0.9708 0.001616
302.50 C 20260803 -1.00 -1.00 4 4 5.1268 0.8964 0.002967
305.00 C 20260803 -1.00 -1.00 4 20 2.6144 0.9893 0.000911
307.50 C 20260803 -1.00 -1.00 1 0 2.9594 0.9739 0.001731
310.00 C 20260803 -1.00 -1.00 1 32 4.7169 0.8858 0.003484
312.50 C 20260803 -1.00 -1.00 1 10 -1.0000 -1.0000 -1.000000
315.00 C 20260803 -1.00 -1.00 3 62 -1.0000 -1.0000 -1.000000
317.50 C 20260803 -1.00 -1.00 5 165 2.6356 0.9613 0.002654
320.00 C 20260803 -1.00 -1.00 4 574 2.4736 0.9625 0.002758
322.50 C 20260803 -1.00 -1.00 7 424 2.2000 0.9720 0.002475
325.00 C 20260803 -1.00 -1.00 8 279 2.1316 0.9672 0.002884
327.50 C 20260803 -1.00 -1.00 3 118 2.0385 0.9638 0.003255
330.00 C 20260803 -1.00 -1.00 4 914 -1.0000 -1.0000 -1.000000
332.50 C 20260803 -1.00 -1.00 15 2137 1.8543 0.9561 0.004179
335.00 C 20260803 -1.00 -1.00 18 2425 1.6990 0.9576 0.004439
337.50 C 20260803 -1.00 -1.00 32 499 2.2594 0.8873 0.007154
340.00 C 20260803 -1.00 -1.00 22 925 2.7669 0.8202 0.007969
