# opt_chain LRCX | epoch 1785772003 | 2026-08-03 11:46:43 | spot 290.07 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 342 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
175.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
177.50 C 20260807 -1.00 -1.00 -1 0 0.0007 1.0000 -0.000000
180.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
182.50 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
185.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
187.50 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
190.00 C 20260807 -1.00 -1.00 1 3 -1.0000 -1.0000 -1.000000
192.50 C 20260807 -1.00 -1.00 -1 0 0.0007 1.0000 -0.000000
195.00 C 20260807 -1.00 -1.00 2 8 0.0007 1.0000 -0.000000
197.50 C 20260807 -1.00 -1.00 -1 0 1.0309 0.9998 0.000019
200.00 C 20260807 -1.00 -1.00 7 6 0.0007 1.0000 -0.000000
202.50 C 20260807 -1.00 -1.00 -1 0 0.0007 1.0000 0.000000
205.00 C 20260807 -1.00 -1.00 2 2 0.0007 1.0000 -0.000000
207.50 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
210.00 C 20260807 -1.00 -1.00 2 1 0.0007 1.0000 0.000000
212.50 C 20260807 -1.00 -1.00 -1 0 1.2501 0.9914 0.000588
215.00 C 20260807 -1.00 -1.00 2 0 1.0805 0.9961 0.000338
217.50 C 20260807 -1.00 -1.00 2 1 1.1656 0.9910 0.000661
220.00 C 20260807 -1.00 -1.00 1 3 -1.0000 -1.0000 -1.000000
222.50 C 20260807 -1.00 -1.00 6 3 1.2731 0.9772 0.001354
225.00 C 20260807 -1.00 -1.00 2 1 1.2634 0.9741 0.001527
227.50 C 20260807 -1.00 -1.00 -1 0 1.1482 0.9781 0.001443
230.00 C 20260807 -1.00 -1.00 -1 0 1.1662 0.9724 0.001744
232.50 C 20260807 -1.00 -1.00 -1 0 1.0086 0.9809 0.001455
235.00 C 20260807 -1.00 -1.00 2 1 1.1900 0.9542 0.002563
237.50 C 20260807 -1.00 -1.00 2 1 1.1758 0.9483 0.002874
240.00 C 20260807 -1.00 -1.00 3 541 1.1618 0.9423 0.003198
242.50 C 20260807 -1.00 -1.00 2 1 1.1588 0.9314 0.003642
245.00 C 20260807 -1.00 -1.00 1 27 1.1433 0.9212 0.004084
247.50 C 20260807 -1.00 -1.00 17 16 1.1182 0.9124 0.004520
250.00 C 20260807 -1.00 -1.00 12 18 1.0156 0.9180 0.004735
252.50 C 20260807 -1.00 -1.00 2 3 1.0977 0.8888 0.005545
255.00 C 20260807 -1.00 -1.00 7 24 1.0869 0.8752 0.006093
257.50 C 20260807 -1.00 -1.00 1 3 1.0753 0.8575 0.006684
260.00 C 20260807 -1.00 -1.00 4 39 1.0575 0.8407 0.007303
262.50 C 20260807 -1.00 -1.00 13 11 1.0652 0.8185 0.007915
265.00 C 20260807 -1.00 -1.00 5 14 1.0036 0.8089 0.008701
267.50 C 20260807 -1.00 -1.00 6 11 1.0562 0.7757 0.009122
270.00 C 20260807 -1.00 -1.00 6 163 1.0225 0.7551 0.009823
272.50 C 20260807 -1.00 -1.00 1 5 1.0128 0.7292 0.010424
275.00 C 20260807 -1.00 -1.00 6 76 1.0244 0.6998 0.010874
