# opt_chain SNDK | epoch 1785785248 | 2026-08-03 15:27:28 | spot 1288.99 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 267 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
775.00 C 20260807 -1.00 -1.00 -1 0 2.3667 0.9845 0.000119
780.00 C 20260807 -1.00 -1.00 -1 0 2.3768 0.9832 0.000127
785.00 C 20260807 -1.00 -1.00 1 0 2.1033 0.9913 0.000082
790.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
795.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
800.00 C 20260807 -1.00 -1.00 4 2053 2.1619 0.9862 0.000118
805.00 C 20260807 -1.00 -1.00 1 1 2.2269 0.9829 0.000138
810.00 C 20260807 -1.00 -1.00 1 2 2.3948 0.9763 0.000171
815.00 C 20260807 -1.00 -1.00 1 16 2.2115 0.9813 0.000150
820.00 C 20260807 -1.00 -1.00 1 3 -1.0000 -1.0000 -1.000000
825.00 C 20260807 -1.00 -1.00 2 3 2.2768 0.9771 0.000175
830.00 C 20260807 -1.00 -1.00 8 10 2.2715 0.9758 0.000183
835.00 C 20260807 -1.00 -1.00 48 24 2.2656 0.9742 0.000193
840.00 C 20260807 -1.00 -1.00 1 2 2.2508 0.9731 0.000201
845.00 C 20260807 -1.00 -1.00 1 3 2.1655 0.9764 0.000189
850.00 C 20260807 -1.00 -1.00 8 22 2.1775 0.9736 0.000205
855.00 C 20260807 -1.00 -1.00 2 1 2.1852 0.9711 0.000219
860.00 C 20260807 -1.00 -1.00 11 12 2.2059 0.9678 0.000237
865.00 C 20260807 -1.00 -1.00 1 1 2.2309 0.9643 0.000254
870.00 C 20260807 -1.00 -1.00 1 3 2.1033 0.9701 0.000234
875.00 C 20260807 -1.00 -1.00 -1 0 2.0893 0.9689 0.000243
880.00 C 20260807 -1.00 -1.00 -1 0 2.0711 0.9680 0.000251
885.00 C 20260807 -1.00 -1.00 -1 0 2.0573 0.9668 0.000261
890.00 C 20260807 -1.00 -1.00 1 1 2.0436 0.9655 0.000270
895.00 C 20260807 -1.00 -1.00 -1 0 2.1501 0.9569 0.000310
900.00 C 20260807 -1.00 -1.00 29 38 2.1363 0.9556 0.000319
905.00 C 20260807 -1.00 -1.00 -1 0 1.9048 0.9685 0.000270
910.00 C 20260807 -1.00 -1.00 1 1 2.0959 0.9538 0.000337
915.00 C 20260807 -1.00 -1.00 -1 0 2.1545 0.9484 0.000361
920.00 C 20260807 -1.00 -1.00 4 9 2.1407 0.9471 0.000371
925.00 C 20260807 -1.00 -1.00 4 41 1.9371 0.9572 0.000341
930.00 C 20260807 -1.00 -1.00 2 5 2.1097 0.9440 0.000394
935.00 C 20260807 -1.00 -1.00 -1 0 2.1045 0.9410 0.000409
940.00 C 20260807 -1.00 -1.00 25 12 2.0750 0.9403 0.000419
945.00 C 20260807 -1.00 -1.00 57 1248 2.0457 0.9395 0.000429
950.00 C 20260807 -1.00 -1.00 2 1252 2.0166 0.9388 0.000439
955.00 C 20260807 -1.00 -1.00 -1 0 2.0957 0.9279 0.000476
960.00 C 20260807 -1.00 -1.00 2 6 2.0762 0.9261 0.000489
965.00 C 20260807 -1.00 -1.00 -1 0 2.0783 0.9224 0.000507
970.00 C 20260807 -1.00 -1.00 3 3 2.0088 0.9251 0.000511
975.00 C 20260807 -1.00 -1.00 4 2 2.0301 0.9195 0.000534
980.00 C 20260807 -1.00 -1.00 2 2 2.0370 0.9154 0.000553
985.00 C 20260807 -1.00 -1.00 -1 0 2.0226 0.9130 0.000569
990.00 C 20260807 -1.00 -1.00 49 104 2.0248 0.9092 0.000588
995.00 C 20260807 -1.00 -1.00 2 5 1.9705 0.9103 0.000599
1000.00 C 20260807 -1.00 -1.00 59 171 2.0057 0.9036 0.000622
1005.00 C 20260807 -1.00 -1.00 1 10 1.9822 0.9020 0.000639
1010.00 C 20260807 -1.00 -1.00 60 109 2.0615 0.8921 0.000664
1015.00 C 20260807 -1.00 -1.00 2 4 2.0591 0.8882 0.000682
1020.00 C 20260807 -1.00 -1.00 7 17 2.0078 0.8888 0.000697
1025.00 C 20260807 -1.00 -1.00 4 58 2.0000 0.8845 0.000717
1030.00 C 20260807 -1.00 -1.00 5 38 1.9707 0.8826 0.000735
1035.00 C 20260807 -1.00 -1.00 1 9 1.9999 0.8740 0.000757
1040.00 C 20260807 -1.00 -1.00 1 11 2.0014 0.8686 0.000777
1045.00 C 20260807 -1.00 -1.00 4 16 1.9784 0.8658 0.000796
1050.00 C 20260807 -1.00 -1.00 25 67 1.9723 0.8612 0.000817
1055.00 C 20260807 -1.00 -1.00 4 11 1.9876 0.8543 0.000837
1060.00 C 20260807 -1.00 -1.00 3 139 2.0088 0.8470 0.000856
1062.50 C 20260807 -1.00 -1.00 6 0 2.0232 0.8430 0.000865
1065.00 C 20260807 -1.00 -1.00 9 113 2.0179 0.8409 0.000875
1067.50 C 20260807 -1.00 -1.00 3 0 1.9762 0.8422 0.000888
1070.00 C 20260807 -1.00 -1.00 2 36 1.9875 0.8385 0.000897
1072.50 C 20260807 -1.00 -1.00 6 0 2.0064 0.8342 0.000906
1075.00 C 20260807 -1.00 -1.00 7 30 1.9935 0.8327 0.000917
1077.50 C 20260807 -1.00 -1.00 6 0 1.9777 0.8315 0.000929
1080.00 C 20260807 -1.00 -1.00 2 23 1.9890 0.8278 0.000938
1082.50 C 20260807 -1.00 -1.00 6 1 2.0694 0.8185 0.000936
1085.00 C 20260807 -1.00 -1.00 16 17 1.9995 0.8217 0.000956
1090.00 C 20260807 -1.00 -1.00 23 25 2.0504 0.8124 0.000967
