# opt_chain SPX | epoch 1785770113 | 2026-08-03 11:15:13 | spot 7577.31 | exps 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 932 | band 0.1800 vencimientos 15 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
6670.00 C 20260821 -1.00 -1.00 0 343 0.2450 0.9848 0.000100
6670.00 P 20260821 -1.00 -1.00 0 2736 0.2702 -0.0149 0.000100
6675.00 C 20260821 -1.00 -1.00 0 1333 0.2638 0.9847 0.000100
6675.00 P 20260821 -1.00 -1.00 0 3455 0.2692 -0.0151 0.000100
6680.00 C 20260821 -1.00 -1.00 0 31 0.2648 0.9845 0.000100
6680.00 P 20260821 -1.00 -1.00 0 775 0.2682 -0.0153 0.000100
6690.00 C 20260821 -1.00 -1.00 0 25 0.2505 0.9841 0.000100
6690.00 P 20260821 -1.00 -1.00 10 531 0.2663 -0.0157 0.000100
6695.00 C 20260821 -1.00 -1.00 0 3 0.2634 0.9839 0.000100
6695.00 P 20260821 -1.00 -1.00 0 140 0.2653 -0.0159 0.000100
6700.00 C 20260821 -1.00 -1.00 0 2318 0.2594 0.9837 0.000100
6700.00 P 20260821 -1.00 -1.00 210 20927 0.2639 -0.0161 0.000100
6705.00 C 20260821 -1.00 -1.00 0 1 0.2545 0.9835 0.000100
6705.00 P 20260821 -1.00 -1.00 0 164 0.2633 -0.0163 0.000100
6710.00 C 20260821 -1.00 -1.00 0 110 0.2588 0.9833 0.000100
6710.00 P 20260821 -1.00 -1.00 0 359 0.2623 -0.0165 0.000100
6715.00 C 20260821 -1.00 -1.00 0 11 0.2448 0.9831 0.000100
6715.00 P 20260821 -1.00 -1.00 0 206 0.2613 -0.0167 0.000100
6720.00 C 20260821 -1.00 -1.00 0 45 0.2498 0.9829 0.000100
6720.00 P 20260821 -1.00 -1.00 0 261 0.2603 -0.0169 0.000100
6725.00 C 20260821 -1.00 -1.00 0 1132 0.2386 0.9827 0.000100
6725.00 P 20260821 -1.00 -1.00 0 1906 0.2593 -0.0171 0.000100
6730.00 C 20260821 -1.00 -1.00 0 14 0.2549 0.9825 0.000100
6730.00 P 20260821 -1.00 -1.00 1 232 0.2582 -0.0173 0.000100
6735.00 C 20260821 -1.00 -1.00 0 3 0.2526 0.9822 0.000100
6735.00 P 20260821 -1.00 -1.00 0 369 0.2576 -0.0176 0.000100
6740.00 C 20260821 -1.00 -1.00 0 68 0.2436 0.9820 0.000100
6740.00 P 20260821 -1.00 -1.00 0 438 0.2565 -0.0178 0.000100
6745.00 C 20260821 -1.00 -1.00 0 4 0.2438 0.9818 0.000100
6745.00 P 20260821 -1.00 -1.00 2 165 0.2555 -0.0180 0.000100
6750.00 C 20260821 -1.00 -1.00 0 1534 0.2530 0.9815 0.000100
