# opt_chain XSP | epoch 1785788455 | 2026-08-03 16:20:55 | spot 760.05 | exps 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 909 | band 0.1800 vencimientos 15 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
669.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
669.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
670.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
670.00 P 20260803 -1.00 -1.00 0 42 -1.0000 0.0000 0.000000
671.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
671.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
672.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
672.00 P 20260803 -1.00 -1.00 0 40 -1.0000 0.0000 0.000000
673.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
673.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
674.00 C 20260803 -1.00 -1.00 1 0 -1.0000 1.0000 0.000000
674.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
675.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
675.00 P 20260803 -1.00 -1.00 0 6 -1.0000 0.0000 0.000000
676.00 C 20260803 -1.00 -1.00 1 0 -1.0000 1.0000 0.000000
676.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
677.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
677.00 P 20260803 -1.00 -1.00 0 1 -1.0000 0.0000 0.000000
678.00 C 20260803 -1.00 -1.00 0 2 -1.0000 1.0000 0.000000
678.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
679.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
679.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
680.00 C 20260803 -1.00 -1.00 1 1 -1.0000 1.0000 0.000000
680.00 P 20260803 -1.00 -1.00 0 30 -1.0000 0.0000 0.000000
681.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
681.00 P 20260803 -1.00 -1.00 0 12 -1.0000 0.0000 0.000000
682.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
682.00 P 20260803 -1.00 -1.00 0 5 -1.0000 0.0000 0.000000
683.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
683.00 P 20260803 -1.00 -1.00 0 5 -1.0000 0.0000 0.000000
684.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
684.00 P 20260803 -1.00 -1.00 0 0 -1.0000 0.0000 0.000000
685.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
685.00 P 20260803 -1.00 -1.00 0 37 -1.0000 0.0000 0.000000
686.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
686.00 P 20260803 -1.00 -1.00 0 12 -1.0000 0.0000 0.000000
687.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
687.00 P 20260803 -1.00 -1.00 0 1 -1.0000 0.0000 0.000000
688.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
688.00 P 20260803 -1.00 -1.00 0 55 -1.0000 0.0000 0.000000
689.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
689.00 P 20260803 -1.00 -1.00 0 45 -1.0000 0.0000 0.000000
690.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
690.00 P 20260803 -1.00 -1.00 10 606 -1.0000 0.0000 0.000000
691.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
691.00 P 20260803 -1.00 -1.00 1 7 -1.0000 0.0000 0.000000
692.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
692.00 P 20260803 -1.00 -1.00 0 1 -1.0000 0.0000 0.000000
693.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
693.00 P 20260803 -1.00 -1.00 0 31 -1.0000 0.0000 0.000000
694.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
694.00 P 20260803 -1.00 -1.00 0 198 -1.0000 0.0000 0.000000
695.00 C 20260803 -1.00 -1.00 0 1 -1.0000 1.0000 0.000000
695.00 P 20260803 -1.00 -1.00 0 43 -1.0000 0.0000 0.000000
696.00 C 20260803 -1.00 -1.00 1 1 -1.0000 1.0000 0.000000
696.00 P 20260803 -1.00 -1.00 0 200 -1.0000 0.0000 0.000000
697.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
697.00 P 20260803 -1.00 -1.00 0 38 -1.0000 0.0000 0.000000
698.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
698.00 P 20260803 -1.00 -1.00 2 21 -1.0000 0.0000 0.000000
699.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
699.00 P 20260803 -1.00 -1.00 0 37 -1.0000 0.0000 0.000000
700.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
700.00 P 20260803 -1.00 -1.00 1 104 -1.0000 0.0000 0.000000
701.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
701.00 P 20260803 -1.00 -1.00 0 2 -1.0000 0.0000 0.000000
702.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
702.00 P 20260803 -1.00 -1.00 0 36 -1.0000 0.0000 0.000000
703.00 C 20260803 -1.00 -1.00 2 2 -1.0000 1.0000 0.000000
703.00 P 20260803 -1.00 -1.00 0 47 -1.0000 0.0000 0.000000
704.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
704.00 P 20260803 -1.00 -1.00 0 3 -1.0000 0.0000 0.000000
705.00 C 20260803 -1.00 -1.00 0 2 -1.0000 1.0000 0.000000
705.00 P 20260803 -1.00 -1.00 5 19 -1.0000 0.0000 0.000000
706.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
706.00 P 20260803 -1.00 -1.00 20 55 -1.0000 0.0000 0.000000
707.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
707.00 P 20260803 -1.00 -1.00 40 108 -1.0000 0.0000 0.000000
708.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
708.00 P 20260803 -1.00 -1.00 10 26 -1.0000 0.0000 0.000000
709.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
709.00 P 20260803 -1.00 -1.00 0 18 -1.0000 0.0000 0.000000
710.00 C 20260803 -1.00 -1.00 0 3 -1.0000 1.0000 0.000000
710.00 P 20260803 -1.00 -1.00 18 78 -1.0000 0.0000 0.000000
711.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
711.00 P 20260803 -1.00 -1.00 0 42 -1.0000 0.0000 0.000000
712.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
712.00 P 20260803 -1.00 -1.00 3 60 -1.0000 0.0000 0.000000
713.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
713.00 P 20260803 -1.00 -1.00 15 31 -1.0000 0.0000 0.000000
714.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
714.00 P 20260803 -1.00 -1.00 15 804 -1.0000 0.0000 0.000000
715.00 C 20260803 -1.00 -1.00 1 1 -1.0000 1.0000 0.000000
715.00 P 20260803 -1.00 -1.00 21 70 -1.0000 0.0000 0.000000
716.00 C 20260803 -1.00 -1.00 0 0 -1.0000 1.0000 0.000000
716.00 P 20260803 -1.00 -1.00 0 56 -1.0000 0.0000 0.000000
717.00 C 20260803 -1.00 -1.00 0 2 -1.0000 1.0000 0.000000
717.00 P 20260803 -1.00 -1.00 3 178 -1.0000 0.0000 0.000000
718.00 C 20260803 -1.00 -1.00 0 5 -1.0000 1.0000 0.000000
718.00 P 20260803 -1.00 -1.00 19 66 -1.0000 0.0000 0.000000
719.00 C 20260803 -1.00 -1.00 0 1 -1.0000 1.0000 0.000000
719.00 P 20260803 -1.00 -1.00 0 41 -1.0000 0.0000 0.000000
720.00 C 20260803 -1.00 -1.00 0 4 -1.0000 1.0000 0.000000
720.00 P 20260803 -1.00 -1.00 34 2402 -1.0000 0.0000 0.000000
721.00 C 20260803 -1.00 -1.00 0 1 -1.0000 1.0000 0.000000
721.00 P 20260803 -1.00 -1.00 4 234 -1.0000 0.0000 0.000000
722.00 C 20260803 -1.00 -1.00 0 6 -1.0000 1.0000 0.000000
722.00 P 20260803 -1.00 -1.00 0 71 -1.0000 0.0000 0.000000
723.00 C 20260803 -1.00 -1.00 0 7 -1.0000 1.0000 0.000000
