# opt_chain XLK | epoch 1785874158 | 2026-08-04 16:09:18 | spot 187.27 | spot_src intrinio_quote | spot_age 908 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 408 | narrow 0 | vencimientos 4 | rows 408 | greeks_ok_pct 0.9755 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
160.00 C 20260807 -1.00 -1.00 1 12 -1.0000 -1.0000 -1.000000
161.00 C 20260807 -1.00 -1.00 1 5 -1.0000 -1.0000 -1.000000
162.00 C 20260807 -1.00 -1.00 3 5 -1.0000 -1.0000 -1.000000
163.00 C 20260807 -1.00 -1.00 32 9 -1.0000 -1.0000 -1.000000
164.00 C 20260807 -1.00 -1.00 31 9 -1.0000 -1.0000 -1.000000
165.00 C 20260807 -1.00 -1.00 2 10 -1.0000 -1.0000 -1.000000
166.00 C 20260807 -1.00 -1.00 5 3 -1.0000 -1.0000 -1.000000
167.00 C 20260807 -1.00 -1.00 61 24 0.8363 0.9379 0.008553
167.50 C 20260807 -1.00 -1.00 63 24 0.6272 0.9753 0.005320
168.00 C 20260807 -1.00 -1.00 13 7 -1.0000 -1.0000 -1.000000
169.00 C 20260807 -1.00 -1.00 5 7 0.6090 0.9694 0.006574
170.00 C 20260807 -1.00 -1.00 23 33 0.5928 0.9638 0.007692
171.00 C 20260807 -1.00 -1.00 12 41 -1.0000 -1.0000 -1.000000
172.00 C 20260807 -1.00 -1.00 3 6 0.5313 0.9604 0.009237
172.50 C 20260807 -1.00 -1.00 1 111 0.4025 0.9883 0.004376
173.00 C 20260807 -1.00 -1.00 3 13 -1.0000 -1.0000 -1.000000
174.00 C 20260807 -1.00 -1.00 6 46 0.5500 0.9305 0.014106
175.00 C 20260807 -1.00 -1.00 40 733 0.5147 0.9267 0.015652
176.00 C 20260807 -1.00 -1.00 32 118 0.5472 0.8937 0.019396
177.00 C 20260807 -1.00 -1.00 21 263 0.4868 0.8976 0.021176
177.50 C 20260807 -1.00 -1.00 8 24 0.3935 0.9339 0.019057
178.00 C 20260807 -1.00 -1.00 27 93 0.5445 0.8481 0.024972
179.00 C 20260807 -1.00 -1.00 10 55 0.5030 0.8381 0.028148
180.00 C 20260807 -1.00 -1.00 80 452 0.5228 0.7994 0.031222
181.00 C 20260807 -1.00 -1.00 20 93 0.4261 0.8097 0.036946
182.00 C 20260807 -1.00 -1.00 57 202 0.3909 0.7900 0.043084
182.50 C 20260807 -1.00 -1.00 8 37 0.4432 0.7404 0.042365
183.00 C 20260807 -1.00 -1.00 18 64 0.3970 0.7391 0.047400
184.00 C 20260807 -1.00 -1.00 151 223 0.4186 0.6807 0.049700
185.00 C 20260807 -1.00 -1.00 93 739 0.4066 0.6334 0.054030
186.00 C 20260807 -1.00 -1.00 254 139 0.3792 0.5820 0.059601
187.00 C 20260807 -1.00 -1.00 49 131 0.3855 0.5219 0.060552
187.50 C 20260807 -1.00 -1.00 30 23 0.4392 0.4952 0.053143
188.00 C 20260807 -1.00 -1.00 31 206 0.3808 0.4624 0.060509
189.00 C 20260807 -1.00 -1.00 13 5 0.3777 0.4020 0.059500
190.00 C 20260807 -1.00 -1.00 86 233 0.3362 0.3263 0.062245
191.00 C 20260807 -1.00 -1.00 82 112 0.4008 0.3044 0.050512
192.00 C 20260807 -1.00 -1.00 1868 50 0.3923 0.2499 0.047285
192.50 C 20260807 -1.00 -1.00 5 27 0.4088 0.2361 0.044280
193.00 C 20260807 -1.00 -1.00 5 32 0.4096 0.2181 0.041884
194.00 C 20260807 -1.00 -1.00 237 16 0.3732 0.1563 0.037246
195.00 C 20260807 -1.00 -1.00 809 88 0.4033 0.1402 0.032347
196.00 C 20260807 -1.00 -1.00 26 1 0.3790 0.1003 0.026712
197.00 C 20260807 -1.00 -1.00 4 13 0.4272 0.1040 0.024343
197.50 C 20260807 -1.00 -1.00 1 142 0.4379 0.0984 0.022800
198.00 C 20260807 -1.00 -1.00 17 2 0.4328 0.0840 0.020603
199.00 C 20260807 -1.00 -1.00 0 0 0.4247 0.0624 0.016740
200.00 C 20260807 -1.00 -1.00 28 443 0.4076 0.0413 0.012472
202.50 C 20260807 -1.00 -1.00 1 2 0.5414 0.0615 0.012970
205.00 C 20260807 -1.00 -1.00 5 5 0.5565 0.0407 0.009026
207.50 C 20260807 -1.00 -1.00 2 5 0.6270 0.0397 0.007873
210.00 C 20260807 -1.00 -1.00 1 4 0.7414 0.0509 0.008100
215.00 C 20260807 -1.00 -1.00 2 2 0.6904 0.0152 0.003187
160.00 P 20260807 -1.00 -1.00 134 834 0.8536 -0.0208 0.003361
