# opt_chain AMZN | epoch 1785872819 | 2026-08-04 15:46:59 | spot 278.08 | exps 20260805 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 118 | band 0.2700 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
230.00 C 20260805 -1.00 -1.00 1133 406 1.8300 0.9714 0.002294
232.50 C 20260805 -1.00 -1.00 23 145 -1.0000 -1.0000 -1.000000
235.00 C 20260805 -1.00 -1.00 4 148 -1.0000 -1.0000 -1.000000
237.50 C 20260805 -1.00 -1.00 16 128 -1.0000 -1.0000 -1.000000
240.00 C 20260805 -1.00 -1.00 18 293 -1.0000 -1.0000 -1.000000
242.50 C 20260805 -1.00 -1.00 34 97 -1.0000 -1.0000 -1.000000
245.00 C 20260805 -1.00 -1.00 19 216 0.9078 0.9936 0.001247
247.50 C 20260805 -1.00 -1.00 411 137 0.9871 0.9821 0.002823
250.00 C 20260805 -1.00 -1.00 111 837 -1.0000 -1.0000 -1.000000
252.50 C 20260805 -1.00 -1.00 239 257 -1.0000 -1.0000 -1.000000
255.00 C 20260805 -1.00 -1.00 216 489 -1.0000 -1.0000 -1.000000
257.50 C 20260805 -1.00 -1.00 428 212 -1.0000 -1.0000 -1.000000
260.00 C 20260805 -1.00 -1.00 4359 888 0.6419 0.9681 0.007136
262.50 C 20260805 -1.00 -1.00 2930 223 -1.0000 -1.0000 -1.000000
265.00 C 20260805 -1.00 -1.00 1304 625 -1.0000 -1.0000 -1.000000
267.50 C 20260805 -1.00 -1.00 1753 654 0.3664 0.9663 0.013057
270.00 C 20260805 -1.00 -1.00 2065 1092 0.4085 0.8891 0.029663
272.50 C 20260805 -1.00 -1.00 1687 2139 0.4076 0.7951 0.044855
275.00 C 20260805 -1.00 -1.00 10512 1272 0.4151 0.6632 0.056919
277.50 C 20260805 -1.00 -1.00 23681 577 0.4184 0.5136 0.061853
280.00 C 20260805 -1.00 -1.00 55986 2855 0.4279 0.3670 0.057139
282.50 C 20260805 -1.00 -1.00 29914 1862 0.4390 0.2449 0.046274
285.00 C 20260805 -1.00 -1.00 31525 3107 0.4473 0.1527 0.033852
287.50 C 20260805 -1.00 -1.00 10932 1575 0.4569 0.0905 0.022731
290.00 C 20260805 -1.00 -1.00 16332 5673 0.4708 0.0522 0.014410
292.50 C 20260805 -1.00 -1.00 8470 2748 0.4870 0.0286 0.008586
295.00 C 20260805 -1.00 -1.00 2363 1799 0.5017 0.0157 0.004974
297.50 C 20260805 -1.00 -1.00 3014 927 0.5181 0.0089 0.002943
300.00 C 20260805 -1.00 -1.00 8486 6572 0.5445 0.0054 0.001784
302.50 C 20260805 -1.00 -1.00 808 414 0.5982 0.0049 0.001514
305.00 C 20260805 -1.00 -1.00 503 469 0.6515 0.0046 0.001308
307.50 C 20260805 -1.00 -1.00 268 0 0.7035 0.0043 0.001145
310.00 C 20260805 -1.00 -1.00 91 259 0.7499 0.0040 0.001014
312.50 C 20260805 -1.00 -1.00 20 0 0.7959 0.0038 0.000905
315.00 C 20260805 -1.00 -1.00 1196 696 0.8737 0.0046 0.000975
317.50 C 20260805 -1.00 -1.00 100 0 -1.0000 -1.0000 -1.000000
320.00 C 20260805 -1.00 -1.00 664 227 0.9687 0.0042 0.000809
322.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
325.00 C 20260805 -1.00 -1.00 171 203 1.0206 0.0030 0.000566
327.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
230.00 P 20260805 -1.00 -1.00 1 1214 1.2196 -0.0025 0.000397
232.50 P 20260805 -1.00 -1.00 20 148 1.8368 -0.0388 0.002903
235.00 P 20260805 -1.00 -1.00 10 497 1.0939 -0.0028 0.000488
237.50 P 20260805 -1.00 -1.00 11 256 1.0321 -0.0029 0.000545
240.00 P 20260805 -1.00 -1.00 4 1111 0.9710 -0.0031 0.000613
242.50 P 20260805 -1.00 -1.00 100 49 0.9104 -0.0033 0.000693
245.00 P 20260805 -1.00 -1.00 126 220 0.8506 -0.0035 0.000790
247.50 P 20260805 -1.00 -1.00 8 99 0.7913 -0.0038 0.000907
250.00 P 20260805 -1.00 -1.00 244 3305 0.7260 -0.0041 0.001054
252.50 P 20260805 -1.00 -1.00 213 1082 0.6613 -0.0044 0.001241
255.00 P 20260805 -1.00 -1.00 287 2301 0.6124 -0.0061 0.001780
257.50 P 20260805 -1.00 -1.00 320 379 0.5641 -0.0081 0.002492
260.00 P 20260805 -1.00 -1.00 1316 1045 0.5419 -0.0144 0.004276
262.50 P 20260805 -1.00 -1.00 1499 663 0.4969 -0.0216 0.006599
265.00 P 20260805 -1.00 -1.00 4594 2189 0.4666 -0.0364 0.010893
267.50 P 20260805 -1.00 -1.00 4973 684 0.4470 -0.0656 0.018486
270.00 P 20260805 -1.00 -1.00 11482 2575 0.4201 -0.1167 0.030015
272.50 P 20260805 -1.00 -1.00 10971 806 0.4117 -0.2071 0.044751
275.00 P 20260805 -1.00 -1.00 43061 2842 0.4154 -0.3371 0.056942
277.50 P 20260805 -1.00 -1.00 14842 2296 0.4234 -0.4869 0.061205
280.00 P 20260805 -1.00 -1.00 7753 2990 0.4318 -0.6323 0.056736
282.50 P 20260805 -1.00 -1.00 4056 1338 0.4433 -0.7535 0.046116
285.00 P 20260805 -1.00 -1.00 1593 976 0.4844 -0.8266 0.033961
287.50 P 20260805 -1.00 -1.00 4210 154 0.5486 -0.8693 0.025182
290.00 P 20260805 -1.00 -1.00 3774 425 0.5907 -0.9013 0.018912
292.50 P 20260805 -1.00 -1.00 1537 172 0.5570 -0.9507 0.011924
295.00 P 20260805 -1.00 -1.00 1478 226 0.5789 -0.9704 0.007822
297.50 P 20260805 -1.00 -1.00 3925 120 0.7308 -0.9517 0.008884
300.00 P 20260805 -1.00 -1.00 1371 1052 0.8015 -0.9554 0.007601
302.50 P 20260805 -1.00 -1.00 3333 128 0.7628 -0.9770 0.004746
305.00 P 20260805 -1.00 -1.00 102 22 0.7926 -0.9828 0.003613
