# opt_chain BE | epoch 1785875113 | 2026-08-04 16:25:13 | spot 218.32 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 87911 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
192.50 C 20260807 -1.00 -1.00 2 61 1.7077 0.8779 0.005690
195.00 C 20260807 -1.00 -1.00 10 255 1.6630 0.8643 0.006240
197.50 C 20260807 -1.00 -1.00 50 2055 1.6622 0.8444 0.006822
200.00 C 20260807 -1.00 -1.00 75 2102 1.7236 0.8175 0.007334
202.50 C 20260807 -1.00 -1.00 34 163 1.6987 0.8006 0.007924
205.00 C 20260807 -1.00 -1.00 34 2318 1.5821 0.7918 0.008755
207.50 C 20260807 -1.00 -1.00 25 218 1.5721 0.7662 0.009304
210.00 C 20260807 -1.00 -1.00 243 1111 1.5802 0.7385 0.009788
212.50 C 20260807 -1.00 -1.00 89 258 1.5632 0.7132 0.010384
215.00 C 20260807 -1.00 -1.00 905 1693 1.6170 0.6824 0.010619
217.50 C 20260807 -1.00 -1.00 76 276 1.6093 0.6547 0.010995
220.00 C 20260807 -1.00 -1.00 358 1658 1.5616 0.6275 0.011552
222.50 C 20260807 -1.00 -1.00 87 235 1.5204 0.5984 0.012103
225.00 C 20260807 -1.00 -1.00 503 4201 1.5700 0.5670 0.011969
227.50 C 20260807 -1.00 -1.00 89 243 1.5592 0.5369 0.012292
230.00 C 20260807 -1.00 -1.00 1133 1834 1.5786 0.5078 0.012123
232.50 C 20260807 -1.00 -1.00 325 169 1.5341 0.4764 0.012367
235.00 C 20260807 -1.00 -1.00 1419 1556 1.5166 0.4452 0.012397
237.50 C 20260807 -1.00 -1.00 287 308 1.5315 0.4162 0.012174
240.00 C 20260807 -1.00 -1.00 1159 2292 1.5841 0.3920 0.011690
242.50 C 20260807 -1.00 -1.00 115 257 1.5195 0.3587 0.011780
192.50 P 20260807 -1.00 -1.00 86 10119 1.6544 -0.1150 0.005655
195.00 P 20260807 -1.00 -1.00 227 512 1.6786 -0.1378 0.006245
197.50 P 20260807 -1.00 -1.00 176 2054 1.6163 -0.1497 0.006840
200.00 P 20260807 -1.00 -1.00 2637 9068 1.6178 -0.1705 0.007453
202.50 P 20260807 -1.00 -1.00 556 297 1.5985 -0.1889 0.008098
205.00 P 20260807 -1.00 -1.00 478 388 1.6107 -0.2121 0.008673
207.50 P 20260807 -1.00 -1.00 113 158 1.5791 -0.2347 0.009282
210.00 P 20260807 -1.00 -1.00 644 893 1.6193 -0.2655 0.009629
212.50 P 20260807 -1.00 -1.00 111 112 1.5845 -0.2888 0.010285
215.00 P 20260807 -1.00 -1.00 274 319 1.5678 -0.3143 0.010888
217.50 P 20260807 -1.00 -1.00 109 192 1.6492 -0.3477 0.010748
220.00 P 20260807 -1.00 -1.00 5025 534 1.5525 -0.3723 0.011621
222.50 P 20260807 -1.00 -1.00 49 76 1.5993 -0.4038 0.011526
225.00 P 20260807 -1.00 -1.00 219 295 1.5372 -0.4329 0.012227
227.50 P 20260807 -1.00 -1.00 205 76 1.5626 -0.4633 0.012272
230.00 P 20260807 -1.00 -1.00 608 253 1.5461 -0.4934 0.012384
232.50 P 20260807 -1.00 -1.00 155 22 1.5226 -0.5244 0.012466
235.00 P 20260807 -1.00 -1.00 180 254 1.5847 -0.5502 0.011888
237.50 P 20260807 -1.00 -1.00 137 60 1.5817 -0.5794 0.011812
240.00 P 20260807 -1.00 -1.00 93 251 1.5962 -0.6070 0.011615
242.50 P 20260807 -1.00 -1.00 84 10 1.5827 -0.6344 0.011418
192.50 C 20260814 -1.00 -1.00 17 16 1.4301 0.8005 0.005242
195.00 C 20260814 -1.00 -1.00 39 70 1.3877 0.7890 0.005556
197.50 C 20260814 -1.00 -1.00 1 30 1.3728 0.7734 0.005821
200.00 C 20260814 -1.00 -1.00 31 334 1.3907 0.7540 0.005997
202.50 C 20260814 -1.00 -1.00 9 22 1.3698 0.7388 0.006289
205.00 C 20260814 -1.00 -1.00 15 108 1.3896 0.7196 0.006449
207.50 C 20260814 -1.00 -1.00 10 51 1.3690 0.7038 0.006753
210.00 C 20260814 -1.00 -1.00 51 195 1.3796 0.6855 0.006927
212.50 C 20260814 -1.00 -1.00 19 19 1.3687 0.6670 0.007092
215.00 C 20260814 -1.00 -1.00 24 136 1.3666 0.6478 0.007216
217.50 C 20260814 -1.00 -1.00 25 58 1.3577 0.6288 0.007376
220.00 C 20260814 -1.00 -1.00 43 303 1.3591 0.6094 0.007484
222.50 C 20260814 -1.00 -1.00 59 70 1.3572 0.5900 0.007610
225.00 C 20260814 -1.00 -1.00 101 242 1.3636 0.5707 0.007688
227.50 C 20260814 -1.00 -1.00 26 18 1.3901 0.5521 0.007652
230.00 C 20260814 -1.00 -1.00 341 177 1.3816 0.5334 0.007709
232.50 C 20260814 -1.00 -1.00 52 14 1.3723 0.5145 0.007737
235.00 C 20260814 -1.00 -1.00 177 847 1.3302 0.4931 0.007954
237.50 C 20260814 -1.00 -1.00 20 8 1.3410 0.4750 0.007864
240.00 C 20260814 -1.00 -1.00 283 253 1.3500 0.4570 0.007786
