# opt_chain DIA | epoch 1785857714 | 2026-08-04 11:35:14 | spot 531.22 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 70513 | band 0.1800 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
470.00 C 20260807 -1.00 -1.00 12 61 0.6524 0.9890 0.000861
475.00 C 20260807 -1.00 -1.00 30 76 0.6064 0.9884 0.000969
480.00 C 20260807 -1.00 -1.00 4 5 0.5597 0.9877 0.001101
485.00 C 20260807 -1.00 -1.00 1 1 0.5135 0.9869 0.001264
489.00 C 20260807 -1.00 -1.00 2 1 0.4769 0.9861 0.001425
490.00 C 20260807 -1.00 -1.00 4 44 0.4879 0.9817 0.001760
491.00 C 20260807 -1.00 -1.00 -1 0 0.4587 0.9857 0.001518
492.00 C 20260807 -1.00 -1.00 -1 0 0.4497 0.9855 0.001568
493.00 C 20260807 -1.00 -1.00 1 1 0.4607 0.9809 0.001942
494.00 C 20260807 -1.00 -1.00 -1 0 0.4516 0.9805 0.002009
495.00 C 20260807 -1.00 -1.00 2 43 0.4226 0.9848 0.001737
496.00 C 20260807 -1.00 -1.00 3 3 0.4336 0.9799 0.002155
497.00 C 20260807 -1.00 -1.00 3 1 0.4246 0.9795 0.002235
498.00 C 20260807 -1.00 -1.00 7 12 0.4156 0.9792 0.002319
499.00 C 20260807 -1.00 -1.00 3 2 0.3967 0.9812 0.002221
500.00 C 20260807 -1.00 -1.00 12 40 0.3978 0.9784 0.002503
501.00 C 20260807 -1.00 -1.00 -1 0 0.3789 0.9805 0.002403
502.00 C 20260807 -1.00 -1.00 1 1 0.3700 0.9801 0.002503
503.00 C 20260807 -1.00 -1.00 1 0 0.3711 0.9771 0.002826
504.00 C 20260807 -1.00 -1.00 -1 0 0.3424 0.9821 0.002470
505.00 C 20260807 -1.00 -1.00 21 8 0.3335 0.9817 0.002581
506.00 C 20260807 -1.00 -1.00 3 4 0.3446 0.9756 0.003220
507.00 C 20260807 -1.00 -1.00 1 5 0.3358 0.9750 0.003370
507.50 C 20260807 -1.00 -1.00 2 2 0.3314 0.9747 0.003450
508.00 C 20260807 -1.00 -1.00 2 2 0.3270 0.9744 0.003533
509.00 C 20260807 -1.00 -1.00 2 2 0.3182 0.9738 0.003707
510.00 C 20260807 -1.00 -1.00 33 466 0.3095 0.9732 0.003896
511.00 C 20260807 -1.00 -1.00 1 5 0.3008 0.9725 0.004100
512.00 C 20260807 -1.00 -1.00 1 3 0.3039 0.9660 0.004823
512.50 C 20260807 -1.00 -1.00 8 6 0.2877 0.9714 0.004440
513.00 C 20260807 -1.00 -1.00 1 17 0.2834 0.9711 0.004563
514.00 C 20260807 -1.00 -1.00 2 11 0.2840 0.9641 0.005384
515.00 C 20260807 -1.00 -1.00 1 112 0.2741 0.9630 0.005706
516.00 C 20260807 -1.00 -1.00 1 37 0.2594 0.9651 0.005762
517.00 C 20260807 -1.00 -1.00 2 32 0.2446 0.9675 0.005788
517.50 C 20260807 -1.00 -1.00 2 58 0.2495 0.9600 0.006669
518.00 C 20260807 -1.00 -1.00 7 52 0.2446 0.9593 0.006894
519.00 C 20260807 -1.00 -1.00 32 123 0.2348 0.9579 0.007382
520.00 C 20260807 -1.00 -1.00 13 203 0.2250 0.9564 0.007931
521.00 C 20260807 -1.00 -1.00 3 158 0.2251 0.9476 0.009236
522.00 C 20260807 -1.00 -1.00 5 147 0.2153 0.9455 0.009974
522.50 C 20260807 -1.00 -1.00 2 167 0.2203 0.9375 0.010955
523.00 C 20260807 -1.00 -1.00 3 379 0.2105 0.9397 0.011124
524.00 C 20260807 -1.00 -1.00 5 396 0.2052 0.9336 0.012371
525.00 C 20260807 -1.00 -1.00 79 1390 0.1995 0.9236 0.014025
526.00 C 20260807 -1.00 -1.00 15 821 0.1910 0.9164 0.015625
527.00 C 20260807 -1.00 -1.00 9 147 0.1853 0.9051 0.017681
527.50 C 20260807 -1.00 -1.00 6 57 0.1797 0.9026 0.018597
528.00 C 20260807 -1.00 -1.00 92 415 0.1769 0.8965 0.019792
529.00 C 20260807 -1.00 -1.00 50 943 0.1741 0.8804 0.022511
530.00 C 20260807 -1.00 -1.00 82 335 0.1670 0.8668 0.025365
531.00 C 20260807 -1.00 -1.00 98 305 0.1611 0.8455 0.028773
532.00 C 20260807 -1.00 -1.00 19 193 0.1589 0.8170 0.032522
533.00 C 20260807 -1.00 -1.00 176 1167 0.1548 0.7902 0.036615
534.00 C 20260807 -1.00 -1.00 82 325 0.1508 0.7572 0.040721
535.00 C 20260807 -1.00 -1.00 418 3679 0.1471 0.7176 0.044803
536.00 C 20260807 -1.00 -1.00 111 1069 0.1434 0.6761 0.049251
537.00 C 20260807 -1.00 -1.00 461 3410 0.1431 0.6265 0.051975
538.00 C 20260807 -1.00 -1.00 414 664 0.1394 0.5748 0.054854
539.00 C 20260807 -1.00 -1.00 801 1087 0.1400 0.5200 0.056253
540.00 C 20260807 -1.00 -1.00 1067 1598 0.1381 0.4647 0.056335
545.00 C 20260807 -1.00 -1.00 1300 425 0.1449 0.2251 0.040797
550.00 C 20260807 -1.00 -1.00 290 231 0.1502 0.0859 0.020331
555.00 C 20260807 -1.00 -1.00 542 105 0.1550 0.0259 0.007527
560.00 C 20260807 -1.00 -1.00 6 145 0.1663 0.0085 0.002667
565.00 C 20260807 -1.00 -1.00 1 10 0.2132 0.0105 0.002518
570.00 C 20260807 -1.00 -1.00 1 21 0.2512 0.0100 0.002054
470.00 P 20260807 -1.00 -1.00 2 79 0.5362 -0.0029 0.000314
475.00 P 20260807 -1.00 -1.00 2 396 0.4866 -0.0025 0.000310
480.00 P 20260807 -1.00 -1.00 10 145 0.4755 -0.0038 0.000465
485.00 P 20260807 -1.00 -1.00 25 486 0.4403 -0.0047 0.000597
489.00 P 20260807 -1.00 -1.00 1 177 0.4039 -0.0044 0.000619
490.00 P 20260807 -1.00 -1.00 12 145 0.3961 -0.0045 0.000640
491.00 P 20260807 -1.00 -1.00 1 13 0.3882 -0.0046 0.000663
492.00 P 20260807 -1.00 -1.00 2 524 0.3804 -0.0047 0.000688
493.00 P 20260807 -1.00 -1.00 1 6 0.3725 -0.0047 0.000713
494.00 P 20260807 -1.00 -1.00 1 57 0.3694 -0.0055 0.000816
495.00 P 20260807 -1.00 -1.00 1 126 0.3317 -0.0028 0.000496
496.00 P 20260807 -1.00 -1.00 1 66 0.3492 -0.0050 0.000800
497.00 P 20260807 -1.00 -1.00 2 26 0.3461 -0.0058 0.000918
498.00 P 20260807 -1.00 -1.00 12 52 0.3290 -0.0045 0.000774
499.00 P 20260807 -1.00 -1.00 7 235 0.3353 -0.0068 0.001084
500.00 P 20260807 -1.00 -1.00 6 498 0.3276 -0.0069 0.001131
501.00 P 20260807 -1.00 -1.00 2 175 0.3245 -0.0078 0.001270
502.00 P 20260807 -1.00 -1.00 19 124 0.3029 -0.0057 0.001033
503.00 P 20260807 -1.00 -1.00 3 77 0.2952 -0.0059 0.001082
504.00 P 20260807 -1.00 -1.00 2 138 0.2876 -0.0060 0.001135
505.00 P 20260807 -1.00 -1.00 18 207 0.2799 -0.0062 0.001191
506.00 P 20260807 -1.00 -1.00 4 105 0.2770 -0.0072 0.001379
507.00 P 20260807 -1.00 -1.00 17 1203 0.2647 -0.0065 0.001319
507.50 P 20260807 -1.00 -1.00 3 69 0.2656 -0.0075 0.001489
508.00 P 20260807 -1.00 -1.00 14 219 0.2664 -0.0084 0.001658
509.00 P 20260807 -1.00 -1.00 17 55 0.2589 -0.0086 0.001749
510.00 P 20260807 -1.00 -1.00 56 370 0.2513 -0.0089 0.001849
511.00 P 20260807 -1.00 -1.00 19 165 0.2438 -0.0092 0.001957
512.00 P 20260807 -1.00 -1.00 3 221 0.2455 -0.0112 0.002349
512.50 P 20260807 -1.00 -1.00 5 54 0.2371 -0.0105 0.002285
513.00 P 20260807 -1.00 -1.00 14 160 0.2396 -0.0125 0.002622
514.00 P 20260807 -1.00 -1.00 19 225 0.2330 -0.0138 0.002920
515.00 P 20260807 -1.00 -1.00 381 1907 0.2265 -0.0151 0.003249
516.00 P 20260807 -1.00 -1.00 25 240 0.2181 -0.0156 0.003472
517.00 P 20260807 -1.00 -1.00 5 136 0.2155 -0.0190 0.004150
517.50 P 20260807 -1.00 -1.00 19 238 0.2113 -0.0194 0.004299
