# opt_chain EWY | epoch 1785869012 | 2026-08-04 14:43:32 | spot 156.88 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 338371 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
104.00 C 20260807 -1.00 -1.00 431 35 -1.0000 -1.0000 -1.000000
105.00 C 20260807 -1.00 -1.00 508 26 1.8160 0.9989 0.000117
106.00 C 20260807 -1.00 -1.00 235 73 1.7792 0.9989 0.000119
107.00 C 20260807 -1.00 -1.00 209 156 2.2536 0.9917 0.000620
108.00 C 20260807 -1.00 -1.00 204 149 1.7068 0.9989 0.000121
109.00 C 20260807 -1.00 -1.00 199 22 -1.0000 -1.0000 -1.000000
110.00 C 20260807 -1.00 -1.00 67 24 -1.0000 -1.0000 -1.000000
111.00 C 20260807 -1.00 -1.00 149 35 -1.0000 -1.0000 -1.000000
112.00 C 20260807 -1.00 -1.00 131 38 -1.0000 -1.0000 -1.000000
113.00 C 20260807 -1.00 -1.00 17 4 -1.0000 -1.0000 -1.000000
114.00 C 20260807 -1.00 -1.00 26 67 -1.0000 -1.0000 -1.000000
115.00 C 20260807 -1.00 -1.00 22 17 -1.0000 -1.0000 -1.000000
116.00 C 20260807 -1.00 -1.00 35 96 -1.0000 -1.0000 -1.000000
117.00 C 20260807 -1.00 -1.00 27 6 -1.0000 -1.0000 -1.000000
118.00 C 20260807 -1.00 -1.00 6 5 -1.0000 -1.0000 -1.000000
119.00 C 20260807 -1.00 -1.00 27 8 -1.0000 -1.0000 -1.000000
120.00 C 20260807 -1.00 -1.00 23 16 -1.0000 -1.0000 -1.000000
121.00 C 20260807 -1.00 -1.00 16 12 -1.0000 -1.0000 -1.000000
122.00 C 20260807 -1.00 -1.00 22 5 -1.0000 -1.0000 -1.000000
123.00 C 20260807 -1.00 -1.00 19 8 -1.0000 -1.0000 -1.000000
124.00 C 20260807 -1.00 -1.00 19 8 -1.0000 -1.0000 -1.000000
125.00 C 20260807 -1.00 -1.00 24 105 -1.0000 -1.0000 -1.000000
126.00 C 20260807 -1.00 -1.00 46 10 -1.0000 -1.0000 -1.000000
127.00 C 20260807 -1.00 -1.00 37 11 -1.0000 -1.0000 -1.000000
128.00 C 20260807 -1.00 -1.00 21 11 1.4615 0.9882 0.001295
129.00 C 20260807 -1.00 -1.00 46 13 -1.0000 -1.0000 -1.000000
130.00 C 20260807 -1.00 -1.00 44 15 -1.0000 -1.0000 -1.000000
131.00 C 20260807 -1.00 -1.00 52 13 -1.0000 -1.0000 -1.000000
132.00 C 20260807 -1.00 -1.00 55 13 -1.0000 -1.0000 -1.000000
133.00 C 20260807 -1.00 -1.00 21 22 -1.0000 -1.0000 -1.000000
134.00 C 20260807 -1.00 -1.00 57 22 -1.0000 -1.0000 -1.000000
135.00 C 20260807 -1.00 -1.00 72 38 -1.0000 -1.0000 -1.000000
136.00 C 20260807 -1.00 -1.00 25 19 -1.0000 -1.0000 -1.000000
137.00 C 20260807 -1.00 -1.00 28 14 -1.0000 -1.0000 -1.000000
