# opt_chain GLD | epoch 1785861453 | 2026-08-04 12:37:33 | spot 374.95 | exps 20260805 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 271 | band 0.1800 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
330.00 C 20260805 -1.00 -1.00 -1 0 0.9527 0.9897 0.001292
335.00 C 20260805 -1.00 -1.00 -1 0 0.8034 0.9917 0.001257
340.00 C 20260805 -1.00 -1.00 1 0 0.7101 0.9907 0.001566
341.00 C 20260805 -1.00 -1.00 -1 0 0.6916 0.9905 0.001642
342.00 C 20260805 -1.00 -1.00 -1 0 0.4766 0.9996 0.000143
343.00 C 20260805 -1.00 -1.00 -1 0 0.4596 0.9996 0.000140
344.00 C 20260805 -1.00 -1.00 -1 0 0.5828 0.9941 0.001272
345.00 C 20260805 -1.00 -1.00 1 0 0.6182 0.9895 0.002010
346.00 C 20260805 -1.00 -1.00 -1 0 0.6279 0.9854 0.002626
347.00 C 20260805 -1.00 -1.00 -1 0 0.5818 0.9890 0.002244
348.00 C 20260805 -1.00 -1.00 -1 0 0.5637 0.9887 0.002377
349.00 C 20260805 -1.00 -1.00 2 1 0.5441 0.9883 0.002523
350.00 C 20260805 -1.00 -1.00 1 1 0.5240 0.9880 0.002684
351.00 C 20260805 -1.00 -1.00 8 2 -1.0000 -1.0000 -1.000000
352.00 C 20260805 -1.00 -1.00 6 1 0.5065 0.9824 0.003798
353.00 C 20260805 -1.00 -1.00 10 4 0.4209 0.9923 0.002221
354.00 C 20260805 -1.00 -1.00 16 2 0.4032 0.9920 0.002395
355.00 C 20260805 -1.00 -1.00 8 3 0.4466 0.9804 0.004734
356.00 C 20260805 -1.00 -1.00 4 2 0.4267 0.9796 0.005129
357.00 C 20260805 -1.00 -1.00 1 2 0.0004 1.0000 0.000000
358.00 C 20260805 -1.00 -1.00 6 2 0.3646 0.9838 0.004931
359.00 C 20260805 -1.00 -1.00 -1 0 0.0004 1.0000 0.000000
360.00 C 20260805 -1.00 -1.00 15 10 -1.0000 -1.0000 -1.000000
361.00 C 20260805 -1.00 -1.00 2 4 0.3283 0.9742 0.008197
362.00 C 20260805 -1.00 -1.00 2 34 -1.0000 -1.0000 -1.000000
363.00 C 20260805 -1.00 -1.00 -1 0 0.2894 0.9711 0.010313
364.00 C 20260805 -1.00 -1.00 60 15 -1.0000 -1.0000 -1.000000
365.00 C 20260805 -1.00 -1.00 1 63 0.0004 1.0000 0.000000
366.00 C 20260805 -1.00 -1.00 84 101 0.1865 0.9849 0.009094
367.00 C 20260805 -1.00 -1.00 4 48 -1.0000 -1.0000 -1.000000
368.00 C 20260805 -1.00 -1.00 239 86 0.1799 0.9569 0.022667
369.00 C 20260805 -1.00 -1.00 13 93 0.1855 0.9227 0.035069
370.00 C 20260805 -1.00 -1.00 358 653 0.1856 0.8804 0.048638
371.00 C 20260805 -1.00 -1.00 86 316 0.1751 0.8362 0.063291
372.00 C 20260805 -1.00 -1.00 159 384 0.1763 0.7654 0.079043
373.00 C 20260805 -1.00 -1.00 551 290 0.1764 0.6782 0.091920
374.00 C 20260805 -1.00 -1.00 568 349 0.1789 0.5812 0.098191
375.00 C 20260805 -1.00 -1.00 2117 1107 0.1822 0.4831 0.099162
376.00 C 20260805 -1.00 -1.00 1314 548 0.1816 0.3858 0.095356
377.00 C 20260805 -1.00 -1.00 1136 600 0.1814 0.2973 0.085765
378.00 C 20260805 -1.00 -1.00 833 358 0.1905 0.2273 0.072025
379.00 C 20260805 -1.00 -1.00 385 378 0.1950 0.1711 0.058453
380.00 C 20260805 -1.00 -1.00 1235 658 0.2019 0.1262 0.046423
381.00 C 20260805 -1.00 -1.00 153 212 0.2108 0.0974 0.036511
382.00 C 20260805 -1.00 -1.00 624 280 0.2197 0.0709 0.028025
383.00 C 20260805 -1.00 -1.00 24 399 0.2243 0.0533 0.021610
384.00 C 20260805 -1.00 -1.00 556 242 0.2326 0.0397 0.016455
385.00 C 20260805 -1.00 -1.00 78 186 0.2434 0.0305 0.012778
386.00 C 20260805 -1.00 -1.00 44 190 0.2446 0.0216 0.009390
387.00 C 20260805 -1.00 -1.00 15 73 0.2754 0.0252 0.009550
388.00 C 20260805 -1.00 -1.00 32 185 0.2766 0.0174 0.006918
389.00 C 20260805 -1.00 -1.00 7 150 0.2946 0.0165 0.006203
390.00 C 20260805 -1.00 -1.00 61 194 0.2844 0.0091 0.003831
391.00 C 20260805 -1.00 -1.00 6 101 0.3304 0.0149 0.005096
392.00 C 20260805 -1.00 -1.00 6 154 0.3441 0.0129 0.004344
393.00 C 20260805 -1.00 -1.00 2 103 0.3829 0.0188 0.005314
394.00 C 20260805 -1.00 -1.00 12 77 0.4007 0.0180 0.004910
395.00 C 20260805 -1.00 -1.00 9 126 0.4057 0.0139 0.003910
396.00 C 20260805 -1.00 -1.00 49 66 0.3978 0.0098 0.002912
397.00 C 20260805 -1.00 -1.00 1 57 0.4035 0.0081 0.002431
398.00 C 20260805 -1.00 -1.00 4 52 0.4190 0.0078 0.002270
399.00 C 20260805 -1.00 -1.00 1 56 0.4344 0.0076 0.002126
400.00 C 20260805 -1.00 -1.00 1 79 0.4497 0.0074 0.001996
401.00 C 20260805 -1.00 -1.00 28 107 0.5138 0.0124 0.002821
402.00 C 20260805 -1.00 -1.00 1 44 0.5095 0.0101 0.002357
403.00 C 20260805 -1.00 -1.00 3 97 0.5248 0.0099 0.002232
404.00 C 20260805 -1.00 -1.00 2 64 0.6048 0.0189 0.003382
405.00 C 20260805 -1.00 -1.00 20 81 0.6178 0.0177 0.003130
406.00 C 20260805 -1.00 -1.00 185 55 0.6225 0.0150 0.002710
407.00 C 20260805 -1.00 -1.00 1 48 0.5852 0.0089 0.001825
408.00 C 20260805 -1.00 -1.00 2 63 0.5906 0.0078 0.001605
409.00 C 20260805 -1.00 -1.00 1 61 0.6636 0.0125 0.002200
410.00 C 20260805 -1.00 -1.00 89 83 0.6592 0.0108 0.001924
411.00 C 20260805 -1.00 -1.00 4 46 0.6644 0.0098 0.001746
412.00 C 20260805 -1.00 -1.00 1 43 0.6600 0.0080 0.001465
413.00 C 20260805 -1.00 -1.00 52 47 0.6941 0.0094 0.001611
414.00 C 20260805 -1.00 -1.00 52 20 0.7089 0.0092 0.001549
415.00 C 20260805 -1.00 -1.00 4 18 0.7236 0.0090 0.001492
416.00 C 20260805 -1.00 -1.00 2 24 0.7671 0.0109 0.001677
417.00 C 20260805 -1.00 -1.00 2 13 0.7338 0.0073 0.001209
418.00 C 20260805 -1.00 -1.00 2 2 0.7676 0.0086 0.001339
419.00 C 20260805 -1.00 -1.00 5 6 0.7822 0.0084 0.001293
330.00 P 20260805 -1.00 -1.00 1 56 1.0066 -0.0149 0.001662
335.00 P 20260805 -1.00 -1.00 2 84 0.7986 -0.0081 0.001225
340.00 P 20260805 -1.00 -1.00 59 154 0.6744 -0.0068 0.001241
341.00 P 20260805 -1.00 -1.00 18 61 0.6885 -0.0093 0.001616
342.00 P 20260805 -1.00 -1.00 34 93 0.6489 -0.0080 0.001490
343.00 P 20260805 -1.00 -1.00 13 64 0.6093 -0.0065 0.001317
344.00 P 20260805 -1.00 -1.00 32 93 0.6541 -0.0116 0.002081
345.00 P 20260805 -1.00 -1.00 479 503 0.5841 -0.0078 0.001617
