# opt_chain MU | epoch 1785861424 | 2026-08-04 12:37:04 | spot 894.59 | exps 20260805 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 121 | band 0.6000 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
540.00 C 20260805 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
545.00 C 20260805 -1.00 -1.00 6 0 -1.0000 -1.0000 -1.000000
550.00 C 20260805 -1.00 -1.00 6 0 -1.0000 -1.0000 -1.000000
555.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
560.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
562.50 C 20260805 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
565.00 C 20260805 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
567.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
570.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
572.50 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
575.00 C 20260805 -1.00 -1.00 21 0 -1.0000 -1.0000 -1.000000
577.50 C 20260805 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
580.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
582.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
585.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
587.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
590.00 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
592.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
595.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
597.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
600.00 C 20260805 -1.00 -1.00 2 5 -1.0000 -1.0000 -1.000000
602.50 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
605.00 C 20260805 -1.00 -1.00 3 3 -1.0000 -1.0000 -1.000000
607.50 C 20260805 -1.00 -1.00 15 9 2.6856 0.9944 0.000111
610.00 C 20260805 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
612.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
615.00 C 20260805 -1.00 -1.00 13 12 -1.0000 -1.0000 -1.000000
617.50 C 20260805 -1.00 -1.00 8 4 -1.0000 -1.0000 -1.000000
620.00 C 20260805 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
622.50 C 20260805 -1.00 -1.00 8 4 -1.0000 -1.0000 -1.000000
625.00 C 20260805 -1.00 -1.00 12 12 0.0004 1.0000 0.000000
627.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
630.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
632.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
635.00 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
637.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
640.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
642.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
645.00 C 20260805 -1.00 -1.00 6 6 -1.0000 -1.0000 -1.000000
647.50 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
650.00 C 20260805 -1.00 -1.00 1 4 -1.0000 -1.0000 -1.000000
652.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
655.00 C 20260805 -1.00 -1.00 5 5 -1.0000 -1.0000 -1.000000
657.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
660.00 C 20260805 -1.00 -1.00 46 42 -1.0000 -1.0000 -1.000000
662.50 C 20260805 -1.00 -1.00 12 0 -1.0000 -1.0000 -1.000000
665.00 C 20260805 -1.00 -1.00 42 11 -1.0000 -1.0000 -1.000000
667.50 C 20260805 -1.00 -1.00 42 0 -1.0000 -1.0000 -1.000000
670.00 C 20260805 -1.00 -1.00 34 3 -1.0000 -1.0000 -1.000000
672.50 C 20260805 -1.00 -1.00 18 0 -1.0000 -1.0000 -1.000000
675.00 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
677.50 C 20260805 -1.00 -1.00 12 12 -1.0000 -1.0000 -1.000000
680.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
682.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
685.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
687.50 C 20260805 -1.00 -1.00 15 15 -1.0000 -1.0000 -1.000000
690.00 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
692.50 C 20260805 -1.00 -1.00 10 5 -1.0000 -1.0000 -1.000000
695.00 C 20260805 -1.00 -1.00 3 3 -1.0000 -1.0000 -1.000000
697.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
700.00 C 20260805 -1.00 -1.00 11 37 -1.0000 -1.0000 -1.000000
702.50 C 20260805 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
705.00 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
707.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
710.00 C 20260805 -1.00 -1.00 6 3 -1.0000 -1.0000 -1.000000
712.50 C 20260805 -1.00 -1.00 7 3 -1.0000 -1.0000 -1.000000
715.00 C 20260805 -1.00 -1.00 7 2 -1.0000 -1.0000 -1.000000
717.50 C 20260805 -1.00 -1.00 7 0 -1.0000 -1.0000 -1.000000
720.00 C 20260805 -1.00 -1.00 7 5 -1.0000 -1.0000 -1.000000
722.50 C 20260805 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
725.00 C 20260805 -1.00 -1.00 6 2 -1.0000 -1.0000 -1.000000
727.50 C 20260805 -1.00 -1.00 12 2 -1.0000 -1.0000 -1.000000
730.00 C 20260805 -1.00 -1.00 78 5 -1.0000 -1.0000 -1.000000
732.50 C 20260805 -1.00 -1.00 -1 0 0.0004 1.0000 -0.000000
735.00 C 20260805 -1.00 -1.00 11 4 -1.0000 -1.0000 -1.000000
737.50 C 20260805 -1.00 -1.00 51 41 -1.0000 -1.0000 -1.000000
740.00 C 20260805 -1.00 -1.00 4 53 -1.0000 -1.0000 -1.000000
742.50 C 20260805 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
745.00 C 20260805 -1.00 -1.00 10 19 1.3381 0.9915 0.000322
747.50 C 20260805 -1.00 -1.00 1 4 -1.0000 -1.0000 -1.000000
750.00 C 20260805 -1.00 -1.00 32 90 -1.0000 -1.0000 -1.000000
755.00 C 20260805 -1.00 -1.00 12 15 -1.0000 -1.0000 -1.000000
760.00 C 20260805 -1.00 -1.00 8 45 -1.0000 -1.0000 -1.000000
765.00 C 20260805 -1.00 -1.00 6 17 -1.0000 -1.0000 -1.000000
770.00 C 20260805 -1.00 -1.00 14 77 -1.0000 -1.0000 -1.000000
775.00 C 20260805 -1.00 -1.00 7 84 1.4164 0.9616 0.001096
780.00 C 20260805 -1.00 -1.00 47 403 1.3832 0.9581 0.001206
785.00 C 20260805 -1.00 -1.00 147 397 1.0478 0.9852 0.000664
790.00 C 20260805 -1.00 -1.00 15 169 0.0004 1.0000 0.000000
795.00 C 20260805 -1.00 -1.00 25 246 0.9873 0.9811 0.000868
800.00 C 20260805 -1.00 -1.00 98 924 1.4178 0.9172 0.002013
805.00 C 20260805 -1.00 -1.00 20 203 1.0997 0.9528 0.001671
810.00 C 20260805 -1.00 -1.00 145 496 1.0827 0.9460 0.001901
815.00 C 20260805 -1.00 -1.00 414 488 1.2660 0.9024 0.002552
820.00 C 20260805 -1.00 -1.00 172 816 1.2235 0.8955 0.002784
825.00 C 20260805 -1.00 -1.00 472 505 1.2584 0.8763 0.003094
830.00 C 20260805 -1.00 -1.00 339 796 1.3164 0.8453 0.003392
835.00 C 20260805 -1.00 -1.00 334 574 1.2922 0.8300 0.003672
840.00 C 20260805 -1.00 -1.00 328 646 1.3010 0.8089 0.003946
845.00 C 20260805 -1.00 -1.00 286 439 1.2789 0.7925 0.004249
850.00 C 20260805 -1.00 -1.00 1311 2026 1.2764 0.7701 0.004510
855.00 C 20260805 -1.00 -1.00 194 307 1.2598 0.7469 0.004778
860.00 C 20260805 -1.00 -1.00 1462 331 1.2461 0.7227 0.005050
865.00 C 20260805 -1.00 -1.00 826 202 1.2543 0.6953 0.005263
870.00 C 20260805 -1.00 -1.00 3972 1193 1.2461 0.6699 0.005528
875.00 C 20260805 -1.00 -1.00 4171 248 1.2476 0.6414 0.005682
880.00 C 20260805 -1.00 -1.00 6612 339 1.2126 0.6141 0.005942
885.00 C 20260805 -1.00 -1.00 4842 125 1.2181 0.5832 0.006022
890.00 C 20260805 -1.00 -1.00 5779 352 1.2249 0.5527 0.006095
895.00 C 20260805 -1.00 -1.00 3729 247 1.2374 0.5225 0.006136
900.00 C 20260805 -1.00 -1.00 17893 2363 1.2311 0.4926 0.006141
905.00 C 20260805 -1.00 -1.00 1385 211 1.2285 0.4627 0.006086
910.00 C 20260805 -1.00 -1.00 2263 594 1.2130 0.4317 0.006092
915.00 C 20260805 -1.00 -1.00 1081 389 1.2210 0.4023 0.005985
920.00 C 20260805 -1.00 -1.00 3248 975 1.2219 0.3725 0.005911
925.00 C 20260805 -1.00 -1.00 2509 661 1.2186 0.3458 0.005727
930.00 C 20260805 -1.00 -1.00 3768 786 1.2121 0.3188 0.005539
935.00 C 20260805 -1.00 -1.00 1481 413 1.2043 0.2912 0.005349
940.00 C 20260805 -1.00 -1.00 2048 714 1.2162 0.2674 0.005104
945.00 C 20260805 -1.00 -1.00 1277 231 1.2295 0.2443 0.004864
950.00 C 20260805 -1.00 -1.00 9703 1305 1.2179 0.2219 0.004620
955.00 C 20260805 -1.00 -1.00 1214 482 1.2134 0.2014 0.004351
960.00 C 20260805 -1.00 -1.00 1747 268 1.2140 0.1818 0.004077
965.00 C 20260805 -1.00 -1.00 1009 147 1.2197 0.1635 0.003804
970.00 C 20260805 -1.00 -1.00 1822 234 1.2321 0.1470 0.003540
975.00 C 20260805 -1.00 -1.00 1108 279 1.2315 0.1320 0.003286
980.00 C 20260805 -1.00 -1.00 1636 573 1.2261 0.1182 0.003032
985.00 C 20260805 -1.00 -1.00 631 111 1.2257 0.1053 0.002781
990.00 C 20260805 -1.00 -1.00 875 188 1.2338 0.0942 0.002547
995.00 C 20260805 -1.00 -1.00 695 237 1.2434 0.0836 0.002322
1000.00 C 20260805 -1.00 -1.00 10759 3425 1.2594 0.0745 0.002121
1005.00 C 20260805 -1.00 -1.00 570 172 1.2556 0.0663 0.001933
1010.00 C 20260805 -1.00 -1.00 722 184 1.2537 0.0589 0.001753
1015.00 C 20260805 -1.00 -1.00 614 72 1.2570 0.0523 0.001584
1020.00 C 20260805 -1.00 -1.00 907 142 1.2636 0.0461 0.001426
1025.00 C 20260805 -1.00 -1.00 550 227 1.2771 0.0411 0.001289
1030.00 C 20260805 -1.00 -1.00 1052 574 1.2862 0.0356 0.001146
1035.00 C 20260805 -1.00 -1.00 667 540 1.2999 0.0322 0.001047
1040.00 C 20260805 -1.00 -1.00 312 237 1.2957 0.0285 0.000941
1045.00 C 20260805 -1.00 -1.00 177 33 1.2984 0.0253 0.000846
1050.00 C 20260805 -1.00 -1.00 2364 1166 1.3060 0.0226 0.000762
1055.00 C 20260805 -1.00 -1.00 102 87 1.3136 0.0199 0.000679
1060.00 C 20260805 -1.00 -1.00 838 72 1.3313 0.0181 0.000620
1065.00 C 20260805 -1.00 -1.00 47 125 1.3421 0.0158 0.000550
1070.00 C 20260805 -1.00 -1.00 171 124 1.3596 0.0141 0.000496
1075.00 C 20260805 -1.00 -1.00 218 32 1.3671 0.0127 0.000449
1080.00 C 20260805 -1.00 -1.00 135 156 1.3680 0.0113 0.000405
1085.00 C 20260805 -1.00 -1.00 165 61 1.3728 0.0102 0.000366
1090.00 C 20260805 -1.00 -1.00 62 78 1.3776 0.0090 0.000327
1095.00 C 20260805 -1.00 -1.00 17 33 1.3861 0.0080 0.000293
1100.00 C 20260805 -1.00 -1.00 485 346 1.4100 0.0077 0.000278
1105.00 C 20260805 -1.00 -1.00 21 73 1.4146 0.0066 0.000242
1110.00 C 20260805 -1.00 -1.00 96 75 1.4269 0.0059 0.000216
1115.00 C 20260805 -1.00 -1.00 1 73 1.4467 0.0054 0.000200
1120.00 C 20260805 -1.00 -1.00 32 164 1.4626 0.0049 0.000180
1125.00 C 20260805 -1.00 -1.00 81 45 1.4855 0.0046 0.000170
1130.00 C 20260805 -1.00 -1.00 27 129 1.4469 0.0035 0.000136
1135.00 C 20260805 -1.00 -1.00 3 22 1.4604 0.0033 0.000126
1140.00 C 20260805 -1.00 -1.00 5 15 1.4738 0.0031 0.000117
1145.00 C 20260805 -1.00 -1.00 1 59 1.4871 0.0029 0.000109
1150.00 C 20260805 -1.00 -1.00 192 88 1.5004 0.0027 0.000100
1155.00 C 20260805 -1.00 -1.00 3 14 1.5239 0.0026 0.000097
1160.00 C 20260805 -1.00 -1.00 61 45 1.5575 0.0028 0.000100
1165.00 C 20260805 -1.00 -1.00 12 10 1.5603 0.0024 0.000087
1170.00 C 20260805 -1.00 -1.00 13 41 1.5733 0.0022 0.000080
1175.00 C 20260805 -1.00 -1.00 7 18 1.6169 0.0025 0.000087
