# opt_chain NDX | epoch 1785869052 | 2026-08-04 14:44:12 | spot 29741.94 | exps 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 924 | band 0.1800 vencimientos 14 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
26200.00 C 20260821 -1.00 -1.00 0 19 0.3521 0.9713 0.000000
26200.00 P 20260821 -1.00 -1.00 2 187 0.3171 -0.0283 0.000000
26250.00 C 20260821 -1.00 -1.00 0 0 0.3492 0.9702 0.000000
26250.00 P 20260821 -1.00 -1.00 0 0 0.3168 -0.0293 0.000000
26300.00 C 20260821 -1.00 -1.00 0 1 0.3229 0.9691 0.000000
26300.00 P 20260821 -1.00 -1.00 0 5 0.3144 -0.0305 0.000000
26350.00 C 20260821 -1.00 -1.00 0 0 0.3265 0.9680 0.000000
26350.00 P 20260821 -1.00 -1.00 0 0 0.3123 -0.0316 0.000000
26400.00 C 20260821 -1.00 -1.00 0 5 0.3292 0.9667 0.000000
26400.00 P 20260821 -1.00 -1.00 0 135 0.3103 -0.0328 0.000000
26450.00 C 20260821 -1.00 -1.00 0 0 0.3268 0.9654 0.000000
26450.00 P 20260821 -1.00 -1.00 0 55 0.3084 -0.0341 0.000000
26500.00 C 20260821 -1.00 -1.00 0 4 0.3242 0.9641 0.000000
26500.00 P 20260821 -1.00 -1.00 4 159 0.3065 -0.0355 0.000000
26550.00 C 20260821 -1.00 -1.00 0 0 0.3218 0.9626 0.000000
26550.00 P 20260821 -1.00 -1.00 1 3 0.3044 -0.0369 0.000000
26600.00 C 20260821 -1.00 -1.00 0 4 0.3193 0.9612 0.000000
26600.00 P 20260821 -1.00 -1.00 2 79 0.3026 -0.0384 0.000000
26650.00 C 20260821 -1.00 -1.00 0 0 0.3169 0.9596 0.000000
26650.00 P 20260821 -1.00 -1.00 0 1 0.3007 -0.0400 0.000000
26700.00 C 20260821 -1.00 -1.00 0 0 0.3145 0.9580 0.000000
26700.00 P 20260821 -1.00 -1.00 2 53 0.2990 -0.0416 0.000000
26750.00 C 20260821 -1.00 -1.00 0 1 0.3121 0.9562 0.000000
26750.00 P 20260821 -1.00 -1.00 0 8 0.2971 -0.0434 0.000000
26775.00 C 20260821 -1.00 -1.00 0 0 0.3111 0.9553 0.000000
26775.00 P 20260821 -1.00 -1.00 0 0 0.2962 -0.0442 0.000000
26800.00 C 20260821 -1.00 -1.00 0 10 0.3100 0.9544 0.000000
26800.00 P 20260821 -1.00 -1.00 5 312 0.2954 -0.0452 0.000000
26825.00 C 20260821 -1.00 -1.00 0 0 0.3087 0.9535 0.000000
26825.00 P 20260821 -1.00 -1.00 0 0 0.2943 -0.0461 0.000000
26850.00 C 20260821 -1.00 -1.00 0 1 0.3076 0.9525 0.000000
26850.00 P 20260821 -1.00 -1.00 0 3 0.2935 -0.0471 0.000000
26875.00 C 20260821 -1.00 -1.00 0 0 0.3066 0.9515 0.000000
26875.00 P 20260821 -1.00 -1.00 0 0 0.2926 -0.0481 0.000000
26900.00 C 20260821 -1.00 -1.00 0 1 0.3054 0.9505 0.000000
26900.00 P 20260821 -1.00 -1.00 68 139 0.2911 -0.0491 0.000000
26925.00 C 20260821 -1.00 -1.00 0 0 0.3043 0.9495 0.000100
26925.00 P 20260821 -1.00 -1.00 0 0 0.2911 -0.0501 0.000100
26950.00 C 20260821 -1.00 -1.00 0 1 0.3032 0.9484 0.000100
26950.00 P 20260821 -1.00 -1.00 1 2 0.2900 -0.0512 0.000100
26975.00 C 20260821 -1.00 -1.00 0 0 0.3021 0.9473 0.000100
26975.00 P 20260821 -1.00 -1.00 6 2 0.2886 -0.0523 0.000100
27000.00 C 20260821 -1.00 -1.00 0 13 0.3010 0.9462 0.000100
27000.00 P 20260821 -1.00 -1.00 10 248 0.2877 -0.0534 0.000100
27025.00 C 20260821 -1.00 -1.00 0 1 0.3000 0.9451 0.000100
27025.00 P 20260821 -1.00 -1.00 0 0 0.2877 -0.0545 0.000100
27050.00 C 20260821 -1.00 -1.00 0 1 0.2990 0.9439 0.000100
27050.00 P 20260821 -1.00 -1.00 0 5 0.2869 -0.0557 0.000100
27075.00 C 20260821 -1.00 -1.00 0 0 0.2979 0.9427 0.000100
27075.00 P 20260821 -1.00 -1.00 6 0 0.2858 -0.0569 0.000100
27100.00 C 20260821 -1.00 -1.00 0 2 0.2968 0.9415 0.000100
27100.00 P 20260821 -1.00 -1.00 6 24 0.2850 -0.0581 0.000100
27125.00 C 20260821 -1.00 -1.00 0 1 0.2958 0.9402 0.000100
27125.00 P 20260821 -1.00 -1.00 0 0 0.2844 -0.0594 0.000100
27150.00 C 20260821 -1.00 -1.00 0 0 0.2948 0.9389 0.000100
27150.00 P 20260821 -1.00 -1.00 0 7 0.2833 -0.0607 0.000100
27175.00 C 20260821 -1.00 -1.00 0 0 0.2938 0.9376 0.000100
27175.00 P 20260821 -1.00 -1.00 0 0 0.2827 -0.0620 0.000100
27200.00 C 20260821 -1.00 -1.00 0 1 0.2927 0.9362 0.000100
27200.00 P 20260821 -1.00 -1.00 5 32 0.2811 -0.0633 0.000100
27225.00 C 20260821 -1.00 -1.00 0 0 0.2917 0.9349 0.000100
27225.00 P 20260821 -1.00 -1.00 1 2 0.2808 -0.0647 0.000100
27250.00 C 20260821 -1.00 -1.00 0 2 0.2907 0.9334 0.000100
27250.00 P 20260821 -1.00 -1.00 1 5 0.2800 -0.0661 0.000100
27275.00 C 20260821 -1.00 -1.00 0 2 0.2898 0.9320 0.000100
27275.00 P 20260821 -1.00 -1.00 0 0 0.2795 -0.0676 0.000100
27300.00 C 20260821 -1.00 -1.00 0 0 0.2887 0.9305 0.000100
27300.00 P 20260821 -1.00 -1.00 0 16 0.2788 -0.0691 0.000100
27325.00 C 20260821 -1.00 -1.00 0 1 0.2878 0.9290 0.000100
27325.00 P 20260821 -1.00 -1.00 0 0 0.2779 -0.0706 0.000100
27350.00 C 20260821 -1.00 -1.00 0 4 0.2937 0.9274 0.000100
27350.00 P 20260821 -1.00 -1.00 0 13 0.2772 -0.0722 0.000100
27375.00 C 20260821 -1.00 -1.00 0 1 0.2823 0.9258 0.000100
27375.00 P 20260821 -1.00 -1.00 0 55 0.2756 -0.0737 0.000100
27400.00 C 20260821 -1.00 -1.00 0 13 0.2814 0.9242 0.000100
27400.00 P 20260821 -1.00 -1.00 6 259 0.2749 -0.0754 0.000100
27425.00 C 20260821 -1.00 -1.00 0 3 0.2806 0.9225 0.000100
27425.00 P 20260821 -1.00 -1.00 1 1 0.2741 -0.0770 0.000100
27450.00 C 20260821 -1.00 -1.00 0 2 0.2797 0.9208 0.000100
27450.00 P 20260821 -1.00 -1.00 6 11 0.2734 -0.0788 0.000100
27475.00 C 20260821 -1.00 -1.00 0 1 0.2788 0.9191 0.000100
27475.00 P 20260821 -1.00 -1.00 0 0 0.2734 -0.0805 0.000100
27500.00 C 20260821 -1.00 -1.00 0 36 0.2780 0.9173 0.000100
27500.00 P 20260821 -1.00 -1.00 26 359 0.2719 -0.0823 0.000100
27525.00 C 20260821 -1.00 -1.00 0 2 0.2772 0.9155 0.000100
27525.00 P 20260821 -1.00 -1.00 0 2 0.2718 -0.0841 0.000100
27550.00 C 20260821 -1.00 -1.00 0 8 0.2762 0.9136 0.000100
27550.00 P 20260821 -1.00 -1.00 0 8 0.2708 -0.0860 0.000100
27575.00 C 20260821 -1.00 -1.00 0 2 0.2754 0.9117 0.000100
27575.00 P 20260821 -1.00 -1.00 0 1 0.2704 -0.0879 0.000100
27600.00 C 20260821 -1.00 -1.00 0 25 0.2746 0.9097 0.000100
