# opt_chain NVDA | epoch 1785859527 | 2026-08-04 12:05:27 | spot 210.67 | exps 20260805 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 86 | band 0.2700 vencimientos 8 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
175.00 C 20260805 -1.00 -1.00 69 33 2.2862 0.9221 0.005033
177.50 C 20260805 -1.00 -1.00 9 26 -1.0000 -1.0000 -1.000000
180.00 C 20260805 -1.00 -1.00 75 146 1.2198 0.9865 0.002228
182.50 C 20260805 -1.00 -1.00 10 96 1.6993 0.9285 0.006370
185.00 C 20260805 -1.00 -1.00 65 273 0.6851 0.9994 0.000228
187.50 C 20260805 -1.00 -1.00 18 325 0.8915 0.9875 0.002864
190.00 C 20260805 -1.00 -1.00 27 851 1.1717 0.9364 0.008531
192.50 C 20260805 -1.00 -1.00 670 908 0.7879 0.9744 0.005993
195.00 C 20260805 -1.00 -1.00 853 1657 0.5657 0.9900 0.003706
197.50 C 20260805 -1.00 -1.00 373 1116 0.5961 0.9674 0.009694
200.00 C 20260805 -1.00 -1.00 1765 4015 0.5345 0.9492 0.015422
202.50 C 20260805 -1.00 -1.00 1262 4379 0.4742 0.9203 0.024729
205.00 C 20260805 -1.00 -1.00 3113 6733 0.4365 0.8549 0.041552
207.50 C 20260805 -1.00 -1.00 9653 8977 0.4239 0.7278 0.062073
210.00 C 20260805 -1.00 -1.00 69933 13768 0.4238 0.5548 0.074111
212.50 C 20260805 -1.00 -1.00 133303 10940 0.4259 0.3721 0.071311
215.00 C 20260805 -1.00 -1.00 120524 15069 0.4281 0.2182 0.054989
217.50 C 20260805 -1.00 -1.00 34972 5313 0.4424 0.1178 0.035425
220.00 C 20260805 -1.00 -1.00 38964 11260 0.4632 0.0607 0.020575
222.50 C 20260805 -1.00 -1.00 7881 3929 0.4908 0.0309 0.011309
225.00 C 20260805 -1.00 -1.00 6072 2558 0.5234 0.0183 0.006706
227.50 C 20260805 -1.00 -1.00 1884 1216 0.5550 0.0103 0.003860
230.00 C 20260805 -1.00 -1.00 2224 1794 0.5872 0.0061 0.002285
232.50 C 20260805 -1.00 -1.00 304 577 0.6530 0.0055 0.001895
235.00 C 20260805 -1.00 -1.00 351 960 0.7180 0.0051 0.001606
240.00 C 20260805 -1.00 -1.00 648 3478 0.8460 0.0044 0.001213
245.00 C 20260805 -1.00 -1.00 9 586 0.9879 0.0050 0.001146
175.00 P 20260805 -1.00 -1.00 233 1658 1.1713 -0.0032 0.000644
177.50 P 20260805 -1.00 -1.00 147 6182 1.0931 -0.0034 0.000735
180.00 P 20260805 -1.00 -1.00 121 5339 1.0160 -0.0036 0.000846
182.50 P 20260805 -1.00 -1.00 138 5430 0.9335 -0.0039 0.000984
185.00 P 20260805 -1.00 -1.00 342 6968 0.8502 -0.0043 0.001159
187.50 P 20260805 -1.00 -1.00 787 7660 0.8063 -0.0071 0.001909
190.00 P 20260805 -1.00 -1.00 1280 5430 0.7249 -0.0079 0.002325
192.50 P 20260805 -1.00 -1.00 1179 2722 0.6980 -0.0139 0.003988
195.00 P 20260805 -1.00 -1.00 3682 6035 0.6404 -0.0208 0.006136
197.50 P 20260805 -1.00 -1.00 2828 4065 0.5835 -0.0291 0.009074
200.00 P 20260805 -1.00 -1.00 22761 6177 0.5230 -0.0474 0.014870
202.50 P 20260805 -1.00 -1.00 17432 4478 0.4746 -0.0799 0.024767
205.00 P 20260805 -1.00 -1.00 38605 4452 0.4413 -0.1481 0.041630
207.50 P 20260805 -1.00 -1.00 81613 2456 0.4264 -0.2735 0.061890
210.00 P 20260805 -1.00 -1.00 46515 1494 0.4250 -0.4456 0.073997
212.50 P 20260805 -1.00 -1.00 6531 668 0.4269 -0.6282 0.071277
215.00 P 20260805 -1.00 -1.00 1298 407 0.4201 -0.7868 0.055458
217.50 P 20260805 -1.00 -1.00 630 91 0.4296 -0.8899 0.035094
220.00 P 20260805 -1.00 -1.00 2518 252 0.4355 -0.9513 0.018898
222.50 P 20260805 -1.00 -1.00 673 60 0.4766 -0.9737 0.010822
225.00 P 20260805 -1.00 -1.00 1182 49 -1.0000 -1.0000 -1.000000
227.50 P 20260805 -1.00 -1.00 591 26 -1.0000 -1.0000 -1.000000
