# opt_chain SKHY | epoch 1785870911 | 2026-08-04 15:15:11 | spot 143.00 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 340269 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
86.00 C 20260807 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
87.00 C 20260807 -1.00 -1.00 10 1 3.8974 0.9599 0.001555
88.00 C 20260807 -1.00 -1.00 10 0 3.6948 0.9631 0.001525
89.00 C 20260807 -1.00 -1.00 2 15 3.6312 0.9625 0.001575
90.00 C 20260807 -1.00 -1.00 17 35 3.3424 0.9693 0.001444
91.00 C 20260807 -1.00 -1.00 12 6 2.8830 0.9817 0.001086
92.00 C 20260807 -1.00 -1.00 26 78 3.3108 0.9650 0.001627
93.00 C 20260807 -1.00 -1.00 14 80 3.2509 0.9644 0.001681
94.00 C 20260807 -1.00 -1.00 6 6 3.3683 0.9576 0.001883
95.00 C 20260807 -1.00 -1.00 6 5 3.1769 0.9615 0.001838
96.00 C 20260807 -1.00 -1.00 10 2 3.0750 0.9624 0.001859
97.00 C 20260807 -1.00 -1.00 10 2 2.3165 0.9878 0.000952
98.00 C 20260807 -1.00 -1.00 6 2 2.9609 0.9610 0.001990
99.00 C 20260807 -1.00 -1.00 6 27 2.5617 0.9765 0.001530
100.00 C 20260807 -1.00 -1.00 12 58 3.0201 0.9528 0.002299
101.00 C 20260807 -1.00 -1.00 16 5 2.4548 0.9757 0.001644
102.00 C 20260807 -1.00 -1.00 66 9 3.1107 0.9406 0.002670
103.00 C 20260807 -1.00 -1.00 52 4 2.5180 0.9654 0.002120
104.00 C 20260807 -1.00 -1.00 2 0 2.8648 0.9460 0.002712
105.00 C 20260807 -1.00 -1.00 8 13 2.4967 0.9596 0.002429
106.00 C 20260807 -1.00 -1.00 1 2 2.6519 0.9490 0.002796
107.00 C 20260807 -1.00 -1.00 -1 0 2.7320 0.9394 0.003088
108.00 C 20260807 -1.00 -1.00 2 2 2.2198 0.9642 0.002473
109.00 C 20260807 -1.00 -1.00 -1 0 2.6377 0.9353 0.003357
110.00 C 20260807 -1.00 -1.00 3 41 2.4618 0.9430 0.003289
111.00 C 20260807 -1.00 -1.00 2 97 2.4281 0.9399 0.003462
