# opt_chain SPCX | epoch 1785869016 | 2026-08-04 14:43:36 | spot 108.20 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 338375 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
65.00 C 20260807 -1.00 -1.00 24 5 4.6120 0.9578 0.001700
66.00 C 20260807 -1.00 -1.00 32 5 4.5520 0.9563 0.001774
67.00 C 20260807 -1.00 -1.00 7 0 -1.0000 -1.0000 -1.000000
68.00 C 20260807 -1.00 -1.00 45 7 4.3477 0.9551 0.001900
69.00 C 20260807 -1.00 -1.00 50 6 3.7742 0.9667 0.001689
70.00 C 20260807 -1.00 -1.00 24 17 -1.0000 -1.0000 -1.000000
71.00 C 20260807 -1.00 -1.00 12 1 3.9825 0.9550 0.002073
72.00 C 20260807 -1.00 -1.00 2 1 3.5094 0.9654 0.001874
73.00 C 20260807 -1.00 -1.00 16 1 3.8837 0.9510 0.002281
74.00 C 20260807 -1.00 -1.00 28 0 3.0819 0.9743 0.001678
75.00 C 20260807 -1.00 -1.00 25 15 2.6026 0.9858 0.001189
76.00 C 20260807 -1.00 -1.00 16 2 -1.0000 -1.0000 -1.000000
77.00 C 20260807 -1.00 -1.00 4 10 -1.0000 -1.0000 -1.000000
78.00 C 20260807 -1.00 -1.00 44 2 3.1200 0.9585 0.002456
79.00 C 20260807 -1.00 -1.00 47 11 3.0492 0.9576 0.002560
80.00 C 20260807 -1.00 -1.00 54 1201 -1.0000 -1.0000 -1.000000
81.00 C 20260807 -1.00 -1.00 3 8 3.2623 0.9393 0.003186
82.00 C 20260807 -1.00 -1.00 3 1 2.1857 0.9833 0.001630
83.00 C 20260807 -1.00 -1.00 5 3 3.0604 0.9390 0.003408
84.00 C 20260807 -1.00 -1.00 5 3 3.0286 0.9350 0.003613
85.00 C 20260807 -1.00 -1.00 56 1017 -1.0000 -1.0000 -1.000000
86.00 C 20260807 -1.00 -1.00 87 46 2.7006 0.9435 0.003663
87.00 C 20260807 -1.00 -1.00 1 4 2.8328 0.9283 0.004157
88.00 C 20260807 -1.00 -1.00 6 10 2.7011 0.9304 0.004267
89.00 C 20260807 -1.00 -1.00 8 9 2.7303 0.9220 0.004605
90.00 C 20260807 -1.00 -1.00 84 2044 1.8011 0.9772 0.002598
91.00 C 20260807 -1.00 -1.00 42 42 2.3866 0.9325 0.004722
92.00 C 20260807 -1.00 -1.00 75 42 1.5021 0.9862 0.002007
93.00 C 20260807 -1.00 -1.00 55 57 1.5501 0.9801 0.002663
94.00 C 20260807 -1.00 -1.00 11 9 2.0688 0.9373 0.005174
95.00 C 20260807 -1.00 -1.00 73 241 2.1004 0.9261 0.005746
96.00 C 20260807 -1.00 -1.00 49 19 2.0481 0.9226 0.006097
97.00 C 20260807 -1.00 -1.00 92 46 2.0933 0.9104 0.006680
98.00 C 20260807 -1.00 -1.00 82 47 2.1380 0.8986 0.007212
99.00 C 20260807 -1.00 -1.00 28 105 2.1000 0.8935 0.007640
100.00 C 20260807 -1.00 -1.00 1568 3730 2.1039 0.8841 0.008124
101.00 C 20260807 -1.00 -1.00 87 140 2.1281 0.8698 0.008632
102.00 C 20260807 -1.00 -1.00 61 82 2.0620 0.8648 0.009127
103.00 C 20260807 -1.00 -1.00 21 236 2.1040 0.8487 0.009628
104.00 C 20260807 -1.00 -1.00 59 165 2.1011 0.8372 0.010133
105.00 C 20260807 -1.00 -1.00 280 2154 2.1248 0.8234 0.010602
106.00 C 20260807 -1.00 -1.00 64 514 2.1394 0.8106 0.011068
107.00 C 20260807 -1.00 -1.00 213 273 2.1618 0.7968 0.011481
108.00 C 20260807 -1.00 -1.00 408 1049 2.1676 0.7818 0.011847
109.00 C 20260807 -1.00 -1.00 356 927 2.1533 0.7685 0.012281
110.00 C 20260807 -1.00 -1.00 2107 3221 2.1723 0.7526 0.012593
111.00 C 20260807 -1.00 -1.00 336 2282 2.1714 0.7382 0.012979
112.00 C 20260807 -1.00 -1.00 1057 4276 2.1901 0.7227 0.013275
