# opt_chain WDC | epoch 1785859574 | 2026-08-04 12:06:14 | spot 551.86 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 193 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
332.50 C 20260807 -1.00 -1.00 -1 0 3.0629 0.9701 0.000421
335.00 C 20260807 -1.00 -1.00 1 1 3.0651 0.9680 0.000445
337.50 C 20260807 -1.00 -1.00 1 0 3.0311 0.9674 0.000457
340.00 C 20260807 -1.00 -1.00 1 12 2.9915 0.9670 0.000468
342.50 C 20260807 -1.00 -1.00 -1 0 2.9819 0.9653 0.000489
345.00 C 20260807 -1.00 -1.00 3 3 2.8891 0.9672 0.000483
347.50 C 20260807 -1.00 -1.00 -1 0 2.7378 0.9719 0.000449
350.00 C 20260807 -1.00 -1.00 -1 1 2.8474 0.9648 0.000519
352.50 C 20260807 -1.00 -1.00 1 0 2.7680 0.9662 0.000517
355.00 C 20260807 -1.00 -1.00 4 4 2.8181 0.9618 0.000561
357.50 C 20260807 -1.00 -1.00 -1 0 2.6867 0.9655 0.000540
360.00 C 20260807 -1.00 -1.00 6 30 2.7658 0.9598 0.000597
362.50 C 20260807 -1.00 -1.00 -1 0 2.7226 0.9595 0.000610
365.00 C 20260807 -1.00 -1.00 -1 0 2.6912 0.9587 0.000628
367.50 C 20260807 -1.00 -1.00 -1 0 2.6601 0.9579 0.000645
370.00 C 20260807 -1.00 -1.00 25 44 2.6177 0.9576 0.000660
372.50 C 20260807 -1.00 -1.00 57 22 2.5870 0.9568 0.000679
375.00 C 20260807 -1.00 -1.00 82 34 2.5451 0.9565 0.000694
377.50 C 20260807 -1.00 -1.00 50 6 2.5092 0.9559 0.000712
380.00 C 20260807 -1.00 -1.00 36 6 2.4736 0.9553 0.000731
382.50 C 20260807 -1.00 -1.00 14 1 2.4495 0.9541 0.000754
385.00 C 20260807 -1.00 -1.00 18 7 2.4030 0.9540 0.000770
387.50 C 20260807 -1.00 -1.00 50 14 2.5590 0.9428 0.000864
390.00 C 20260807 -1.00 -1.00 2 15 2.4394 0.9474 0.000852
392.50 C 20260807 -1.00 -1.00 6 1 2.4102 0.9464 0.000876
395.00 C 20260807 -1.00 -1.00 16 5 2.4400 0.9404 0.000935
397.50 C 20260807 -1.00 -1.00 12 2 2.3368 0.9449 0.000924
400.00 C 20260807 -1.00 -1.00 42 54 2.1584 0.9521 0.000886
402.50 C 20260807 -1.00 -1.00 112 13 2.3233 0.9378 0.001013
405.00 C 20260807 -1.00 -1.00 80 25 2.2848 0.9369 0.001041
407.50 C 20260807 -1.00 -1.00 2 3 2.2688 0.9340 0.001083
410.00 C 20260807 -1.00 -1.00 24 18 2.2087 0.9350 0.001101
412.50 C 20260807 -1.00 -1.00 48 15 2.2432 0.9277 0.001172
415.00 C 20260807 -1.00 -1.00 27 10 2.1617 0.9304 0.001182
417.50 C 20260807 -1.00 -1.00 -1 0 2.1587 0.9263 0.001236
420.00 C 20260807 -1.00 -1.00 6 7 2.2117 0.9175 0.001315
422.50 C 20260807 -1.00 -1.00 48 1 2.1217 0.9206 0.001330
425.00 C 20260807 -1.00 -1.00 58 23 2.1096 0.9172 0.001381
427.50 C 20260807 -1.00 -1.00 168 0 2.1130 0.9124 0.001440
430.00 C 20260807 -1.00 -1.00 160 33 2.0825 0.9105 0.001487
432.50 C 20260807 -1.00 -1.00 4 4 2.0614 0.9077 0.001538
435.00 C 20260807 -1.00 -1.00 30 7 2.0374 0.9052 0.001590
437.50 C 20260807 -1.00 -1.00 28 0 2.0317 0.9010 0.001650
440.00 C 20260807 -1.00 -1.00 1 16 2.0140 0.8978 0.001707
442.50 C 20260807 -1.00 -1.00 18 33 2.0599 0.8895 0.001779
445.00 C 20260807 -1.00 -1.00 18 20 1.9608 0.8928 0.001822
