# opt_chain AAPL | epoch 1785960559 | 2026-08-05 16:09:19 | spot 310.72 | spot_src intrinio_quote | spot_age 907 | exps 20260805 20260807 20260810 20260812 20260814 20260817 20260819
# fuente polygon | band 0.1500 | max_strikes 542 | narrow 0 | vencimientos 8 | rows 542 | greeks_ok_pct 0.8819 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
265.00 C 20260805 -1.00 -1.00 58 7 -1.0000 -1.0000 -1.000000
270.00 C 20260805 -1.00 -1.00 75 4 -1.0000 -1.0000 -1.000000
275.00 C 20260805 -1.00 -1.00 135 32 -1.0000 -1.0000 -1.000000
277.50 C 20260805 -1.00 -1.00 106 1 -1.0000 -1.0000 -1.000000
280.00 C 20260805 -1.00 -1.00 50 11 -1.0000 -1.0000 -1.000000
282.50 C 20260805 -1.00 -1.00 60 5 -1.0000 -1.0000 -1.000000
285.00 C 20260805 -1.00 -1.00 80 27 1.9394 0.9856 0.002898
287.50 C 20260805 -1.00 -1.00 15 20 -1.0000 -1.0000 -1.000000
290.00 C 20260805 -1.00 -1.00 46 40 -1.0000 -1.0000 -1.000000
292.50 C 20260805 -1.00 -1.00 120 123 -1.0000 -1.0000 -1.000000
295.00 C 20260805 -1.00 -1.00 79 258 -1.0000 -1.0000 -1.000000
297.50 C 20260805 -1.00 -1.00 418 346 -1.0000 -1.0000 -1.000000
300.00 C 20260805 -1.00 -1.00 562 1690 0.9529 0.9638 0.012838
302.50 C 20260805 -1.00 -1.00 486 1667 0.8372 0.9407 0.021874
305.00 C 20260805 -1.00 -1.00 7230 11869 -1.0000 -1.0000 -1.000000
307.50 C 20260805 -1.00 -1.00 53155 7944 -1.0000 -1.0000 -1.000000
310.00 C 20260805 -1.00 -1.00 262022 11626 0.0850 0.9163 0.279302
312.50 C 20260805 -1.00 -1.00 197032 9774 0.1515 0.0373 0.082901
315.00 C 20260805 -1.00 -1.00 91677 11008 0.3157 0.0194 0.022864
317.50 C 20260805 -1.00 -1.00 19920 4810 0.4736 0.0136 0.011346
320.00 C 20260805 -1.00 -1.00 11778 4869 0.5843 0.0077 0.005542
322.50 C 20260805 -1.00 -1.00 3747 3175 0.7552 0.0089 0.004862
325.00 C 20260805 -1.00 -1.00 1438 6269 0.8905 0.0076 0.003593
327.50 C 20260805 -1.00 -1.00 113 3375 1.0249 0.0067 0.002785
330.00 C 20260805 -1.00 -1.00 46 3145 1.1582 0.0060 0.002238
332.50 C 20260805 -1.00 -1.00 66 947 1.2905 0.0055 0.001848
335.00 C 20260805 -1.00 -1.00 33 1076 1.4218 0.0050 0.001560
337.50 C 20260805 -1.00 -1.00 11 628 1.5857 0.0059 0.001605
340.00 C 20260805 -1.00 -1.00 21 1237 1.7150 0.0055 0.001398
342.50 C 20260805 -1.00 -1.00 2 569 1.7983 0.0041 0.001032
345.00 C 20260805 -1.00 -1.00 3 856 2.0704 0.0077 0.001558
347.50 C 20260805 -1.00 -1.00 4 169 2.8587 0.0307 0.003760
350.00 C 20260805 -1.00 -1.00 20 782 2.3547 0.0078 0.001377
352.50 C 20260805 -1.00 -1.00 6 476 4.2923 0.0852 0.005621
355.00 C 20260805 -1.00 -1.00 3 493 2.5038 0.0048 0.000857
265.00 P 20260805 -1.00 -1.00 20 31 2.9897 -0.0040 0.000606
270.00 P 20260805 -1.00 -1.00 20 133 2.7347 -0.0058 0.000919
275.00 P 20260805 -1.00 -1.00 5 158 2.3724 -0.0058 0.001052
277.50 P 20260805 -1.00 -1.00 10 146 2.1380 -0.0044 0.000926
280.00 P 20260805 -1.00 -1.00 6 1471 2.0537 -0.0066 0.001367
282.50 P 20260805 -1.00 -1.00 511 154 1.7860 -0.0040 0.001027
285.00 P 20260805 -1.00 -1.00 582 2347 1.6307 -0.0044 0.001203
287.50 P 20260805 -1.00 -1.00 225 679 1.4767 -0.0048 0.001432
290.00 P 20260805 -1.00 -1.00 277 1759 1.3240 -0.0053 0.001738
292.50 P 20260805 -1.00 -1.00 252 1345 1.1365 -0.0042 0.001677
295.00 P 20260805 -1.00 -1.00 2157 5844 1.0227 -0.0067 0.002769
297.50 P 20260805 -1.00 -1.00 2021 2666 0.8380 -0.0055 0.002868
300.00 P 20260805 -1.00 -1.00 14495 14273 0.7264 -0.0092 0.005200
302.50 P 20260805 -1.00 -1.00 19285 2623 0.5802 -0.0113 0.007928
305.00 P 20260805 -1.00 -1.00 72759 5713 0.4192 -0.0150 0.013883
307.50 P 20260805 -1.00 -1.00 102535 5962 0.2560 -0.0234 0.033217
310.00 P 20260805 -1.00 -1.00 38773 2229 0.1086 -0.1383 0.317502
312.50 P 20260805 -1.00 -1.00 2983 196 0.2735 -0.8356 0.140452
315.00 P 20260805 -1.00 -1.00 311 1660 0.4605 -0.9219 0.049349
317.50 P 20260805 -1.00 -1.00 80 392 -1.0000 -1.0000 -1.000000
320.00 P 20260805 -1.00 -1.00 95 631 -1.0000 -1.0000 -1.000000
322.50 P 20260805 -1.00 -1.00 83 165 1.2684 -0.9187 0.018389
325.00 P 20260805 -1.00 -1.00 133 134 1.7746 -0.8834 0.017124
327.50 P 20260805 -1.00 -1.00 85 127 1.8320 -0.9126 0.013400
330.00 P 20260805 -1.00 -1.00 4 15 2.1844 -0.9020 0.012199
332.50 P 20260805 -1.00 -1.00 1 13 1.6623 -0.9743 0.005562
335.00 P 20260805 -1.00 -1.00 15 11 2.5881 -0.9146 0.009329
337.50 P 20260805 -1.00 -1.00 2 2 2.5639 -0.9366 0.007531
340.00 P 20260805 -1.00 -1.00 5 9 2.4802 -0.9573 0.005633
342.50 P 20260805 -1.00 -1.00 21 2 -1.0000 -1.0000 -1.000000
345.00 P 20260805 -1.00 -1.00 151 140 3.2779 -0.9340 0.006080
347.50 P 20260805 -1.00 -1.00 8 4 3.4414 -0.9368 0.005583
350.00 P 20260805 -1.00 -1.00 5 1 3.2140 -0.9605 0.004098
352.50 P 20260805 -1.00 -1.00 2 0 3.7650 -0.9416 0.004778
355.00 P 20260805 -1.00 -1.00 2 0 4.0658 -0.9374 0.004686
265.00 C 20260807 -1.00 -1.00 2 65 -1.0000 -1.0000 -1.000000
270.00 C 20260807 -1.00 -1.00 11 175 -1.0000 -1.0000 -1.000000
275.00 C 20260807 -1.00 -1.00 31 2440 -1.0000 -1.0000 -1.000000
277.50 C 20260807 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
280.00 C 20260807 -1.00 -1.00 50 309 -1.0000 -1.0000 -1.000000
282.50 C 20260807 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
285.00 C 20260807 -1.00 -1.00 7 152 -1.0000 -1.0000 -1.000000
287.50 C 20260807 -1.00 -1.00 31 0 -1.0000 -1.0000 -1.000000
290.00 C 20260807 -1.00 -1.00 65 593 0.3632 0.9944 0.001804
292.50 C 20260807 -1.00 -1.00 14 691 -1.0000 -1.0000 -1.000000
295.00 C 20260807 -1.00 -1.00 53 773 0.3971 0.9586 0.009321
297.50 C 20260807 -1.00 -1.00 268 1070 0.3649 0.9437 0.013083
300.00 C 20260807 -1.00 -1.00 2659 5061 0.3119 0.9352 0.017273
302.50 C 20260807 -1.00 -1.00 977 2169 0.3058 0.8801 0.027767
305.00 C 20260807 -1.00 -1.00 2895 11101 0.3055 0.7937 0.039636
307.50 C 20260807 -1.00 -1.00 17704 6247 0.3016 0.6822 0.050113
310.00 C 20260807 -1.00 -1.00 60112 17051 0.3029 0.5491 0.055313
