# opt_chain HOOD | epoch 1785960572 | 2026-08-05 16:09:32 | spot 93.62 | spot_src intrinio_quote | spot_age 906 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 222 | narrow 0 | vencimientos 4 | rows 222 | greeks_ok_pct 0.9910 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
80.00 C 20260807 -1.00 -1.00 78 186 0.9585 0.9869 0.004877
81.00 C 20260807 -1.00 -1.00 88 83 1.0736 0.9663 0.009711
82.00 C 20260807 -1.00 -1.00 136 130 1.1047 0.9480 0.013441
83.00 C 20260807 -1.00 -1.00 125 104 1.0630 0.9396 0.015894
84.00 C 20260807 -1.00 -1.00 67 240 0.8416 0.9585 0.014644
85.00 C 20260807 -1.00 -1.00 30 1118 -1.0000 -1.0000 -1.000000
86.00 C 20260807 -1.00 -1.00 22 828 0.6201 0.9684 0.016020
87.00 C 20260807 -1.00 -1.00 198 1014 0.7383 0.9101 0.030602
88.00 C 20260807 -1.00 -1.00 1169 1538 0.6732 0.8937 0.038126
89.00 C 20260807 -1.00 -1.00 3166 7639 0.7310 0.8281 0.048671
90.00 C 20260807 -1.00 -1.00 788 7919 0.7329 0.7750 0.057964
91.00 C 20260807 -1.00 -1.00 432 3644 0.7223 0.7111 0.066160
92.00 C 20260807 -1.00 -1.00 3244 8031 0.7274 0.6413 0.072600
93.00 C 20260807 -1.00 -1.00 4888 10174 0.7124 0.5665 0.077339
94.00 C 20260807 -1.00 -1.00 3787 6056 0.7245 0.4899 0.077651
95.00 C 20260807 -1.00 -1.00 5631 5894 0.7256 0.4147 0.075271
96.00 C 20260807 -1.00 -1.00 5906 2150 0.7388 0.3460 0.070381
97.00 C 20260807 -1.00 -1.00 1622 1773 0.7403 0.2823 0.063865
98.00 C 20260807 -1.00 -1.00 1226 1854 0.7575 0.2283 0.056396
99.00 C 20260807 -1.00 -1.00 5484 1656 0.7545 0.1800 0.048509
100.00 C 20260807 -1.00 -1.00 6776 7685 0.7743 0.1405 0.040823
101.00 C 20260807 -1.00 -1.00 405 1508 0.7645 0.1066 0.033481
102.00 C 20260807 -1.00 -1.00 464 1421 0.7988 0.0873 0.027727
103.00 C 20260807 -1.00 -1.00 380 1141 0.8065 0.0657 0.022219
104.00 C 20260807 -1.00 -1.00 267 932 0.8086 0.0494 0.017500
105.00 C 20260807 -1.00 -1.00 1275 2674 0.8297 0.0378 0.013830
106.00 C 20260807 -1.00 -1.00 170 448 0.8358 0.0282 0.010766
107.00 C 20260807 -1.00 -1.00 55 346 0.8484 0.0219 0.008503
80.00 P 20260807 -1.00 -1.00 1048 5188 0.9296 -0.0105 0.004198
81.00 P 20260807 -1.00 -1.00 70 459 1.1132 -0.0395 0.010629
82.00 P 20260807 -1.00 -1.00 262 1279 0.8722 -0.0206 0.007875
83.00 P 20260807 -1.00 -1.00 244 777 0.8345 -0.0254 0.009913
84.00 P 20260807 -1.00 -1.00 151 2229 0.9463 -0.0592 0.017521
85.00 P 20260807 -1.00 -1.00 829 2787 0.7845 -0.0488 0.017943
86.00 P 20260807 -1.00 -1.00 620 1036 0.7655 -0.0646 0.023304
87.00 P 20260807 -1.00 -1.00 454 1945 0.7369 -0.0896 0.030571
88.00 P 20260807 -1.00 -1.00 1488 2190 0.7372 -0.1239 0.039313
89.00 P 20260807 -1.00 -1.00 996 680 0.7249 -0.1701 0.048751
90.00 P 20260807 -1.00 -1.00 2026 4604 0.7364 -0.2262 0.057855
91.00 P 20260807 -1.00 -1.00 1759 1127 0.7177 -0.2879 0.066504
92.00 P 20260807 -1.00 -1.00 1001 1244 0.7339 -0.3600 0.072049
93.00 P 20260807 -1.00 -1.00 1024 352 0.7366 -0.4352 0.074921
94.00 P 20260807 -1.00 -1.00 835 434 0.7501 -0.5093 0.075082
95.00 P 20260807 -1.00 -1.00 557 812 0.7529 -0.5818 0.072732
96.00 P 20260807 -1.00 -1.00 109 190 0.7261 -0.6573 0.071419
97.00 P 20260807 -1.00 -1.00 30 143 0.7395 -0.7185 0.064007
98.00 P 20260807 -1.00 -1.00 24 212 0.7508 -0.7742 0.056667
99.00 P 20260807 -1.00 -1.00 281 306 0.7759 -0.8134 0.048463
100.00 P 20260807 -1.00 -1.00 282 655 0.7570 -0.8653 0.040756
101.00 P 20260807 -1.00 -1.00 7 510 0.8482 -0.8705 0.035242
102.00 P 20260807 -1.00 -1.00 11 224 0.7452 -0.9309 0.025594
103.00 P 20260807 -1.00 -1.00 4 94 0.6736 -0.9688 0.015522
104.00 P 20260807 -1.00 -1.00 6 206 0.6587 -0.9816 0.010484
105.00 P 20260807 -1.00 -1.00 31 228 0.9570 -0.9368 0.018403
106.00 P 20260807 -1.00 -1.00 3 86 -1.0000 -1.0000 -1.000000
107.00 P 20260807 -1.00 -1.00 5 162 0.9436 -0.9678 0.011172
80.00 C 20260814 -1.00 -1.00 104 106 0.7255 0.9265 0.013024
81.00 C 20260814 -1.00 -1.00 55 9 0.7421 0.9046 0.015483
82.00 C 20260814 -1.00 -1.00 54 26 0.8305 0.8625 0.017998
83.00 C 20260814 -1.00 -1.00 2 12 0.7015 0.8795 0.019679
84.00 C 20260814 -1.00 -1.00 16 103 0.7030 0.8525 0.022244
85.00 C 20260814 -1.00 -1.00 106 79 0.6033 0.8605 0.025033
86.00 C 20260814 -1.00 -1.00 30 91 0.6591 0.8118 0.027913
87.00 C 20260814 -1.00 -1.00 23 121 0.7631 0.7525 0.028148
88.00 C 20260814 -1.00 -1.00 5 310 0.6749 0.7418 0.032516
89.00 C 20260814 -1.00 -1.00 18 140 0.6731 0.7068 0.034800
90.00 C 20260814 -1.00 -1.00 1475 755 0.6564 0.6742 0.037779
91.00 C 20260814 -1.00 -1.00 169 356 0.6101 0.6414 0.041881
92.00 C 20260814 -1.00 -1.00 323 386 0.6543 0.5936 0.040266
93.00 C 20260814 -1.00 -1.00 323 300 0.6766 0.5523 0.039977
94.00 C 20260814 -1.00 -1.00 491 1075 0.6698 0.5126 0.040928
95.00 C 20260814 -1.00 -1.00 1670 1434 0.6630 0.4725 0.040830
96.00 C 20260814 -1.00 -1.00 277 1248 0.6706 0.4339 0.039875
97.00 C 20260814 -1.00 -1.00 607 324 0.6840 0.3975 0.038644
98.00 C 20260814 -1.00 -1.00 183 1077 0.6831 0.3615 0.037597
99.00 C 20260814 -1.00 -1.00 230 409 0.6853 0.3289 0.035862
100.00 C 20260814 -1.00 -1.00 1988 2602 0.6790 0.2936 0.034432
101.00 C 20260814 -1.00 -1.00 76 258 0.6886 0.2639 0.032488
102.00 C 20260814 -1.00 -1.00 160 435 0.7042 0.2404 0.030337
103.00 C 20260814 -1.00 -1.00 110 508 0.6821 0.2081 0.028517
104.00 C 20260814 -1.00 -1.00 159 251 0.6998 0.1903 0.026280
105.00 C 20260814 -1.00 -1.00 482 1508 0.7066 0.1688 0.024228
106.00 C 20260814 -1.00 -1.00 124 310 0.7145 0.1483 0.022260
107.00 C 20260814 -1.00 -1.00 95 104 0.6940 0.1253 0.020172
80.00 P 20260814 -1.00 -1.00 267 1505 0.6901 -0.0639 0.012408
81.00 P 20260814 -1.00 -1.00 38 244 0.6782 -0.0785 0.014641
82.00 P 20260814 -1.00 -1.00 59 329 0.6458 -0.0873 0.016650
83.00 P 20260814 -1.00 -1.00 89 199 0.6672 -0.1127 0.019666
84.00 P 20260814 -1.00 -1.00 279 236 0.6616 -0.1351 0.022410
85.00 P 20260814 -1.00 -1.00 1712 881 0.6650 -0.1643 0.025268
86.00 P 20260814 -1.00 -1.00 712 261 0.6643 -0.1920 0.028123
87.00 P 20260814 -1.00 -1.00 569 144 0.6676 -0.2236 0.030729
88.00 P 20260814 -1.00 -1.00 554 256 0.6570 -0.2564 0.033346
89.00 P 20260814 -1.00 -1.00 147 168 0.6586 -0.2931 0.035627
90.00 P 20260814 -1.00 -1.00 918 604 0.6720 -0.3317 0.037361
91.00 P 20260814 -1.00 -1.00 75 79 0.6660 -0.3707 0.038753
92.00 P 20260814 -1.00 -1.00 89 190 0.6669 -0.4111 0.039730
93.00 P 20260814 -1.00 -1.00 341 119 0.6848 -0.4516 0.039700
94.00 P 20260814 -1.00 -1.00 152 89 0.6844 -0.4908 0.040150
95.00 P 20260814 -1.00 -1.00 156 371 0.6607 -0.5320 0.041075
96.00 P 20260814 -1.00 -1.00 31 137 0.6793 -0.5689 0.039490
97.00 P 20260814 -1.00 -1.00 4 285 0.6432 -0.6164 0.041097
98.00 P 20260814 -1.00 -1.00 38 172 0.5812 -0.6715 0.042595
99.00 P 20260814 -1.00 -1.00 26 112 0.6624 -0.6822 0.036783
100.00 P 20260814 -1.00 -1.00 45 397 0.6817 -0.7098 0.034380
101.00 P 20260814 -1.00 -1.00 23 298 0.6912 -0.7396 0.032469
102.00 P 20260814 -1.00 -1.00 24 299 0.7846 -0.7361 0.028749
