# opt_chain SNDK | epoch 1785960570 | 2026-08-05 16:09:30 | spot 1270.80 | spot_src finnhub | spot_age 1 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 522 | narrow 0 | vencimientos 4 | rows 522 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
1082.50 C 20260807 -1.00 -1.00 114 5 2.0376 0.9440 0.000536
1085.00 C 20260807 -1.00 -1.00 4 16 2.0381 0.9426 0.000547
1090.00 C 20260807 -1.00 -1.00 37 37 2.0331 0.9392 0.000572
1095.00 C 20260807 -1.00 -1.00 1 14 2.0196 0.9360 0.000597
1100.00 C 20260807 -1.00 -1.00 79 380 1.8223 0.9487 0.000555
1105.00 C 20260807 -1.00 -1.00 5 13 2.0078 0.9281 0.000653
1110.00 C 20260807 -1.00 -1.00 3 123 1.9945 0.9248 0.000679
1115.00 C 20260807 -1.00 -1.00 5 41 1.9901 0.9207 0.000709
1120.00 C 20260807 -1.00 -1.00 23 539 1.9799 0.9170 0.000737
1125.00 C 20260807 -1.00 -1.00 1 27 1.9816 0.9122 0.000769
1130.00 C 20260807 -1.00 -1.00 11 35 1.9893 0.9068 0.000802
1135.00 C 20260807 -1.00 -1.00 21 28 1.8513 0.9158 0.000797
1140.00 C 20260807 -1.00 -1.00 22 42 1.9896 0.8975 0.000864
1145.00 C 20260807 -1.00 -1.00 1 6 1.9972 0.8923 0.000896
1150.00 C 20260807 -1.00 -1.00 12 264 2.0018 0.8873 0.000927
1155.00 C 20260807 -1.00 -1.00 1 15 2.0040 0.8820 0.000958
1160.00 C 20260807 -1.00 -1.00 2 89 1.9919 0.8768 0.000990
1165.00 C 20260807 -1.00 -1.00 4 17 1.9838 0.8710 0.001022
1170.00 C 20260807 -1.00 -1.00 5 41 1.9757 0.8651 0.001055
1175.00 C 20260807 -1.00 -1.00 2 59 1.9715 0.8588 0.001088
1180.00 C 20260807 -1.00 -1.00 43 89 1.8644 0.8646 0.001121
1185.00 C 20260807 -1.00 -1.00 11 50 1.9477 0.8478 0.001157
1190.00 C 20260807 -1.00 -1.00 403 716 1.9553 0.8401 0.001191
1195.00 C 20260807 -1.00 -1.00 3 34 1.9628 0.8324 0.001224
1200.00 C 20260807 -1.00 -1.00 922 2114 1.9490 0.8270 0.001260
1205.00 C 20260807 -1.00 -1.00 5 35 1.9642 0.8186 0.001291
1210.00 C 20260807 -1.00 -1.00 98 172 1.9716 0.8111 0.001324
1215.00 C 20260807 -1.00 -1.00 5 155 1.9771 0.8038 0.001356
