# opt_chain SPY | epoch 1785960550 | 2026-08-05 16:09:10 | spot 770.22 | spot_src finnhub | spot_age 72 | exps 20260805 20260806 20260807 20260810 20260811 20260812 20260813
# fuente polygon | band 0.1500 | max_strikes 2016 | narrow 0 | vencimientos 8 | rows 2016 | greeks_ok_pct 0.9172 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
655.00 C 20260805 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
660.00 C 20260805 -1.00 -1.00 10 4 -1.0000 -1.0000 -1.000000
665.00 C 20260805 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
670.00 C 20260805 -1.00 -1.00 1 5 2.3132 0.9988 0.000101
675.00 C 20260805 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
680.00 C 20260805 -1.00 -1.00 6 5 -1.0000 -1.0000 -1.000000
685.00 C 20260805 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
690.00 C 20260805 -1.00 -1.00 5 9 -1.0000 -1.0000 -1.000000
695.00 C 20260805 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
700.00 C 20260805 -1.00 -1.00 103 24 -1.0000 -1.0000 -1.000000
701.00 C 20260805 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
702.00 C 20260805 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
703.00 C 20260805 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
704.00 C 20260805 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
705.00 C 20260805 -1.00 -1.00 52 45 -1.0000 -1.0000 -1.000000
706.00 C 20260805 -1.00 -1.00 7 0 -1.0000 -1.0000 -1.000000
707.00 C 20260805 -1.00 -1.00 7 6 -1.0000 -1.0000 -1.000000
708.00 C 20260805 -1.00 -1.00 8 7 -1.0000 -1.0000 -1.000000
709.00 C 20260805 -1.00 -1.00 12 12 0.0001 1.0000 -0.000000
710.00 C 20260805 -1.00 -1.00 260 31 -1.0000 -1.0000 -1.000000
711.00 C 20260805 -1.00 -1.00 7 9 -1.0000 -1.0000 -1.000000
712.00 C 20260805 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
713.00 C 20260805 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
714.00 C 20260805 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
715.00 C 20260805 -1.00 -1.00 2 7 -1.0000 -1.0000 -1.000000
716.00 C 20260805 -1.00 -1.00 45 47 -1.0000 -1.0000 -1.000000
717.00 C 20260805 -1.00 -1.00 3 35 -1.0000 -1.0000 -1.000000
718.00 C 20260805 -1.00 -1.00 2 31 -1.0000 -1.0000 -1.000000
719.00 C 20260805 -1.00 -1.00 39 62 -1.0000 -1.0000 -1.000000
720.00 C 20260805 -1.00 -1.00 1 85 -1.0000 -1.0000 -1.000000
721.00 C 20260805 -1.00 -1.00 1 29 -1.0000 -1.0000 -1.000000
722.00 C 20260805 -1.00 -1.00 30 27 -1.0000 -1.0000 -1.000000
723.00 C 20260805 -1.00 -1.00 43 77 1.2198 0.9958 0.000629
724.00 C 20260805 -1.00 -1.00 30 19 -1.0000 -1.0000 -1.000000
725.00 C 20260805 -1.00 -1.00 15 175 -1.0000 -1.0000 -1.000000
726.00 C 20260805 -1.00 -1.00 1 18 -1.0000 -1.0000 -1.000000
727.00 C 20260805 -1.00 -1.00 1 256 -1.0000 -1.0000 -1.000000
728.00 C 20260805 -1.00 -1.00 20 72 -1.0000 -1.0000 -1.000000
729.00 C 20260805 -1.00 -1.00 4 181 -1.0000 -1.0000 -1.000000
730.00 C 20260805 -1.00 -1.00 5 283 1.3755 0.9750 0.002641
731.00 C 20260805 -1.00 -1.00 5 115 1.6812 0.9414 0.004346
732.00 C 20260805 -1.00 -1.00 9 86 -1.0000 -1.0000 -1.000000
733.00 C 20260805 -1.00 -1.00 13 293 -1.0000 -1.0000 -1.000000
734.00 C 20260805 -1.00 -1.00 7 218 -1.0000 -1.0000 -1.000000
735.00 C 20260805 -1.00 -1.00 29 322 -1.0000 -1.0000 -1.000000
736.00 C 20260805 -1.00 -1.00 8 562 0.8910 0.9954 0.000927
737.00 C 20260805 -1.00 -1.00 5 496 0.0001 1.0000 0.000000
738.00 C 20260805 -1.00 -1.00 16 1287 -1.0000 -1.0000 -1.000000
739.00 C 20260805 -1.00 -1.00 49 621 1.4356 0.9291 0.005917
740.00 C 20260805 -1.00 -1.00 60 2343 -1.0000 -1.0000 -1.000000
741.00 C 20260805 -1.00 -1.00 47 1793 -1.0000 -1.0000 -1.000000
742.00 C 20260805 -1.00 -1.00 18 1340 1.3091 0.9273 0.006603
743.00 C 20260805 -1.00 -1.00 73 1192 -1.0000 -1.0000 -1.000000
744.00 C 20260805 -1.00 -1.00 93 964 1.2394 0.9232 0.007253
745.00 C 20260805 -1.00 -1.00 166 2007 -1.0000 -1.0000 -1.000000
746.00 C 20260805 -1.00 -1.00 31 941 -1.0000 -1.0000 -1.000000
747.00 C 20260805 -1.00 -1.00 84 878 -1.0000 -1.0000 -1.000000
748.00 C 20260805 -1.00 -1.00 199 5325 -1.0000 -1.0000 -1.000000
749.00 C 20260805 -1.00 -1.00 88 8663 -1.0000 -1.0000 -1.000000
750.00 C 20260805 -1.00 -1.00 375 2278 0.4315 0.9994 0.000310
751.00 C 20260805 -1.00 -1.00 181 1758 0.0001 1.0000 0.000000
752.00 C 20260805 -1.00 -1.00 154 1861 0.3931 0.9993 0.000362
753.00 C 20260805 -1.00 -1.00 412 1966 -1.0000 -1.0000 -1.000000
754.00 C 20260805 -1.00 -1.00 336 2258 -1.0000 -1.0000 -1.000000
755.00 C 20260805 -1.00 -1.00 547 4030 -1.0000 -1.0000 -1.000000
756.00 C 20260805 -1.00 -1.00 195 7151 -1.0000 -1.0000 -1.000000
757.00 C 20260805 -1.00 -1.00 1211 5110 -1.0000 -1.0000 -1.000000
758.00 C 20260805 -1.00 -1.00 472 5146 -1.0000 -1.0000 -1.000000
759.00 C 20260805 -1.00 -1.00 303 3154 -1.0000 -1.0000 -1.000000
760.00 C 20260805 -1.00 -1.00 859 4851 -1.0000 -1.0000 -1.000000
