# opt_chain ASML | epoch 1785949266 | 2026-08-05 13:01:06 | spot 1699.47 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 125 | band 0.4050 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
1245.00 C 20260807 -1.00 -1.00 2 3 1.7886 0.9900 0.000112
1250.00 C 20260807 -1.00 -1.00 2 3 1.8107 0.9877 0.000130
1255.00 C 20260807 -1.00 -1.00 2 3 1.7635 0.9889 0.000123
1260.00 C 20260807 -1.00 -1.00 -1 0 1.5314 0.9948 0.000071
1265.00 C 20260807 -1.00 -1.00 -1 0 1.5716 0.9931 0.000090
1270.00 C 20260807 -1.00 -1.00 -1 0 1.6708 0.9900 0.000120
1275.00 C 20260807 -1.00 -1.00 -1 0 1.4113 0.9966 0.000054
1280.00 C 20260807 -1.00 -1.00 1 1 1.4356 0.9953 0.000070
1285.00 C 20260807 -1.00 -1.00 1 1 0.0004 1.0000 -0.000000
1290.00 C 20260807 -1.00 -1.00 -1 0 1.5894 0.9895 0.000130
1295.00 C 20260807 -1.00 -1.00 1 2 0.0004 1.0000 -0.000000
1300.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1305.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1310.00 C 20260807 -1.00 -1.00 5 5 -1.0000 -1.0000 -1.000000
1315.00 C 20260807 -1.00 -1.00 -1 0 1.4857 0.9890 0.000146
1320.00 C 20260807 -1.00 -1.00 1 1 1.4735 0.9883 0.000154
1325.00 C 20260807 -1.00 -1.00 -1 0 1.1293 0.9980 0.000041
1330.00 C 20260807 -1.00 -1.00 -1 0 1.4575 0.9864 0.000176
1335.00 C 20260807 -1.00 -1.00 1 1 1.2520 0.9940 0.000099
1340.00 C 20260807 -1.00 -1.00 1 1 1.3923 0.9878 0.000169
1345.00 C 20260807 -1.00 -1.00 1 1 1.0617 0.9979 0.000044
1350.00 C 20260807 -1.00 -1.00 10 7 0.0004 1.0000 0.000000
1355.00 C 20260807 -1.00 -1.00 5 6 1.1993 0.9930 0.000118
1360.00 C 20260807 -1.00 -1.00 1 1 1.2959 0.9884 0.000175
1365.00 C 20260807 -1.00 -1.00 5 5 1.2843 0.9876 0.000186
1370.00 C 20260807 -1.00 -1.00 -1 0 1.2727 0.9868 0.000197
1375.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1380.00 C 20260807 -1.00 -1.00 1 1 1.2334 0.9865 0.000208
1385.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
1390.00 C 20260807 -1.00 -1.00 -1 0 1.1863 0.9868 0.000212
1395.00 C 20260807 -1.00 -1.00 1 1 0.0004 1.0000 0.000000
1400.00 C 20260807 -1.00 -1.00 1 6 0.8132 0.9991 0.000026
1405.00 C 20260807 -1.00 -1.00 1 9 0.9864 0.9939 0.000128
1410.00 C 20260807 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
1415.00 C 20260807 -1.00 -1.00 -1 0 0.9522 0.9937 0.000136
1420.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
1425.00 C 20260807 -1.00 -1.00 6 5 0.9183 0.9936 0.000144
1430.00 C 20260807 -1.00 -1.00 -1 0 0.0004 1.0000 -0.000000
