# opt_chain EWY | epoch 1785937748 | 2026-08-05 09:49:08 | spot 171.14 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 64147 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
104.00 C 20260807 -1.00 -1.00 504 539 -1.0000 -1.0000 -1.000000
105.00 C 20260807 -1.00 -1.00 592 506 -1.0000 -1.0000 -1.000000
106.00 C 20260807 -1.00 -1.00 2 261 -1.0000 -1.0000 -1.000000
107.00 C 20260807 -1.00 -1.00 1 309 -1.0000 -1.0000 -1.000000
108.00 C 20260807 -1.00 -1.00 1 206 -1.0000 -1.0000 -1.000000
109.00 C 20260807 -1.00 -1.00 218 144 0.0004 0.9999 0.000000
110.00 C 20260807 -1.00 -1.00 1 62 -1.0000 -1.0000 -1.000000
111.00 C 20260807 -1.00 -1.00 1 162 -1.0000 -1.0000 -1.000000
112.00 C 20260807 -1.00 -1.00 141 171 -1.0000 -1.0000 -1.000000
113.00 C 20260807 -1.00 -1.00 22 7 -1.0000 -1.0000 -1.000000
114.00 C 20260807 -1.00 -1.00 26 82 -1.0000 -1.0000 -1.000000
115.00 C 20260807 -1.00 -1.00 22 25 -1.0000 -1.0000 -1.000000
116.00 C 20260807 -1.00 -1.00 40 126 -1.0000 -1.0000 -1.000000
117.00 C 20260807 -1.00 -1.00 32 34 -1.0000 -1.0000 -1.000000
118.00 C 20260807 -1.00 -1.00 10 9 -1.0000 -1.0000 -1.000000
119.00 C 20260807 -1.00 -1.00 31 17 -1.0000 -1.0000 -1.000000
120.00 C 20260807 -1.00 -1.00 24 25 -1.0000 -1.0000 -1.000000
121.00 C 20260807 -1.00 -1.00 19 14 -1.0000 -1.0000 -1.000000
122.00 C 20260807 -1.00 -1.00 24 4 -1.0000 -1.0000 -1.000000
123.00 C 20260807 -1.00 -1.00 19 12 -1.0000 -1.0000 -1.000000
124.00 C 20260807 -1.00 -1.00 19 13 -1.0000 -1.0000 -1.000000
125.00 C 20260807 -1.00 -1.00 30 108 -1.0000 -1.0000 -1.000000
126.00 C 20260807 -1.00 -1.00 52 12 -1.0000 -1.0000 -1.000000
127.00 C 20260807 -1.00 -1.00 38 13 -1.0000 -1.0000 -1.000000
128.00 C 20260807 -1.00 -1.00 23 11 -1.0000 -1.0000 -1.000000
129.00 C 20260807 -1.00 -1.00 48 18 -1.0000 -1.0000 -1.000000
130.00 C 20260807 -1.00 -1.00 46 21 -1.0000 -1.0000 -1.000000
131.00 C 20260807 -1.00 -1.00 53 19 -1.0000 -1.0000 -1.000000
132.00 C 20260807 -1.00 -1.00 2 24 -1.0000 -1.0000 -1.000000
133.00 C 20260807 -1.00 -1.00 2 23 -1.0000 -1.0000 -1.000000
134.00 C 20260807 -1.00 -1.00 59 26 -1.0000 -1.0000 -1.000000
135.00 C 20260807 -1.00 -1.00 75 50 -1.0000 -1.0000 -1.000000
136.00 C 20260807 -1.00 -1.00 26 30 -1.0000 -1.0000 -1.000000
137.00 C 20260807 -1.00 -1.00 28 40 -1.0000 -1.0000 -1.000000
138.00 C 20260807 -1.00 -1.00 61 36 -1.0000 -1.0000 -1.000000
139.00 C 20260807 -1.00 -1.00 54 34 -1.0000 -1.0000 -1.000000
140.00 C 20260807 -1.00 -1.00 25 182 -1.0000 -1.0000 -1.000000
141.00 C 20260807 -1.00 -1.00 19 22 -1.0000 -1.0000 -1.000000
142.00 C 20260807 -1.00 -1.00 19 21 -1.0000 -1.0000 -1.000000
143.00 C 20260807 -1.00 -1.00 7 9 -1.0000 -1.0000 -1.000000
144.00 C 20260807 -1.00 -1.00 5 5 -1.0000 -1.0000 -1.000000
145.00 C 20260807 -1.00 -1.00 5 126 -1.0000 -1.0000 -1.000000
146.00 C 20260807 -1.00 -1.00 11 13 -1.0000 -1.0000 -1.000000
147.00 C 20260807 -1.00 -1.00 9 9 -1.0000 -1.0000 -1.000000
148.00 C 20260807 -1.00 -1.00 4 19 0.7532 0.9897 0.002622
149.00 C 20260807 -1.00 -1.00 4 6 -1.0000 -1.0000 -1.000000
150.00 C 20260807 -1.00 -1.00 195 408 -1.0000 -1.0000 -1.000000
151.00 C 20260807 -1.00 -1.00 77 78 0.6567 0.9885 0.003323
152.00 C 20260807 -1.00 -1.00 78 222 0.9811 0.9240 0.010596
153.00 C 20260807 -1.00 -1.00 72 51 0.7179 0.9664 0.007544
154.00 C 20260807 -1.00 -1.00 7 115 0.9100 0.9122 0.012703
155.00 C 20260807 -1.00 -1.00 83 882 0.7995 0.9252 0.012853
156.00 C 20260807 -1.00 -1.00 4 319 0.8399 0.8984 0.015368
157.00 C 20260807 -1.00 -1.00 98 391 0.8159 0.8881 0.017057
157.50 C 20260807 -1.00 -1.00 1 22 0.8359 0.8756 0.018126
158.00 C 20260807 -1.00 -1.00 27 31 0.9234 0.8395 0.019191
159.00 C 20260807 -1.00 -1.00 2 61 0.9261 0.8175 0.020826
160.00 C 20260807 -1.00 -1.00 141 1803 0.9851 0.7848 0.021953
161.00 C 20260807 -1.00 -1.00 3 844 0.9642 0.7638 0.023430
162.00 C 20260807 -1.00 -1.00 9 36 0.9737 0.7355 0.024478
162.50 C 20260807 -1.00 -1.00 2 14 0.9838 0.7206 0.024892
163.00 C 20260807 -1.00 -1.00 1 19 0.8764 0.7272 0.027611
164.00 C 20260807 -1.00 -1.00 26 34 0.8223 0.7082 0.030435
165.00 C 20260807 -1.00 -1.00 1 4965 0.8959 0.6664 0.029981
166.00 C 20260807 -1.00 -1.00 13 51 0.8859 0.6365 0.031116
167.00 C 20260807 -1.00 -1.00 13 215 1.0166 0.5947 0.027789
167.50 C 20260807 -1.00 -1.00 30 42 1.0034 0.5812 0.028381
168.00 C 20260807 -1.00 -1.00 316 372 1.0086 0.5666 0.028476
169.00 C 20260807 -1.00 -1.00 1802 1357 1.0007 0.5382 0.029179
170.00 C 20260807 -1.00 -1.00 2 2626 0.9859 0.5092 0.029897
171.00 C 20260807 -1.00 -1.00 2 62 0.9791 0.4800 0.029791
172.00 C 20260807 -1.00 -1.00 192 343 0.8724 0.4414 0.032962
172.50 C 20260807 -1.00 -1.00 17 45 1.0007 0.4386 0.028708
173.00 C 20260807 -1.00 -1.00 10 226 0.8841 0.4104 0.032145
174.00 C 20260807 -1.00 -1.00 2 13 0.9499 0.3888 0.029682
175.00 C 20260807 -1.00 -1.00 228 1012 0.9727 0.3641 0.028526
