# opt_chain QCOM | epoch 1785945429 | 2026-08-05 11:57:09 | spot 157.54 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 69 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
95.00 C 20260807 -1.00 -1.00 13 9 3.0490 0.9871 0.000858
100.00 C 20260807 -1.00 -1.00 4 2 2.8182 0.9845 0.001087
105.00 C 20260807 -1.00 -1.00 2 3 2.4075 0.9877 0.001044
110.00 C 20260807 -1.00 -1.00 -1 0 2.1098 0.9883 0.001142
115.00 C 20260807 -1.00 -1.00 -1 0 2.0535 0.9791 0.001935
120.00 C 20260807 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
125.00 C 20260807 -1.00 -1.00 2 1 1.2344 0.9928 0.001255
126.00 C 20260807 -1.00 -1.00 -1 0 1.5518 0.9729 0.003228
127.00 C 20260807 -1.00 -1.00 -1 0 1.5682 0.9655 0.003849
128.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
129.00 C 20260807 -1.00 -1.00 -1 0 1.4715 0.9635 0.004289
130.00 C 20260807 -1.00 -1.00 2 4 1.3381 0.9723 0.003812
131.00 C 20260807 -1.00 -1.00 -1 0 1.3976 0.9590 0.004968
132.00 C 20260807 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
133.00 C 20260807 -1.00 -1.00 2 1 1.2191 0.9667 0.004811
134.00 C 20260807 -1.00 -1.00 4 4 1.1731 0.9656 0.005132
135.00 C 20260807 -1.00 -1.00 9 222 -1.0000 -1.0000 -1.000000
136.00 C 20260807 -1.00 -1.00 4 151 -1.0000 -1.0000 -1.000000
137.00 C 20260807 -1.00 -1.00 -1 0 0.8476 0.9846 0.003568
138.00 C 20260807 -1.00 -1.00 -1 0 1.1374 0.9401 0.008394
139.00 C 20260807 -1.00 -1.00 2 2 0.9890 0.9521 0.007974
140.00 C 20260807 -1.00 -1.00 3 103 0.9653 0.9469 0.008911
141.00 C 20260807 -1.00 -1.00 3 13 1.1217 0.9057 0.011898
142.00 C 20260807 -1.00 -1.00 48 30 0.8776 0.9421 0.010547
143.00 C 20260807 -1.00 -1.00 37 35 0.8658 0.9327 0.012055
144.00 C 20260807 -1.00 -1.00 56 2859 0.7302 0.9480 0.011557
145.00 C 20260807 -1.00 -1.00 58 184 0.6471 0.9545 0.011662
146.00 C 20260807 -1.00 -1.00 15 81 0.7865 0.9011 0.017578
147.00 C 20260807 -1.00 -1.00 20 116 0.8742 0.8584 0.020509
148.00 C 20260807 -1.00 -1.00 3 154 0.7613 0.8680 0.022588
149.00 C 20260807 -1.00 -1.00 3 410 0.7339 0.8487 0.025465
150.00 C 20260807 -1.00 -1.00 29 726 0.6836 0.8356 0.028809
152.50 C 20260807 -1.00 -1.00 6 1172 0.6662 0.7562 0.037709
155.00 C 20260807 -1.00 -1.00 108 9176 0.6689 0.6512 0.044792
157.50 C 20260807 -1.00 -1.00 52 724 0.6649 0.5338 0.048092
160.00 C 20260807 -1.00 -1.00 444 3385 0.6378 0.4120 0.048768
162.50 C 20260807 -1.00 -1.00 654 864 0.6543 0.3050 0.042687
165.00 C 20260807 -1.00 -1.00 566 1803 0.6747 0.2175 0.034969
167.50 C 20260807 -1.00 -1.00 223 489 0.6965 0.1512 0.026977
170.00 C 20260807 -1.00 -1.00 897 2235 0.7039 0.1011 0.019946
