# opt_chain QQQ | epoch 1785933904 | 2026-08-05 08:45:04 | spot 725.20 | exps 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 960 | band 0.1800 vencimientos 11 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
640.00 C 20260805 -1.00 -1.00 15 38 -1.0000 -1.0000 -1.000000
645.00 C 20260805 -1.00 -1.00 25 41 -1.0000 -1.0000 -1.000000
650.00 C 20260805 -1.00 -1.00 16 19 -1.0000 -1.0000 -1.000000
651.00 C 20260805 -1.00 -1.00 1 3 -1.0000 -1.0000 -1.000000
652.00 C 20260805 -1.00 -1.00 9 16 -1.0000 -1.0000 -1.000000
653.00 C 20260805 -1.00 -1.00 6 10 -1.0000 -1.0000 -1.000000
654.00 C 20260805 -1.00 -1.00 1 30 -1.0000 -1.0000 -1.000000
655.00 C 20260805 -1.00 -1.00 26 39 -1.0000 -1.0000 -1.000000
656.00 C 20260805 -1.00 -1.00 8 15 -1.0000 -1.0000 -1.000000
657.00 C 20260805 -1.00 -1.00 8 42 -1.0000 -1.0000 -1.000000
658.00 C 20260805 -1.00 -1.00 7 25 -1.0000 -1.0000 -1.000000
659.00 C 20260805 -1.00 -1.00 2 28 -1.0000 -1.0000 -1.000000
660.00 C 20260805 -1.00 -1.00 16 361 -1.0000 -1.0000 -1.000000
661.00 C 20260805 -1.00 -1.00 2 17 -1.0000 -1.0000 -1.000000
662.00 C 20260805 -1.00 -1.00 5 18 -1.0000 -1.0000 -1.000000
663.00 C 20260805 -1.00 -1.00 9 91 -1.0000 -1.0000 -1.000000
664.00 C 20260805 -1.00 -1.00 1 73 -1.0000 -1.0000 -1.000000
665.00 C 20260805 -1.00 -1.00 38 334 -1.0000 -1.0000 -1.000000
666.00 C 20260805 -1.00 -1.00 4 119 -1.0000 -1.0000 -1.000000
667.00 C 20260805 -1.00 -1.00 5 108 -1.0000 -1.0000 -1.000000
668.00 C 20260805 -1.00 -1.00 3 230 -1.0000 -1.0000 -1.000000
669.00 C 20260805 -1.00 -1.00 3 184 -1.0000 -1.0000 -1.000000
670.00 C 20260805 -1.00 -1.00 9 452 -1.0000 -1.0000 -1.000000
671.00 C 20260805 -1.00 -1.00 2 192 -1.0000 -1.0000 -1.000000
672.00 C 20260805 -1.00 -1.00 41 236 -1.0000 -1.0000 -1.000000
673.00 C 20260805 -1.00 -1.00 5 389 -1.0000 -1.0000 -1.000000
674.00 C 20260805 -1.00 -1.00 12 255 -1.0000 -1.0000 -1.000000
675.00 C 20260805 -1.00 -1.00 87 450 -1.0000 -1.0000 -1.000000
676.00 C 20260805 -1.00 -1.00 13 172 -1.0000 -1.0000 -1.000000
677.00 C 20260805 -1.00 -1.00 14 332 -1.0000 -1.0000 -1.000000
678.00 C 20260805 -1.00 -1.00 47 227 -1.0000 -1.0000 -1.000000
679.00 C 20260805 -1.00 -1.00 2 186 -1.0000 -1.0000 -1.000000
680.00 C 20260805 -1.00 -1.00 90 745 -1.0000 -1.0000 -1.000000
681.00 C 20260805 -1.00 -1.00 57 374 -1.0000 -1.0000 -1.000000
682.00 C 20260805 -1.00 -1.00 22 805 -1.0000 -1.0000 -1.000000
683.00 C 20260805 -1.00 -1.00 37 303 -1.0000 -1.0000 -1.000000
684.00 C 20260805 -1.00 -1.00 13 340 -1.0000 -1.0000 -1.000000
685.00 C 20260805 -1.00 -1.00 91 874 -1.0000 -1.0000 -1.000000
686.00 C 20260805 -1.00 -1.00 108 504 -1.0000 -1.0000 -1.000000
687.00 C 20260805 -1.00 -1.00 274 650 -1.0000 -1.0000 -1.000000
688.00 C 20260805 -1.00 -1.00 48 280 -1.0000 -1.0000 -1.000000
689.00 C 20260805 -1.00 -1.00 59 440 -1.0000 -1.0000 -1.000000
690.00 C 20260805 -1.00 -1.00 208 1522 -1.0000 -1.0000 -1.000000
691.00 C 20260805 -1.00 -1.00 39 437 -1.0000 -1.0000 -1.000000
692.00 C 20260805 -1.00 -1.00 43 923 -1.0000 -1.0000 -1.000000
693.00 C 20260805 -1.00 -1.00 43 666 -1.0000 -1.0000 -1.000000
694.00 C 20260805 -1.00 -1.00 50 343 -1.0000 -1.0000 -1.000000
695.00 C 20260805 -1.00 -1.00 300 1908 -1.0000 -1.0000 -1.000000
696.00 C 20260805 -1.00 -1.00 71 646 -1.0000 -1.0000 -1.000000
697.00 C 20260805 -1.00 -1.00 214 418 -1.0000 -1.0000 -1.000000
698.00 C 20260805 -1.00 -1.00 272 666 0.0002 1.0000 0.000000
699.00 C 20260805 -1.00 -1.00 524 664 -1.0000 -1.0000 -1.000000
700.00 C 20260805 -1.00 -1.00 2025 4879 -1.0000 -1.0000 -1.000000
701.00 C 20260805 -1.00 -1.00 525 1053 -1.0000 -1.0000 -1.000000
702.00 C 20260805 -1.00 -1.00 654 598 -1.0000 -1.0000 -1.000000
703.00 C 20260805 -1.00 -1.00 1229 1140 -1.0000 -1.0000 -1.000000
704.00 C 20260805 -1.00 -1.00 957 937 -1.0000 -1.0000 -1.000000
705.00 C 20260805 -1.00 -1.00 3294 1972 -1.0000 -1.0000 -1.000000
706.00 C 20260805 -1.00 -1.00 513 1874 -1.0000 -1.0000 -1.000000
707.00 C 20260805 -1.00 -1.00 803 560 -1.0000 -1.0000 -1.000000
708.00 C 20260805 -1.00 -1.00 2999 1671 -1.0000 -1.0000 -1.000000
709.00 C 20260805 -1.00 -1.00 1275 1198 0.3370 0.9720 0.007409
710.00 C 20260805 -1.00 -1.00 5439 6854 0.3051 0.9753 0.007313
711.00 C 20260805 -1.00 -1.00 2362 1002 0.3028 0.9692 0.008958
712.00 C 20260805 -1.00 -1.00 5100 3533 0.3649 0.9230 0.015358
713.00 C 20260805 -1.00 -1.00 6467 3199 0.3812 0.8946 0.018510
714.00 C 20260805 -1.00 -1.00 12103 2827 0.3678 0.8840 0.020674
715.00 C 20260805 -1.00 -1.00 18268 4182 0.3642 0.8661 0.023253
716.00 C 20260805 -1.00 -1.00 13392 2630 0.3728 0.8322 0.026058
717.00 C 20260805 -1.00 -1.00 7712 2958 0.3549 0.8159 0.029050
718.00 C 20260805 -1.00 -1.00 12476 2794 0.4031 0.7593 0.030210
719.00 C 20260805 -1.00 -1.00 10465 1766 0.4066 0.7244 0.031853
720.00 C 20260805 -1.00 -1.00 40465 8075 0.4006 0.6941 0.034012
721.00 C 20260805 -1.00 -1.00 13881 3072 0.4163 0.6556 0.034779
722.00 C 20260805 -1.00 -1.00 15613 3104 0.3926 0.6270 0.037716
723.00 C 20260805 -1.00 -1.00 18237 2719 0.4004 0.5865 0.037749
724.00 C 20260805 -1.00 -1.00 24969 3413 0.3834 0.5504 0.040143
725.00 C 20260805 -1.00 -1.00 41223 6707 0.3855 0.5106 0.040722
726.00 C 20260805 -1.00 -1.00 18768 2825 0.3841 0.4710 0.040413
727.00 C 20260805 -1.00 -1.00 12435 2577 0.3837 0.4314 0.039740
728.00 C 20260805 -1.00 -1.00 10486 1956 0.3838 0.3917 0.039017
729.00 C 20260805 -1.00 -1.00 9923 3082 0.3531 0.3413 0.040699
730.00 C 20260805 -1.00 -1.00 35582 7126 0.3659 0.3101 0.037440
731.00 C 20260805 -1.00 -1.00 9820 1781 0.3638 0.2725 0.035442
732.00 C 20260805 -1.00 -1.00 9184 2723 0.3755 0.2439 0.032700
733.00 C 20260805 -1.00 -1.00 7500 2270 0.3657 0.2083 0.030550
734.00 C 20260805 -1.00 -1.00 8006 2309 0.3412 0.1627 0.027943
735.00 C 20260805 -1.00 -1.00 13403 5024 0.3786 0.1622 0.025126
736.00 C 20260805 -1.00 -1.00 5121 1418 0.3705 0.1308 0.022486
737.00 C 20260805 -1.00 -1.00 5195 2071 0.3790 0.1174 0.020203
738.00 C 20260805 -1.00 -1.00 7396 2051 0.3951 0.1090 0.018305
739.00 C 20260805 -1.00 -1.00 2905 967 0.3982 0.0938 0.016232
740.00 C 20260805 -1.00 -1.00 12488 4959 0.4088 0.0835 0.014533
741.00 C 20260805 -1.00 -1.00 3162 1162 0.4216 0.0750 0.013076
742.00 C 20260805 -1.00 -1.00 4763 1628 0.3944 0.0525 0.010472
743.00 C 20260805 -1.00 -1.00 5309 1443 0.4199 0.0534 0.009988
744.00 C 20260805 -1.00 -1.00 1521 751 0.4621 0.0604 0.010049
745.00 C 20260805 -1.00 -1.00 5341 2549 0.4839 0.0596 0.009492
746.00 C 20260805 -1.00 -1.00 1009 495 0.4815 0.0507 0.008341
747.00 C 20260805 -1.00 -1.00 635 298 0.4922 0.0465 0.007606
748.00 C 20260805 -1.00 -1.00 1658 685 0.4972 0.0405 0.006740
749.00 C 20260805 -1.00 -1.00 1856 956 0.5023 0.0346 0.005908
750.00 C 20260805 -1.00 -1.00 5825 2999 0.5294 0.0369 0.005889
755.00 C 20260805 -1.00 -1.00 1812 921 0.6207 0.0330 0.004620
760.00 C 20260805 -1.00 -1.00 5209 4157 0.6249 0.0175 0.002651
765.00 C 20260805 -1.00 -1.00 1271 1077 0.6867 0.0134 0.001942
770.00 C 20260805 -1.00 -1.00 2623 1867 0.7437 0.0112 0.001525
775.00 C 20260805 -1.00 -1.00 5689 4974 0.7675 0.0074 0.001019
780.00 C 20260805 -1.00 -1.00 872 272 0.8249 0.0063 0.000822
785.00 C 20260805 -1.00 -1.00 30 30 0.9072 0.0070 0.000814
790.00 C 20260805 -1.00 -1.00 507 443 0.9554 0.0055 0.000634
795.00 C 20260805 -1.00 -1.00 38 37 1.1205 0.0105 0.000951
800.00 C 20260805 -1.00 -1.00 1176 879 1.0842 0.0050 0.000509
805.00 C 20260805 -1.00 -1.00 112 106 1.0931 0.0034 0.000357
810.00 C 20260805 -1.00 -1.00 2066 1570 1.1493 0.0032 0.000325
640.00 P 20260805 -1.00 -1.00 289 3428 1.2210 -0.0016 0.000157
645.00 P 20260805 -1.00 -1.00 491 1948 1.1494 -0.0017 0.000176
650.00 P 20260805 -1.00 -1.00 547 1836 1.1041 -0.0022 0.000242
651.00 P 20260805 -1.00 -1.00 147 389 1.1155 -0.0027 0.000289
652.00 P 20260805 -1.00 -1.00 69 224 1.1014 -0.0028 0.000296
653.00 P 20260805 -1.00 -1.00 175 401 1.0873 -0.0028 0.000303
654.00 P 20260805 -1.00 -1.00 66 185 1.0732 -0.0029 0.000311
655.00 P 20260805 -1.00 -1.00 125 1541 1.0591 -0.0029 0.000318
656.00 P 20260805 -1.00 -1.00 144 168 1.0195 -0.0024 0.000281
657.00 P 20260805 -1.00 -1.00 102 132 1.0310 -0.0030 0.000335
658.00 P 20260805 -1.00 -1.00 99 560 1.1284 -0.0070 0.000657
659.00 P 20260805 -1.00 -1.00 435 557 1.0284 -0.0035 0.000397
660.00 P 20260805 -1.00 -1.00 721 1256 1.0970 -0.0072 0.000692
661.00 P 20260805 -1.00 -1.00 116 171 1.0005 -0.0036 0.000419
662.00 P 20260805 -1.00 -1.00 96 351 0.9612 -0.0032 0.000383
663.00 P 20260805 -1.00 -1.00 42 305 0.9473 -0.0032 0.000394
664.00 P 20260805 -1.00 -1.00 73 1954 0.9587 -0.0038 0.000455
665.00 P 20260805 -1.00 -1.00 161 2687 1.0282 -0.0081 0.000826
666.00 P 20260805 -1.00 -1.00 77 350 0.9057 -0.0034 0.000429
667.00 P 20260805 -1.00 -1.00 55 3423 0.8918 -0.0034 0.000442
668.00 P 20260805 -1.00 -1.00 68 2273 0.8780 -0.0035 0.000456
669.00 P 20260805 -1.00 -1.00 644 901 0.8643 -0.0035 0.000470
670.00 P 20260805 -1.00 -1.00 860 5404 0.8505 -0.0036 0.000484
671.00 P 20260805 -1.00 -1.00 610 732 0.8528 -0.0042 0.000559
672.00 P 20260805 -1.00 -1.00 194 537 0.8375 -0.0043 0.000577
673.00 P 20260805 -1.00 -1.00 421 8907 0.8222 -0.0043 0.000596
674.00 P 20260805 -1.00 -1.00 304 1745 0.8983 -0.0098 0.001124
675.00 P 20260805 -1.00 -1.00 2407 4845 0.7916 -0.0045 0.000637
676.00 P 20260805 -1.00 -1.00 821 1806 0.7763 -0.0046 0.000659
677.00 P 20260805 -1.00 -1.00 559 578 0.7702 -0.0053 0.000751
678.00 P 20260805 -1.00 -1.00 1408 945 0.7459 -0.0047 0.000707
679.00 P 20260805 -1.00 -1.00 311 392 0.7307 -0.0048 0.000733
680.00 P 20260805 -1.00 -1.00 1435 2124 0.7247 -0.0056 0.000838
681.00 P 20260805 -1.00 -1.00 626 975 0.7095 -0.0057 0.000870
682.00 P 20260805 -1.00 -1.00 1246 1073 0.6944 -0.0058 0.000905
683.00 P 20260805 -1.00 -1.00 1161 852 0.6793 -0.0059 0.000941
684.00 P 20260805 -1.00 -1.00 1074 526 0.6733 -0.0067 0.001066
685.00 P 20260805 -1.00 -1.00 2810 2875 0.6583 -0.0069 0.001110
686.00 P 20260805 -1.00 -1.00 1007 537 0.6523 -0.0077 0.001245
687.00 P 20260805 -1.00 -1.00 2491 1670 0.6939 -0.0124 0.001799
688.00 P 20260805 -1.00 -1.00 1940 1123 0.6885 -0.0145 0.002056
689.00 P 20260805 -1.00 -1.00 1893 1283 0.6559 -0.0124 0.001893
690.00 P 20260805 -1.00 -1.00 8978 4187 0.6014 -0.0092 0.001584
691.00 P 20260805 -1.00 -1.00 1123 1201 0.5955 -0.0102 0.001753
692.00 P 20260805 -1.00 -1.00 2028 2598 0.5897 -0.0112 0.001928
693.00 P 20260805 -1.00 -1.00 1997 1643 0.5804 -0.0122 0.002111
694.00 P 20260805 -1.00 -1.00 2883 1398 0.6100 -0.0207 0.003131
695.00 P 20260805 -1.00 -1.00 5780 4190 0.5506 -0.0135 0.002429
696.00 P 20260805 -1.00 -1.00 1780 800 0.5569 -0.0184 0.003095
697.00 P 20260805 -1.00 -1.00 5706 2125 0.5324 -0.0174 0.003093
698.00 P 20260805 -1.00 -1.00 3162 1051 0.5734 -0.0283 0.004396
699.00 P 20260805 -1.00 -1.00 5710 2274 0.5143 -0.0215 0.003845
700.00 P 20260805 -1.00 -1.00 41365 9312 0.5168 -0.0258 0.004502
701.00 P 20260805 -1.00 -1.00 3999 2138 0.5456 -0.0391 0.005974
702.00 P 20260805 -1.00 -1.00 5933 2857 0.5263 -0.0403 0.006347
703.00 P 20260805 -1.00 -1.00 8659 3365 0.5013 -0.0397 0.006581
704.00 P 20260805 -1.00 -1.00 3467 972 0.4975 -0.0464 0.007512
705.00 P 20260805 -1.00 -1.00 9993 3385 0.5032 -0.0562 0.008708
706.00 P 20260805 -1.00 -1.00 4726 1325 0.4974 -0.0623 0.009626
707.00 P 20260805 -1.00 -1.00 5066 1476 0.4987 -0.0737 0.010893
708.00 P 20260805 -1.00 -1.00 8938 2651 0.5150 -0.0947 0.012647
709.00 P 20260805 -1.00 -1.00 12377 5763 0.4981 -0.1009 0.013707
710.00 P 20260805 -1.00 -1.00 44784 10894 0.4901 -0.1113 0.015019
711.00 P 20260805 -1.00 -1.00 7180 1973 0.4931 -0.1264 0.016505
712.00 P 20260805 -1.00 -1.00 10667 3019 0.4900 -0.1437 0.018016
713.00 P 20260805 -1.00 -1.00 13853 3743 0.4808 -0.1598 0.019593
714.00 P 20260805 -1.00 -1.00 12791 2670 0.4768 -0.1791 0.021248
715.00 P 20260805 -1.00 -1.00 32908 8481 0.4816 -0.2027 0.022841
716.00 P 20260805 -1.00 -1.00 12057 3569 0.4739 -0.2209 0.024620
717.00 P 20260805 -1.00 -1.00 15213 2283 0.4718 -0.2466 0.026096
718.00 P 20260805 -1.00 -1.00 22222 3325 0.4651 -0.2721 0.027686
