# opt_chain QQQ | epoch 1785954517 | 2026-08-05 14:28:37 | spot 721.31 | exps 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 93 | band 0.1800 vencimientos 12 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
635.00 C 20260805 -1.00 -1.00 17 11 -1.0000 -1.0000 -1.000000
640.00 C 20260805 -1.00 -1.00 31 38 1.6523 0.9986 0.000147
645.00 C 20260805 -1.00 -1.00 30 41 1.4849 0.9991 0.000113
650.00 C 20260805 -1.00 -1.00 19 19 -1.0000 -1.0000 -1.000000
651.00 C 20260805 -1.00 -1.00 20 3 -1.0000 -1.0000 -1.000000
652.00 C 20260805 -1.00 -1.00 13 16 -1.0000 -1.0000 -1.000000
653.00 C 20260805 -1.00 -1.00 2 10 -1.0000 -1.0000 -1.000000
654.00 C 20260805 -1.00 -1.00 1 30 -1.0000 -1.0000 -1.000000
655.00 C 20260805 -1.00 -1.00 4 39 -1.0000 -1.0000 -1.000000
656.00 C 20260805 -1.00 -1.00 8 15 -1.0000 -1.0000 -1.000000
657.00 C 20260805 -1.00 -1.00 4 42 -1.0000 -1.0000 -1.000000
658.00 C 20260805 -1.00 -1.00 7 25 -1.0000 -1.0000 -1.000000
659.00 C 20260805 -1.00 -1.00 11 28 -1.0000 -1.0000 -1.000000
660.00 C 20260805 -1.00 -1.00 65 361 -1.0000 -1.0000 -1.000000
661.00 C 20260805 -1.00 -1.00 44 17 -1.0000 -1.0000 -1.000000
662.00 C 20260805 -1.00 -1.00 11 18 -1.0000 -1.0000 -1.000000
663.00 C 20260805 -1.00 -1.00 1 91 -1.0000 -1.0000 -1.000000
664.00 C 20260805 -1.00 -1.00 1 73 -1.0000 -1.0000 -1.000000
665.00 C 20260805 -1.00 -1.00 37 334 -1.0000 -1.0000 -1.000000
666.00 C 20260805 -1.00 -1.00 36 119 -1.0000 -1.0000 -1.000000
667.00 C 20260805 -1.00 -1.00 36 108 -1.0000 -1.0000 -1.000000
668.00 C 20260805 -1.00 -1.00 1 230 -1.0000 -1.0000 -1.000000
669.00 C 20260805 -1.00 -1.00 3 184 -1.0000 -1.0000 -1.000000
670.00 C 20260805 -1.00 -1.00 51 452 -1.0000 -1.0000 -1.000000
671.00 C 20260805 -1.00 -1.00 38 192 -1.0000 -1.0000 -1.000000
672.00 C 20260805 -1.00 -1.00 67 236 -1.0000 -1.0000 -1.000000
673.00 C 20260805 -1.00 -1.00 1 389 -1.0000 -1.0000 -1.000000
674.00 C 20260805 -1.00 -1.00 2 255 -1.0000 -1.0000 -1.000000
675.00 C 20260805 -1.00 -1.00 53 450 -1.0000 -1.0000 -1.000000
676.00 C 20260805 -1.00 -1.00 13 172 -1.0000 -1.0000 -1.000000
677.00 C 20260805 -1.00 -1.00 77 332 -1.0000 -1.0000 -1.000000
678.00 C 20260805 -1.00 -1.00 21 227 -1.0000 -1.0000 -1.000000
679.00 C 20260805 -1.00 -1.00 40 186 -1.0000 -1.0000 -1.000000
680.00 C 20260805 -1.00 -1.00 55 745 -1.0000 -1.0000 -1.000000
681.00 C 20260805 -1.00 -1.00 5 374 -1.0000 -1.0000 -1.000000
682.00 C 20260805 -1.00 -1.00 21 805 -1.0000 -1.0000 -1.000000
683.00 C 20260805 -1.00 -1.00 29 303 -1.0000 -1.0000 -1.000000
684.00 C 20260805 -1.00 -1.00 14 340 -1.0000 -1.0000 -1.000000
685.00 C 20260805 -1.00 -1.00 13 874 1.1980 0.9597 0.003997
686.00 C 20260805 -1.00 -1.00 9 504 -1.0000 -1.0000 -1.000000
687.00 C 20260805 -1.00 -1.00 18 650 -1.0000 -1.0000 -1.000000
688.00 C 20260805 -1.00 -1.00 6 280 -1.0000 -1.0000 -1.000000
689.00 C 20260805 -1.00 -1.00 28 440 -1.0000 -1.0000 -1.000000
690.00 C 20260805 -1.00 -1.00 67 1522 -1.0000 -1.0000 -1.000000
691.00 C 20260805 -1.00 -1.00 31 437 -1.0000 -1.0000 -1.000000
692.00 C 20260805 -1.00 -1.00 36 923 0.9294 0.9655 0.004563
693.00 C 20260805 -1.00 -1.00 21 666 -1.0000 -1.0000 -1.000000
694.00 C 20260805 -1.00 -1.00 27 343 -1.0000 -1.0000 -1.000000
695.00 C 20260805 -1.00 -1.00 137 1908 1.0540 0.9243 0.007536
696.00 C 20260805 -1.00 -1.00 115 646 0.9586 0.9361 0.007319
697.00 C 20260805 -1.00 -1.00 20 418 -1.0000 -1.0000 -1.000000
698.00 C 20260805 -1.00 -1.00 102 666 -1.0000 -1.0000 -1.000000
699.00 C 20260805 -1.00 -1.00 14 664 0.9140 0.9180 0.009196
700.00 C 20260805 -1.00 -1.00 344 4879 0.5565 0.9861 0.003525
701.00 C 20260805 -1.00 -1.00 300 1053 0.7623 0.9367 0.009127
702.00 C 20260805 -1.00 -1.00 82 598 -1.0000 -1.0000 -1.000000
703.00 C 20260805 -1.00 -1.00 1126 1140 0.7273 0.9245 0.010897
704.00 C 20260805 -1.00 -1.00 938 937 0.7093 0.9168 0.011971
705.00 C 20260805 -1.00 -1.00 353 1972 0.5043 0.9682 0.007913
706.00 C 20260805 -1.00 -1.00 35 1874 0.6513 0.9077 0.014066
707.00 C 20260805 -1.00 -1.00 78 560 -1.0000 -1.0000 -1.000000
708.00 C 20260805 -1.00 -1.00 1040 1671 -1.0000 -1.0000 -1.000000
709.00 C 20260805 -1.00 -1.00 21 1198 0.5392 0.9005 0.017967
710.00 C 20260805 -1.00 -1.00 377 6854 0.5057 0.8959 0.019839
711.00 C 20260805 -1.00 -1.00 279 1002 0.2387 0.9928 0.004553
712.00 C 20260805 -1.00 -1.00 357 3533 0.2726 0.9737 0.012440
713.00 C 20260805 -1.00 -1.00 648 3199 0.2541 0.9694 0.015262
714.00 C 20260805 -1.00 -1.00 402 2827 0.1640 0.9945 0.005279
715.00 C 20260805 -1.00 -1.00 2777 4182 0.1915 0.9702 0.019766
716.00 C 20260805 -1.00 -1.00 1712 2630 0.1843 0.9475 0.032215
717.00 C 20260805 -1.00 -1.00 3450 2958 0.1629 0.9344 0.044053
718.00 C 20260805 -1.00 -1.00 6684 2794 0.1684 0.8694 0.071119
719.00 C 20260805 -1.00 -1.00 17071 1766 0.1716 0.7791 0.097427
720.00 C 20260805 -1.00 -1.00 62756 8075 0.1607 0.6801 0.124382
721.00 C 20260805 -1.00 -1.00 105278 3072 0.1567 0.5502 0.140956
722.00 C 20260805 -1.00 -1.00 169015 3104 0.1571 0.4110 0.137963
723.00 C 20260805 -1.00 -1.00 166528 2719 0.1571 0.2826 0.119734
724.00 C 20260805 -1.00 -1.00 143601 3413 0.1610 0.1832 0.091557
725.00 C 20260805 -1.00 -1.00 159796 6707 0.1686 0.1161 0.064615
726.00 C 20260805 -1.00 -1.00 134446 2825 0.1781 0.0726 0.043410
727.00 C 20260805 -1.00 -1.00 162489 2577 0.1850 0.0460 0.028774
728.00 C 20260805 -1.00 -1.00 131087 1956 0.2008 0.0315 0.019753
729.00 C 20260805 -1.00 -1.00 84177 3082 0.2027 0.0182 0.012137
730.00 C 20260805 -1.00 -1.00 161425 7126 0.2255 0.0166 0.010073
731.00 C 20260805 -1.00 -1.00 46165 1781 0.2323 0.0103 0.006481
732.00 C 20260805 -1.00 -1.00 47687 2723 0.2523 0.0095 0.005555
733.00 C 20260805 -1.00 -1.00 37872 2270 0.2723 0.0088 0.004822
734.00 C 20260805 -1.00 -1.00 34666 2309 0.2923 0.0083 0.004232
735.00 C 20260805 -1.00 -1.00 78413 5024 0.3123 0.0078 0.003749
736.00 C 20260805 -1.00 -1.00 32771 1418 0.3322 0.0074 0.003349
737.00 C 20260805 -1.00 -1.00 26193 2071 0.3521 0.0070 0.003013
738.00 C 20260805 -1.00 -1.00 43050 2051 0.3720 0.0066 0.002728
739.00 C 20260805 -1.00 -1.00 22392 967 0.3918 0.0063 0.002485
740.00 C 20260805 -1.00 -1.00 43053 4959 0.4116 0.0061 0.002274
741.00 C 20260805 -1.00 -1.00 14389 1162 0.4314 0.0058 0.002092
742.00 C 20260805 -1.00 -1.00 10765 1628 0.4512 0.0056 0.001932
743.00 C 20260805 -1.00 -1.00 11610 1443 0.4709 0.0054 0.001791
744.00 C 20260805 -1.00 -1.00 14062 751 0.4906 0.0052 0.001667
745.00 C 20260805 -1.00 -1.00 19189 2549 0.5103 0.0050 0.001556
746.00 C 20260805 -1.00 -1.00 9183 495 0.5299 0.0048 0.001457
747.00 C 20260805 -1.00 -1.00 9471 298 0.5496 0.0047 0.001367
748.00 C 20260805 -1.00 -1.00 8119 685 0.5692 0.0045 0.001287
749.00 C 20260805 -1.00 -1.00 13836 956 0.5887 0.0044 0.001214
750.00 C 20260805 -1.00 -1.00 21280 2999 0.6083 0.0043 0.001148
755.00 C 20260805 -1.00 -1.00 9565 921 0.6970 0.0038 0.000891
760.00 C 20260805 -1.00 -1.00 3565 4157 0.7829 0.0034 0.000714
765.00 C 20260805 -1.00 -1.00 3143 1077 0.8683 0.0031 0.000587
770.00 C 20260805 -1.00 -1.00 1082 1867 0.9531 0.0028 0.000492
775.00 C 20260805 -1.00 -1.00 1507 4974 1.0373 0.0026 0.000420
780.00 C 20260805 -1.00 -1.00 3446 272 1.1210 0.0024 0.000364
785.00 C 20260805 -1.00 -1.00 1068 30 1.2042 0.0023 0.000318
790.00 C 20260805 -1.00 -1.00 791 443 1.2868 0.0021 0.000282
795.00 C 20260805 -1.00 -1.00 83 37 1.3689 0.0020 0.000252
800.00 C 20260805 -1.00 -1.00 413 879 1.4505 0.0019 0.000226
805.00 C 20260805 -1.00 -1.00 1998 106 1.5316 0.0018 0.000205
635.00 P 20260805 -1.00 -1.00 899 1430 1.7762 -0.0015 0.000153
640.00 P 20260805 -1.00 -1.00 53 3428 1.6734 -0.0016 0.000171
645.00 P 20260805 -1.00 -1.00 2 1948 1.5713 -0.0017 0.000192
650.00 P 20260805 -1.00 -1.00 29 1836 1.5066 -0.0024 0.000266
651.00 P 20260805 -1.00 -1.00 147 389 1.5230 -0.0029 0.000317
652.00 P 20260805 -1.00 -1.00 1 224 1.5028 -0.0029 0.000325
653.00 P 20260805 -1.00 -1.00 1 401 1.4826 -0.0030 0.000334
654.00 P 20260805 -1.00 -1.00 10 185 1.4625 -0.0030 0.000342
655.00 P 20260805 -1.00 -1.00 125 1541 1.4424 -0.0030 0.000352
656.00 P 20260805 -1.00 -1.00 144 168 1.3859 -0.0026 0.000311
657.00 P 20260805 -1.00 -1.00 102 132 1.4023 -0.0031 0.000371
658.00 P 20260805 -1.00 -1.00 22 560 1.3459 -0.0026 0.000328
659.00 P 20260805 -1.00 -1.00 5 557 1.3987 -0.0037 0.000440
660.00 P 20260805 -1.00 -1.00 5 1256 1.4880 -0.0076 0.000767
661.00 P 20260805 -1.00 -1.00 116 171 1.3588 -0.0038 0.000465
662.00 P 20260805 -1.00 -1.00 2 351 1.3026 -0.0033 0.000427
663.00 P 20260805 -1.00 -1.00 42 305 1.2828 -0.0034 0.000440
664.00 P 20260805 -1.00 -1.00 8 1954 1.2936 -0.0040 0.000508
665.00 P 20260805 -1.00 -1.00 33 2687 1.2070 -0.0029 0.000404
666.00 P 20260805 -1.00 -1.00 77 350 1.2234 -0.0036 0.000482
667.00 P 20260805 -1.00 -1.00 55 3423 1.2037 -0.0036 0.000497
668.00 P 20260805 -1.00 -1.00 2 2273 1.1840 -0.0037 0.000513
669.00 P 20260805 -1.00 -1.00 25 901 1.1643 -0.0037 0.000530
670.00 P 20260805 -1.00 -1.00 104 5404 1.1086 -0.0032 0.000475
671.00 P 20260805 -1.00 -1.00 3 732 1.1394 -0.0045 0.000633
672.00 P 20260805 -1.00 -1.00 5 537 1.1175 -0.0046 0.000655
673.00 P 20260805 -1.00 -1.00 214 8907 1.0140 -0.0026 0.000435
674.00 P 20260805 -1.00 -1.00 46 1745 1.0305 -0.0034 0.000546
675.00 P 20260805 -1.00 -1.00 624 4845 1.0110 -0.0035 0.000566
676.00 P 20260805 -1.00 -1.00 276 1806 1.0303 -0.0049 0.000756
677.00 P 20260805 -1.00 -1.00 124 578 0.9363 -0.0028 0.000506
678.00 P 20260805 -1.00 -1.00 424 945 0.9169 -0.0029 0.000526
679.00 P 20260805 -1.00 -1.00 108 392 0.8976 -0.0029 0.000548
680.00 P 20260805 -1.00 -1.00 485 2124 0.8783 -0.0030 0.000571
681.00 P 20260805 -1.00 -1.00 570 975 0.8591 -0.0031 0.000596
682.00 P 20260805 -1.00 -1.00 484 1073 0.8398 -0.0031 0.000622
683.00 P 20260805 -1.00 -1.00 406 852 0.8206 -0.0032 0.000650
684.00 P 20260805 -1.00 -1.00 646 526 0.8014 -0.0033 0.000680
685.00 P 20260805 -1.00 -1.00 882 2875 0.7823 -0.0034 0.000712
686.00 P 20260805 -1.00 -1.00 2361 537 0.7631 -0.0034 0.000746
687.00 P 20260805 -1.00 -1.00 5111 1670 0.7441 -0.0035 0.000783
688.00 P 20260805 -1.00 -1.00 6386 1123 0.7250 -0.0036 0.000823
689.00 P 20260805 -1.00 -1.00 4243 1283 0.7059 -0.0037 0.000866
690.00 P 20260805 -1.00 -1.00 5260 4187 0.6869 -0.0038 0.000913
691.00 P 20260805 -1.00 -1.00 3477 1201 0.6680 -0.0039 0.000964
692.00 P 20260805 -1.00 -1.00 4670 2598 0.6477 -0.0040 0.001019
693.00 P 20260805 -1.00 -1.00 4932 1643 0.6265 -0.0041 0.001079
694.00 P 20260805 -1.00 -1.00 5482 1398 0.6053 -0.0043 0.001145
695.00 P 20260805 -1.00 -1.00 8184 4190 0.5842 -0.0044 0.001218
696.00 P 20260805 -1.00 -1.00 8257 800 0.5631 -0.0045 0.001298
697.00 P 20260805 -1.00 -1.00 7877 2125 0.5420 -0.0047 0.001388
698.00 P 20260805 -1.00 -1.00 5519 1051 0.5209 -0.0049 0.001488
699.00 P 20260805 -1.00 -1.00 4217 2274 0.4999 -0.0050 0.001600
700.00 P 20260805 -1.00 -1.00 15186 9312 0.4789 -0.0052 0.001726
701.00 P 20260805 -1.00 -1.00 10646 2138 0.4580 -0.0055 0.001869
702.00 P 20260805 -1.00 -1.00 9658 2857 0.4371 -0.0057 0.002032
703.00 P 20260805 -1.00 -1.00 11585 3365 0.4162 -0.0060 0.002218
704.00 P 20260805 -1.00 -1.00 8373 972 0.3953 -0.0062 0.002434
705.00 P 20260805 -1.00 -1.00 14719 3385 0.3745 -0.0066 0.002684
706.00 P 20260805 -1.00 -1.00 11030 1325 0.3537 -0.0069 0.002978
707.00 P 20260805 -1.00 -1.00 8618 1476 0.3329 -0.0073 0.003326
708.00 P 20260805 -1.00 -1.00 14967 2651 0.3122 -0.0078 0.003743
709.00 P 20260805 -1.00 -1.00 12419 5763 0.2915 -0.0083 0.004247
710.00 P 20260805 -1.00 -1.00 30017 10894 0.2708 -0.0089 0.004868
711.00 P 20260805 -1.00 -1.00 14085 1973 0.2502 -0.0095 0.005642
712.00 P 20260805 -1.00 -1.00 22997 3019 0.2447 -0.0154 0.008715
713.00 P 20260805 -1.00 -1.00 32904 3743 0.2323 -0.0218 0.012354
714.00 P 20260805 -1.00 -1.00 42575 2670 0.2198 -0.0289 0.016781
715.00 P 20260805 -1.00 -1.00 97371 8481 0.2055 -0.0419 0.024033
716.00 P 20260805 -1.00 -1.00 112022 3569 0.2004 -0.0656 0.035790
717.00 P 20260805 -1.00 -1.00 108702 2283 0.1856 -0.0962 0.050916
718.00 P 20260805 -1.00 -1.00 148377 3325 0.1778 -0.1459 0.071923
719.00 P 20260805 -1.00 -1.00 117971 2202 0.1715 -0.2209 0.097520
720.00 P 20260805 -1.00 -1.00 305485 8693 0.1630 -0.3224 0.123175
