# opt_chain RKLB | epoch 1785937773 | 2026-08-05 09:49:33 | spot 75.84 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 91 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
67.00 C 20260807 -1.00 -1.00 1 390 1.8194 0.7744 0.027755
67.50 C 20260807 -1.00 -1.00 1 205 1.8400 0.7560 0.028506
68.00 C 20260807 -1.00 -1.00 251 1723 1.0922 0.8420 0.036849
68.50 C 20260807 -1.00 -1.00 3 122 1.1110 0.8175 0.039838
69.00 C 20260807 -1.00 -1.00 1 414 1.1135 0.7966 0.042841
70.00 C 20260807 -1.00 -1.00 7338 6460 1.4962 0.6993 0.039044
71.00 C 20260807 -1.00 -1.00 5 706 1.1589 0.6891 0.051254
72.00 C 20260807 -1.00 -1.00 14 1132 1.4148 0.6185 0.045095
73.00 C 20260807 -1.00 -1.00 21 810 1.0978 0.5807 0.059514
74.00 C 20260807 -1.00 -1.00 292 1152 1.4673 0.5258 0.046101
75.00 C 20260807 -1.00 -1.00 272 6032 1.3252 0.4748 0.050316
76.00 C 20260807 -1.00 -1.00 92 1470 1.3738 0.4300 0.047825
77.00 C 20260807 -1.00 -1.00 83 1345 1.1376 0.3531 0.055027
78.00 C 20260807 -1.00 -1.00 27 1475 1.4210 0.3477 0.043671
79.00 C 20260807 -1.00 -1.00 9 644 1.2046 0.2696 0.046030
80.00 C 20260807 -1.00 -1.00 465 4858 1.1661 0.2210 0.042719
81.00 C 20260807 -1.00 -1.00 55 1193 1.1835 0.1889 0.038079
82.00 C 20260807 -1.00 -1.00 20 729 1.2720 0.1750 0.033806
83.00 C 20260807 -1.00 -1.00 62 654 1.1903 0.1280 0.029469
84.00 C 20260807 -1.00 -1.00 672 584 1.3729 0.1389 0.027175
67.00 P 20260807 -1.00 -1.00 319 350 1.1572 -0.1316 0.031017
67.50 P 20260807 -1.00 -1.00 1 140 1.1398 -0.1477 0.033823
68.00 P 20260807 -1.00 -1.00 17 435 1.0471 -0.1482 0.036896
68.50 P 20260807 -1.00 -1.00 65 135 1.1414 -0.1880 0.039590
69.00 P 20260807 -1.00 -1.00 7 476 0.9974 -0.1816 0.044229
70.00 P 20260807 -1.00 -1.00 184 1969 1.1439 -0.2580 0.047207
71.00 P 20260807 -1.00 -1.00 6 276 0.9980 -0.2890 0.057272
72.00 P 20260807 -1.00 -1.00 3 629 0.9600 -0.3440 0.065079
73.00 P 20260807 -1.00 -1.00 7 384 1.1704 -0.4222 0.055946
74.00 P 20260807 -1.00 -1.00 25 215 1.2036 -0.4782 0.056263
75.00 P 20260807 -1.00 -1.00 11 922 1.1051 -0.5384 0.060144
76.00 P 20260807 -1.00 -1.00 124 128 0.9029 -0.6267 0.071272
77.00 P 20260807 -1.00 -1.00 45 85 0.6619 -0.7618 0.079702
78.00 P 20260807 -1.00 -1.00 42 78 1.2491 -0.6771 0.048095
79.00 P 20260807 -1.00 -1.00 4 124 1.1799 -0.7361 0.046658
80.00 P 20260807 -1.00 -1.00 116 396 1.2480 -0.7638 0.041789
81.00 P 20260807 -1.00 -1.00 2 64 -1.0000 -1.0000 -1.000000
82.00 P 20260807 -1.00 -1.00 20 45 1.2698 -0.8260 0.033856
83.00 P 20260807 -1.00 -1.00 65 46 1.1018 -0.8910 0.028405
84.00 P 20260807 -1.00 -1.00 4 86 -1.0000 -1.0000 -1.000000
67.00 C 20260814 -1.00 -1.00 7 68 1.4285 0.7105 0.020424
