# opt_chain SPCX | epoch 1785943522 | 2026-08-05 11:25:22 | spot 125.33 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 69922 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
76.00 C 20260807 -1.00 -1.00 3 2 -1.0000 -1.0000 -1.000000
77.00 C 20260807 -1.00 -1.00 7 2 -1.0000 -1.0000 -1.000000
78.00 C 20260807 -1.00 -1.00 74 3 -1.0000 -1.0000 -1.000000
79.00 C 20260807 -1.00 -1.00 47 11 -1.0000 -1.0000 -1.000000
80.00 C 20260807 -1.00 -1.00 4 951 -1.0000 -1.0000 -1.000000
81.00 C 20260807 -1.00 -1.00 3 4 -1.0000 -1.0000 -1.000000
82.00 C 20260807 -1.00 -1.00 5 4 2.1243 0.9829 0.002136
83.00 C 20260807 -1.00 -1.00 3 8 -1.0000 -1.0000 -1.000000
84.00 C 20260807 -1.00 -1.00 6 6 -1.0000 -1.0000 -1.000000
85.00 C 20260807 -1.00 -1.00 208 941 -1.0000 -1.0000 -1.000000
86.00 C 20260807 -1.00 -1.00 87 45 -1.0000 -1.0000 -1.000000
87.00 C 20260807 -1.00 -1.00 13 5 -1.0000 -1.0000 -1.000000
88.00 C 20260807 -1.00 -1.00 6 14 -1.0000 -1.0000 -1.000000
89.00 C 20260807 -1.00 -1.00 233 232 -1.0000 -1.0000 -1.000000
90.00 C 20260807 -1.00 -1.00 249 1254 -1.0000 -1.0000 -1.000000
91.00 C 20260807 -1.00 -1.00 45 65 -1.0000 -1.0000 -1.000000
92.00 C 20260807 -1.00 -1.00 17 104 -1.0000 -1.0000 -1.000000
93.00 C 20260807 -1.00 -1.00 7 89 -1.0000 -1.0000 -1.000000
94.00 C 20260807 -1.00 -1.00 20 11 -1.0000 -1.0000 -1.000000
95.00 C 20260807 -1.00 -1.00 21 249 1.4820 0.9574 0.006575
96.00 C 20260807 -1.00 -1.00 24 45 1.4462 0.9527 0.007350
97.00 C 20260807 -1.00 -1.00 15 71 1.3532 0.9537 0.007708
98.00 C 20260807 -1.00 -1.00 92 59 1.4251 0.9372 0.009463
99.00 C 20260807 -1.00 -1.00 120 104 1.3849 0.9290 0.010610
100.00 C 20260807 -1.00 -1.00 543 4655 1.2959 0.9285 0.011404
101.00 C 20260807 -1.00 -1.00 21 151 1.4365 0.8928 0.013970
102.00 C 20260807 -1.00 -1.00 22 79 1.2018 0.9123 0.014288
103.00 C 20260807 -1.00 -1.00 32 239 0.6699 0.9871 0.005311
104.00 C 20260807 -1.00 -1.00 24 214 1.3901 0.8438 0.018627
105.00 C 20260807 -1.00 -1.00 430 2181 1.3170 0.8337 0.020485
106.00 C 20260807 -1.00 -1.00 243 505 1.3934 0.8004 0.021937
107.00 C 20260807 -1.00 -1.00 332 243 1.3962 0.7761 0.023436
108.00 C 20260807 -1.00 -1.00 510 1004 1.3924 0.7492 0.024797
109.00 C 20260807 -1.00 -1.00 1584 838 1.3484 0.7269 0.026712
110.00 C 20260807 -1.00 -1.00 10649 3245 1.3607 0.6973 0.027926
111.00 C 20260807 -1.00 -1.00 3466 2168 1.3729 0.6681 0.029098
112.00 C 20260807 -1.00 -1.00 4715 4091 1.3640 0.6379 0.029976
113.00 C 20260807 -1.00 -1.00 4654 1607 1.3504 0.6071 0.030878
114.00 C 20260807 -1.00 -1.00 4594 1442 1.3574 0.5752 0.031334
115.00 C 20260807 -1.00 -1.00 17845 10180 1.3644 0.5436 0.031782
116.00 C 20260807 -1.00 -1.00 6886 5349 1.3729 0.5125 0.031903
117.00 C 20260807 -1.00 -1.00 4958 1598 1.3543 0.4810 0.032012
118.00 C 20260807 -1.00 -1.00 2745 2278 1.3560 0.4501 0.031642
119.00 C 20260807 -1.00 -1.00 1829 1899 1.3577 0.4192 0.031274
120.00 C 20260807 -1.00 -1.00 21146 14072 1.3527 0.3877 0.031053
121.00 C 20260807 -1.00 -1.00 3907 2647 1.3768 0.3622 0.029835
122.00 C 20260807 -1.00 -1.00 2973 1667 1.3734 0.3355 0.028844
123.00 C 20260807 -1.00 -1.00 3435 1275 1.2945 0.2961 0.028926
124.00 C 20260807 -1.00 -1.00 3960 3697 1.3830 0.2847 0.026623
125.00 C 20260807 -1.00 -1.00 11356 10100 1.3840 0.2588 0.025577
126.00 C 20260807 -1.00 -1.00 2122 1659 1.4088 0.2401 0.024220
127.00 C 20260807 -1.00 -1.00 2329 1426 1.3995 0.2194 0.022965
128.00 C 20260807 -1.00 -1.00 1475 1229 1.4020 0.2005 0.021642
129.00 C 20260807 -1.00 -1.00 1655 1174 1.4102 0.1829 0.020325
130.00 C 20260807 -1.00 -1.00 14448 16093 1.4107 0.1639 0.019030
131.00 C 20260807 -1.00 -1.00 2054 1754 1.4475 0.1530 0.017832
132.00 C 20260807 -1.00 -1.00 964 1237 1.4514 0.1388 0.016667
133.00 C 20260807 -1.00 -1.00 1067 2956 1.4459 0.1257 0.015508
134.00 C 20260807 -1.00 -1.00 650 1762 1.4575 0.1156 0.014435
135.00 C 20260807 -1.00 -1.00 8088 14989 1.4662 0.1050 0.013375
136.00 C 20260807 -1.00 -1.00 1118 1539 1.4832 0.0962 0.012412
137.00 C 20260807 -1.00 -1.00 1594 2204 1.5001 0.0876 0.011490
138.00 C 20260807 -1.00 -1.00 583 1686 1.5197 0.0796 0.010637
139.00 C 20260807 -1.00 -1.00 590 1111 1.5359 0.0735 0.009908
140.00 C 20260807 -1.00 -1.00 7446 14775 1.5392 0.0674 0.009192
141.00 C 20260807 -1.00 -1.00 494 1578 1.5424 0.0614 0.008483
142.00 C 20260807 -1.00 -1.00 612 1913 1.5551 0.0566 0.007865
143.00 C 20260807 -1.00 -1.00 347 1995 1.5678 0.0518 0.007267
144.00 C 20260807 -1.00 -1.00 420 1242 1.5803 0.0471 0.006688
145.00 C 20260807 -1.00 -1.00 3987 12374 1.6116 0.0449 0.006322
146.00 C 20260807 -1.00 -1.00 128 846 1.6192 0.0398 0.005737
147.00 C 20260807 -1.00 -1.00 387 1328 1.6595 0.0391 0.005518
148.00 C 20260807 -1.00 -1.00 768 1105 1.6648 0.0347 0.005023
149.00 C 20260807 -1.00 -1.00 260 867 1.6708 0.0323 0.004684
150.00 C 20260807 -1.00 -1.00 11641 32959 1.6952 0.0311 0.004464
152.50 C 20260807 -1.00 -1.00 8153 10799 1.7143 0.0254 0.003697
155.00 C 20260807 -1.00 -1.00 7334 9536 1.7695 0.0224 0.003225
157.50 C 20260807 -1.00 -1.00 751 1755 1.8238 0.0197 0.002804
160.00 C 20260807 -1.00 -1.00 4702 13822 1.8772 0.0171 0.002428
162.50 C 20260807 -1.00 -1.00 189 2030 1.9388 0.0153 0.002152
165.00 C 20260807 -1.00 -1.00 1921 5184 1.9976 0.0142 0.001962
167.50 C 20260807 -1.00 -1.00 890 1502 2.0638 0.0138 0.001847
170.00 C 20260807 -1.00 -1.00 3243 14853 2.0884 0.0122 0.001631
172.50 C 20260807 -1.00 -1.00 135 1302 2.1732 0.0125 0.001597
175.00 C 20260807 -1.00 -1.00 2563 5873 2.1966 0.0110 0.001407
76.00 P 20260807 -1.00 -1.00 101 1639 2.0472 -0.0032 0.000516
77.00 P 20260807 -1.00 -1.00 12 1277 2.0167 -0.0040 0.000625
78.00 P 20260807 -1.00 -1.00 122 1173 2.0166 -0.0054 0.000816
79.00 P 20260807 -1.00 -1.00 352 2328 1.9867 -0.0062 0.000937
80.00 P 20260807 -1.00 -1.00 3496 15098 1.9276 -0.0064 0.000991
81.00 P 20260807 -1.00 -1.00 320 1368 1.8691 -0.0066 0.001050
82.00 P 20260807 -1.00 -1.00 109 689 1.8115 -0.0068 0.001114
83.00 P 20260807 -1.00 -1.00 491 1442 1.8127 -0.0083 0.001348
84.00 P 20260807 -1.00 -1.00 524 1402 1.8288 -0.0105 0.001650
85.00 P 20260807 -1.00 -1.00 5818 12494 1.7785 -0.0115 0.001823
86.00 P 20260807 -1.00 -1.00 428 1896 1.7410 -0.0131 0.002083
87.00 P 20260807 -1.00 -1.00 318 2513 1.7162 -0.0155 0.002431
88.00 P 20260807 -1.00 -1.00 639 1917 1.6795 -0.0173 0.002732
89.00 P 20260807 -1.00 -1.00 13310 13339 1.6553 -0.0198 0.003121
90.00 P 20260807 -1.00 -1.00 26077 43238 1.6314 -0.0224 0.003532
91.00 P 20260807 -1.00 -1.00 706 979 1.6315 -0.0262 0.004073
92.00 P 20260807 -1.00 -1.00 1423 3849 1.6027 -0.0307 0.004686
93.00 P 20260807 -1.00 -1.00 1198 2267 1.5717 -0.0354 0.005342
94.00 P 20260807 -1.00 -1.00 2328 2765 1.5470 -0.0408 0.006090
95.00 P 20260807 -1.00 -1.00 20152 33800 1.5342 -0.0475 0.006965
96.00 P 20260807 -1.00 -1.00 1085 2409 1.5273 -0.0548 0.007901
97.00 P 20260807 -1.00 -1.00 2310 3180 1.5158 -0.0626 0.008884
98.00 P 20260807 -1.00 -1.00 2029 3313 1.4851 -0.0718 0.009984
99.00 P 20260807 -1.00 -1.00 2540 1995 1.4645 -0.0827 0.011231
100.00 P 20260807 -1.00 -1.00 48432 50158 1.4540 -0.0952 0.012594
101.00 P 20260807 -1.00 -1.00 1955 3618 1.4535 -0.1092 0.014025
102.00 P 20260807 -1.00 -1.00 3205 1540 1.4521 -0.1243 0.015476
103.00 P 20260807 -1.00 -1.00 1827 1917 1.4299 -0.1413 0.017000
104.00 P 20260807 -1.00 -1.00 2322 1079 1.4143 -0.1599 0.018599
105.00 P 20260807 -1.00 -1.00 11927 20812 1.4117 -0.1806 0.020219
106.00 P 20260807 -1.00 -1.00 1568 1808 1.4474 -0.2063 0.021633
107.00 P 20260807 -1.00 -1.00 6384 2208 1.4115 -0.2260 0.023291
108.00 P 20260807 -1.00 -1.00 4509 2990 1.3963 -0.2512 0.024753
109.00 P 20260807 -1.00 -1.00 4672 2016 1.3909 -0.2780 0.026141
110.00 P 20260807 -1.00 -1.00 35668 26159 1.3951 -0.3059 0.027405
111.00 P 20260807 -1.00 -1.00 4857 2528 1.4328 -0.3364 0.028058
112.00 P 20260807 -1.00 -1.00 3663 4801 1.3911 -0.3637 0.029425
113.00 P 20260807 -1.00 -1.00 3022 2521 1.3774 -0.3940 0.030297
114.00 P 20260807 -1.00 -1.00 3625 2534 1.3776 -0.4251 0.030889
115.00 P 20260807 -1.00 -1.00 6854 20407 1.3913 -0.4563 0.031174
116.00 P 20260807 -1.00 -1.00 3392 1952 1.4474 -0.4857 0.030268
117.00 P 20260807 -1.00 -1.00 984 1282 1.3811 -0.5176 0.031405
118.00 P 20260807 -1.00 -1.00 1750 2267 1.4434 -0.5440 0.029785
119.00 P 20260807 -1.00 -1.00 807 2389 1.3844 -0.5782 0.030704
120.00 P 20260807 -1.00 -1.00 5538 25722 1.4796 -0.5986 0.028544
121.00 P 20260807 -1.00 -1.00 829 1590 1.4208 -0.6326 0.029104
122.00 P 20260807 -1.00 -1.00 348 1037 1.3975 -0.6611 0.028478
123.00 P 20260807 -1.00 -1.00 3347 4129 1.4046 -0.6858 0.027369
124.00 P 20260807 -1.00 -1.00 2639 3126 1.4041 -0.7115 0.026374
125.00 P 20260807 -1.00 -1.00 5585 11237 1.4186 -0.7345 0.025221
126.00 P 20260807 -1.00 -1.00 237 806 1.4361 -0.7555 0.024044
127.00 P 20260807 -1.00 -1.00 102 382 1.3939 -0.7816 0.022998
128.00 P 20260807 -1.00 -1.00 41 200 1.7002 -0.7523 0.020447
129.00 P 20260807 -1.00 -1.00 518 867 1.4355 -0.8120 0.020308
130.00 P 20260807 -1.00 -1.00 847 3519 1.4513 -0.8275 0.019068
131.00 P 20260807 -1.00 -1.00 34 321 1.4765 -0.8407 0.017896
132.00 P 20260807 -1.00 -1.00 36 191 1.6159 -0.8303 0.016969
133.00 P 20260807 -1.00 -1.00 21 385 1.7923 -0.8149 0.016109
134.00 P 20260807 -1.00 -1.00 16 514 1.7781 -0.8323 0.015325
135.00 P 20260807 -1.00 -1.00 293 4567 1.9904 -0.8119 0.014648
136.00 P 20260807 -1.00 -1.00 6 257 1.8533 -0.8482 0.013904
137.00 P 20260807 -1.00 -1.00 5 340 1.6722 -0.8834 0.012661
138.00 P 20260807 -1.00 -1.00 41 322 1.8759 -0.8649 0.012605
139.00 P 20260807 -1.00 -1.00 24 1224 1.6600 -0.9063 0.010900
140.00 P 20260807 -1.00 -1.00 116 2987 1.6956 -0.9107 0.010324
141.00 P 20260807 -1.00 -1.00 10 557 1.8970 -0.8894 0.010735
142.00 P 20260807 -1.00 -1.00 28 221 1.9730 -0.8877 0.010431
143.00 P 20260807 -1.00 -1.00 25 518 2.3648 -0.8500 0.010799
144.00 P 20260807 -1.00 -1.00 22 444 2.0273 -0.8974 0.009517
145.00 P 20260807 -1.00 -1.00 175 1029 1.8069 -0.9327 0.007819
146.00 P 20260807 -1.00 -1.00 9 449 1.6824 -0.9522 0.006368
147.00 P 20260807 -1.00 -1.00 8 310 2.0037 -0.9239 0.007803
148.00 P 20260807 -1.00 -1.00 44 544 1.9260 -0.9362 0.007013
149.00 P 20260807 -1.00 -1.00 38 818 2.5310 -0.8737 0.008849
150.00 P 20260807 -1.00 -1.00 65 2283 2.0273 -0.9360 0.006674
152.50 P 20260807 -1.00 -1.00 3 406 2.5137 -0.8987 0.007609
155.00 P 20260807 -1.00 -1.00 33 375 2.8232 -0.8804 0.007617
157.50 P 20260807 -1.00 -1.00 7 147 2.5148 -0.9255 0.006084
160.00 P 20260807 -1.00 -1.00 70 375 2.3122 -0.9526 0.004611
162.50 P 20260807 -1.00 -1.00 11 266 2.6041 -0.9366 0.005146
165.00 P 20260807 -1.00 -1.00 5 127 2.2984 -0.9683 0.003362
167.50 P 20260807 -1.00 -1.00 2 81 3.2044 -0.9086 0.005584
170.00 P 20260807 -1.00 -1.00 63 195 2.9081 -0.9379 0.004525
172.50 P 20260807 -1.00 -1.00 89 110 3.3833 -0.9136 0.005092
175.00 P 20260807 -1.00 -1.00 28 48 2.6806 -0.9671 0.002969
76.00 C 20260814 -1.00 -1.00 48 0 -1.0000 -1.0000 -1.000000
77.00 C 20260814 -1.00 -1.00 41 0 -1.0000 -1.0000 -1.000000
78.00 C 20260814 -1.00 -1.00 40 0 -1.0000 -1.0000 -1.000000
79.00 C 20260814 -1.00 -1.00 40 0 -1.0000 -1.0000 -1.000000
80.00 C 20260814 -1.00 -1.00 1 410 -1.0000 -1.0000 -1.000000
81.00 C 20260814 -1.00 -1.00 40 1 -1.0000 -1.0000 -1.000000
82.00 C 20260814 -1.00 -1.00 40 3 -1.0000 -1.0000 -1.000000
83.00 C 20260814 -1.00 -1.00 44 3 -1.0000 -1.0000 -1.000000
84.00 C 20260814 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
85.00 C 20260814 -1.00 -1.00 5 104 -1.0000 -1.0000 -1.000000
86.00 C 20260814 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
87.00 C 20260814 -1.00 -1.00 130 0 -1.0000 -1.0000 -1.000000
88.00 C 20260814 -1.00 -1.00 40 1 -1.0000 -1.0000 -1.000000
89.00 C 20260814 -1.00 -1.00 40 0 -1.0000 -1.0000 -1.000000
90.00 C 20260814 -1.00 -1.00 14 728 0.8983 0.9665 0.004469
91.00 C 20260814 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
92.00 C 20260814 -1.00 -1.00 3 1 0.8596 0.9590 0.005504
93.00 C 20260814 -1.00 -1.00 16 11 0.7813 0.9658 0.005230
94.00 C 20260814 -1.00 -1.00 6 9 0.9519 0.9256 0.007989
95.00 C 20260814 -1.00 -1.00 24 527 0.9808 0.9089 0.009037
96.00 C 20260814 -1.00 -1.00 52 2 0.9166 0.9107 0.009518
97.00 C 20260814 -1.00 -1.00 26 0 0.9370 0.8954 0.010543
98.00 C 20260814 -1.00 -1.00 11 12 0.9480 0.8822 0.011463
99.00 C 20260814 -1.00 -1.00 24 6 0.9753 0.8596 0.012414
100.00 C 20260814 -1.00 -1.00 123 1016 0.9803 0.8429 0.013292
101.00 C 20260814 -1.00 -1.00 16 80 0.9906 0.8252 0.014135
102.00 C 20260814 -1.00 -1.00 4 5 0.9518 0.8171 0.015182
103.00 C 20260814 -1.00 -1.00 3 29 0.9894 0.7946 0.015866
104.00 C 20260814 -1.00 -1.00 5 4 0.9829 0.7764 0.016631
105.00 C 20260814 -1.00 -1.00 120 975 0.9632 0.7603 0.017558
