# opt_chain STX | epoch 1785956433 | 2026-08-05 15:00:33 | spot 871.62 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 92 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
525.00 C 20260807 -1.00 -1.00 2 7 3.3078 0.9830 0.000187
530.00 C 20260807 -1.00 -1.00 4 11 3.0480 0.9877 0.000154
535.00 C 20260807 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
537.50 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
540.00 C 20260807 -1.00 -1.00 3 2 2.5534 0.9946 0.000089
542.50 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
545.00 C 20260807 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
547.50 C 20260807 -1.00 -1.00 -1 0 2.7922 0.9891 0.000152
550.00 C 20260807 -1.00 -1.00 5 12 -1.0000 -1.0000 -1.000000
552.50 C 20260807 -1.00 -1.00 1 2 2.7050 0.9900 0.000145
555.00 C 20260807 -1.00 -1.00 1 1 2.6800 0.9899 0.000148
557.50 C 20260807 -1.00 -1.00 1 1 2.6066 0.9910 0.000138
560.00 C 20260807 -1.00 -1.00 2 4 2.2453 0.9965 0.000068
562.50 C 20260807 -1.00 -1.00 -1 0 2.3501 0.9942 0.000102
565.00 C 20260807 -1.00 -1.00 2 1 3.1001 0.9747 0.000283
567.50 C 20260807 -1.00 -1.00 2 1 2.7725 0.9830 0.000224
570.00 C 20260807 -1.00 -1.00 2 1 3.0433 0.9743 0.000292
572.50 C 20260807 -1.00 -1.00 2 1 2.7587 0.9817 0.000240
575.00 C 20260807 -1.00 -1.00 1 3 2.1989 0.9948 0.000100
577.50 C 20260807 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
580.00 C 20260807 -1.00 -1.00 12 6 2.4710 0.9879 0.000187
582.50 C 20260807 -1.00 -1.00 -1 0 1.9731 0.9972 0.000063
585.00 C 20260807 -1.00 -1.00 2 1 2.3700 0.9896 0.000173
587.50 C 20260807 -1.00 -1.00 -1 0 1.9334 0.9972 0.000065
590.00 C 20260807 -1.00 -1.00 2 2 2.4464 0.9850 0.000227
592.50 C 20260807 -1.00 -1.00 -1 0 2.4228 0.9849 0.000231
595.00 C 20260807 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
597.50 C 20260807 -1.00 -1.00 -1 0 2.5512 0.9790 0.000293
600.00 C 20260807 -1.00 -1.00 1 5 2.0290 0.9935 0.000132
602.50 C 20260807 -1.00 -1.00 -1 0 1.5075 0.9995 0.000016
605.00 C 20260807 -1.00 -1.00 1 1 2.3232 0.9836 0.000258
607.50 C 20260807 -1.00 -1.00 -1 0 2.1435 0.9894 0.000193
610.00 C 20260807 -1.00 -1.00 2 0 1.6475 0.9982 0.000050
612.50 C 20260807 -1.00 -1.00 -1 0 0.0005 1.0000 0.000000
615.00 C 20260807 -1.00 -1.00 2 2 2.1794 0.9849 0.000256
617.50 C 20260807 -1.00 -1.00 -1 0 2.5022 0.9712 0.000390
620.00 C 20260807 -1.00 -1.00 1 1 2.1342 0.9846 0.000265
622.50 C 20260807 -1.00 -1.00 1 2 2.4418 0.9711 0.000400
625.00 C 20260807 -1.00 -1.00 -1 0 1.7060 0.9959 0.000105
627.50 C 20260807 -1.00 -1.00 -1 0 1.6864 0.9958 0.000106
630.00 C 20260807 -1.00 -1.00 1 1 2.2328 0.9769 0.000364
632.50 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
635.00 C 20260807 -1.00 -1.00 1 1 2.3398 0.9682 0.000451
637.50 C 20260807 -1.00 -1.00 -1 0 2.1826 0.9756 0.000391
640.00 C 20260807 -1.00 -1.00 2 0 1.9571 0.9834 0.000309
642.50 C 20260807 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
645.00 C 20260807 -1.00 -1.00 30 30 1.6696 0.9924 0.000185
647.50 C 20260807 -1.00 -1.00 6 6 1.8080 0.9869 0.000274
650.00 C 20260807 -1.00 -1.00 30 93 -1.0000 -1.0000 -1.000000
652.50 C 20260807 -1.00 -1.00 -1 0 2.0730 0.9723 0.000457
655.00 C 20260807 -1.00 -1.00 3 2 2.1491 0.9650 0.000530
657.50 C 20260807 -1.00 -1.00 2 1 0.0005 1.0000 0.000000
660.00 C 20260807 -1.00 -1.00 4 2 -1.0000 -1.0000 -1.000000
662.50 C 20260807 -1.00 -1.00 4 2 1.5755 0.9908 0.000233
665.00 C 20260807 -1.00 -1.00 1 1 1.6438 0.9868 0.000303
667.50 C 20260807 -1.00 -1.00 1 0 1.5380 0.9906 0.000243
670.00 C 20260807 -1.00 -1.00 4 3 1.3648 0.9952 0.000149
672.50 C 20260807 -1.00 -1.00 -1 0 2.0045 0.9605 0.000627
675.00 C 20260807 -1.00 -1.00 3 3 -1.0000 -1.0000 -1.000000
677.50 C 20260807 -1.00 -1.00 5 3 1.9651 0.9590 0.000659
680.00 C 20260807 -1.00 -1.00 12 28 1.8018 0.9696 0.000566
682.50 C 20260807 -1.00 -1.00 5 3 1.9259 0.9575 0.000693
