# opt_chain XSP | epoch 1785939733 | 2026-08-05 10:22:13 | spot 778.64 | exps 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 940 | band 0.1800 vencimientos 13 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
686.00 C 20260805 -1.00 -1.00 0 0 1.6928 1.0000 0.000000
686.00 P 20260805 -1.00 -1.00 0 0 1.6135 0.0000 0.000000
687.00 C 20260805 -1.00 -1.00 0 0 1.6749 1.0000 0.000000
687.00 P 20260805 -1.00 -1.00 0 1 1.5964 0.0000 0.000000
688.00 C 20260805 -1.00 -1.00 0 0 1.6571 1.0000 0.000000
688.00 P 20260805 -1.00 -1.00 0 0 1.5793 0.0000 0.000000
689.00 C 20260805 -1.00 -1.00 0 0 1.6393 1.0000 0.000000
689.00 P 20260805 -1.00 -1.00 0 1 1.5622 0.0000 0.000000
690.00 C 20260805 -1.00 -1.00 0 0 1.6215 1.0000 0.000000
690.00 P 20260805 -1.00 -1.00 0 31 1.5451 0.0000 0.000000
691.00 C 20260805 -1.00 -1.00 0 0 1.6037 1.0000 0.000000
691.00 P 20260805 -1.00 -1.00 0 0 1.5281 0.0000 0.000000
692.00 C 20260805 -1.00 -1.00 0 0 1.5859 1.0000 0.000000
692.00 P 20260805 -1.00 -1.00 0 0 1.5110 0.0000 0.000000
693.00 C 20260805 -1.00 -1.00 0 0 1.5681 1.0000 0.000000
693.00 P 20260805 -1.00 -1.00 0 0 1.4939 0.0000 0.000000
694.00 C 20260805 -1.00 -1.00 0 0 1.5504 1.0000 0.000000
694.00 P 20260805 -1.00 -1.00 0 0 1.4769 0.0000 0.000000
695.00 C 20260805 -1.00 -1.00 0 0 1.4870 1.0000 0.000000
695.00 P 20260805 -1.00 -1.00 0 83 1.4599 0.0000 0.000000
696.00 C 20260805 -1.00 -1.00 0 0 1.5149 1.0000 0.000000
696.00 P 20260805 -1.00 -1.00 0 1 1.4429 0.0000 0.000000
697.00 C 20260805 -1.00 -1.00 0 0 1.4972 1.0000 0.000000
697.00 P 20260805 -1.00 -1.00 0 1 1.4259 0.0000 0.000000
698.00 C 20260805 -1.00 -1.00 0 0 1.4795 1.0000 0.000000
698.00 P 20260805 -1.00 -1.00 0 22 1.4089 0.0000 0.000000
699.00 C 20260805 -1.00 -1.00 0 0 1.4618 1.0000 0.000000
699.00 P 20260805 -1.00 -1.00 0 0 1.3919 0.0000 0.000000
700.00 C 20260805 -1.00 -1.00 0 1 1.4440 1.0000 0.000000
700.00 P 20260805 -1.00 -1.00 0 173 1.3749 0.0000 0.000000
701.00 C 20260805 -1.00 -1.00 0 0 1.3241 1.0000 0.000000
701.00 P 20260805 -1.00 -1.00 0 10 1.3580 0.0000 0.000000
702.00 C 20260805 -1.00 -1.00 0 0 1.4087 1.0000 0.000000
702.00 P 20260805 -1.00 -1.00 0 4 1.3410 0.0000 0.000000
703.00 C 20260805 -1.00 -1.00 0 0 1.3910 1.0000 0.000000
703.00 P 20260805 -1.00 -1.00 0 2 1.3241 0.0000 0.000000
704.00 C 20260805 -1.00 -1.00 0 0 1.3734 1.0000 0.000000
704.00 P 20260805 -1.00 -1.00 0 44 1.3071 0.0000 0.000000
705.00 C 20260805 -1.00 -1.00 0 0 1.3557 1.0000 0.000000
705.00 P 20260805 -1.00 -1.00 0 23 1.2902 0.0000 0.000000
706.00 C 20260805 -1.00 -1.00 0 0 1.3380 1.0000 0.000000
706.00 P 20260805 -1.00 -1.00 0 1 1.2733 0.0000 0.000000
707.00 C 20260805 -1.00 -1.00 0 0 1.3204 1.0000 0.000000
707.00 P 20260805 -1.00 -1.00 0 51 1.2564 0.0000 0.000000
708.00 C 20260805 -1.00 -1.00 0 0 1.3028 1.0000 0.000000
708.00 P 20260805 -1.00 -1.00 0 91 1.2395 0.0000 0.000000
709.00 C 20260805 -1.00 -1.00 0 0 1.2852 1.0000 0.000000
709.00 P 20260805 -1.00 -1.00 0 22 1.2226 0.0000 0.000000
710.00 C 20260805 -1.00 -1.00 0 1 1.2675 1.0000 0.000000
710.00 P 20260805 -1.00 -1.00 0 700 1.2057 0.0000 0.000000
711.00 C 20260805 -1.00 -1.00 0 0 1.2499 1.0000 0.000000
711.00 P 20260805 -1.00 -1.00 0 26 1.1888 0.0000 0.000000
712.00 C 20260805 -1.00 -1.00 0 0 1.2323 1.0000 0.000000
712.00 P 20260805 -1.00 -1.00 0 45 1.1719 0.0000 0.000000
713.00 C 20260805 -1.00 -1.00 0 1 1.2147 1.0000 0.000000
713.00 P 20260805 -1.00 -1.00 0 40 1.1551 0.0000 0.000000
714.00 C 20260805 -1.00 -1.00 0 0 1.1971 1.0000 0.000000
714.00 P 20260805 -1.00 -1.00 0 67 1.1382 0.0000 0.000000
715.00 C 20260805 -1.00 -1.00 0 3 1.1795 1.0000 0.000000
715.00 P 20260805 -1.00 -1.00 0 32 1.1214 0.0000 0.000000
716.00 C 20260805 -1.00 -1.00 0 0 1.1619 1.0000 0.000000
716.00 P 20260805 -1.00 -1.00 0 31 1.1045 0.0000 0.000000
717.00 C 20260805 -1.00 -1.00 0 0 1.1443 1.0000 0.000000
717.00 P 20260805 -1.00 -1.00 0 22 1.0876 0.0000 0.000000
718.00 C 20260805 -1.00 -1.00 0 1 1.1268 1.0000 0.000000
718.00 P 20260805 -1.00 -1.00 0 104 1.0708 0.0000 0.000000
719.00 C 20260805 -1.00 -1.00 0 1 1.0267 1.0000 0.000000
719.00 P 20260805 -1.00 -1.00 0 38 1.0540 0.0000 0.000000
720.00 C 20260805 -1.00 -1.00 0 1 1.0574 1.0000 0.000000
720.00 P 20260805 -1.00 -1.00 0 1478 1.0371 0.0000 0.000000
721.00 C 20260805 -1.00 -1.00 0 0 0.9089 1.0000 0.000000
721.00 P 20260805 -1.00 -1.00 0 72 1.0203 0.0000 0.000000
722.00 C 20260805 -1.00 -1.00 0 2 0.9773 1.0000 0.000000
722.00 P 20260805 -1.00 -1.00 0 22 1.0035 0.0000 0.000000
723.00 C 20260805 -1.00 -1.00 0 1 1.0389 1.0000 0.000000
723.00 P 20260805 -1.00 -1.00 0 37 0.9866 0.0000 0.000000
724.00 C 20260805 -1.00 -1.00 0 0 1.0213 1.0000 0.000000
724.00 P 20260805 -1.00 -1.00 0 93 0.9698 0.0000 0.000000
725.00 C 20260805 -1.00 -1.00 0 19 0.9718 0.9999 0.000000
725.00 P 20260805 -1.00 -1.00 0 62 0.9530 -0.0001 0.000000
726.00 C 20260805 -1.00 -1.00 0 11 0.9547 0.9999 0.000000
726.00 P 20260805 -1.00 -1.00 1 199 0.9361 -0.0001 0.000000
727.00 C 20260805 -1.00 -1.00 0 5 0.9686 0.9999 0.000000
727.00 P 20260805 -1.00 -1.00 0 21 0.9193 -0.0001 0.000000
