# opt_chain ASML | epoch 1786046976 | 2026-08-06 16:09:36 | spot 1713.23 | spot_src intrinio_quote | spot_age 904 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 828 | narrow 0 | vencimientos 4 | rows 828 | greeks_ok_pct 0.9565 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
1460.00 C 20260807 -1.00 -1.00 0 0 1.6197 0.9640 0.000507
1465.00 C 20260807 -1.00 -1.00 0 0 1.5789 0.9645 0.000514
1470.00 C 20260807 -1.00 -1.00 0 0 1.5602 0.9628 0.000540
1475.00 C 20260807 -1.00 -1.00 1 1 1.5306 0.9622 0.000558
1480.00 C 20260807 -1.00 -1.00 0 0 1.5996 0.9518 0.000651
1485.00 C 20260807 -1.00 -1.00 0 0 1.4444 0.9638 0.000570
1490.00 C 20260807 -1.00 -1.00 1 6 1.4969 0.9544 0.000664
1495.00 C 20260807 -1.00 -1.00 1 1 1.1892 0.9805 0.000412
1500.00 C 20260807 -1.00 -1.00 1 17 1.3515 0.9625 0.000628
1505.00 C 20260807 -1.00 -1.00 8 14 1.3334 0.9604 0.000664
1510.00 C 20260807 -1.00 -1.00 8 6 1.2720 0.9637 0.000649
1515.00 C 20260807 -1.00 -1.00 8 9 1.3569 0.9494 0.000799
1520.00 C 20260807 -1.00 -1.00 49 27 1.3173 0.9496 0.000820
1525.00 C 20260807 -1.00 -1.00 36 29 1.2670 0.9511 0.000831
1530.00 C 20260807 -1.00 -1.00 15 25 1.2438 0.9495 0.000871
1535.00 C 20260807 -1.00 -1.00 20 10 1.2691 0.9421 0.000958
1540.00 C 20260807 -1.00 -1.00 50 23 1.0421 0.9680 0.000719
1545.00 C 20260807 -1.00 -1.00 5 39 1.2336 0.9371 0.001058
1550.00 C 20260807 -1.00 -1.00 4 38 1.1893 0.9376 0.001090
1555.00 C 20260807 -1.00 -1.00 4 11 1.0970 0.9443 0.001071
1560.00 C 20260807 -1.00 -1.00 1 18 1.1281 0.9347 0.001189
1565.00 C 20260807 -1.00 -1.00 1 37 1.0924 0.9338 0.001240
1567.50 C 20260807 -1.00 -1.00 0 0 1.0731 0.9337 0.001264
1570.00 C 20260807 -1.00 -1.00 1 7 1.0600 0.9322 0.001300
1572.50 C 20260807 -1.00 -1.00 0 0 0.9676 0.9441 0.001218
1575.00 C 20260807 -1.00 -1.00 20 9 1.0368 0.9284 0.001380
1577.50 C 20260807 -1.00 -1.00 0 0 1.0268 0.9261 0.001426
1580.00 C 20260807 -1.00 -1.00 9 9 1.0689 0.9125 0.001548
1582.50 C 20260807 -1.00 -1.00 1 1 0.8859 0.9454 0.001304
1585.00 C 20260807 -1.00 -1.00 3 10 0.9785 0.9230 0.001539
1587.50 C 20260807 -1.00 -1.00 4 4 0.9410 0.9272 0.001539
1590.00 C 20260807 -1.00 -1.00 2 5 0.9219 0.9270 0.001575
1592.50 C 20260807 -1.00 -1.00 3 1 0.8999 0.9275 0.001605
1595.00 C 20260807 -1.00 -1.00 1 4 0.8992 0.9224 0.001685
1597.50 C 20260807 -1.00 -1.00 21 5 0.8710 0.9245 0.001706
1600.00 C 20260807 -1.00 -1.00 3 40 0.9831 0.8931 0.001959
1605.00 C 20260807 -1.00 -1.00 3 9 0.8325 0.9184 0.001888
1610.00 C 20260807 -1.00 -1.00 1 13 0.8495 0.9027 0.002108
1615.00 C 20260807 -1.00 -1.00 28 13 0.8209 0.8987 0.002249
1620.00 C 20260807 -1.00 -1.00 2 7 0.7773 0.8984 0.002381
1625.00 C 20260807 -1.00 -1.00 5 9 0.7972 0.8814 0.002620
1630.00 C 20260807 -1.00 -1.00 1 69 0.7749 0.8749 0.002812
1635.00 C 20260807 -1.00 -1.00 7 18 0.7427 0.8694 0.003021
1640.00 C 20260807 -1.00 -1.00 1 34 0.4978 0.9389 0.002548
1645.00 C 20260807 -1.00 -1.00 2 16 0.6382 0.8709 0.003494
1650.00 C 20260807 -1.00 -1.00 5 65 0.6052 0.8631 0.003813
1655.00 C 20260807 -1.00 -1.00 1 46 0.6003 0.8422 0.004193
1660.00 C 20260807 -1.00 -1.00 1 59 0.6113 0.8149 0.004563
1665.00 C 20260807 -1.00 -1.00 45 71 0.6561 0.7784 0.004808
1670.00 C 20260807 -1.00 -1.00 7 28 0.6575 0.7508 0.005062
1675.00 C 20260807 -1.00 -1.00 2 56 0.5896 0.7452 0.005704
1680.00 C 20260807 -1.00 -1.00 1 73 0.6354 0.7014 0.005712
1685.00 C 20260807 -1.00 -1.00 62 11 0.6327 0.6735 0.006004
1690.00 C 20260807 -1.00 -1.00 4 56 0.6246 0.6456 0.006314
1695.00 C 20260807 -1.00 -1.00 5 15 0.6202 0.6134 0.006472
1700.00 C 20260807 -1.00 -1.00 38 460 0.6276 0.5795 0.006513
1705.00 C 20260807 -1.00 -1.00 83 25 0.6258 0.5468 0.006645
1710.00 C 20260807 -1.00 -1.00 10 30 0.6200 0.5140 0.006821
1715.00 C 20260807 -1.00 -1.00 85 27 0.6106 0.4804 0.006869
1720.00 C 20260807 -1.00 -1.00 80 66 0.6122 0.4471 0.006756
1725.00 C 20260807 -1.00 -1.00 45 55 0.6020 0.4120 0.006768
1730.00 C 20260807 -1.00 -1.00 112 84 0.5997 0.3775 0.006693
1735.00 C 20260807 -1.00 -1.00 8 47 0.5856 0.3424 0.006612
1740.00 C 20260807 -1.00 -1.00 8 307 0.5897 0.3132 0.006286
1745.00 C 20260807 -1.00 -1.00 1 61 0.6042 0.2881 0.005900
1750.00 C 20260807 -1.00 -1.00 98 203 0.5993 0.2567 0.005650
1755.00 C 20260807 -1.00 -1.00 170 83 0.6066 0.2314 0.005322
1760.00 C 20260807 -1.00 -1.00 34 116 0.5790 0.1983 0.005028
1765.00 C 20260807 -1.00 -1.00 38 16 0.5785 0.1747 0.004641
1767.50 C 20260807 -1.00 -1.00 21 37 0.5783 0.1628 0.004446
1770.00 C 20260807 -1.00 -1.00 27 57 0.5837 0.1538 0.004256
1772.50 C 20260807 -1.00 -1.00 38 22 0.5854 0.1430 0.004068
1775.00 C 20260807 -1.00 -1.00 59 55 0.5943 0.1362 0.003895
1780.00 C 20260807 -1.00 -1.00 27 86 0.5965 0.1219 0.003556
1785.00 C 20260807 -1.00 -1.00 15 24 0.5930 0.1055 0.003203
1790.00 C 20260807 -1.00 -1.00 17 56 0.5810 0.0852 0.002798
1792.50 C 20260807 -1.00 -1.00 1 21 0.6021 0.0866 0.002731
1795.00 C 20260807 -1.00 -1.00 13 34 0.6018 0.0790 0.002562
1797.50 C 20260807 -1.00 -1.00 3 30 0.5978 0.0701 0.002375
1800.00 C 20260807 -1.00 -1.00 156 304 0.6197 0.0720 0.002336
1802.50 C 20260807 -1.00 -1.00 2 10 0.6091 0.0645 0.002171
1805.00 C 20260807 -1.00 -1.00 9 84 0.6111 0.0608 0.002058
1807.50 C 20260807 -1.00 -1.00 12 16 0.6155 0.0578 0.001958
1810.00 C 20260807 -1.00 -1.00 28 145 0.6076 0.0514 0.001799
1812.50 C 20260807 -1.00 -1.00 37 2 0.5997 0.0447 0.001630
1815.00 C 20260807 -1.00 -1.00 5 15 0.6066 0.0425 0.001548
1820.00 C 20260807 -1.00 -1.00 7 63 0.6349 0.0426 0.001482
1825.00 C 20260807 -1.00 -1.00 10 62 0.6436 0.0371 0.001312
1830.00 C 20260807 -1.00 -1.00 7 97 0.6411 0.0302 0.001119
1835.00 C 20260807 -1.00 -1.00 2 28 0.6660 0.0301 0.001074
1840.00 C 20260807 -1.00 -1.00 1 89 0.7135 0.0341 0.001111
1845.00 C 20260807 -1.00 -1.00 15 82 0.7158 0.0299 0.000993
1850.00 C 20260807 -1.00 -1.00 246 613 0.6871 0.0220 0.000789
1855.00 C 20260807 -1.00 -1.00 5 108 0.7313 0.0251 0.000831
1860.00 C 20260807 -1.00 -1.00 39 32 0.7221 0.0202 0.000697
1865.00 C 20260807 -1.00 -1.00 135 13 0.7225 0.0167 0.000595
1870.00 C 20260807 -1.00 -1.00 14 66 0.7471 0.0171 0.000585
1875.00 C 20260807 -1.00 -1.00 149 53 0.6993 0.0097 0.000384
1880.00 C 20260807 -1.00 -1.00 25 21 0.7054 0.0086 0.000342
1885.00 C 20260807 -1.00 -1.00 16 11 0.7451 0.0101 0.000374
1890.00 C 20260807 -1.00 -1.00 26 101 0.8546 0.0196 0.000575
1895.00 C 20260807 -1.00 -1.00 1 16 0.8837 0.0205 0.000576
1900.00 C 20260807 -1.00 -1.00 66 220 0.7629 0.0071 0.000266
1905.00 C 20260807 -1.00 -1.00 3 8 0.8793 0.0142 0.000427
1910.00 C 20260807 -1.00 -1.00 6 60 0.8751 0.0120 0.000371
1915.00 C 20260807 -1.00 -1.00 3 82 0.8140 0.0067 0.000236
1920.00 C 20260807 -1.00 -1.00 4 74 0.9516 0.0152 0.000418
1925.00 C 20260807 -1.00 -1.00 4 13 0.8923 0.0094 0.000291
1930.00 C 20260807 -1.00 -1.00 48 21 1.1995 0.0380 0.000718
1935.00 C 20260807 -1.00 -1.00 1 2 1.0709 0.0214 0.000494
1940.00 C 20260807 -1.00 -1.00 5 16 1.0804 0.0201 0.000464
1945.00 C 20260807 -1.00 -1.00 1 36 1.0756 0.0172 0.000410
1950.00 C 20260807 -1.00 -1.00 10 108 0.8520 0.0030 0.000108
1955.00 C 20260807 -1.00 -1.00 14 17 1.1512 0.0206 0.000445
1960.00 C 20260807 -1.00 -1.00 10 65 1.1133 0.0145 0.000344
1965.00 C 20260807 -1.00 -1.00 1 52 1.1934 0.0205 0.000427
1970.00 C 20260807 -1.00 -1.00 12 89 1.1461 0.0136 0.000317
1460.00 P 20260807 -1.00 -1.00 18 106 2.1607 -0.0859 0.000755
1465.00 P 20260807 -1.00 -1.00 5 45 1.2448 -0.0106 0.000235
1470.00 P 20260807 -1.00 -1.00 13 50 1.2534 -0.0130 0.000277
1475.00 P 20260807 -1.00 -1.00 6 77 1.3815 -0.0243 0.000431
1480.00 P 20260807 -1.00 -1.00 13 226 1.0621 -0.0064 0.000175
1485.00 P 20260807 -1.00 -1.00 38 152 1.0272 -0.0060 0.000169
1490.00 P 20260807 -1.00 -1.00 115 137 0.9795 -0.0048 0.000147
1495.00 P 20260807 -1.00 -1.00 81 141 0.9575 -0.0049 0.000153
1500.00 P 20260807 -1.00 -1.00 64 293 0.9610 -0.0063 0.000191
1505.00 P 20260807 -1.00 -1.00 6 116 1.3325 -0.0394 0.000663
1510.00 P 20260807 -1.00 -1.00 60 102 0.9300 -0.0073 0.000223
1515.00 P 20260807 -1.00 -1.00 12 152 0.8955 -0.0068 0.000217
1520.00 P 20260807 -1.00 -1.00 3 45 0.9597 -0.0114 0.000326
1525.00 P 20260807 -1.00 -1.00 22 68 0.8775 -0.0085 0.000272
1530.00 P 20260807 -1.00 -1.00 12 73 0.8685 -0.0094 0.000301
1535.00 P 20260807 -1.00 -1.00 4 23 0.9456 -0.0187 0.000499
1540.00 P 20260807 -1.00 -1.00 60 111 0.8130 -0.0091 0.000314
1545.00 P 20260807 -1.00 -1.00 7 35 0.8487 -0.0141 0.000439
1550.00 P 20260807 -1.00 -1.00 90 415 0.8299 -0.0152 0.000476
1555.00 P 20260807 -1.00 -1.00 68 88 0.8059 -0.0156 0.000501
1560.00 P 20260807 -1.00 -1.00 82 164 0.7404 -0.0109 0.000407
1565.00 P 20260807 -1.00 -1.00 3 47 0.7846 -0.0199 0.000634
1567.50 P 20260807 -1.00 -1.00 2 4 0.8153 -0.0252 0.000753
1570.00 P 20260807 -1.00 -1.00 49 57 0.7448 -0.0184 0.000624
1572.50 P 20260807 -1.00 -1.00 1 2 0.7701 -0.0234 0.000746
1575.00 P 20260807 -1.00 -1.00 54 157 0.7317 -0.0203 0.000694
1577.50 P 20260807 -1.00 -1.00 1 30 0.7463 -0.0241 0.000790
1580.00 P 20260807 -1.00 -1.00 21 78 0.7557 -0.0271 0.000866
1582.50 P 20260807 -1.00 -1.00 13 12 0.7641 -0.0306 0.000949
1585.00 P 20260807 -1.00 -1.00 15 347 0.6684 -0.0193 0.000727
1587.50 P 20260807 -1.00 -1.00 5 31 0.7202 -0.0283 0.000946
1590.00 P 20260807 -1.00 -1.00 4 44 0.6925 -0.0267 0.000934
1592.50 P 20260807 -1.00 -1.00 114 9 0.6993 -0.0299 0.001020
1595.00 P 20260807 -1.00 -1.00 17 97 0.6937 -0.0324 0.001093
1597.50 P 20260807 -1.00 -1.00 7 6 0.6802 -0.0329 0.001129
1600.00 P 20260807 -1.00 -1.00 220 213 0.6747 -0.0355 0.001207
1605.00 P 20260807 -1.00 -1.00 11 41 0.6531 -0.0382 0.001319
1610.00 P 20260807 -1.00 -1.00 31 99 0.6736 -0.0514 0.001629
1615.00 P 20260807 -1.00 -1.00 16 33 0.6704 -0.0588 0.001833
1620.00 P 20260807 -1.00 -1.00 22 39 0.6096 -0.0528 0.001840
1625.00 P 20260807 -1.00 -1.00 42 91 0.6266 -0.0659 0.002160
1630.00 P 20260807 -1.00 -1.00 7 33 0.6227 -0.0793 0.002473
1635.00 P 20260807 -1.00 -1.00 13 20 0.5977 -0.0851 0.002712
1640.00 P 20260807 -1.00 -1.00 41 41 0.5894 -0.0976 0.003046
1645.00 P 20260807 -1.00 -1.00 27 30 0.5916 -0.1142 0.003424
1650.00 P 20260807 -1.00 -1.00 45 198 0.5875 -0.1287 0.003791
1655.00 P 20260807 -1.00 -1.00 6 25 0.5826 -0.1502 0.004191
1660.00 P 20260807 -1.00 -1.00 31 18 0.5717 -0.1696 0.004609
1665.00 P 20260807 -1.00 -1.00 9 11 0.5729 -0.1943 0.005031
1670.00 P 20260807 -1.00 -1.00 26 102 0.5924 -0.2254 0.005377
1675.00 P 20260807 -1.00 -1.00 14 86 0.5594 -0.2434 0.005890
1680.00 P 20260807 -1.00 -1.00 28 354 0.5721 -0.2799 0.006148
1685.00 P 20260807 -1.00 -1.00 8 186 0.5529 -0.3061 0.006648
1690.00 P 20260807 -1.00 -1.00 9 28 0.5549 -0.3392 0.006987
1695.00 P 20260807 -1.00 -1.00 8 35 0.5479 -0.3736 0.007280
