# opt_chain META | epoch 1786046973 | 2026-08-06 16:09:33 | spot 589.38 | spot_src intrinio_quote | spot_age 905 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon | band 0.1500 | max_strikes 1006 | narrow 0 | vencimientos 8 | rows 1006 | greeks_ok_pct 0.9483 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
502.50 C 20260807 -1.00 -1.00 57 2 0.0003 1.0000 -0.000000
505.00 C 20260807 -1.00 -1.00 36 11 -1.0000 -1.0000 -1.000000
507.50 C 20260807 -1.00 -1.00 85 30 -1.0000 -1.0000 -1.000000
510.00 C 20260807 -1.00 -1.00 115 74 -1.0000 -1.0000 -1.000000
512.50 C 20260807 -1.00 -1.00 39 30 -1.0000 -1.0000 -1.000000
515.00 C 20260807 -1.00 -1.00 32 64 -1.0000 -1.0000 -1.000000
517.50 C 20260807 -1.00 -1.00 18 60 -1.0000 -1.0000 -1.000000
520.00 C 20260807 -1.00 -1.00 19 174 -1.0000 -1.0000 -1.000000
522.50 C 20260807 -1.00 -1.00 68 6 0.0003 1.0000 0.000000
525.00 C 20260807 -1.00 -1.00 98 103 1.1198 0.9718 0.001763
527.50 C 20260807 -1.00 -1.00 35 30 -1.0000 -1.0000 -1.000000
530.00 C 20260807 -1.00 -1.00 14 3022 -1.0000 -1.0000 -1.000000
532.50 C 20260807 -1.00 -1.00 39 117 -1.0000 -1.0000 -1.000000
535.00 C 20260807 -1.00 -1.00 33 129 -1.0000 -1.0000 -1.000000
537.50 C 20260807 -1.00 -1.00 4 49 -1.0000 -1.0000 -1.000000
540.00 C 20260807 -1.00 -1.00 11 219 -1.0000 -1.0000 -1.000000
542.50 C 20260807 -1.00 -1.00 20 155 -1.0000 -1.0000 -1.000000
545.00 C 20260807 -1.00 -1.00 10 164 -1.0000 -1.0000 -1.000000
547.50 C 20260807 -1.00 -1.00 2 103 -1.0000 -1.0000 -1.000000
550.00 C 20260807 -1.00 -1.00 1119 1779 -1.0000 -1.0000 -1.000000
552.50 C 20260807 -1.00 -1.00 33 192 -1.0000 -1.0000 -1.000000
555.00 C 20260807 -1.00 -1.00 30 463 -1.0000 -1.0000 -1.000000
557.50 C 20260807 -1.00 -1.00 3 135 -1.0000 -1.0000 -1.000000
560.00 C 20260807 -1.00 -1.00 48 387 0.5561 0.9513 0.005471
562.50 C 20260807 -1.00 -1.00 17 176 -1.0000 -1.0000 -1.000000
