# opt_chain TSM | epoch 1786046975 | 2026-08-06 16:09:35 | spot 418.52 | spot_src intrinio_quote | spot_age 903 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 320 | narrow 0 | vencimientos 4 | rows 320 | greeks_ok_pct 0.9625 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
357.50 C 20260807 -1.00 -1.00 1 1 1.3437 0.9838 0.001267
360.00 C 20260807 -1.00 -1.00 9 15 1.2911 0.9832 0.001358
362.50 C 20260807 -1.00 -1.00 1 1 1.2612 0.9809 0.001555
365.00 C 20260807 -1.00 -1.00 2 142 1.0335 0.9920 0.000890
367.50 C 20260807 -1.00 -1.00 0 0 1.1132 0.9831 0.001584
370.00 C 20260807 -1.00 -1.00 3 89 1.0400 0.9845 0.001579
372.50 C 20260807 -1.00 -1.00 60 61 0.9894 0.9838 0.001722
375.00 C 20260807 -1.00 -1.00 1 84 1.0270 0.9746 0.002459
377.50 C 20260807 -1.00 -1.00 21 144 0.6898 0.9969 0.000578
380.00 C 20260807 -1.00 -1.00 40 1935 0.9429 0.9700 0.003091
382.50 C 20260807 -1.00 -1.00 6 532 0.0003 1.0000 -0.000000
385.00 C 20260807 -1.00 -1.00 140 155 0.8299 0.9667 0.003808
387.50 C 20260807 -1.00 -1.00 5 1541 0.5831 0.9916 0.001649
390.00 C 20260807 -1.00 -1.00 8 824 0.7076 0.9650 0.004648
392.50 C 20260807 -1.00 -1.00 15 584 0.6739 0.9570 0.005738
395.00 C 20260807 -1.00 -1.00 698 832 0.6833 0.9385 0.007641
397.50 C 20260807 -1.00 -1.00 28 1299 0.5538 0.9529 0.007533
400.00 C 20260807 -1.00 -1.00 239 2709 0.4783 0.9554 0.008332
402.50 C 20260807 -1.00 -1.00 11 579 0.5003 0.9203 0.012626
405.00 C 20260807 -1.00 -1.00 144 1463 0.4498 0.9048 0.016009
407.50 C 20260807 -1.00 -1.00 117 283 0.4507 0.8581 0.021396
410.00 C 20260807 -1.00 -1.00 1218 2666 0.3560 0.8508 0.027925
412.50 C 20260807 -1.00 -1.00 72 445 0.4093 0.7388 0.033980
415.00 C 20260807 -1.00 -1.00 1000 1346 0.4016 0.6512 0.040016
417.50 C 20260807 -1.00 -1.00 400 513 0.4099 0.5461 0.041470
420.00 C 20260807 -1.00 -1.00 2215 6727 0.4022 0.4426 0.041968
422.50 C 20260807 -1.00 -1.00 423 509 0.4160 0.3464 0.038301
425.00 C 20260807 -1.00 -1.00 979 1889 0.4164 0.2588 0.033349
427.50 C 20260807 -1.00 -1.00 662 871 0.4221 0.1893 0.027368
430.00 C 20260807 -1.00 -1.00 2636 2762 0.4337 0.1330 0.021427
432.50 C 20260807 -1.00 -1.00 824 736 0.4317 0.0893 0.015914
435.00 C 20260807 -1.00 -1.00 1148 3355 0.4470 0.0622 0.011724
437.50 C 20260807 -1.00 -1.00 1074 839 0.4514 0.0401 0.008128
440.00 C 20260807 -1.00 -1.00 1741 3826 0.4687 0.0281 0.005858
442.50 C 20260807 -1.00 -1.00 149 861 0.5106 0.0259 0.005015
445.00 C 20260807 -1.00 -1.00 223 838 0.5362 0.0210 0.003973
447.50 C 20260807 -1.00 -1.00 42 212 0.6096 0.0254 0.004128
450.00 C 20260807 -1.00 -1.00 286 2063 0.5206 0.0061 0.001400
452.50 C 20260807 -1.00 -1.00 645 307 0.5309 0.0038 0.000905
455.00 C 20260807 -1.00 -1.00 46 270 0.6203 0.0081 0.001494
457.50 C 20260807 -1.00 -1.00 7 67 0.6836 0.0099 0.001636
460.00 C 20260807 -1.00 -1.00 154 1022 0.6513 0.0041 0.000797
462.50 C 20260807 -1.00 -1.00 37 53 0.7632 0.0097 0.001438
465.00 C 20260807 -1.00 -1.00 209 911 0.7616 0.0067 0.001031
467.50 C 20260807 -1.00 -1.00 4 29 0.8786 0.0118 0.001497
470.00 C 20260807 -1.00 -1.00 226 975 0.8311 0.0062 0.000883
472.50 C 20260807 -1.00 -1.00 1 15 0.8061 0.0034 0.000531
475.00 C 20260807 -1.00 -1.00 8 142 0.9089 0.0064 0.000826
480.00 C 20260807 -1.00 -1.00 2 643 0.9769 0.0060 0.000727
357.50 P 20260807 -1.00 -1.00 24 188 1.0899 -0.0037 0.000427
360.00 P 20260807 -1.00 -1.00 70 1278 1.0200 -0.0033 0.000410
362.50 P 20260807 -1.00 -1.00 6 170 1.0112 -0.0045 0.000546
365.00 P 20260807 -1.00 -1.00 39 763 0.9764 -0.0052 0.000644
367.50 P 20260807 -1.00 -1.00 23 337 0.9108 -0.0043 0.000586
370.00 P 20260807 -1.00 -1.00 201 2357 0.8303 -0.0032 0.000497
372.50 P 20260807 -1.00 -1.00 49 751 0.8531 -0.0066 0.000905
375.00 P 20260807 -1.00 -1.00 103 2012 0.8399 -0.0087 0.001187
377.50 P 20260807 -1.00 -1.00 153 440 0.7347 -0.0052 0.000858
380.00 P 20260807 -1.00 -1.00 301 3049 0.7016 -0.0062 0.001053
382.50 P 20260807 -1.00 -1.00 259 1070 0.6484 -0.0058 0.001074
385.00 P 20260807 -1.00 -1.00 622 2368 0.6158 -0.0070 0.001337
387.50 P 20260807 -1.00 -1.00 101 393 0.6839 -0.0210 0.003119
390.00 P 20260807 -1.00 -1.00 423 1403 0.5753 -0.0124 0.002377
392.50 P 20260807 -1.00 -1.00 828 1385 0.5234 -0.0125 0.002629
395.00 P 20260807 -1.00 -1.00 482 641 0.4976 -0.0181 0.003768
397.50 P 20260807 -1.00 -1.00 308 414 0.4763 -0.0252 0.005257
400.00 P 20260807 -1.00 -1.00 982 3539 0.4470 -0.0330 0.007032
402.50 P 20260807 -1.00 -1.00 786 547 0.4190 -0.0473 0.009996
405.00 P 20260807 -1.00 -1.00 395 691 0.4098 -0.0736 0.014589
407.50 P 20260807 -1.00 -1.00 813 1168 0.4002 -0.1150 0.020794
410.00 P 20260807 -1.00 -1.00 648 1555 0.3913 -0.1731 0.027899
412.50 P 20260807 -1.00 -1.00 266 305 0.3880 -0.2496 0.035137
415.00 P 20260807 -1.00 -1.00 297 380 0.3945 -0.3467 0.040624
417.50 P 20260807 -1.00 -1.00 131 174 0.3978 -0.4530 0.042740
420.00 P 20260807 -1.00 -1.00 271 1054 0.4034 -0.5575 0.041881
422.50 P 20260807 -1.00 -1.00 129 97 0.3899 -0.6638 0.040333
425.00 P 20260807 -1.00 -1.00 89 244 0.3989 -0.7520 0.034270
427.50 P 20260807 -1.00 -1.00 1 32 0.3539 -0.8583 0.027521
430.00 P 20260807 -1.00 -1.00 23 870 0.3691 -0.9031 0.019981
432.50 P 20260807 -1.00 -1.00 60 1 -1.0000 -1.0000 -1.000000
435.00 P 20260807 -1.00 -1.00 41 123 0.4036 -0.9564 0.009986
437.50 P 20260807 -1.00 -1.00 2 2 0.4421 -0.9648 0.007738
440.00 P 20260807 -1.00 -1.00 3 535 -1.0000 -1.0000 -1.000000
442.50 P 20260807 -1.00 -1.00 60 0 0.5151 -0.9741 0.005173
445.00 P 20260807 -1.00 -1.00 1 63 -1.0000 -1.0000 -1.000000
447.50 P 20260807 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
450.00 P 20260807 -1.00 -1.00 31 170 0.6798 -0.9722 0.004125
452.50 P 20260807 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
455.00 P 20260807 -1.00 -1.00 15 0 0.7613 -0.9749 0.003362
457.50 P 20260807 -1.00 -1.00 0 0 0.8017 -0.9760 0.003064
460.00 P 20260807 -1.00 -1.00 2 0 0.8016 -0.9826 0.002362
462.50 P 20260807 -1.00 -1.00 0 0 0.9019 -0.9755 0.002763
465.00 P 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
467.50 P 20260807 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
470.00 P 20260807 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
472.50 P 20260807 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
475.00 P 20260807 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
480.00 P 20260807 -1.00 -1.00 1 0 -1.0000 -1.0000 -1.000000
357.50 C 20260814 -1.00 -1.00 0 0 0.6134 0.9624 0.002125
360.00 C 20260814 -1.00 -1.00 2 21 0.5774 0.9647 0.002148
362.50 C 20260814 -1.00 -1.00 1 1 0.5714 0.9588 0.002459
365.00 C 20260814 -1.00 -1.00 1 36 0.5655 0.9527 0.002783
367.50 C 20260814 -1.00 -1.00 1 1 0.5174 0.9583 0.002740
370.00 C 20260814 -1.00 -1.00 11 182 0.5370 0.9446 0.003352
372.50 C 20260814 -1.00 -1.00 3 3 0.5019 0.9460 0.003506
375.00 C 20260814 -1.00 -1.00 4 108 0.5376 0.9219 0.004350
377.50 C 20260814 -1.00 -1.00 0 0 0.5118 0.9187 0.004707
380.00 C 20260814 -1.00 -1.00 6 177 0.5031 0.9080 0.005256
382.50 C 20260814 -1.00 -1.00 145 86 0.5063 0.8922 0.005904
385.00 C 20260814 -1.00 -1.00 597 42 0.4953 0.8817 0.006496
387.50 C 20260814 -1.00 -1.00 1 68 0.4605 0.8798 0.007075
390.00 C 20260814 -1.00 -1.00 6 297 0.4638 0.8563 0.007872
392.50 C 20260814 -1.00 -1.00 1 38 0.4608 0.8344 0.008671
395.00 C 20260814 -1.00 -1.00 2 135 0.4501 0.8159 0.009527
397.50 C 20260814 -1.00 -1.00 65 56 0.4535 0.7904 0.010340
400.00 C 20260814 -1.00 -1.00 34 266 0.4503 0.7632 0.011100
402.50 C 20260814 -1.00 -1.00 2 66 0.4323 0.7399 0.012087
405.00 C 20260814 -1.00 -1.00 9 991 0.4511 0.7007 0.012428
407.50 C 20260814 -1.00 -1.00 9 157 0.4403 0.6728 0.013349
410.00 C 20260814 -1.00 -1.00 246 486 0.4310 0.6409 0.014097
