# opt_chain WDC | epoch 1786046982 | 2026-08-06 16:09:42 | spot 456.34 | spot_src intrinio_quote | spot_age 909 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 344 | narrow 0 | vencimientos 4 | rows 344 | greeks_ok_pct 0.9651 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
390.00 C 20260807 -1.00 -1.00 50 15 -1.0000 -1.0000 -1.000000
392.50 C 20260807 -1.00 -1.00 24 2 -1.0000 -1.0000 -1.000000
395.00 C 20260807 -1.00 -1.00 15 10 -1.0000 -1.0000 -1.000000
397.50 C 20260807 -1.00 -1.00 26 8 -1.0000 -1.0000 -1.000000
400.00 C 20260807 -1.00 -1.00 57 60 -1.0000 -1.0000 -1.000000
402.50 C 20260807 -1.00 -1.00 8 13 -1.0000 -1.0000 -1.000000
405.00 C 20260807 -1.00 -1.00 4 24 -1.0000 -1.0000 -1.000000
407.50 C 20260807 -1.00 -1.00 22 8 -1.0000 -1.0000 -1.000000
410.00 C 20260807 -1.00 -1.00 29 16 -1.0000 -1.0000 -1.000000
412.50 C 20260807 -1.00 -1.00 15 13 -1.0000 -1.0000 -1.000000
415.00 C 20260807 -1.00 -1.00 43 24 -1.0000 -1.0000 -1.000000
417.50 C 20260807 -1.00 -1.00 33 18 -1.0000 -1.0000 -1.000000
420.00 C 20260807 -1.00 -1.00 42 11 0.7304 0.9800 0.002565
422.50 C 20260807 -1.00 -1.00 53 40 0.6858 0.9789 0.002869
425.00 C 20260807 -1.00 -1.00 69 21 0.6415 0.9776 0.003233
427.50 C 20260807 -1.00 -1.00 26 53 0.7440 0.9443 0.005916
430.00 C 20260807 -1.00 -1.00 86 64 1.0069 0.8613 0.008650
432.50 C 20260807 -1.00 -1.00 37 8 1.0379 0.8281 0.009604
435.00 C 20260807 -1.00 -1.00 54 13 1.0725 0.7961 0.010426
437.50 C 20260807 -1.00 -1.00 107 9 1.0411 0.7758 0.011420
440.00 C 20260807 -1.00 -1.00 136 16 1.0205 0.7470 0.012305
442.50 C 20260807 -1.00 -1.00 165 37 1.0314 0.7118 0.012969
445.00 C 20260807 -1.00 -1.00 148 24 0.9824 0.6856 0.014233
447.50 C 20260807 -1.00 -1.00 186 34 0.9951 0.6486 0.014812
450.00 C 20260807 -1.00 -1.00 615 71 1.0005 0.6094 0.015066
452.50 C 20260807 -1.00 -1.00 181 62 0.9910 0.5712 0.015537
455.00 C 20260807 -1.00 -1.00 411 42 1.0235 0.5319 0.015372
457.50 C 20260807 -1.00 -1.00 352 31 0.9309 0.4916 0.016953
460.00 C 20260807 -1.00 -1.00 962 118 0.9452 0.4516 0.016433
462.50 C 20260807 -1.00 -1.00 220 9 0.9715 0.4141 0.015747
465.00 C 20260807 -1.00 -1.00 465 22 0.9783 0.3758 0.015396
467.50 C 20260807 -1.00 -1.00 151 26 0.9631 0.3381 0.014963
470.00 C 20260807 -1.00 -1.00 652 25 0.9309 0.2967 0.014552
472.50 C 20260807 -1.00 -1.00 175 10 0.9623 0.2690 0.013475
475.00 C 20260807 -1.00 -1.00 747 12 0.9963 0.2438 0.012488
477.50 C 20260807 -1.00 -1.00 148 19 0.9806 0.2136 0.011679
480.00 C 20260807 -1.00 -1.00 1290 111 0.9885 0.1900 0.010737
482.50 C 20260807 -1.00 -1.00 122 1 0.9693 0.1591 0.009814
485.00 C 20260807 -1.00 -1.00 242 52 0.9892 0.1394 0.008911
487.50 C 20260807 -1.00 -1.00 94 6 0.9794 0.1203 0.008026
490.00 C 20260807 -1.00 -1.00 557 34 0.9729 0.1017 0.007121
492.50 C 20260807 -1.00 -1.00 65 10 0.9770 0.0858 0.006271
495.00 C 20260807 -1.00 -1.00 196 35 1.0138 0.0788 0.005701
497.50 C 20260807 -1.00 -1.00 129 3 0.9929 0.0631 0.004893
500.00 C 20260807 -1.00 -1.00 1556 93 0.9918 0.0533 0.004259
502.50 C 20260807 -1.00 -1.00 112 2 0.9979 0.0449 0.003684
505.00 C 20260807 -1.00 -1.00 226 35 1.0256 0.0407 0.003319
507.50 C 20260807 -1.00 -1.00 71 9 1.0388 0.0340 0.002859
510.00 C 20260807 -1.00 -1.00 683 61 1.0195 0.0269 0.002378
512.50 C 20260807 -1.00 -1.00 113 42 1.1234 0.0326 0.002560
515.00 C 20260807 -1.00 -1.00 96 64 1.1054 0.0267 0.002179
517.50 C 20260807 -1.00 -1.00 692 27 1.2388 0.0359 0.002498
