# opt_chain GLD | epoch 1786037337 | 2026-08-06 13:28:57 | spot 389.02 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 115 | band 0.1800 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
343.00 C 20260807 -1.00 -1.00 20 5 0.8854 0.9933 0.000912
344.00 C 20260807 -1.00 -1.00 13 16 0.8668 0.9932 0.000946
345.00 C 20260807 -1.00 -1.00 12 29 0.9629 0.9852 0.001686
346.00 C 20260807 -1.00 -1.00 10 16 0.8298 0.9929 0.001020
347.00 C 20260807 -1.00 -1.00 10 7 0.8644 0.9898 0.001369
348.00 C 20260807 -1.00 -1.00 6 7 0.8460 0.9896 0.001423
349.00 C 20260807 -1.00 -1.00 3 4 0.8575 0.9867 0.001740
350.00 C 20260807 -1.00 -1.00 2 18 0.8370 0.9864 0.001812
351.00 C 20260807 -1.00 -1.00 3 3 0.7911 0.9890 0.001609
352.00 C 20260807 -1.00 -1.00 9 5 0.7202 0.9921 0.001308
353.00 C 20260807 -1.00 -1.00 8 3 0.7022 0.9919 0.001368
354.00 C 20260807 -1.00 -1.00 1 3 0.6841 0.9917 0.001432
355.00 C 20260807 -1.00 -1.00 1 6 0.7128 0.9880 0.001920
356.00 C 20260807 -1.00 -1.00 1 1 0.6927 0.9877 0.002013
357.00 C 20260807 -1.00 -1.00 1 6 0.6303 0.9911 0.001656
358.00 C 20260807 -1.00 -1.00 18 4 0.6526 0.9871 0.002222
359.00 C 20260807 -1.00 -1.00 1 68 0.6773 0.9799 0.003114
360.00 C 20260807 -1.00 -1.00 47 55 0.6573 0.9794 0.003284
361.00 C 20260807 -1.00 -1.00 5 108 0.6597 0.9756 0.003803
362.00 C 20260807 -1.00 -1.00 27 98 0.6175 0.9782 0.003670
363.00 C 20260807 -1.00 -1.00 5 27 0.5977 0.9776 0.003890
364.00 C 20260807 -1.00 -1.00 1 66 0.5558 0.9807 0.003672
365.00 C 20260807 -1.00 -1.00 9 71 0.5583 0.9761 0.004397
366.00 C 20260807 -1.00 -1.00 1 113 0.5387 0.9753 0.004690
367.00 C 20260807 -1.00 -1.00 1 66 0.5525 0.9671 0.005829
368.00 C 20260807 -1.00 -1.00 16 109 0.5191 0.9697 0.005836
369.00 C 20260807 -1.00 -1.00 523 368 0.5077 0.9647 0.006696
370.00 C 20260807 -1.00 -1.00 56 1033 0.4965 0.9595 0.007629
371.00 C 20260807 -1.00 -1.00 29 348 0.4522 0.9660 0.007300
372.00 C 20260807 -1.00 -1.00 145 612 0.4521 0.9561 0.008943
373.00 C 20260807 -1.00 -1.00 18 1408 0.4300 0.9542 0.009744
374.00 C 20260807 -1.00 -1.00 30 686 0.4079 0.9520 0.010668
375.00 C 20260807 -1.00 -1.00 51 1041 0.4079 0.9410 0.012686
376.00 C 20260807 -1.00 -1.00 11 421 0.3965 0.9339 0.014381
377.00 C 20260807 -1.00 -1.00 24 514 0.3772 0.9262 0.016310
378.00 C 20260807 -1.00 -1.00 34 850 0.3706 0.9096 0.019202
379.00 C 20260807 -1.00 -1.00 132 1538 0.3576 0.8962 0.022084
380.00 C 20260807 -1.00 -1.00 162 3821 0.3385 0.8855 0.025178
381.00 C 20260807 -1.00 -1.00 203 1336 0.3292 0.8662 0.029063
382.00 C 20260807 -1.00 -1.00 60 1657 0.3239 0.8351 0.033555
383.00 C 20260807 -1.00 -1.00 115 843 0.3145 0.8059 0.038455
384.00 C 20260807 -1.00 -1.00 17 397 0.3079 0.7722 0.043657
385.00 C 20260807 -1.00 -1.00 122 2956 0.3056 0.7247 0.047931
386.00 C 20260807 -1.00 -1.00 536 1368 0.2970 0.6797 0.053170
387.00 C 20260807 -1.00 -1.00 385 1105 0.2970 0.6259 0.056416
388.00 C 20260807 -1.00 -1.00 806 1173 0.2883 0.5697 0.059849
389.00 C 20260807 -1.00 -1.00 715 643 0.2968 0.5098 0.059944
