# opt_chain HOOD | epoch 1786026196 | 2026-08-06 10:23:16 | spot 92.14 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 136 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
60.00 C 20260807 -1.00 -1.00 1 21 -1.0000 -1.0000 -1.000000
65.00 C 20260807 -1.00 -1.00 1 37 2.4574 0.9918 0.001600
67.00 C 20260807 -1.00 -1.00 5 10 -1.0000 -1.0000 -1.000000
68.00 C 20260807 -1.00 -1.00 4 4 -1.0000 -1.0000 -1.000000
69.00 C 20260807 -1.00 -1.00 8 27 -1.0000 -1.0000 -1.000000
70.00 C 20260807 -1.00 -1.00 1 31 0.0004 1.0000 -0.000000
71.00 C 20260807 -1.00 -1.00 2 35 0.0004 1.0000 -0.000000
72.00 C 20260807 -1.00 -1.00 1 17 1.8125 0.9893 0.002772
73.00 C 20260807 -1.00 -1.00 6 20 0.0004 1.0000 0.000000
74.00 C 20260807 -1.00 -1.00 6 15 -1.0000 -1.0000 -1.000000
75.00 C 20260807 -1.00 -1.00 2 64 -1.0000 -1.0000 -1.000000
76.00 C 20260807 -1.00 -1.00 54 22 -1.0000 -1.0000 -1.000000
77.00 C 20260807 -1.00 -1.00 4 18 -1.0000 -1.0000 -1.000000
78.00 C 20260807 -1.00 -1.00 15 30 -1.0000 -1.0000 -1.000000
79.00 C 20260807 -1.00 -1.00 28 40 -1.0000 -1.0000 -1.000000
80.00 C 20260807 -1.00 -1.00 2 180 -1.0000 -1.0000 -1.000000
81.00 C 20260807 -1.00 -1.00 2 93 0.8748 0.9921 0.004332
82.00 C 20260807 -1.00 -1.00 136 121 1.3868 0.9176 0.019305
83.00 C 20260807 -1.00 -1.00 2 115 1.0093 0.9543 0.016701
84.00 C 20260807 -1.00 -1.00 1 207 1.0047 0.9363 0.022223
85.00 C 20260807 -1.00 -1.00 4 1110 0.0004 1.0000 0.000000
86.00 C 20260807 -1.00 -1.00 22 825 -1.0000 -1.0000 -1.000000
87.00 C 20260807 -1.00 -1.00 15 886 0.6544 0.9210 0.039710
88.00 C 20260807 -1.00 -1.00 64 939 0.7034 0.8534 0.057836
89.00 C 20260807 -1.00 -1.00 141 5536 0.7129 0.7837 0.073701
90.00 C 20260807 -1.00 -1.00 138 7822 0.7463 0.6919 0.083652
91.00 C 20260807 -1.00 -1.00 97 3458 0.7338 0.6051 0.092963
92.00 C 20260807 -1.00 -1.00 3327 9311 0.7601 0.5105 0.094443
