# opt_chain META | epoch 1786031783 | 2026-08-06 11:56:23 | spot 589.43 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 81 | band 0.4050 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
435.00 C 20260807 -1.00 -1.00 45 34 2.7773 0.9729 0.000639
440.00 C 20260807 -1.00 -1.00 207 35 2.6997 0.9711 0.000689
445.00 C 20260807 -1.00 -1.00 202 15 2.6230 0.9693 0.000744
450.00 C 20260807 -1.00 -1.00 23 17 2.5472 0.9674 0.000804
455.00 C 20260807 -1.00 -1.00 112 19 2.2128 0.9783 0.000659
460.00 C 20260807 -1.00 -1.00 118 10 2.4370 0.9609 0.000973
465.00 C 20260807 -1.00 -1.00 17 14 1.8242 0.9875 0.000499
470.00 C 20260807 -1.00 -1.00 41 15 1.9494 0.9773 0.000780
472.50 C 20260807 -1.00 -1.00 40 0 1.9730 0.9742 0.000863
475.00 C 20260807 -1.00 -1.00 20 10 2.1497 0.9582 0.001167
477.50 C 20260807 -1.00 -1.00 35 3 2.0146 0.9640 0.001101
480.00 C 20260807 -1.00 -1.00 37 10 2.1323 0.9519 0.001322
482.50 C 20260807 -1.00 -1.00 22 9 1.9676 0.9597 0.001237
485.00 C 20260807 -1.00 -1.00 33 22 1.9252 0.9589 0.001284
487.50 C 20260807 -1.00 -1.00 41 9 1.8907 0.9575 0.001345
490.00 C 20260807 -1.00 -1.00 12 30 1.7052 0.9691 0.001156
492.50 C 20260807 -1.00 -1.00 8 9 1.8070 0.9557 0.001456
495.00 C 20260807 -1.00 -1.00 15 42 1.7731 0.9541 0.001527
497.50 C 20260807 -1.00 -1.00 25 7 1.7243 0.9537 0.001580
500.00 C 20260807 -1.00 -1.00 23 260 1.6084 0.9595 0.001517
502.50 C 20260807 -1.00 -1.00 29 2 1.6722 0.9490 0.001768
505.00 C 20260807 -1.00 -1.00 24 11 1.5794 0.9526 0.001761
507.50 C 20260807 -1.00 -1.00 79 30 1.5909 0.9466 0.001931
510.00 C 20260807 -1.00 -1.00 82 74 1.5876 0.9421 0.002076
512.50 C 20260807 -1.00 -1.00 12 30 1.4957 0.9454 0.002094
515.00 C 20260807 -1.00 -1.00 12 64 1.4853 0.9412 0.002246
517.50 C 20260807 -1.00 -1.00 4 60 1.4382 0.9404 0.002346
520.00 C 20260807 -1.00 -1.00 4 174 1.3913 0.9396 0.002454
522.50 C 20260807 -1.00 -1.00 61 6 1.3081 0.9426 0.002499
525.00 C 20260807 -1.00 -1.00 80 103 1.1669 0.9533 0.002351
527.50 C 20260807 -1.00 -1.00 19 30 1.0118 0.9695 0.001933
530.00 C 20260807 -1.00 -1.00 10 3022 0.9882 0.9660 0.002151
532.50 C 20260807 -1.00 -1.00 35 117 0.9212 0.9701 0.002091
535.00 C 20260807 -1.00 -1.00 28 129 1.0787 0.9379 0.003236
537.50 C 20260807 -1.00 -1.00 25 49 0.9397 0.9508 0.003048
540.00 C 20260807 -1.00 -1.00 2 219 0.8661 0.9553 0.003053
542.50 C 20260807 -1.00 -1.00 1 155 0.7713 0.9654 0.002797
545.00 C 20260807 -1.00 -1.00 3 164 0.7844 0.9531 0.003511
547.50 C 20260807 -1.00 -1.00 15 103 0.7903 0.9425 0.004133
550.00 C 20260807 -1.00 -1.00 1068 1779 0.6678 0.9587 0.003714
552.50 C 20260807 -1.00 -1.00 2 192 0.5956 0.9664 0.003537
555.00 C 20260807 -1.00 -1.00 21 463 0.6906 0.9296 0.005546
557.50 C 20260807 -1.00 -1.00 3 135 0.6440 0.9274 0.006076
560.00 C 20260807 -1.00 -1.00 13 387 0.5812 0.9316 0.006462
562.50 C 20260807 -1.00 -1.00 81 176 0.5678 0.9152 0.007703
565.00 C 20260807 -1.00 -1.00 6 394 0.4769 0.9326 0.007801
567.50 C 20260807 -1.00 -1.00 4 118 0.5248 0.8861 0.010425
570.00 C 20260807 -1.00 -1.00 1068 2231 0.4751 0.8807 0.011936
572.50 C 20260807 -1.00 -1.00 16 87 0.4495 0.8605 0.014052
575.00 C 20260807 -1.00 -1.00 21 970 0.4405 0.8236 0.016603
