# opt_chain MSTR | epoch 1786026199 | 2026-08-06 10:23:19 | spot 97.24 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 138 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
60.00 C 20260807 -1.00 -1.00 7 610 3.8919 0.9838 0.001724
65.00 C 20260807 -1.00 -1.00 25 6 3.1224 0.9861 0.001879
69.00 C 20260807 -1.00 -1.00 1 5 2.8985 0.9785 0.002963
70.00 C 20260807 -1.00 -1.00 2 34 3.8747 0.9327 0.005612
71.00 C 20260807 -1.00 -1.00 -1 0 2.6003 0.9799 0.003114
72.00 C 20260807 -1.00 -1.00 16 3 2.5018 0.9791 0.003341
73.00 C 20260807 -1.00 -1.00 8 5 2.5620 0.9724 0.004155
74.00 C 20260807 -1.00 -1.00 -1 0 3.4212 0.9186 0.007341
75.00 C 20260807 -1.00 -1.00 20 55 -1.0000 -1.0000 -1.000000
76.00 C 20260807 -1.00 -1.00 5 2 -1.0000 -1.0000 -1.000000
77.00 C 20260807 -1.00 -1.00 1 1 0.0004 1.0000 -0.000000
78.00 C 20260807 -1.00 -1.00 1 5 1.5129 0.9924 0.002282
79.00 C 20260807 -1.00 -1.00 1 4 -1.0000 -1.0000 -1.000000
80.00 C 20260807 -1.00 -1.00 1 197 -1.0000 -1.0000 -1.000000
81.00 C 20260807 -1.00 -1.00 2 59 2.0001 0.9407 0.009978
82.00 C 20260807 -1.00 -1.00 2 21 1.7674 0.9476 0.010144
83.00 C 20260807 -1.00 -1.00 1 106 1.4934 0.9612 0.009342
84.00 C 20260807 -1.00 -1.00 1 21 1.0582 0.9897 0.004336
85.00 C 20260807 -1.00 -1.00 21 47 2.0655 0.8691 0.017318
86.00 C 20260807 -1.00 -1.00 4 114 0.9936 0.9792 0.008341
87.00 C 20260807 -1.00 -1.00 9 75 0.9141 0.9776 0.009686
88.00 C 20260807 -1.00 -1.00 35 138 1.1322 0.9293 0.020061
89.00 C 20260807 -1.00 -1.00 1 166 0.8535 0.9557 0.018234
90.00 C 20260807 -1.00 -1.00 21 1039 1.5000 0.8098 0.030416
91.00 C 20260807 -1.00 -1.00 49 835 1.0007 0.8659 0.036437
92.00 C 20260807 -1.00 -1.00 515 819 0.8464 0.8611 0.044015
93.00 C 20260807 -1.00 -1.00 219 11049 0.7099 0.8488 0.055292
94.00 C 20260807 -1.00 -1.00 5012 9445 0.7844 0.7642 0.066253
95.00 C 20260807 -1.00 -1.00 473 11938 1.1101 0.6447 0.056804
96.00 C 20260807 -1.00 -1.00 291 13748 1.0823 0.5867 0.060268
96.50 C 20260807 -1.00 -1.00 268 488 0.8103 0.5672 0.081373
97.00 C 20260807 -1.00 -1.00 221 16840 0.7920 0.5267 0.085082
97.50 C 20260807 -1.00 -1.00 227 907 0.8306 0.4868 0.081029
98.00 C 20260807 -1.00 -1.00 751 13238 0.9683 0.4581 0.068700
98.50 C 20260807 -1.00 -1.00 244 6997 1.0302 0.4304 0.063876
99.00 C 20260807 -1.00 -1.00 5924 16634 0.8080 0.3646 0.079162
100.00 C 20260807 -1.00 -1.00 1229 23564 0.8149 0.2961 0.070966
101.00 C 20260807 -1.00 -1.00 495 14994 0.8875 0.2492 0.060445
102.00 C 20260807 -1.00 -1.00 823 23971 0.8191 0.1777 0.053072
103.00 C 20260807 -1.00 -1.00 468 16020 0.8326 0.1331 0.043653
104.00 C 20260807 -1.00 -1.00 159 7011 0.8382 0.1006 0.035022
105.00 C 20260807 -1.00 -1.00 1805 14712 0.8709 0.0771 0.027917
106.00 C 20260807 -1.00 -1.00 855 3641 0.9401 0.0691 0.023832
