# opt_chain MU | epoch 1786033617 | 2026-08-06 12:26:57 | spot 898.58 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 113 | band 0.6000 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
540.00 C 20260807 -1.00 -1.00 1 3 3.5479 0.9944 0.000083
542.50 C 20260807 -1.00 -1.00 -1 0 3.3262 0.9966 0.000058
545.00 C 20260807 -1.00 -1.00 1 2 3.4886 0.9943 0.000086
547.50 C 20260807 -1.00 -1.00 -1 0 3.2681 0.9965 0.000059
550.00 C 20260807 -1.00 -1.00 1 1 3.5389 0.9930 0.000102
552.50 C 20260807 -1.00 -1.00 -1 0 3.5911 0.9921 0.000112
555.00 C 20260807 -1.00 -1.00 2 1 3.2091 0.9961 0.000067
557.50 C 20260807 -1.00 -1.00 -1 0 3.2077 0.9957 0.000072
560.00 C 20260807 -1.00 -1.00 20 13 3.9532 0.9835 0.000192
562.50 C 20260807 -1.00 -1.00 -1 0 3.1240 0.9960 0.000070
565.00 C 20260807 -1.00 -1.00 1 2 3.1227 0.9956 0.000076
567.50 C 20260807 -1.00 -1.00 -1 0 3.1751 0.9945 0.000090
570.00 C 20260807 -1.00 -1.00 1 1 3.6510 0.9866 0.000174
572.50 C 20260807 -1.00 -1.00 -1 0 3.5620 0.9877 0.000165
575.00 C 20260807 -1.00 -1.00 4 3 3.2509 0.9924 0.000119
577.50 C 20260807 -1.00 -1.00 -1 0 3.2759 0.9917 0.000128
580.00 C 20260807 -1.00 -1.00 4 3 3.6613 0.9831 0.000211
582.50 C 20260807 -1.00 -1.00 -1 0 2.9554 0.9950 0.000090
585.00 C 20260807 -1.00 -1.00 1 0 4.0953 0.9707 0.000303
587.50 C 20260807 -1.00 -1.00 -1 0 2.3308 0.9993 0.000019
590.00 C 20260807 -1.00 -1.00 2 14 3.2657 0.9890 0.000165
592.50 C 20260807 -1.00 -1.00 5 5 3.0306 0.9923 0.000129
595.00 C 20260807 -1.00 -1.00 4 5 3.2388 0.9879 0.000179
597.50 C 20260807 -1.00 -1.00 28 0 2.8980 0.9933 0.000120
600.00 C 20260807 -1.00 -1.00 25 87 3.2903 0.9849 0.000214
602.50 C 20260807 -1.00 -1.00 4 0 3.0005 0.9911 0.000150
605.00 C 20260807 -1.00 -1.00 2 2 2.4442 0.9977 0.000054
607.50 C 20260807 -1.00 -1.00 20 4 -1.0000 -1.0000 -1.000000
610.00 C 20260807 -1.00 -1.00 2 11 2.9601 0.9902 0.000166
612.50 C 20260807 -1.00 -1.00 -1 0 2.9309 0.9901 0.000169
615.00 C 20260807 -1.00 -1.00 3 2 3.1554 0.9829 0.000248
617.50 C 20260807 -1.00 -1.00 24 24 2.5841 0.9944 0.000114
620.00 C 20260807 -1.00 -1.00 1 18 2.9098 0.9878 0.000201
622.50 C 20260807 -1.00 -1.00 -1 0 2.5328 0.9943 0.000118
625.00 C 20260807 -1.00 -1.00 -1 0 2.9397 0.9850 0.000237
627.50 C 20260807 -1.00 -1.00 -1 0 2.8236 0.9875 0.000212
630.00 C 20260807 -1.00 -1.00 10 12 2.6345 0.9913 0.000167
632.50 C 20260807 -1.00 -1.00 1 1 2.4315 0.9941 0.000126
635.00 C 20260807 -1.00 -1.00 6 2 2.3811 0.9945 0.000121
637.50 C 20260807 -1.00 -1.00 -1 0 2.4067 0.9935 0.000139
640.00 C 20260807 -1.00 -1.00 14 15 2.5957 0.9898 0.000195
642.50 C 20260807 -1.00 -1.00 29 29 2.3569 0.9934 0.000144
645.00 C 20260807 -1.00 -1.00 2 1 2.3322 0.9934 0.000146
647.50 C 20260807 -1.00 -1.00 1 1 2.4078 0.9915 0.000178
650.00 C 20260807 -1.00 -1.00 1 20 2.3080 0.9928 0.000160
652.50 C 20260807 -1.00 -1.00 12 12 2.2835 0.9927 0.000163
655.00 C 20260807 -1.00 -1.00 2 4 2.2342 0.9931 0.000158
657.50 C 20260807 -1.00 -1.00 -1 0 2.2100 0.9931 0.000161
660.00 C 20260807 -1.00 -1.00 1 24 2.3659 0.9894 0.000221
662.50 C 20260807 -1.00 -1.00 10 10 2.3920 0.9873 0.000254
665.00 C 20260807 -1.00 -1.00 1 3 2.3757 0.9868 0.000265
667.50 C 20260807 -1.00 -1.00 10 10 2.3383 0.9870 0.000264
670.00 C 20260807 -1.00 -1.00 2 31 2.1147 0.9922 0.000187
672.50 C 20260807 -1.00 -1.00 1 1 2.3482 0.9843 0.000309
675.00 C 20260807 -1.00 -1.00 1 28 2.2375 0.9875 0.000268
677.50 C 20260807 -1.00 -1.00 -1 0 2.2951 0.9840 0.000322
680.00 C 20260807 -1.00 -1.00 4 6 2.2058 0.9863 0.000293
682.50 C 20260807 -1.00 -1.00 1 1 2.2423 0.9837 0.000335
685.00 C 20260807 -1.00 -1.00 5 27 2.1430 0.9865 0.000298
687.50 C 20260807 -1.00 -1.00 2 1 2.0441 0.9896 0.000252
690.00 C 20260807 -1.00 -1.00 6 16 -1.0000 -1.0000 -1.000000
692.50 C 20260807 -1.00 -1.00 6 2 1.9041 0.9914 0.000226
695.00 C 20260807 -1.00 -1.00 4 6 2.0811 0.9841 0.000353
697.50 C 20260807 -1.00 -1.00 15 15 2.0347 0.9848 0.000347
700.00 C 20260807 -1.00 -1.00 43 245 1.8114 0.9917 0.000230
702.50 C 20260807 -1.00 -1.00 -1 0 2.0249 0.9826 0.000392
705.00 C 20260807 -1.00 -1.00 1 33 2.1536 0.9761 0.000489
707.50 C 20260807 -1.00 -1.00 4 3 2.0048 0.9808 0.000431
710.00 C 20260807 -1.00 -1.00 4 62 2.1434 0.9740 0.000530
712.50 C 20260807 -1.00 -1.00 -1 0 2.1823 0.9692 0.000594
715.00 C 20260807 -1.00 -1.00 24 19 2.0823 0.9738 0.000550
717.50 C 20260807 -1.00 -1.00 1 1 2.0467 0.9739 0.000557
720.00 C 20260807 -1.00 -1.00 6 130 2.1318 0.9655 0.000665
722.50 C 20260807 -1.00 -1.00 1 1 1.8339 0.9804 0.000480
725.00 C 20260807 -1.00 -1.00 9 21 2.1964 0.9562 0.000783
727.50 C 20260807 -1.00 -1.00 1 1 1.8452 0.9770 0.000550
730.00 C 20260807 -1.00 -1.00 5 155 1.7397 0.9807 0.000500
732.50 C 20260807 -1.00 -1.00 4 2 1.6950 0.9815 0.000494
735.00 C 20260807 -1.00 -1.00 36 45 1.9568 0.9632 0.000762
737.50 C 20260807 -1.00 -1.00 2 3 1.8535 0.9690 0.000704
740.00 C 20260807 -1.00 -1.00 11 79 1.8157 0.9695 0.000710
742.50 C 20260807 -1.00 -1.00 9 7 1.7184 0.9742 0.000656
745.00 C 20260807 -1.00 -1.00 2 40 1.6842 0.9743 0.000665
747.50 C 20260807 -1.00 -1.00 38 33 1.6301 0.9755 0.000659
750.00 C 20260807 -1.00 -1.00 33 192 -1.0000 -1.0000 -1.000000
755.00 C 20260807 -1.00 -1.00 20 103 1.4590 0.9802 0.000607
760.00 C 20260807 -1.00 -1.00 4 51 1.3723 0.9823 0.000587
765.00 C 20260807 -1.00 -1.00 18 53 1.3751 0.9784 0.000698
767.50 C 20260807 -1.00 -1.00 1 6 1.3518 0.9780 0.000720
770.00 C 20260807 -1.00 -1.00 16 244 -1.0000 -1.0000 -1.000000
772.50 C 20260807 -1.00 -1.00 2 22 1.4341 0.9665 0.000968
775.00 C 20260807 -1.00 -1.00 7 105 1.4175 0.9648 0.001017
777.50 C 20260807 -1.00 -1.00 3 58 1.4059 0.9625 0.001077
780.00 C 20260807 -1.00 -1.00 18 540 -1.0000 -1.0000 -1.000000
782.50 C 20260807 -1.00 -1.00 1 11 1.3339 0.9636 0.001110
785.00 C 20260807 -1.00 -1.00 15 96 -1.0000 -1.0000 -1.000000
787.50 C 20260807 -1.00 -1.00 4 59 1.0320 0.9866 0.000618
790.00 C 20260807 -1.00 -1.00 71 342 1.2365 0.9642 0.001183
792.50 C 20260807 -1.00 -1.00 6 48 -1.0000 -1.0000 -1.000000
795.00 C 20260807 -1.00 -1.00 37 124 0.0004 1.0000 -0.000000
800.00 C 20260807 -1.00 -1.00 331 2866 1.2158 0.9505 0.001566
805.00 C 20260807 -1.00 -1.00 16 203 1.2128 0.9426 0.001779
810.00 C 20260807 -1.00 -1.00 107 341 1.1523 0.9414 0.001904
815.00 C 20260807 -1.00 -1.00 29 164 1.0156 0.9509 0.001859
820.00 C 20260807 -1.00 -1.00 155 1363 1.0133 0.9415 0.002161
825.00 C 20260807 -1.00 -1.00 170 414 1.1227 0.9059 0.002781
830.00 C 20260807 -1.00 -1.00 852 723 0.9741 0.9207 0.002824
835.00 C 20260807 -1.00 -1.00 689 502 0.9221 0.9152 0.003133
840.00 C 20260807 -1.00 -1.00 1233 642 0.9548 0.8899 0.003691
845.00 C 20260807 -1.00 -1.00 1171 184 0.9517 0.8722 0.004156
850.00 C 20260807 -1.00 -1.00 3827 1870 0.9200 0.8543 0.004651
855.00 C 20260807 -1.00 -1.00 2398 236 0.9226 0.8264 0.005184
860.00 C 20260807 -1.00 -1.00 5592 658 0.9073 0.8026 0.005745
865.00 C 20260807 -1.00 -1.00 1767 1189 0.9218 0.7699 0.006220
870.00 C 20260807 -1.00 -1.00 4058 571 0.9051 0.7382 0.006722
875.00 C 20260807 -1.00 -1.00 3618 502 0.8966 0.7038 0.007208
880.00 C 20260807 -1.00 -1.00 5505 1085 0.9099 0.6657 0.007566
885.00 C 20260807 -1.00 -1.00 2217 2067 0.8855 0.6295 0.008022
890.00 C 20260807 -1.00 -1.00 6295 1093 0.8838 0.5881 0.008227
895.00 C 20260807 -1.00 -1.00 4709 474 0.8868 0.5463 0.008390
900.00 C 20260807 -1.00 -1.00 27345 6637 0.8901 0.5050 0.008494
905.00 C 20260807 -1.00 -1.00 5848 757 0.8792 0.4633 0.008460
910.00 C 20260807 -1.00 -1.00 8043 1281 0.8800 0.4219 0.008313
915.00 C 20260807 -1.00 -1.00 4439 753 0.8865 0.3815 0.008117
920.00 C 20260807 -1.00 -1.00 9139 2160 0.8887 0.3441 0.007797
925.00 C 20260807 -1.00 -1.00 4825 1257 0.8766 0.3059 0.007470
930.00 C 20260807 -1.00 -1.00 6606 2367 0.8829 0.2714 0.007028
935.00 C 20260807 -1.00 -1.00 2598 3117 0.8931 0.2387 0.006583
940.00 C 20260807 -1.00 -1.00 4545 1502 0.8851 0.2096 0.006090
945.00 C 20260807 -1.00 -1.00 1289 397 0.8832 0.1819 0.005572
950.00 C 20260807 -1.00 -1.00 12946 6787 0.8899 0.1569 0.005054
955.00 C 20260807 -1.00 -1.00 2474 556 0.9020 0.1358 0.004566
957.50 C 20260807 -1.00 -1.00 583 248 0.8984 0.1261 0.004327
960.00 C 20260807 -1.00 -1.00 3636 1168 0.8949 0.1164 0.004084
962.50 C 20260807 -1.00 -1.00 554 396 0.8954 0.1077 0.003848
965.00 C 20260807 -1.00 -1.00 2138 1467 0.8994 0.1000 0.003625
967.50 C 20260807 -1.00 -1.00 366 134 0.9024 0.0920 0.003402
970.00 C 20260807 -1.00 -1.00 3255 1415 0.9085 0.0850 0.003194
972.50 C 20260807 -1.00 -1.00 420 143 0.9160 0.0785 0.002997
975.00 C 20260807 -1.00 -1.00 1186 851 0.9250 0.0725 0.002814
977.50 C 20260807 -1.00 -1.00 377 105 0.9223 0.0669 0.002638
980.00 C 20260807 -1.00 -1.00 3364 1105 0.9244 0.0624 0.002481
982.50 C 20260807 -1.00 -1.00 789 127 0.9222 0.0570 0.002308
985.00 C 20260807 -1.00 -1.00 796 489 0.9242 0.0525 0.002151
990.00 C 20260807 -1.00 -1.00 2101 998 0.9327 0.0444 0.001863
995.00 C 20260807 -1.00 -1.00 1994 687 0.9488 0.0381 0.001624
1000.00 C 20260807 -1.00 -1.00 13433 14207 0.9653 0.0324 0.001414
