# opt_chain NDX | epoch 1786039233 | 2026-08-06 14:00:33 | spot 29389.51 | exps 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 947 | band 0.1800 vencimientos 12 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
25900.00 C 20260821 -1.00 -1.00 0 0 0.3201 0.9782 0.000000
25900.00 P 20260821 -1.00 -1.00 0 8 0.3166 -0.0215 0.000000
26000.00 C 20260821 -1.00 -1.00 0 25 0.3347 0.9765 0.000000
26000.00 P 20260821 -1.00 -1.00 25 257 0.3120 -0.0232 0.000000
26100.00 C 20260821 -1.00 -1.00 0 0 0.3267 0.9746 0.000000
26100.00 P 20260821 -1.00 -1.00 0 26 0.3073 -0.0250 0.000000
26200.00 C 20260821 -1.00 -1.00 0 19 0.3209 0.9726 0.000000
26200.00 P 20260821 -1.00 -1.00 0 192 0.3027 -0.0270 0.000000
26250.00 C 20260821 -1.00 -1.00 0 0 0.3161 0.9715 0.000000
26250.00 P 20260821 -1.00 -1.00 0 0 0.3002 -0.0281 0.000000
26300.00 C 20260821 -1.00 -1.00 0 1 0.3150 0.9704 0.000000
26300.00 P 20260821 -1.00 -1.00 0 54 0.2982 -0.0293 0.000000
26350.00 C 20260821 -1.00 -1.00 0 0 0.3103 0.9692 0.000000
26350.00 P 20260821 -1.00 -1.00 0 0 0.2952 -0.0305 0.000000
26400.00 C 20260821 -1.00 -1.00 0 5 0.3077 0.9679 0.000000
26400.00 P 20260821 -1.00 -1.00 36 138 0.2936 -0.0317 0.000000
26450.00 C 20260821 -1.00 -1.00 0 0 0.3067 0.9665 0.000000
26450.00 P 20260821 -1.00 -1.00 0 55 0.2912 -0.0331 0.000000
26500.00 C 20260821 -1.00 -1.00 0 4 0.3021 0.9651 0.000000
26500.00 P 20260821 -1.00 -1.00 9 162 0.2884 -0.0345 0.000000
26550.00 C 20260821 -1.00 -1.00 0 0 0.2997 0.9636 0.000000
26550.00 P 20260821 -1.00 -1.00 0 3 0.2861 -0.0360 0.000000
26600.00 C 20260821 -1.00 -1.00 0 4 0.2986 0.9621 0.000000
26600.00 P 20260821 -1.00 -1.00 30 104 0.2853 -0.0376 0.000000
26650.00 C 20260821 -1.00 -1.00 0 0 0.2945 0.9604 0.000000
26650.00 P 20260821 -1.00 -1.00 0 1 0.2818 -0.0392 0.000000
26700.00 C 20260821 -1.00 -1.00 0 0 0.2919 0.9586 0.000000
26700.00 P 20260821 -1.00 -1.00 0 57 0.2803 -0.0410 0.000000
26750.00 C 20260821 -1.00 -1.00 0 1 0.2894 0.9568 0.000000
26750.00 P 20260821 -1.00 -1.00 0 8 0.2781 -0.0429 0.000000
26775.00 C 20260821 -1.00 -1.00 0 0 0.2882 0.9558 0.000100
26775.00 P 20260821 -1.00 -1.00 0 0 0.2772 -0.0438 0.000100
26800.00 C 20260821 -1.00 -1.00 0 10 0.2872 0.9548 0.000100
26800.00 P 20260821 -1.00 -1.00 15 309 0.2761 -0.0448 0.000100
26825.00 C 20260821 -1.00 -1.00 0 0 0.2861 0.9537 0.000100
26825.00 P 20260821 -1.00 -1.00 0 0 0.2746 -0.0459 0.000100
26850.00 C 20260821 -1.00 -1.00 0 1 0.2849 0.9527 0.000100
26850.00 P 20260821 -1.00 -1.00 0 3 0.2741 -0.0469 0.000100
26875.00 C 20260821 -1.00 -1.00 0 0 0.2836 0.9516 0.000100
26875.00 P 20260821 -1.00 -1.00 0 0 0.2726 -0.0480 0.000100
26900.00 C 20260821 -1.00 -1.00 0 1 0.2825 0.9505 0.000100
26900.00 P 20260821 -1.00 -1.00 0 103 0.2722 -0.0492 0.000100
26925.00 C 20260821 -1.00 -1.00 0 0 0.2813 0.9493 0.000100
