# opt_chain NVDA | epoch 1786026148 | 2026-08-06 10:22:28 | spot 221.07 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 87 | band 0.2700 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
182.50 C 20260807 -1.00 -1.00 132 277 2.1004 0.9429 0.004037
185.00 C 20260807 -1.00 -1.00 56 3407 1.6768 0.9644 0.003405
187.50 C 20260807 -1.00 -1.00 1 559 1.2366 0.9885 0.001783
190.00 C 20260807 -1.00 -1.00 7 3183 1.3874 0.9686 0.003735
192.50 C 20260807 -1.00 -1.00 66 6015 1.2840 0.9665 0.004249
195.00 C 20260807 -1.00 -1.00 118 10189 1.0444 0.9786 0.003571
197.50 C 20260807 -1.00 -1.00 36 25419 0.0004 1.0000 0.000000
200.00 C 20260807 -1.00 -1.00 344 43572 0.8324 0.9789 0.004432
202.50 C 20260807 -1.00 -1.00 178 25740 0.7471 0.9767 0.005379
205.00 C 20260807 -1.00 -1.00 238 23737 0.7307 0.9602 0.008549
207.50 C 20260807 -1.00 -1.00 482 40747 0.7093 0.9382 0.012714
210.00 C 20260807 -1.00 -1.00 1233 53551 0.5779 0.9383 0.015584
212.50 C 20260807 -1.00 -1.00 2184 10189 0.6696 0.8495 0.025640
215.00 C 20260807 -1.00 -1.00 3930 28324 0.5186 0.8302 0.035734
217.50 C 20260807 -1.00 -1.00 2761 27617 0.7937 0.6581 0.034501
220.00 C 20260807 -1.00 -1.00 15224 55069 0.5254 0.5936 0.054259
222.50 C 20260807 -1.00 -1.00 70166 29084 0.5000 0.4535 0.058281
225.00 C 20260807 -1.00 -1.00 128389 45083 0.4476 0.2958 0.056637
227.50 C 20260807 -1.00 -1.00 64408 17083 0.5879 0.2369 0.039148
230.00 C 20260807 -1.00 -1.00 54001 29985 0.4613 0.0980 0.027397
232.50 C 20260807 -1.00 -1.00 13998 5858 0.4828 0.0547 0.016745
235.00 C 20260807 -1.00 -1.00 9706 13563 0.5246 0.0335 0.010476
237.50 C 20260807 -1.00 -1.00 4515 2576 0.5446 0.0197 0.006367
240.00 C 20260807 -1.00 -1.00 9000 12903 0.6014 0.0152 0.004630
245.00 C 20260807 -1.00 -1.00 1533 3441 0.6448 0.0052 0.001693
250.00 C 20260807 -1.00 -1.00 964 10416 0.7645 0.0045 0.001263
255.00 C 20260807 -1.00 -1.00 495 8977 0.8713 0.0040 0.000992
260.00 C 20260807 -1.00 -1.00 334 3471 1.0274 0.0055 0.001107
182.50 P 20260807 -1.00 -1.00 7 7061 1.1788 -0.0029 0.000549
185.00 P 20260807 -1.00 -1.00 102 19747 1.1058 -0.0031 0.000621
187.50 P 20260807 -1.00 -1.00 15 9491 1.0338 -0.0033 0.000706
190.00 P 20260807 -1.00 -1.00 532 21722 0.9628 -0.0036 0.000810
192.50 P 20260807 -1.00 -1.00 195 10089 0.8895 -0.0038 0.000937
195.00 P 20260807 -1.00 -1.00 966 14252 0.8125 -0.0042 0.001098
197.50 P 20260807 -1.00 -1.00 784 7459 0.7719 -0.0069 0.001797
200.00 P 20260807 -1.00 -1.00 1465 15973 0.7320 -0.0099 0.002645
202.50 P 20260807 -1.00 -1.00 424 3947 0.6829 -0.0145 0.003916
205.00 P 20260807 -1.00 -1.00 1351 13231 0.6220 -0.0199 0.005635
207.50 P 20260807 -1.00 -1.00 1341 13129 0.5966 -0.0344 0.009350
210.00 P 20260807 -1.00 -1.00 7865 15226 0.5249 -0.0470 0.013630
212.50 P 20260807 -1.00 -1.00 7043 4240 0.5122 -0.0905 0.023267
215.00 P 20260807 -1.00 -1.00 17518 9419 0.4621 -0.1406 0.035676
217.50 P 20260807 -1.00 -1.00 11473 6188 0.4657 -0.2544 0.050731
220.00 P 20260807 -1.00 -1.00 20130 6402 0.4511 -0.3934 0.062814
222.50 P 20260807 -1.00 -1.00 12638 5147 0.4408 -0.5548 0.065973
225.00 P 20260807 -1.00 -1.00 3010 1268 0.3199 -0.7800 0.069037
227.50 P 20260807 -1.00 -1.00 864 336 0.4277 -0.8387 0.042311
230.00 P 20260807 -1.00 -1.00 893 518 -1.0000 -1.0000 -1.000000
232.50 P 20260807 -1.00 -1.00 356 182 -1.0000 -1.0000 -1.000000
235.00 P 20260807 -1.00 -1.00 1805 396 -1.0000 -1.0000 -1.000000
237.50 P 20260807 -1.00 -1.00 373 109 -1.0000 -1.0000 -1.000000
240.00 P 20260807 -1.00 -1.00 57 120 -1.0000 -1.0000 -1.000000
245.00 P 20260807 -1.00 -1.00 11 13 -1.0000 -1.0000 -1.000000
