# opt_chain PLTR | epoch 1786020357 | 2026-08-06 08:45:57 | spot 155.40 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 956 | band 0.4050 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
114.00 C 20260807 -1.00 -1.00 12 107 4.7358 0.8835 0.004239
115.00 C 20260807 -1.00 -1.00 23 319 4.6465 0.8808 0.004387
116.00 C 20260807 -1.00 -1.00 5 145 4.5467 0.8785 0.004541
117.00 C 20260807 -1.00 -1.00 15 288 4.4479 0.8761 0.004702
118.00 C 20260807 -1.00 -1.00 12 306 4.3499 0.8736 0.004872
119.00 C 20260807 -1.00 -1.00 16 529 4.1644 0.8753 0.005048
120.00 C 20260807 -1.00 -1.00 1155 2793 4.0686 0.8727 0.005237
121.00 C 20260807 -1.00 -1.00 47 729 3.9845 0.8695 0.005437
122.00 C 20260807 -1.00 -1.00 73 4931 3.9557 0.8634 0.005643
123.00 C 20260807 -1.00 -1.00 195 3158 3.8728 0.8599 0.005862
124.00 C 20260807 -1.00 -1.00 84 8920 3.7798 0.8569 0.006094
125.00 C 20260807 -1.00 -1.00 348 21161 3.6230 0.8571 0.006350
126.00 C 20260807 -1.00 -1.00 210 4858 3.5854 0.8509 0.006602
127.00 C 20260807 -1.00 -1.00 107 5934 3.5267 0.8458 0.006868
128.00 C 20260807 -1.00 -1.00 138 2288 3.3198 0.8488 0.007199
129.00 C 20260807 -1.00 -1.00 85 9472 3.3262 0.8396 0.007479
130.00 C 20260807 -1.00 -1.00 548 18829 3.1324 0.8420 0.007861
131.00 C 20260807 -1.00 -1.00 107 3028 3.0135 0.8400 0.008240
132.00 C 20260807 -1.00 -1.00 130 1034 2.9688 0.8331 0.008608
133.00 C 20260807 -1.00 -1.00 144 1528 2.8827 0.8287 0.009024
134.00 C 20260807 -1.00 -1.00 132 2122 2.7974 0.8240 0.009472
135.00 C 20260807 -1.00 -1.00 1000 8058 2.7746 0.8151 0.009886
136.00 C 20260807 -1.00 -1.00 161 1560 2.7315 0.8073 0.010339
137.00 C 20260807 -1.00 -1.00 84 1164 2.5862 0.8058 0.010975
138.00 C 20260807 -1.00 -1.00 117 1454 2.5645 0.7960 0.011463
139.00 C 20260807 -1.00 -1.00 81 1318 2.3904 0.7959 0.012288
