# opt_chain SKHY | epoch 1786024155 | 2026-08-06 09:49:15 | spot 151.03 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 64155 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
91.00 C 20260807 -1.00 -1.00 12 9 -1.0000 -1.0000 -1.000000
92.00 C 20260807 -1.00 -1.00 26 75 4.0654 0.9608 0.002408
93.00 C 20260807 -1.00 -1.00 14 82 3.0430 0.9874 0.001231
94.00 C 20260807 -1.00 -1.00 6 7 3.6124 0.9686 0.002255
95.00 C 20260807 -1.00 -1.00 6 6 2.7316 0.9910 0.001028
96.00 C 20260807 -1.00 -1.00 10 2 3.3062 0.9728 0.002200
97.00 C 20260807 -1.00 -1.00 10 2 3.5632 0.9587 0.002868
98.00 C 20260807 -1.00 -1.00 6 3 3.5472 0.9553 0.003080
99.00 C 20260807 -1.00 -1.00 6 25 3.3295 0.9593 0.003027
100.00 C 20260807 -1.00 -1.00 3 59 2.4076 0.9900 0.001294
101.00 C 20260807 -1.00 -1.00 1 6 3.2337 0.9547 0.003415
102.00 C 20260807 -1.00 -1.00 66 9 1.9804 0.9956 0.000749
103.00 C 20260807 -1.00 -1.00 52 4 1.9213 0.9955 0.000788
104.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
105.00 C 20260807 -1.00 -1.00 1 13 2.7869 0.9560 0.003858
106.00 C 20260807 -1.00 -1.00 1 2 2.9051 0.9459 0.004422
107.00 C 20260807 -1.00 -1.00 -1 0 2.0739 0.9822 0.002431
108.00 C 20260807 -1.00 -1.00 2 2 2.4953 0.9558 0.004322
109.00 C 20260807 -1.00 -1.00 -1 0 2.4213 0.9546 0.004559
110.00 C 20260807 -1.00 -1.00 1 41 2.5389 0.9430 0.005288
111.00 C 20260807 -1.00 -1.00 2 97 2.7944 0.9159 0.006390
112.00 C 20260807 -1.00 -1.00 40 43 2.5631 0.9242 0.006439
113.00 C 20260807 -1.00 -1.00 -1 0 2.1320 0.9489 0.005719
114.00 C 20260807 -1.00 -1.00 -1 0 1.8738 0.9609 0.005201
115.00 C 20260807 -1.00 -1.00 1 8 2.2784 0.9202 0.007530
116.00 C 20260807 -1.00 -1.00 1 2 2.1971 0.9176 0.007999
117.00 C 20260807 -1.00 -1.00 1 0 2.0094 0.9255 0.008119
118.00 C 20260807 -1.00 -1.00 2 2 2.0722 0.9085 0.009184
119.00 C 20260807 -1.00 -1.00 1 1 1.9221 0.9123 0.009580
120.00 C 20260807 -1.00 -1.00 77 86 -1.0000 -1.0000 -1.000000
121.00 C 20260807 -1.00 -1.00 1 1 2.0117 0.8816 0.011593
122.00 C 20260807 -1.00 -1.00 -1 1 1.9698 0.8712 0.012478
123.00 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
124.00 C 20260807 -1.00 -1.00 11 4 1.2943 0.9287 0.012230
125.00 C 20260807 -1.00 -1.00 16 44 1.0846 0.9464 0.011655
126.00 C 20260807 -1.00 -1.00 2 15 1.3185 0.8922 0.016368
127.00 C 20260807 -1.00 -1.00 1 21 1.4510 0.8516 0.018523
128.00 C 20260807 -1.00 -1.00 1 41 1.2042 0.8749 0.020132
129.00 C 20260807 -1.00 -1.00 2 25 1.2764 0.8351 0.022529
130.00 C 20260807 -1.00 -1.00 8 227 1.3706 0.7964 0.024196
131.00 C 20260807 -1.00 -1.00 1 20 1.4925 0.7526 0.024640
132.00 C 20260807 -1.00 -1.00 3 101 1.3015 0.7505 0.028379
133.00 C 20260807 -1.00 -1.00 11 121 1.4869 0.6984 0.027312
134.00 C 20260807 -1.00 -1.00 1 59 1.4502 0.6740 0.029194
135.00 C 20260807 -1.00 -1.00 7 455 1.1940 0.6665 0.035854
136.00 C 20260807 -1.00 -1.00 1 33 1.2350 0.6259 0.035795
137.00 C 20260807 -1.00 -1.00 1 326 1.3106 0.5855 0.034545
138.00 C 20260807 -1.00 -1.00 3 205 1.4442 0.5490 0.032037
139.00 C 20260807 -1.00 -1.00 3 225 1.3565 0.5161 0.034706
140.00 C 20260807 -1.00 -1.00 17 1675 1.2583 0.4789 0.036933
141.00 C 20260807 -1.00 -1.00 3 442 1.2620 0.4432 0.036342
142.00 C 20260807 -1.00 -1.00 8 147 1.2153 0.4026 0.037166
143.00 C 20260807 -1.00 -1.00 2 306 1.3843 0.3859 0.032444
144.00 C 20260807 -1.00 -1.00 4 107 1.2154 0.3339 0.034886
145.00 C 20260807 -1.00 -1.00 18 1096 1.2741 0.3115 0.032212
146.00 C 20260807 -1.00 -1.00 3 90 1.3323 0.2911 0.029880
147.00 C 20260807 -1.00 -1.00 1 616 1.3415 0.2636 0.028439
148.00 C 20260807 -1.00 -1.00 1 1587 1.4071 0.2478 0.026444
149.00 C 20260807 -1.00 -1.00 3 144 1.2762 0.2024 0.025642
150.00 C 20260807 -1.00 -1.00 49 2613 1.2850 0.1812 0.023753
152.50 C 20260807 -1.00 -1.00 11 723 1.3271 0.1370 0.019385
155.00 C 20260807 -1.00 -1.00 90 2516 1.3323 0.1016 0.015397
157.50 C 20260807 -1.00 -1.00 41 501 1.5059 0.0990 0.013368
160.00 C 20260807 -1.00 -1.00 205 4758 1.4049 0.0582 0.009563
162.50 C 20260807 -1.00 -1.00 43 757 1.4184 0.0406 0.007108
165.00 C 20260807 -1.00 -1.00 57 1763 1.5092 0.0346 0.005924
167.50 C 20260807 -1.00 -1.00 5 372 1.5592 0.0292 0.004929
170.00 C 20260807 -1.00 -1.00 41 2304 1.6054 0.0240 0.004042
172.50 C 20260807 -1.00 -1.00 9 397 1.6509 0.0192 0.003247
175.00 C 20260807 -1.00 -1.00 20 895 2.3363 0.0646 0.006250
177.50 C 20260807 -1.00 -1.00 61 272 2.3174 0.0518 0.005266
180.00 C 20260807 -1.00 -1.00 12 1668 2.3484 0.0434 0.004526
182.50 C 20260807 -1.00 -1.00 23 685 2.4281 0.0397 0.004096
185.00 C 20260807 -1.00 -1.00 53 975 2.3087 0.0268 0.003084
187.50 C 20260807 -1.00 -1.00 16 361 2.4447 0.0284 0.003061
190.00 C 20260807 -1.00 -1.00 46 1841 2.3376 0.0174 0.002121
192.50 C 20260807 -1.00 -1.00 8 121 2.4237 0.0169 0.001998
195.00 C 20260807 -1.00 -1.00 2 511 2.4415 0.0138 0.001678
197.50 C 20260807 -1.00 -1.00 9 40 2.5139 0.0135 0.001589
200.00 C 20260807 -1.00 -1.00 222 875 2.4756 0.0104 0.001277
202.50 C 20260807 -1.00 -1.00 1 66 2.6560 0.0128 0.001436
205.00 C 20260807 -1.00 -1.00 67 143 2.6173 0.0099 0.001154
207.50 C 20260807 -1.00 -1.00 21 246 2.6868 0.0097 0.001101
210.00 C 20260807 -1.00 -1.00 4 624 2.7556 0.0095 0.001052
91.00 P 20260807 -1.00 -1.00 40 64 2.9861 -0.0081 0.000852
92.00 P 20260807 -1.00 -1.00 30 81 2.9190 -0.0082 0.000890
93.00 P 20260807 -1.00 -1.00 14 81 2.8526 -0.0084 0.000930
94.00 P 20260807 -1.00 -1.00 3 41 2.8955 -0.0107 0.001134
95.00 P 20260807 -1.00 -1.00 30 10914 2.7219 -0.0088 0.001017
96.00 P 20260807 -1.00 -1.00 10 218 2.6576 -0.0090 0.001065
97.00 P 20260807 -1.00 -1.00 10 105 2.5940 -0.0093 0.001115
98.00 P 20260807 -1.00 -1.00 25 627 2.6104 -0.0118 0.001361
99.00 P 20260807 -1.00 -1.00 1 453 2.4688 -0.0097 0.001226
100.00 P 20260807 -1.00 -1.00 124 34233 2.4054 -0.0100 0.001287
101.00 P 20260807 -1.00 -1.00 369 442 2.3377 -0.0102 0.001352
102.00 P 20260807 -1.00 -1.00 376 703 2.2707 -0.0105 0.001421
103.00 P 20260807 -1.00 -1.00 20 292 2.5992 -0.0247 0.002599
104.00 P 20260807 -1.00 -1.00 37 402 2.5690 -0.0273 0.002853
105.00 P 20260807 -1.00 -1.00 109 6949 2.0736 -0.0114 0.001664
106.00 P 20260807 -1.00 -1.00 179 202 2.4185 -0.0288 0.003159
107.00 P 20260807 -1.00 -1.00 2 138 2.4089 -0.0337 0.003587
108.00 P 20260807 -1.00 -1.00 2 329 2.1390 -0.0236 0.003026
109.00 P 20260807 -1.00 -1.00 34 500 2.1981 -0.0313 0.003715
110.00 P 20260807 -1.00 -1.00 90 2114 1.8209 -0.0165 0.002588
111.00 P 20260807 -1.00 -1.00 26 281 2.1812 -0.0422 0.004756
112.00 P 20260807 -1.00 -1.00 28 227 2.2044 -0.0496 0.005397
113.00 P 20260807 -1.00 -1.00 75 1973 1.9763 -0.0403 0.005059
