# opt_chain TSM | epoch 1786033635 | 2026-08-06 12:27:15 | spot 419.08 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 135 | band 0.4050 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
307.50 C 20260807 -1.00 -1.00 -1 0 2.3875 0.9887 0.000494
310.00 C 20260807 -1.00 -1.00 10 10 2.5115 0.9819 0.000702
312.50 C 20260807 -1.00 -1.00 -1 0 2.2952 0.9873 0.000566
315.00 C 20260807 -1.00 -1.00 1 1 2.2158 0.9880 0.000561
317.50 C 20260807 -1.00 -1.00 1 1 2.0648 0.9907 0.000484
320.00 C 20260807 -1.00 -1.00 1 762 2.1706 0.9846 0.000706
322.50 C 20260807 -1.00 -1.00 1 1 2.0481 0.9871 0.000642
325.00 C 20260807 -1.00 -1.00 1 36 2.1483 0.9801 0.000889
327.50 C 20260807 -1.00 -1.00 1 1 1.9827 0.9844 0.000779
330.00 C 20260807 -1.00 -1.00 1 3 1.9064 0.9851 0.000781
332.50 C 20260807 -1.00 -1.00 -1 0 1.7181 0.9905 0.000590
335.00 C 20260807 -1.00 -1.00 304 154 1.8864 0.9800 0.001016
337.50 C 20260807 -1.00 -1.00 -1 0 1.7678 0.9827 0.000955
340.00 C 20260807 -1.00 -1.00 6 8 1.8018 0.9779 0.001165
342.50 C 20260807 -1.00 -1.00 -1 0 1.5980 0.9855 0.000912
345.00 C 20260807 -1.00 -1.00 15 16 1.5893 0.9825 0.001076
347.50 C 20260807 -1.00 -1.00 1 1 1.5593 0.9807 0.001194
350.00 C 20260807 -1.00 -1.00 11 491 1.4013 0.9870 0.000948
352.50 C 20260807 -1.00 -1.00 30 20 1.4998 0.9769 0.001454
355.00 C 20260807 -1.00 -1.00 2 8 1.3220 0.9846 0.001158
357.50 C 20260807 -1.00 -1.00 1 1 1.3145 0.9810 0.001397
360.00 C 20260807 -1.00 -1.00 9 15 1.2438 0.9819 0.001415
362.50 C 20260807 -1.00 -1.00 1 1 1.1737 0.9829 0.001426
365.00 C 20260807 -1.00 -1.00 2 142 1.2879 0.9685 0.002202
367.50 C 20260807 -1.00 -1.00 -1 0 1.2426 0.9659 0.002427
370.00 C 20260807 -1.00 -1.00 2 89 0.9868 0.9848 0.001534
372.50 C 20260807 -1.00 -1.00 60 61 1.0635 0.9726 0.002389
375.00 C 20260807 -1.00 -1.00 1 84 0.8506 0.9882 0.001443
377.50 C 20260807 -1.00 -1.00 21 144 1.0235 0.9597 0.003366
380.00 C 20260807 -1.00 -1.00 37 1935 0.9389 0.9630 0.003427
382.50 C 20260807 -1.00 -1.00 5 532 0.8337 0.9712 0.003182
385.00 C 20260807 -1.00 -1.00 2 155 0.9038 0.9460 0.004850
387.50 C 20260807 -1.00 -1.00 22 1541 0.8509 0.9430 0.005395
390.00 C 20260807 -1.00 -1.00 7 824 0.7983 0.9396 0.006043
392.50 C 20260807 -1.00 -1.00 15 584 0.7360 0.9377 0.006731
395.00 C 20260807 -1.00 -1.00 620 832 0.5735 0.9606 0.005896
397.50 C 20260807 -1.00 -1.00 5 1299 0.6675 0.9115 0.009581
400.00 C 20260807 -1.00 -1.00 69 2709 0.5555 0.9246 0.010259
402.50 C 20260807 -1.00 -1.00 7 579 0.5654 0.8888 0.013452
405.00 C 20260807 -1.00 -1.00 35 1463 0.5270 0.8690 0.016364
407.50 C 20260807 -1.00 -1.00 7 283 0.4719 0.8453 0.020204
410.00 C 20260807 -1.00 -1.00 1035 2666 0.4895 0.7817 0.024441
412.50 C 20260807 -1.00 -1.00 32 445 0.4939 0.7111 0.027718
415.00 C 20260807 -1.00 -1.00 268 1346 0.4696 0.6462 0.032211
417.50 C 20260807 -1.00 -1.00 312 513 0.4514 0.5644 0.034992
420.00 C 20260807 -1.00 -1.00 1888 6727 0.4512 0.4772 0.035608
422.50 C 20260807 -1.00 -1.00 302 509 0.4566 0.3917 0.033905
425.00 C 20260807 -1.00 -1.00 673 1889 0.4503 0.3104 0.031437
427.50 C 20260807 -1.00 -1.00 516 871 0.4562 0.2378 0.027551
430.00 C 20260807 -1.00 -1.00 2109 2762 0.4448 0.1733 0.023031
432.50 C 20260807 -1.00 -1.00 760 736 0.4498 0.1242 0.018357
435.00 C 20260807 -1.00 -1.00 880 3355 0.4523 0.0871 0.013998
437.50 C 20260807 -1.00 -1.00 1005 839 0.4602 0.0608 0.010478
440.00 C 20260807 -1.00 -1.00 1562 3826 0.4662 0.0415 0.007574
