# opt_chain TXN | epoch 1786044856 | 2026-08-06 15:34:16 | spot 280.08 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 135 | band 0.4050 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
205.00 C 20260807 -1.00 -1.00 -1 0 3.2377 0.9645 0.001508
210.00 C 20260807 -1.00 -1.00 -1 0 3.0259 0.9622 0.001698
215.00 C 20260807 -1.00 -1.00 10 0 2.8191 0.9597 0.001922
220.00 C 20260807 -1.00 -1.00 26 17 2.5999 0.9578 0.002166
222.50 C 20260807 -1.00 -1.00 26 17 2.5180 0.9553 0.002346
225.00 C 20260807 -1.00 -1.00 -1 0 2.4199 0.9536 0.002517
227.50 C 20260807 -1.00 -1.00 -1 0 2.4593 0.9441 0.002905
230.00 C 20260807 -1.00 -1.00 -1 0 2.2440 0.9488 0.002948
232.50 C 20260807 -1.00 -1.00 -1 0 2.3235 0.9340 0.003491
235.00 C 20260807 -1.00 -1.00 5 1 2.0551 0.9445 0.003451
237.50 C 20260807 -1.00 -1.00 -1 0 1.9789 0.9409 0.003782
240.00 C 20260807 -1.00 -1.00 1 0 1.8206 0.9430 0.003980
242.50 C 20260807 -1.00 -1.00 -1 0 1.7791 0.9352 0.004511
245.00 C 20260807 -1.00 -1.00 2 1 1.7985 0.9164 0.005360
247.50 C 20260807 -1.00 -1.00 2 1 1.5342 0.9337 0.005317
250.00 C 20260807 -1.00 -1.00 1 15 1.4795 0.9226 0.006155
252.50 C 20260807 -1.00 -1.00 -1 0 1.3692 0.9194 0.006857
255.00 C 20260807 -1.00 -1.00 1 34 1.2879 0.9108 0.007852
257.50 C 20260807 -1.00 -1.00 20 10 1.2075 0.9012 0.009050
260.00 C 20260807 -1.00 -1.00 4 12 1.0725 0.9005 0.010247
262.50 C 20260807 -1.00 -1.00 2 4 1.0122 0.8846 0.012184
265.00 C 20260807 -1.00 -1.00 3 52 0.9415 0.8667 0.014538
267.50 C 20260807 -1.00 -1.00 42 56 0.5113 0.9526 0.012084
270.00 C 20260807 -1.00 -1.00 32 87 0.7149 0.8343 0.021896
272.50 C 20260807 -1.00 -1.00 15 9 0.7198 0.7733 0.026744
275.00 C 20260807 -1.00 -1.00 30 113 0.6516 0.7144 0.032862
277.50 C 20260807 -1.00 -1.00 72 198 0.6028 0.6369 0.039669
280.00 C 20260807 -1.00 -1.00 60 1310 0.5853 0.5346 0.043117
282.50 C 20260807 -1.00 -1.00 9 624 0.5377 0.4216 0.045897
285.00 C 20260807 -1.00 -1.00 76 1302 0.6156 0.3369 0.037644
287.50 C 20260807 -1.00 -1.00 13 581 0.6141 0.2491 0.032840
290.00 C 20260807 -1.00 -1.00 17 352 0.5773 0.1630 0.026876
292.50 C 20260807 -1.00 -1.00 5 1646 0.5890 0.1116 0.020306
295.00 C 20260807 -1.00 -1.00 70 177 0.6386 0.0869 0.015568
297.50 C 20260807 -1.00 -1.00 55 423 0.6102 0.0477 0.010173
300.00 C 20260807 -1.00 -1.00 34 200 0.6140 0.0278 0.006534
302.50 C 20260807 -1.00 -1.00 7 41 0.8125 0.0543 0.008498
305.00 C 20260807 -1.00 -1.00 20 49 0.7931 0.0315 0.005662
307.50 C 20260807 -1.00 -1.00 128 78 0.7131 0.0114 0.002629
310.00 C 20260807 -1.00 -1.00 2 77 0.9599 0.0334 0.004911
312.50 C 20260807 -1.00 -1.00 1 18 0.9869 0.0281 0.004103
315.00 C 20260807 -1.00 -1.00 12 184 1.0043 0.0224 0.003304
317.50 C 20260807 -1.00 -1.00 10 91 1.2016 0.0357 0.004128
320.00 C 20260807 -1.00 -1.00 88 434 1.2876 0.0374 0.003988
322.50 C 20260807 -1.00 -1.00 125 132 1.3701 0.0385 0.003830
325.00 C 20260807 -1.00 -1.00 182 277 1.1738 0.0131 0.001809
