# opt_chain AMD | epoch 1786110860 | 2026-08-07 09:54:20 | spot 488.93 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 77 | band 0.6000 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
295.00 C 20260807 -1.00 -1.00 1 7 -1.0000 -1.0000 -1.000000
300.00 C 20260807 -1.00 -1.00 31 16 -1.0000 -1.0000 -1.000000
305.00 C 20260807 -1.00 -1.00 1 8 -1.0000 -1.0000 -1.000000
310.00 C 20260807 -1.00 -1.00 2 27 9.4442 0.9423 0.000748
315.00 C 20260807 -1.00 -1.00 2 9 -1.0000 -1.0000 -1.000000
317.50 C 20260807 -1.00 -1.00 2 1 5.3738 0.9930 0.000220
320.00 C 20260807 -1.00 -1.00 10 14 -1.0000 -1.0000 -1.000000
322.50 C 20260807 -1.00 -1.00 -1 0 6.8512 0.9711 0.000585
325.00 C 20260807 -1.00 -1.00 1 18 -1.0000 -1.0000 -1.000000
327.50 C 20260807 -1.00 -1.00 -1 0 7.2247 0.9589 0.000741
330.00 C 20260807 -1.00 -1.00 9 19 -1.0000 -1.0000 -1.000000
332.50 C 20260807 -1.00 -1.00 -1 0 6.2918 0.9716 0.000629
335.00 C 20260807 -1.00 -1.00 21 13 -1.0000 -1.0000 -1.000000
337.50 C 20260807 -1.00 -1.00 -1 0 4.7682 0.9913 0.000302
340.00 C 20260807 -1.00 -1.00 1 62 -1.0000 -1.0000 -1.000000
342.50 C 20260807 -1.00 -1.00 -1 0 5.9627 0.9672 0.000746
345.00 C 20260807 -1.00 -1.00 50 63 4.3547 0.9923 0.000294
347.50 C 20260807 -1.00 -1.00 -1 0 8.5987 0.9038 0.001220
350.00 C 20260807 -1.00 -1.00 2 35 7.2005 0.9290 0.001148
352.50 C 20260807 -1.00 -1.00 -1 0 7.6750 0.9138 0.001251
355.00 C 20260807 -1.00 -1.00 9 11 -1.0000 -1.0000 -1.000000
357.50 C 20260807 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
360.00 C 20260807 -1.00 -1.00 9 28 5.4528 0.9572 0.001015
362.50 C 20260807 -1.00 -1.00 8 8 3.5584 0.9941 0.000283
365.00 C 20260807 -1.00 -1.00 11 26 -1.0000 -1.0000 -1.000000
367.50 C 20260807 -1.00 -1.00 2 3 5.3864 0.9489 0.001196
370.00 C 20260807 -1.00 -1.00 4 28 6.2606 0.9176 0.001478
372.50 C 20260807 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
375.00 C 20260807 -1.00 -1.00 2 12 7.1350 0.8853 0.001674
377.50 C 20260807 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
380.00 C 20260807 -1.00 -1.00 24 61 -1.0000 -1.0000 -1.000000
382.50 C 20260807 -1.00 -1.00 8 47 4.9166 0.9376 0.001535
385.00 C 20260807 -1.00 -1.00 5 17 -1.0000 -1.0000 -1.000000
387.50 C 20260807 -1.00 -1.00 8 9 -1.0000 -1.0000 -1.000000
390.00 C 20260807 -1.00 -1.00 12 30 4.4573 0.9396 0.001656
392.50 C 20260807 -1.00 -1.00 1 7 5.6144 0.8903 0.002066
395.00 C 20260807 -1.00 -1.00 8 21 2.7604 0.9896 0.000611
397.50 C 20260807 -1.00 -1.00 22 11 -1.0000 -1.0000 -1.000000
400.00 C 20260807 -1.00 -1.00 123 133 2.3141 0.9947 0.000395
402.50 C 20260807 -1.00 -1.00 2 4 -1.0000 -1.0000 -1.000000
405.00 C 20260807 -1.00 -1.00 10 18 -1.0000 -1.0000 -1.000000
407.50 C 20260807 -1.00 -1.00 7 26 3.6017 0.9356 0.002149
410.00 C 20260807 -1.00 -1.00 90 175 2.1935 0.9908 0.000689
412.50 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
415.00 C 20260807 -1.00 -1.00 2 32 0.0002 1.0000 -0.000000
417.50 C 20260807 -1.00 -1.00 2 42 -1.0000 -1.0000 -1.000000
420.00 C 20260807 -1.00 -1.00 204 173 -1.0000 -1.0000 -1.000000
422.50 C 20260807 -1.00 -1.00 2 4 3.9715 0.8664 0.003330
425.00 C 20260807 -1.00 -1.00 1 34 -1.0000 -1.0000 -1.000000
427.50 C 20260807 -1.00 -1.00 9 524 1.7539 0.9866 0.001190
430.00 C 20260807 -1.00 -1.00 2 190 3.4361 0.8669 0.003843
432.50 C 20260807 -1.00 -1.00 13 47 -1.0000 -1.0000 -1.000000
435.00 C 20260807 -1.00 -1.00 15 59 2.4597 0.9140 0.003883
437.50 C 20260807 -1.00 -1.00 1 2484 2.3801 0.9093 0.004175
440.00 C 20260807 -1.00 -1.00 2 226 3.3298 0.8241 0.004748
442.50 C 20260807 -1.00 -1.00 11 535 -1.0000 -1.0000 -1.000000
445.00 C 20260807 -1.00 -1.00 34 566 1.0690 0.9931 0.001076
447.50 C 20260807 -1.00 -1.00 4 52 3.3427 0.7848 0.005424
450.00 C 20260807 -1.00 -1.00 16 1039 1.0539 0.9857 0.002090
452.50 C 20260807 -1.00 -1.00 4 1736 1.8677 0.8779 0.006705
455.00 C 20260807 -1.00 -1.00 228 967 -1.0000 -1.0000 -1.000000
457.50 C 20260807 -1.00 -1.00 1 1020 -1.0000 -1.0000 -1.000000
460.00 C 20260807 -1.00 -1.00 15 670 0.7506 0.9855 0.002969
462.50 C 20260807 -1.00 -1.00 4 548 1.5054 0.8376 0.009959
465.00 C 20260807 -1.00 -1.00 7 248 0.9012 0.9276 0.009375
467.50 C 20260807 -1.00 -1.00 3 2344 0.8988 0.8980 0.012079
470.00 C 20260807 -1.00 -1.00 10 735 1.1660 0.8030 0.014595
472.50 C 20260807 -1.00 -1.00 4 353 0.8602 0.8312 0.017863
475.00 C 20260807 -1.00 -1.00 18 1880 1.1863 0.7166 0.017440
477.50 C 20260807 -1.00 -1.00 13 1032 0.8862 0.7194 0.023237
480.00 C 20260807 -1.00 -1.00 137 1120 0.8698 0.6621 0.026000
482.50 C 20260807 -1.00 -1.00 80 749 0.8710 0.5945 0.027237
485.00 C 20260807 -1.00 -1.00 212 2252 0.7509 0.5278 0.032691
487.50 C 20260807 -1.00 -1.00 88 1324 0.8898 0.4578 0.027320
490.00 C 20260807 -1.00 -1.00 1697 2909 0.7649 0.3709 0.030586
492.50 C 20260807 -1.00 -1.00 363 756 0.9064 0.3313 0.024596
495.00 C 20260807 -1.00 -1.00 901 4208 0.9243 0.2782 0.022200
497.50 C 20260807 -1.00 -1.00 350 1006 0.8480 0.2060 0.020601
500.00 C 20260807 -1.00 -1.00 1770 7824 1.3086 0.2632 0.015307
502.50 C 20260807 -1.00 -1.00 242 896 0.9463 0.1460 0.014892
505.00 C 20260807 -1.00 -1.00 497 2520 0.9549 0.1169 0.012585
507.50 C 20260807 -1.00 -1.00 471 2491 1.2451 0.1525 0.011617
510.00 C 20260807 -1.00 -1.00 1054 4042 0.9782 0.0693 0.008408
512.50 C 20260807 -1.00 -1.00 129 540 1.0703 0.0686 0.007621
515.00 C 20260807 -1.00 -1.00 512 4256 0.9547 0.0338 0.004821
517.50 C 20260807 -1.00 -1.00 142 963 1.0291 0.0330 0.004399
520.00 C 20260807 -1.00 -1.00 940 4306 1.0362 0.0260 0.003538
522.50 C 20260807 -1.00 -1.00 71 1106 1.2082 0.0370 0.004079
525.00 C 20260807 -1.00 -1.00 693 2856 1.0736 0.0156 0.002213
527.50 C 20260807 -1.00 -1.00 42 895 1.2059 0.0220 0.002632
530.00 C 20260807 -1.00 -1.00 500 5490 1.0924 0.0089 0.001333
532.50 C 20260807 -1.00 -1.00 23 654 1.1432 0.0086 0.001226
535.00 C 20260807 -1.00 -1.00 114 2895 1.2200 0.0094 0.001253
537.50 C 20260807 -1.00 -1.00 8 533 1.2439 0.0079 0.001051
540.00 C 20260807 -1.00 -1.00 202 3901 1.2546 0.0059 0.000802
542.50 C 20260807 -1.00 -1.00 8 334 1.3176 0.0063 0.000806
545.00 C 20260807 -1.00 -1.00 112 1259 1.2566 0.0031 0.000452
547.50 C 20260807 -1.00 -1.00 6 365 1.3905 0.0048 0.000606
550.00 C 20260807 -1.00 -1.00 267 8185 1.3443 0.0029 0.000398
552.50 C 20260807 -1.00 -1.00 199 392 1.4590 0.0040 0.000490
555.00 C 20260807 -1.00 -1.00 33 2897 1.3955 0.0022 0.000290
557.50 C 20260807 -1.00 -1.00 5 380 1.5452 0.0038 0.000440
560.00 C 20260807 -1.00 -1.00 36 2926 1.4817 0.0020 0.000260
562.50 C 20260807 -1.00 -1.00 143 274 1.7468 0.0063 0.000613
565.00 C 20260807 -1.00 -1.00 2 1637 1.7082 0.0040 0.000418
