# opt_chain AMZN | epoch 1786106728 | 2026-08-07 08:45:28 | spot 273.25 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 987 | band 0.2700 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
225.00 C 20260807 -1.00 -1.00 24 447 -1.0000 -1.0000 -1.000000
227.50 C 20260807 -1.00 -1.00 109 140 -1.0000 -1.0000 -1.000000
230.00 C 20260807 -1.00 -1.00 31 863 -1.0000 -1.0000 -1.000000
232.50 C 20260807 -1.00 -1.00 6 2225 -1.0000 -1.0000 -1.000000
235.00 C 20260807 -1.00 -1.00 291 2745 -1.0000 -1.0000 -1.000000
237.50 C 20260807 -1.00 -1.00 31 309 -1.0000 -1.0000 -1.000000
240.00 C 20260807 -1.00 -1.00 100 3001 -1.0000 -1.0000 -1.000000
242.50 C 20260807 -1.00 -1.00 82 346 -1.0000 -1.0000 -1.000000
245.00 C 20260807 -1.00 -1.00 485 2408 -1.0000 -1.0000 -1.000000
247.50 C 20260807 -1.00 -1.00 285 482 -1.0000 -1.0000 -1.000000
250.00 C 20260807 -1.00 -1.00 475 3948 -1.0000 -1.0000 -1.000000
252.50 C 20260807 -1.00 -1.00 172 450 -1.0000 -1.0000 -1.000000
255.00 C 20260807 -1.00 -1.00 776 2981 -1.0000 -1.0000 -1.000000
257.50 C 20260807 -1.00 -1.00 1160 746 -1.0000 -1.0000 -1.000000
260.00 C 20260807 -1.00 -1.00 2372 5023 -1.0000 -1.0000 -1.000000
262.50 C 20260807 -1.00 -1.00 2829 910 -1.0000 -1.0000 -1.000000
265.00 C 20260807 -1.00 -1.00 736 5127 -1.0000 -1.0000 -1.000000
267.50 C 20260807 -1.00 -1.00 3062 2025 -1.0000 -1.0000 -1.000000
270.00 C 20260807 -1.00 -1.00 7458 8617 -1.0000 -1.0000 -1.000000
272.50 C 20260807 -1.00 -1.00 13540 10613 0.3054 0.6765 0.121567
275.00 C 20260807 -1.00 -1.00 31350 16777 0.3914 0.3844 0.101029
277.50 C 20260807 -1.00 -1.00 12875 8354 0.4397 0.2022 0.065992
280.00 C 20260807 -1.00 -1.00 22724 18546 0.4749 0.0969 0.036915
282.50 C 20260807 -1.00 -1.00 4512 10320 0.5177 0.0468 0.019259
285.00 C 20260807 -1.00 -1.00 12242 10543 0.5544 0.0218 0.009558
287.50 C 20260807 -1.00 -1.00 3447 4512 0.5908 0.0100 0.004587
290.00 C 20260807 -1.00 -1.00 6255 11946 0.6569 0.0069 0.002967
292.50 C 20260807 -1.00 -1.00 451 1625 0.7449 0.0062 0.002368
295.00 C 20260807 -1.00 -1.00 832 5908 0.8321 0.0056 0.001946
297.50 C 20260807 -1.00 -1.00 67 1104 0.9186 0.0051 0.001637
300.00 C 20260807 -1.00 -1.00 1276 13743 1.0044 0.0048 0.001402
302.50 C 20260807 -1.00 -1.00 64 323 1.1336 0.0068 0.001678
305.00 C 20260807 -1.00 -1.00 92 8087 1.1682 0.0042 0.001075
307.50 C 20260807 -1.00 -1.00 22 453 1.2794 0.0050 0.001142
310.00 C 20260807 -1.00 -1.00 261 2734 1.3156 0.0037 0.000857
312.50 C 20260807 -1.00 -1.00 28 75 1.4880 0.0062 0.001195
315.00 C 20260807 -1.00 -1.00 1 1057 1.5203 0.0043 0.000846
317.50 C 20260807 -1.00 -1.00 171 155 1.5325 0.0032 0.000642
320.00 C 20260807 -1.00 -1.00 1 1023 1.6036 0.0031 0.000590
225.00 P 20260807 -1.00 -1.00 51 3873 2.0818 -0.0031 0.000457
227.50 P 20260807 -1.00 -1.00 20 816 2.0336 -0.0039 0.000578
230.00 P 20260807 -1.00 -1.00 6 13622 1.8075 -0.0027 0.000462
232.50 P 20260807 -1.00 -1.00 9 1091 1.7074 -0.0028 0.000515
235.00 P 20260807 -1.00 -1.00 71 1040 1.6083 -0.0030 0.000577
