# opt_chain GOOGL | epoch 1786129438 | 2026-08-07 15:03:58 | spot 354.18 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 117 | band 0.2700 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
295.00 C 20260807 -1.00 -1.00 16 41 4.4483 0.9640 0.002118
297.50 C 20260807 -1.00 -1.00 16 10 4.3369 0.9604 0.002345
300.00 C 20260807 -1.00 -1.00 20 84 3.2297 0.9879 0.001167
302.50 C 20260807 -1.00 -1.00 18 13 3.9277 0.9598 0.002623
305.00 C 20260807 -1.00 -1.00 19 26 3.4744 0.9707 0.002312
307.50 C 20260807 -1.00 -1.00 17 15 2.8526 0.9840 0.001662
310.00 C 20260807 -1.00 -1.00 350 134 3.1397 0.9681 0.002734
312.50 C 20260807 -1.00 -1.00 347 24 3.1605 0.9568 0.003456
315.00 C 20260807 -1.00 -1.00 12 139 2.8722 0.9613 0.003476
317.50 C 20260807 -1.00 -1.00 14 25 2.6785 0.9611 0.003743
320.00 C 20260807 -1.00 -1.00 25 441 2.4863 0.9609 0.004049
322.50 C 20260807 -1.00 -1.00 21 93 -1.0000 -1.0000 -1.000000
325.00 C 20260807 -1.00 -1.00 70 432 -1.0000 -1.0000 -1.000000
327.50 C 20260807 -1.00 -1.00 24 260 -1.0000 -1.0000 -1.000000
330.00 C 20260807 -1.00 -1.00 44 807 -1.0000 -1.0000 -1.000000
332.50 C 20260807 -1.00 -1.00 10 243 -1.0000 -1.0000 -1.000000
335.00 C 20260807 -1.00 -1.00 83 688 -1.0000 -1.0000 -1.000000
337.50 C 20260807 -1.00 -1.00 85 380 -1.0000 -1.0000 -1.000000
340.00 C 20260807 -1.00 -1.00 107 2711 -1.0000 -1.0000 -1.000000
342.50 C 20260807 -1.00 -1.00 69 1435 0.8217 0.9589 0.012746
345.00 C 20260807 -1.00 -1.00 224 697 -1.0000 -1.0000 -1.000000
347.50 C 20260807 -1.00 -1.00 244 2178 0.0001 1.0000 0.000000
350.00 C 20260807 -1.00 -1.00 711 3118 -1.0000 -1.0000 -1.000000
352.50 C 20260807 -1.00 -1.00 1395 1815 0.1836 0.8626 0.144803
355.00 C 20260807 -1.00 -1.00 14902 2665 0.1756 0.2850 0.231737
357.50 C 20260807 -1.00 -1.00 30604 4325 0.2204 0.0338 0.040908
360.00 C 20260807 -1.00 -1.00 37458 6643 0.3234 0.0152 0.014052
362.50 C 20260807 -1.00 -1.00 10342 2832 0.4417 0.0116 0.008204
365.00 C 20260807 -1.00 -1.00 12357 4592 0.5482 0.0094 0.005481
367.50 C 20260807 -1.00 -1.00 6032 5380 0.6539 0.0080 0.003959
370.00 C 20260807 -1.00 -1.00 2701 9477 0.7588 0.0070 0.003019
372.50 C 20260807 -1.00 -1.00 918 3639 0.8631 0.0062 0.002395
375.00 C 20260807 -1.00 -1.00 709 8447 0.9666 0.0056 0.001959
377.50 C 20260807 -1.00 -1.00 370 2210 1.0695 0.0051 0.001640
380.00 C 20260807 -1.00 -1.00 1098 8787 1.1716 0.0047 0.001400
382.50 C 20260807 -1.00 -1.00 652 1933 1.2731 0.0044 0.001214
385.00 C 20260807 -1.00 -1.00 100 6197 1.3690 0.0041 0.001066
387.50 C 20260807 -1.00 -1.00 5 1495 1.4577 0.0039 0.000945
390.00 C 20260807 -1.00 -1.00 64 5070 1.5460 0.0037 0.000845
392.50 C 20260807 -1.00 -1.00 7 302 1.6984 0.0044 0.000913
