# opt_chain INTC | epoch 1786129440 | 2026-08-07 15:04:00 | spot 101.29 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 119 | band 0.6000 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
62.00 C 20260807 -1.00 -1.00 100 29 -1.0000 -1.0000 -1.000000
63.00 C 20260807 -1.00 -1.00 114 29 -1.0000 -1.0000 -1.000000
64.00 C 20260807 -1.00 -1.00 34 12 -1.0000 -1.0000 -1.000000
65.00 C 20260807 -1.00 -1.00 44 174 6.9851 0.9975 0.000467
66.00 C 20260807 -1.00 -1.00 19 52 -1.0000 -1.0000 -1.000000
67.00 C 20260807 -1.00 -1.00 33 61 -1.0000 -1.0000 -1.000000
68.00 C 20260807 -1.00 -1.00 90 69 -1.0000 -1.0000 -1.000000
69.00 C 20260807 -1.00 -1.00 112 11 -1.0000 -1.0000 -1.000000
70.00 C 20260807 -1.00 -1.00 471 534 -1.0000 -1.0000 -1.000000
71.00 C 20260807 -1.00 -1.00 131 125 -1.0000 -1.0000 -1.000000
72.00 C 20260807 -1.00 -1.00 239 114 -1.0000 -1.0000 -1.000000
73.00 C 20260807 -1.00 -1.00 181 17 -1.0000 -1.0000 -1.000000
74.00 C 20260807 -1.00 -1.00 195 5 -1.0000 -1.0000 -1.000000
75.00 C 20260807 -1.00 -1.00 174 65 4.9142 0.9965 0.000902
76.00 C 20260807 -1.00 -1.00 181 33 -1.0000 -1.0000 -1.000000
77.00 C 20260807 -1.00 -1.00 190 34 -1.0000 -1.0000 -1.000000
78.00 C 20260807 -1.00 -1.00 66 29 -1.0000 -1.0000 -1.000000
79.00 C 20260807 -1.00 -1.00 57 22 -1.0000 -1.0000 -1.000000
80.00 C 20260807 -1.00 -1.00 34 500 -1.0000 -1.0000 -1.000000
81.00 C 20260807 -1.00 -1.00 30 31 -1.0000 -1.0000 -1.000000
82.00 C 20260807 -1.00 -1.00 243 308 -1.0000 -1.0000 -1.000000
83.00 C 20260807 -1.00 -1.00 48 391 -1.0000 -1.0000 -1.000000
84.00 C 20260807 -1.00 -1.00 221 6047 -1.0000 -1.0000 -1.000000
85.00 C 20260807 -1.00 -1.00 748 934 2.9495 0.9945 0.002222
86.00 C 20260807 -1.00 -1.00 916 2202 2.7660 0.9941 0.002495
87.00 C 20260807 -1.00 -1.00 5681 5605 -1.0000 -1.0000 -1.000000
88.00 C 20260807 -1.00 -1.00 631 1155 -1.0000 -1.0000 -1.000000
89.00 C 20260807 -1.00 -1.00 5545 5422 -1.0000 -1.0000 -1.000000
90.00 C 20260807 -1.00 -1.00 309 2913 -1.0000 -1.0000 -1.000000
91.00 C 20260807 -1.00 -1.00 232 2330 -1.0000 -1.0000 -1.000000
91.50 C 20260807 -1.00 -1.00 48 179 -1.0000 -1.0000 -1.000000
92.00 C 20260807 -1.00 -1.00 1093 1884 -1.0000 -1.0000 -1.000000
92.50 C 20260807 -1.00 -1.00 118 592 -1.0000 -1.0000 -1.000000
93.00 C 20260807 -1.00 -1.00 124 947 -1.0000 -1.0000 -1.000000
94.00 C 20260807 -1.00 -1.00 138 737 -1.0000 -1.0000 -1.000000
95.00 C 20260807 -1.00 -1.00 842 5606 -1.0000 -1.0000 -1.000000
96.00 C 20260807 -1.00 -1.00 1218 3297 -1.0000 -1.0000 -1.000000
97.00 C 20260807 -1.00 -1.00 685 1971 -1.0000 -1.0000 -1.000000
98.00 C 20260807 -1.00 -1.00 2336 3068 -1.0000 -1.0000 -1.000000
99.00 C 20260807 -1.00 -1.00 8409 1649 -1.0000 -1.0000 -1.000000
100.00 C 20260807 -1.00 -1.00 25775 11663 0.4219 0.8384 0.243793
101.00 C 20260807 -1.00 -1.00 23093 3702 0.4170 0.4968 0.408460
102.00 C 20260807 -1.00 -1.00 29109 6166 0.4519 0.1775 0.241509
103.00 C 20260807 -1.00 -1.00 16429 3290 0.5433 0.0616 0.094400
104.00 C 20260807 -1.00 -1.00 17359 7408 0.6393 0.0254 0.038799
105.00 C 20260807 -1.00 -1.00 13557 14199 0.8076 0.0206 0.025514
