# opt_chain MSFT | epoch 1786125691 | 2026-08-07 14:01:31 | spot 500.24 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 89 | band 0.4050 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
367.50 C 20260807 -1.00 -1.00 6 23 -1.0000 -1.0000 -1.000000
370.00 C 20260807 -1.00 -1.00 162 444 -1.0000 -1.0000 -1.000000
372.50 C 20260807 -1.00 -1.00 8 76 -1.0000 -1.0000 -1.000000
375.00 C 20260807 -1.00 -1.00 14 354 4.8688 0.9910 0.000384
377.50 C 20260807 -1.00 -1.00 8 28 3.8365 0.9982 0.000115
380.00 C 20260807 -1.00 -1.00 1 381 -1.0000 -1.0000 -1.000000
382.50 C 20260807 -1.00 -1.00 14 162 -1.0000 -1.0000 -1.000000
385.00 C 20260807 -1.00 -1.00 6 491 3.5842 0.9980 0.000131
387.50 C 20260807 -1.00 -1.00 3 306 -1.0000 -1.0000 -1.000000
390.00 C 20260807 -1.00 -1.00 86 2973 3.4188 0.9980 0.000142
392.50 C 20260807 -1.00 -1.00 5 338 2.8440 0.9997 0.000031
395.00 C 20260807 -1.00 -1.00 22 890 4.1925 0.9875 0.000594
397.50 C 20260807 -1.00 -1.00 4 245 3.4313 0.9963 0.000246
400.00 C 20260807 -1.00 -1.00 80 3152 3.3420 0.9962 0.000258
402.50 C 20260807 -1.00 -1.00 79 98 3.4485 0.9934 0.000409
405.00 C 20260807 -1.00 -1.00 20 442 3.8277 0.9852 0.000746
407.50 C 20260807 -1.00 -1.00 6 109 -1.0000 -1.0000 -1.000000
410.00 C 20260807 -1.00 -1.00 23 575 2.7777 0.9976 0.000207
412.50 C 20260807 -1.00 -1.00 5 548 -1.0000 -1.0000 -1.000000
415.00 C 20260807 -1.00 -1.00 18 1180 -1.0000 -1.0000 -1.000000
417.50 C 20260807 -1.00 -1.00 3 65 -1.0000 -1.0000 -1.000000
420.00 C 20260807 -1.00 -1.00 70 2498 2.7427 0.9937 0.000494
422.50 C 20260807 -1.00 -1.00 6 71 2.7532 0.9918 0.000619
425.00 C 20260807 -1.00 -1.00 42 1976 2.4786 0.9951 0.000434
427.50 C 20260807 -1.00 -1.00 10 132 -1.0000 -1.0000 -1.000000
430.00 C 20260807 -1.00 -1.00 128 3865 -1.0000 -1.0000 -1.000000
432.50 C 20260807 -1.00 -1.00 7 115 2.6373 0.9843 0.001137
435.00 C 20260807 -1.00 -1.00 70 806 -1.0000 -1.0000 -1.000000
437.50 C 20260807 -1.00 -1.00 22 108 -1.0000 -1.0000 -1.000000
440.00 C 20260807 -1.00 -1.00 128 1670 2.6707 0.9711 0.001921
442.50 C 20260807 -1.00 -1.00 128 331 2.1471 0.9875 0.001163
445.00 C 20260807 -1.00 -1.00 35 408 2.4597 0.9690 0.002199
447.50 C 20260807 -1.00 -1.00 8 240 2.0450 0.9825 0.001613
450.00 C 20260807 -1.00 -1.00 425 2468 1.8757 0.9859 0.001466
452.50 C 20260807 -1.00 -1.00 11 708 1.9440 0.9770 0.002151
455.00 C 20260807 -1.00 -1.00 74 3058 1.7760 0.9801 0.002075
457.50 C 20260807 -1.00 -1.00 61 1919 1.6480 0.9814 0.002105
460.00 C 20260807 -1.00 -1.00 279 2859 1.3519 0.9916 0.001296
462.50 C 20260807 -1.00 -1.00 71 890 1.4723 0.9794 0.002574
465.00 C 20260807 -1.00 -1.00 269 1471 0.8590 0.9995 0.000146
467.50 C 20260807 -1.00 -1.00 21 1404 1.3762 0.9715 0.003678
470.00 C 20260807 -1.00 -1.00 321 9562 1.2124 0.9754 0.003659
472.50 C 20260807 -1.00 -1.00 67 1129 0.9704 0.9885 0.002403
475.00 C 20260807 -1.00 -1.00 587 2241 0.9643 0.9790 0.004004
477.50 C 20260807 -1.00 -1.00 78 686 0.9520 0.9693 0.005658
480.00 C 20260807 -1.00 -1.00 686 2796 0.7955 0.9749 0.005670
482.50 C 20260807 -1.00 -1.00 286 1494 0.9445 0.9247 0.011624
485.00 C 20260807 -1.00 -1.00 257 1477 -1.0000 -1.0000 -1.000000
487.50 C 20260807 -1.00 -1.00 82 266 0.5292 0.9641 0.011467
490.00 C 20260807 -1.00 -1.00 1032 3636 0.4154 0.9654 0.014219
492.50 C 20260807 -1.00 -1.00 315 966 0.3590 0.9388 0.026145
495.00 C 20260807 -1.00 -1.00 1910 3952 0.2767 0.8994 0.049004
497.50 C 20260807 -1.00 -1.00 1463 1352 0.2344 0.7542 0.104486
500.00 C 20260807 -1.00 -1.00 16482 8766 0.2115 0.4400 0.144213
502.50 C 20260807 -1.00 -1.00 30237 2337 0.2149 0.1475 0.083273
505.00 C 20260807 -1.00 -1.00 82217 5324 0.2409 0.0421 0.028573
507.50 C 20260807 -1.00 -1.00 29749 4132 0.2739 0.0120 0.008811
510.00 C 20260807 -1.00 -1.00 63380 6762 0.3431 0.0097 0.005777
512.50 C 20260807 -1.00 -1.00 12276 2691 0.4120 0.0082 0.004120
515.00 C 20260807 -1.00 -1.00 4494 4871 0.4805 0.0071 0.003111
517.50 C 20260807 -1.00 -1.00 2569 822 0.5487 0.0063 0.002449
520.00 C 20260807 -1.00 -1.00 4374 4089 0.6166 0.0057 0.001990
522.50 C 20260807 -1.00 -1.00 417 724 0.7011 0.0065 0.001985
525.00 C 20260807 -1.00 -1.00 748 3997 0.7513 0.0048 0.001407
527.50 C 20260807 -1.00 -1.00 7 97 0.9596 0.0135 0.002779
530.00 C 20260807 -1.00 -1.00 498 4067 0.8826 0.0041 0.001063
532.50 C 20260807 -1.00 -1.00 5 50 1.0186 0.0078 0.001593
535.00 C 20260807 -1.00 -1.00 87 766 0.9999 0.0037 0.000838
537.50 C 20260807 -1.00 -1.00 15 41 1.2173 0.0101 0.001682
540.00 C 20260807 -1.00 -1.00 13 1318 1.1623 0.0042 0.000817
542.50 C 20260807 -1.00 -1.00 5 85 1.4141 0.0117 0.001666
545.00 C 20260807 -1.00 -1.00 206 1171 1.3110 0.0046 0.000784
547.50 C 20260807 -1.00 -1.00 1 9 -1.0000 -1.0000 -1.000000
550.00 C 20260807 -1.00 -1.00 6 1072 2.1403 0.0440 0.003334
552.50 C 20260807 -1.00 -1.00 4 17 1.8211 0.0168 0.001749
560.00 C 20260807 -1.00 -1.00 2 2142 1.5704 0.0024 0.000358
570.00 C 20260807 -1.00 -1.00 1 23 -1.0000 -1.0000 -1.000000
580.00 C 20260807 -1.00 -1.00 35 58 2.2998 0.0061 0.000570
590.00 C 20260807 -1.00 -1.00 1 23 2.7163 0.0095 0.000718
600.00 C 20260807 -1.00 -1.00 103 200 2.4763 0.0021 0.000198
610.00 C 20260807 -1.00 -1.00 1 2 -1.0000 -1.0000 -1.000000
620.00 C 20260807 -1.00 -1.00 1 6 -1.0000 -1.0000 -1.000000
630.00 C 20260807 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
367.50 P 20260807 -1.00 -1.00 6 208 5.2084 -0.0089 0.000354
