# opt_chain NFLX | epoch 1786120166 | 2026-08-07 12:29:26 | spot 73.94 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 86 | band 0.2700 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
61.00 C 20260807 -1.00 -1.00 34 80 4.1330 0.9526 0.011077
62.00 C 20260807 -1.00 -1.00 59 11 3.6096 0.9591 0.011206
63.00 C 20260807 -1.00 -1.00 37 203 3.8067 0.9369 0.015259
64.00 C 20260807 -1.00 -1.00 6 26 3.5661 0.9279 0.017908
65.00 C 20260807 -1.00 -1.00 15 154 2.8132 0.9487 0.017354
66.00 C 20260807 -1.00 -1.00 8 157 2.6758 0.9375 0.021598
67.00 C 20260807 -1.00 -1.00 270 1318 2.5226 0.9186 0.027668
68.00 C 20260807 -1.00 -1.00 137 1115 1.6995 0.9596 0.023580
69.00 C 20260807 -1.00 -1.00 161 744 1.6722 0.9314 0.036978
70.00 C 20260807 -1.00 -1.00 259 3405 1.2167 0.9456 0.042083
71.00 C 20260807 -1.00 -1.00 524 1599 1.1135 0.9038 0.070944
72.00 C 20260807 -1.00 -1.00 564 3425 0.5641 0.9561 0.075949
73.00 C 20260807 -1.00 -1.00 7340 9821 0.3596 0.9116 0.206376
74.00 C 20260807 -1.00 -1.00 16731 12459 0.2551 0.5282 0.731246
75.00 C 20260807 -1.00 -1.00 21344 24210 0.3415 0.0986 0.235476
76.00 C 20260807 -1.00 -1.00 5541 14733 0.4988 0.0347 0.071515
77.00 C 20260807 -1.00 -1.00 784 10668 0.6937 0.0259 0.040168
78.00 C 20260807 -1.00 -1.00 3130 9098 0.8775 0.0209 0.026352
79.00 C 20260807 -1.00 -1.00 194 2185 1.0589 0.0177 0.018951
80.00 C 20260807 -1.00 -1.00 291 11098 1.2813 0.0194 0.016874
81.00 C 20260807 -1.00 -1.00 5 1515 1.4148 0.0138 0.011569
82.00 C 20260807 -1.00 -1.00 1 961 1.5849 0.0126 0.009543
83.00 C 20260807 -1.00 -1.00 3 1085 1.7356 0.0115 0.008049
84.00 C 20260807 -1.00 -1.00 3 2048 1.8845 0.0107 0.006904
85.00 C 20260807 -1.00 -1.00 4 1757 3.1431 0.0699 0.019944
86.00 C 20260807 -1.00 -1.00 11 831 2.1771 0.0093 0.005289
87.00 C 20260807 -1.00 -1.00 2 471 2.3209 0.0088 0.004705
61.00 P 20260807 -1.00 -1.00 1 409 2.9008 -0.0090 0.003877
62.00 P 20260807 -1.00 -1.00 1 406 2.6925 -0.0097 0.004463
63.00 P 20260807 -1.00 -1.00 3 951 2.3732 -0.0083 0.004406
64.00 P 20260807 -1.00 -1.00 22 2468 2.1725 -0.0091 0.005201
