# opt_chain NOK | epoch 1786112778 | 2026-08-07 10:26:18 | spot 9.40 | exps 20260807 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 137 | band 0.6000 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
6.00 C 20260807 -1.00 -1.00 1 76 -1.0000 -1.0000 -1.000000
7.00 C 20260807 -1.00 -1.00 1 585 8.7076 0.8767 0.076320
7.50 C 20260807 -1.00 -1.00 1 50 -1.0000 -1.0000 -1.000000
8.00 C 20260807 -1.00 -1.00 17 681 3.1501 0.9430 0.118942
8.50 C 20260807 -1.00 -1.00 65 662 2.0398 0.9311 0.212791
9.00 C 20260807 -1.00 -1.00 144 6443 0.9525 0.8971 0.611674
9.50 C 20260807 -1.00 -1.00 2679 10721 1.0745 0.3438 1.126573
10.00 C 20260807 -1.00 -1.00 913 17605 1.4029 0.0773 0.337709
10.50 C 20260807 -1.00 -1.00 1817 14397 2.4951 0.0860 0.204889
11.00 C 20260807 -1.00 -1.00 4 13326 3.4524 0.0844 0.146396
11.50 C 20260807 -1.00 -1.00 136 4756 3.4400 0.0364 0.075844
12.00 C 20260807 -1.00 -1.00 1 9349 3.9881 0.0321 0.058718
12.50 C 20260807 -1.00 -1.00 1 3538 4.4888 0.0289 0.047488
13.00 C 20260807 -1.00 -1.00 2 1721 4.9703 0.0264 0.039659
6.00 P 20260807 -1.00 -1.00 1 86 7.2251 -0.0219 0.023644
7.00 P 20260807 -1.00 -1.00 3 805 5.1668 -0.0361 0.049556
7.50 P 20260807 -1.00 -1.00 522 529 3.9485 -0.0380 0.067711
8.00 P 20260807 -1.00 -1.00 49 12216 2.8103 -0.0403 0.099708
8.50 P 20260807 -1.00 -1.00 24 5647 2.0419 -0.0691 0.213097
9.00 P 20260807 -1.00 -1.00 22 15110 1.1225 -0.1383 0.645255
9.50 P 20260807 -1.00 -1.00 639 2258 0.6585 -0.7507 1.582888
10.00 P 20260807 -1.00 -1.00 27 2823 -1.0000 -1.0000 -1.000000
10.50 P 20260807 -1.00 -1.00 2 397 -1.0000 -1.0000 -1.000000
11.00 P 20260807 -1.00 -1.00 5 236 -1.0000 -1.0000 -1.000000
11.50 P 20260807 -1.00 -1.00 2 552 -1.0000 -1.0000 -1.000000
12.00 P 20260807 -1.00 -1.00 565 360 -1.0000 -1.0000 -1.000000
12.50 P 20260807 -1.00 -1.00 1488 27 4.2233 -0.9786 0.039032
13.00 P 20260807 -1.00 -1.00 16 10 -1.0000 -1.0000 -1.000000
6.00 C 20260814 -1.00 -1.00 2 5 2.3908 0.9304 0.041960
6.50 C 20260814 -1.00 -1.00 1 0 1.4987 0.9659 0.037574
7.00 C 20260814 -1.00 -1.00 11 51 1.2774 0.9550 0.055539
